net_type,run_index,repetition_index,mutation_rate,Sch 1,R1,M1,B1,Sch 2,R2,M2,B2,(log(R1/R2)) * (log(M1/M2)),log(R1/R2),log(M1/M2),log(B1/B2),am,ar,interaction,log(b),(log(M1/M2))^2,(log(R1/R2)) * (log(M1/M2)),(log(R1/R1))^2,Changeovers,A,B,C,G
1,1,3,0.1,VI 20,490,0.64516129,1201,VI 120,135,1.052631579,624,-0.119031258,0.559862312,-0.212608093,0.284358418,,,,,0.045202201,-0.119031258,0.313445808,472,,,,
1,5,3,0.1,VI 45,274,0.533333333,776,VI 95,168,1.6,1064,-0.101360251,0.212441281,-0.477121255,-0.137079907,,,,,0.227644692,-0.101360251,0.045131298,552,,,,
1,4,5,0.1,VI 20,684,1.6,2896,VI 120,86,0.533333333,271,0.429675196,0.90055765,0.477121255,1.028829267,,,,,0.227644692,0.429675196,0.811004082,318,,,,
1,2,1,0.1,VI 20,545,0.8,1611,VI 120,117,0.8,513,0,0.668210641,0,0.496978175,,,,,0,0,0.44650546,565,,,,
1,1,7,0.1,VI 20,519,0.64516129,1337,VI 120,117,1.052631579,633,-0.137553502,0.646981496,-0.212608093,0.324727697,,,,,0.045202201,-0.137553502,0.418585056,566,,,,
1,4,9,0.1,VI 20,710,1.6,2984,VI 120,73,0.533333333,218,0.47136502,0.987935489,0.477121255,1.136342325,,,,,0.227644692,0.47136502,0.97601653,304,,,,
1,4,1,0.1,VI 20,666,1.6,2933,VI 120,79,0.533333333,235,0.441741348,0.925847138,0.477121255,1.096244201,,,,,0.227644692,0.441741348,0.857192923,282,,,,
1,3,7,0.1,VI 20,612,1.052631579,2092,VI 120,102,0.64516129,334,0.165441253,0.77815125,0.212608093,0.796815213,,,,,0.045202201,0.165441253,0.605519368,404,,,,
1,3,3,0.1,VI 20,624,1.052631579,2118,VI 120,104,0.64516129,360,0.165441253,0.77815125,0.212608093,0.769623455,,,,,0.045202201,0.165441253,0.605519368,400,,,,
1,5,8,0.1,VI 45,232,0.533333333,713,VI 95,169,1.6,1039,-0.065652495,0.13760128,-0.477121255,-0.163526018,,,,,0.227644692,-0.065652495,0.018934112,526,,,,
1,0,6,0.1,VI 20,476,0.533333333,1122,VI 120,125,1.6,777,-0.277062852,0.58069694,-0.477121255,0.159571838,,,,,0.227644692,-0.277062852,0.337208936,510,,,,
1,0,2,0.1,VI 20,438,0.533333333,1030,VI 120,132,1.6,861,-0.248532547,0.520900179,-0.477121255,0.077834073,,,,,0.227644692,-0.248532547,0.271336997,537,,,,
