net_type,run_index,repetition_index,mutation_rate,Sch 1,R1,M1,B1,Sch 2,R2,M2,B2,log(R1/R2),log(M1/M2),log(B1/B2),Changeovers,,,,
0,0,0,0.15,VI 20,715,0.533333333,2903,VI 120,143,1.6,1730,0.698970004,-0.477121255,0.224800933,1588,,0.530095078,0.676764255,-0.001544605
0,0,1,0.15,VI 20,700,0.533333333,2813,VI 120,151,1.6,1805,0.666121093,-0.477121255,0.192692526,1534,,0.003767522,0.002455334,0.001242947
0,0,2,0.15,VI 20,651,0.533333333,2751,VI 120,144,1.6,1812,0.655218496,-0.477121255,0.181332397,1560,,0.997539531,0.019652139,#N/A
0,0,3,0.15,VI 20,727,0.533333333,2994,VI 120,142,1.6,1695,0.709246066,-0.477121255,0.247082093,1529,,50070.17287,247,#N/A
0,0,4,0.15,VI 20,679,0.533333333,2777,VI 120,143,1.6,1828,0.676533737,-0.477121255,0.181599688,1545,,38.67485943,0.095393023,#N/A
0,0,5,0.15,VI 20,673,0.533333333,2843,VI 120,115,1.6,1578,0.767317224,-0.477121255,0.255669861,1423,,,,
0,0,6,0.15,VI 20,703,0.533333333,2967,VI 120,138,1.6,1707,0.707076239,-0.477121255,0.240084025,1492,,,,
0,0,7,0.15,VI 20,682,0.533333333,2782,VI 120,157,1.6,1884,0.637884722,-0.477121255,0.169276227,1553,,,,
0,0,8,0.15,VI 20,710,0.533333333,2940,VI 120,132,1.6,1708,0.730684418,-0.477121255,0.235859464,1578,,,,
0,0,9,0.15,VI 20,713,0.533333333,2956,VI 120,143,1.6,1745,0.697753492,-0.477121255,0.228908998,1520,,,,
0,1,0,0.15,VI 20,732,0.64516129,3452,VI 120,135,1.052631579,1395,0.734177313,-0.212608093,0.393496579,1472,,,,
0,1,1,0.15,VI 20,722,0.64516129,3389,VI 120,164,1.052631579,1581,0.64369335,-0.212608093,0.331139699,1614,,,,
0,1,3,0.15,VI 20,702,0.64516129,3348,VI 120,159,1.052631579,1575,0.644939988,-0.212608093,0.327504891,1592,,,,
0,1,2,0.15,VI 20,735,0.64516129,3298,VI 120,143,1.052631579,1436,0.710951302,-0.212608093,0.361096211,1537,,,,
0,1,4,0.15,VI 20,789,0.64516129,3642,VI 120,151,1.052631579,1491,0.718100056,-0.212608093,0.387862298,1644,,,,
0,1,5,0.15,VI 20,681,0.64516129,3333,VI 120,145,1.052631579,1477,0.67177911,-0.212608093,0.353454818,1485,,,,
0,1,6,0.15,VI 20,729,0.64516129,3321,VI 120,139,1.052631579,1533,0.719712728,-0.212608093,0.335726721,1513,,,,
0,1,8,0.15,VI 20,747,0.64516129,3530,VI 120,133,1.052631579,1382,0.749468961,-0.212608093,0.407266662,1520,,,,
0,1,7,0.15,VI 20,743,0.64516129,3454,VI 120,134,1.052631579,1394,0.743884015,-0.212608093,0.394059559,1480,,,,
0,1,9,0.15,VI 20,760,0.64516129,3520,VI 120,157,1.052631579,1536,0.68491394,-0.212608093,0.360151448,1578,,,,
0,2,0,0.15,VI 20,788,0.8,4177,VI 120,146,0.8,1283,0.732173362,0,0.512637819,1566,,,,
0,2,1,0.15,VI 20,798,0.8,4255,VI 120,134,0.8,1202,0.774898093,0,0.548995097,1530,,,,
0,2,2,0.15,VI 20,752,0.8,3927,VI 120,130,0.8,1172,0.762274488,0,0.52513329,1446,,,,
0,2,3,0.15,VI 20,708,0.8,3659,VI 120,142,0.8,1299,0.697744913,0,0.449753258,1384,,,,
0,2,6,0.15,VI 20,743,0.8,3867,VI 120,136,0.8,1238,0.737449905,0,0.494653527,1470,,,,
0,2,4,0.15,VI 20,709,0.8,3749,VI 120,143,0.8,1274,0.695310198,0,0.468746012,1458,,,,
0,2,5,0.15,VI 20,791,0.8,4058,VI 120,143,0.8,1264,0.742840446,0,0.506564969,1514,,,,
0,2,7,0.15,VI 20,770,0.8,3981,VI 120,126,0.8,1162,0.78612018,0,0.53478605,1406,,,,
0,2,8,0.15,VI 20,763,0.8,4048,VI 120,143,0.8,1240,0.7271885,0,0.513818819,1510,,,,
0,2,9,0.15,VI 20,710,0.8,3797,VI 120,129,0.8,1167,0.740668638,0,0.512369741,1368,,,,
0,3,0,0.15,VI 20,808,1.052631579,4778,VI 120,145,0.64516129,1130,0.746043359,0.212608093,0.626167702,1490,,,,
0,3,1,0.15,VI 20,788,1.052631579,4694,VI 120,132,0.64516129,1071,0.775952286,0.212608093,0.641753614,1425,,,,
0,3,2,0.15,VI 20,851,1.052631579,4906,VI 120,132,0.64516129,1022,0.809355629,0.212608093,0.681276648,1390,,,,
0,3,4,0.15,VI 20,785,1.052631579,4609,VI 120,145,0.64516129,1146,0.733501655,0.212608093,0.60442209,1490,,,,
0,3,5,0.15,VI 20,811,1.052631579,4778,VI 120,138,0.64516129,1123,0.769141768,0.212608093,0.628866389,1505,,,,
0,3,3,0.15,VI 20,802,1.052631579,4812,VI 120,147,0.64516129,1153,0.736857034,0.212608093,0.620496311,1477,,,,
0,3,6,0.15,VI 20,793,1.052631579,4601,VI 120,134,0.64516129,1097,0.772168389,0.212608093,0.622645606,1357,,,,
0,3,7,0.15,VI 20,778,1.052631579,4692,VI 120,134,0.64516129,1139,0.763874799,0.212608093,0.614834279,1402,,,,
0,3,8,0.15,VI 20,785,1.052631579,4627,VI 120,141,0.64516129,1136,0.745650544,0.212608093,0.609921168,1445,,,,
0,3,9,0.15,VI 20,816,1.052631579,4904,VI 120,122,0.64516129,1035,0.825330328,0.212608093,0.675610112,1406,,,,
0,4,0,0.15,VI 20,904,1.6,6318,VI 120,125,0.533333333,868,0.859258417,0.477121255,0.862059896,1324,,,,
0,4,1,0.15,VI 20,805,1.6,6002,VI 120,141,0.533333333,964,0.756576768,0.477121255,0.794218957,1338,,,,
0,4,2,0.15,VI 20,812,1.6,5944,VI 120,147,0.533333333,996,0.742238694,0.477121255,0.775819462,1400,,,,
0,4,3,0.15,VI 20,805,1.6,5828,VI 120,129,0.533333333,896,0.79520617,0.477121255,0.813211533,1236,,,,
0,4,4,0.15,VI 20,818,1.6,6016,VI 120,129,0.533333333,943,0.802163593,0.477121255,0.804796135,1314,,,,
0,4,5,0.15,VI 20,833,1.6,6101,VI 120,130,0.533333333,907,0.806701649,0.477121255,0.827793738,1344,,,,
0,4,6,0.15,VI 20,790,1.6,5881,VI 120,107,0.533333333,894,0.868243314,0.477121255,0.818113661,1320,,,,
0,4,7,0.15,VI 20,872,1.6,6193,VI 120,122,0.533333333,856,0.854156654,0.477121255,0.859427315,1246,,,,
0,4,8,0.15,VI 20,863,1.6,6146,VI 120,132,0.533333333,877,0.815436865,0.477121255,0.845592963,1308,,,,
0,4,9,0.15,VI 20,833,1.6,5896,VI 120,133,0.533333333,952,0.79679336,0.477121255,0.791920526,1396,,,,
0,5,0,0.15,VI 45,357,0.533333333,1823,VI 95,177,1.6,2139,0.30469495,-0.477121255,-0.069424116,1384,,,,
0,5,1,0.15,VI 45,345,0.533333333,1844,VI 95,181,1.6,2203,0.28014052,-0.477121255,-0.07725358,1473,,,,
0,5,2,0.15,VI 45,323,0.533333333,1805,VI 95,181,1.6,2133,0.251523947,-0.477121255,-0.072513649,1371,,,,
0,5,3,0.15,VI 45,353,0.533333333,1946,VI 95,185,1.6,2190,0.280602977,-0.477121255,-0.051301279,1364,,,,
0,5,4,0.15,VI 45,354,0.533333333,1902,VI 95,157,1.6,1989,0.35310361,-0.477121255,-0.019424271,1362,,,,
0,5,5,0.15,VI 45,321,0.533333333,1791,VI 95,193,1.6,2359,0.220947723,-0.477121255,-0.119632355,1429,,,,
0,5,6,0.15,VI 45,333,0.533333333,1827,VI 95,161,1.6,1986,0.315618357,-0.477121255,-0.036240697,1370,,,,
0,5,7,0.15,VI 45,342,0.533333333,1896,VI 95,176,1.6,2166,0.288513438,-0.477121255,-0.057820119,1422,,,,
0,5,8,0.15,VI 45,317,0.533333333,1756,VI 95,173,1.6,2100,0.263013159,-0.477121255,-0.077694783,1319,,,,
0,5,9,0.15,VI 45,337,0.533333333,1855,VI 95,156,1.6,2023,0.334505303,-0.477121255,-0.037651969,1362,,,,
0,6,0,0.15,VI 45,355,0.64516129,2139,VI 95,175,1.052631579,1803,0.307190304,-0.212608093,0.074215058,1509,,,,
0,6,1,0.15,VI 45,355,0.64516129,2105,VI 95,186,1.052631579,1809,0.280715409,-0.212608093,0.065813533,1445,,,,
0,6,2,0.15,VI 45,362,0.64516129,2149,VI 95,169,1.052631579,1703,0.330821866,-0.212608093,0.101021768,1432,,,,
0,6,3,0.15,VI 45,338,0.64516129,2057,VI 95,169,1.052631579,1739,0.301029996,-0.212608093,0.07293471,1432,,,,
0,6,4,0.15,VI 45,328,0.64516129,2047,VI 95,173,1.052631579,1768,0.277827741,-0.212608093,0.063635582,1407,,,,
0,6,5,0.15,VI 45,345,0.64516129,2103,VI 95,186,1.052631579,1766,0.268306151,-0.212608093,0.075848573,1402,,,,
0,6,6,0.15,VI 45,337,0.64516129,2048,VI 95,176,1.052631579,1750,0.282117233,-0.212608093,0.068291904,1316,,,,
0,6,8,0.15,VI 45,367,0.64516129,2093,VI 95,200,1.052631579,1899,0.263636069,-0.212608093,0.042244264,1437,,,,
