net_type,run_index,repetition_index,mutation_rate,Sch 1,R1,M1,B1,Sch 2,R2,M2,B2,log(R1/R2),log(M1/M2),log(B1/B2),Changeovers,,,,
2,0,0,0.1,VI 20,457,0.533333333,1049,VI 120,140,1.6,855,0.513788164,-0.477121255,0.088809373,550,,0.75598861,0.987138905,-0.003234191
2,0,1,0.1,VI 20,498,0.533333333,1184,VI 120,122,1.6,754,0.610869512,-0.477121255,0.195980357,510,,0.014733704,0.008468427,0.004756194
2,0,2,0.1,VI 20,504,0.533333333,1182,VI 120,129,1.6,802,0.591840826,-0.477121255,0.168443108,573,,0.987587145,0.075201952,#N/A
2,0,3,0.1,VI 20,454,0.533333333,1089,VI 120,134,1.6,845,0.529951054,-0.477121255,0.110171171,561,,9825.863279,247,#N/A
2,0,4,0.1,VI 20,512,0.533333333,1241,VI 120,122,1.6,788,0.62291013,-0.477121255,0.197245564,542,,111.1370681,1.396867382,#N/A
2,0,5,0.1,VI 20,480,0.533333333,1156,VI 120,146,1.6,880,0.516888382,-0.477121255,0.118475162,586,,,,
2,0,6,0.1,VI 20,498,0.533333333,1243,VI 120,133,1.6,771,0.573377702,-0.477121255,0.207416751,585,,,,
2,0,8,0.1,VI 20,511,0.533333333,1161,VI 120,124,1.6,780,0.614999215,-0.477121255,0.172737617,557,,,,
2,0,7,0.1,VI 20,501,0.533333333,1222,VI 120,109,1.6,674,0.662411228,-0.477121255,0.258411309,497,,,,
2,1,0,0.1,VI 20,553,0.64516129,1561,VI 120,127,1.052631579,595,0.63892141,-0.212608093,0.418885937,513,,,,
2,0,9,0.1,VI 20,499,0.533333333,1212,VI 120,124,1.6,736,0.60467886,-0.477121255,0.216624805,582,,,,
2,1,1,0.1,VI 20,546,0.64516129,1498,VI 120,110,1.052631579,552,0.695799958,-0.212608093,0.433572736,496,,,,
2,1,3,0.1,VI 20,508,0.64516129,1387,VI 120,124,1.052631579,562,0.612442027,-0.212608093,0.392340146,559,,,,
2,1,2,0.1,VI 20,558,0.64516129,1542,VI 120,114,1.052631579,540,0.689729348,-0.212608093,0.455690614,472,,,,
2,1,4,0.1,VI 20,582,0.64516129,1689,VI 120,106,1.052631579,507,0.739617119,-0.212608093,0.52262169,507,,,,
2,1,5,0.1,VI 20,520,0.64516129,1489,VI 120,112,1.052631579,529,0.666785321,-0.212608093,0.449439026,493,,,,
2,1,6,0.1,VI 20,524,0.64516129,1448,VI 120,100,1.052631579,528,0.719331287,-0.212608093,0.438134639,510,,,,
2,2,0,0.1,VI 20,635,0.8,2174,VI 120,94,0.8,377,0.829645872,0,0.76091819,442,,,,
2,1,9,0.1,VI 20,561,0.64516129,1587,VI 120,104,1.052631579,558,0.731929522,-0.212608093,0.453942728,520,,,,
2,1,7,0.1,VI 20,525,0.64516129,1474,VI 120,132,1.052631579,558,0.599585372,-0.212608093,0.421863285,494,,,,
2,1,8,0.1,VI 20,510,0.64516129,1397,VI 120,105,1.052631579,571,0.686380877,-0.212608093,0.388560298,534,,,,
2,2,1,0.1,VI 20,592,0.8,2007,VI 120,99,0.8,430,0.776686512,0,0.669078917,450,,,,
2,2,2,0.1,VI 20,628,0.8,2191,VI 120,103,0.8,376,0.785122419,0,0.765454533,452,,,,
2,2,3,0.1,VI 20,610,0.8,2124,VI 120,118,0.8,404,0.713447828,0,0.720773147,446,,,,
2,2,4,0.1,VI 20,635,0.8,2140,VI 120,90,0.8,371,0.848531216,0,0.761039864,446,,,,
2,2,6,0.1,VI 20,582,0.8,1948,VI 120,102,0.8,393,0.756322813,0,0.695196402,468,,,,
2,2,5,0.1,VI 20,544,0.8,1842,VI 120,110,0.8,422,0.694206215,0,0.639977175,429,,,,
2,2,7,0.1,VI 20,591,0.8,2007,VI 120,106,0.8,414,0.746281616,0,0.685547031,423,,,,
2,2,9,0.1,VI 20,613,0.8,2029,VI 120,116,0.8,404,0.723002485,0,0.700900682,477,,,,
2,2,8,0.1,VI 20,702,0.8,2400,VI 120,87,0.8,315,0.90681786,0,0.881900688,378,,,,
2,3,1,0.1,VI 20,699,1.052631579,3098,VI 120,73,0.64516129,221,0.981154316,0.212608093,1.14668914,294,,,,
2,3,0,0.1,VI 20,720,1.052631579,3211,VI 120,90,0.64516129,260,0.903089987,0.212608093,1.091666958,348,,,,
2,3,3,0.1,VI 20,701,1.052631579,3159,VI 120,92,0.64516129,221,0.881930191,0.212608093,1.155157352,320,,,,
2,3,2,0.1,VI 20,719,1.052631579,3275,VI 120,84,0.64516129,247,0.932449604,0.212608093,1.122514351,336,,,,
2,3,4,0.1,VI 20,671,1.052631579,2935,VI 120,94,0.64516129,278,0.853594667,0.212608093,1.02356331,350,,,,
2,3,5,0.1,VI 20,621,1.052631579,2779,VI 120,91,0.64516129,330,0.834050208,0.212608093,0.925374607,373,,,,
2,3,6,0.1,VI 20,717,1.052631579,3295,VI 120,74,0.64516129,238,0.986287436,0.212608093,1.141278462,293,,,,
2,3,7,0.1,VI 20,695,1.052631579,3143,VI 120,75,0.64516129,237,0.966923541,0.212608093,1.122596035,305,,,,
2,3,8,0.1,VI 20,691,1.052631579,2994,VI 120,90,0.64516129,256,0.885235538,0.212608093,1.068011831,338,,,,
2,3,9,0.1,VI 20,677,1.052631579,2939,VI 120,100,0.64516129,274,0.830588669,0.212608093,1.030449023,332,,,,
2,4,0,0.1,VI 20,804,1.6,5445,VI 120,64,0.533333333,156,1.099076075,0.477121255,1.542873286,214,,,,
2,4,2,0.1,VI 20,760,1.6,5200,VI 120,58,0.533333333,137,1.117385599,0.477121255,1.579282776,200,,,,
2,4,1,0.1,VI 20,798,1.6,5396,VI 120,46,0.533333333,106,1.23924506,0.477121255,1.706766076,144,,,,
2,4,3,0.1,VI 20,842,1.6,5801,VI 120,45,0.533333333,103,1.272099578,0.477121255,1.750665641,150,,,,
2,4,6,0.1,VI 20,869,1.6,5973,VI 120,57,0.533333333,117,1.183144921,0.477121255,1.708006653,168,,,,
2,4,4,0.1,VI 20,844,1.6,5742,VI 120,57,0.533333333,129,1.170467591,0.477121255,1.648473478,156,,,,
2,4,5,0.1,VI 20,721,1.6,4781,VI 120,62,0.533333333,138,1.065543575,0.477121255,1.539639657,200,,,,
2,4,7,0.1,VI 20,755,1.6,4890,VI 120,66,0.533333333,138,1.058403016,0.477121255,1.549429773,200,,,,
2,5,0,0.1,VI 45,235,0.533333333,735,VI 95,183,1.6,1305,0.108616773,-0.477121255,-0.249323173,597,,,,
2,4,9,0.1,VI 20,779,1.6,5248,VI 120,58,0.533333333,125,1.128109464,0.477121255,1.623083813,199,,,,
2,4,8,0.1,VI 20,857,1.6,6046,VI 120,44,0.533333333,100,1.289528145,0.477121255,1.781468143,156,,,,
2,5,1,0.1,VI 45,274,0.533333333,805,VI 95,175,1.6,1089,0.194712514,-0.477121255,-0.131231999,605,,,,
2,5,2,0.1,VI 45,262,0.533333333,751,VI 95,182,1.6,1160,0.158229903,-0.477121255,-0.188818052,575,,,,
2,5,3,0.1,VI 45,275,0.533333333,800,VI 95,143,1.6,1044,0.283996656,-0.477121255,-0.115610512,600,,,,
2,5,4,0.1,VI 45,288,0.533333333,835,VI 95,150,1.6,997,0.283301229,-0.477121255,-0.077008683,616,,,,
2,5,5,0.1,VI 45,263,0.533333333,807,VI 95,171,1.6,1135,0.186959638,-0.477121255,-0.148122327,587,,,,
2,5,6,0.1,VI 45,275,0.533333333,807,VI 95,160,1.6,1080,0.235212711,-0.477121255,-0.126550221,614,,,,
2,5,7,0.1,VI 45,253,0.533333333,753,VI 95,162,1.6,1029,0.193605507,-0.477121255,-0.135620399,578,,,,
2,5,9,0.1,VI 45,274,0.533333333,806,VI 95,170,1.6,1088,0.207301641,-0.477121255,-0.130293854,605,,,,
2,5,8,0.1,VI 45,283,0.533333333,840,VI 95,163,1.6,1083,0.239598831,-0.477121255,-0.110349171,599,,,,
