net_type,run_index,repetition_index,mutation_rate,Sch 1,R1,M1,B1,Sch 2,R2,M2,B2,log(R1/R2),log(M1/M2),log(B1/B2),Changeovers,,,,
2,0,0,0.1,VI 20,502,0.533333333,1041,VI 120,144,1.6,816,0.542341225,-0.477121255,0.105760571,664,,0.637800242,0.778897551,0.002480378
2,0,1,0.1,VI 20,494,0.533333333,1050,VI 120,124,1.6,739,0.600305264,-0.477121255,0.152544861,656,,0.014668796,0.00981378,0.004760361
2,0,2,0.1,VI 20,445,0.533333333,915,VI 120,143,1.6,807,0.493023974,-0.477121255,0.054547559,575,,0.975491635,0.075260792,#N/A
2,0,3,0.1,VI 20,462,0.533333333,929,VI 120,137,1.6,793,0.527921408,-0.477121255,0.068742527,622,,4915.595741,247,#N/A
2,0,4,0.1,VI 20,480,0.533333333,997,VI 120,115,1.6,693,0.620543397,-0.477121255,0.157961924,667,,55.6857049,1.399054136,#N/A
2,0,6,0.1,VI 20,464,0.533333333,946,VI 120,131,1.6,796,0.549246685,-0.477121255,0.074978069,657,,,,
2,0,5,0.1,VI 20,452,0.533333333,967,VI 120,134,1.6,753,0.528033636,-0.477121255,0.108631498,585,,,,
2,0,8,0.1,VI 20,467,0.533333333,995,VI 120,138,1.6,751,0.529437794,-0.477121255,0.122183144,604,,,,
2,0,7,0.1,VI 20,455,0.533333333,1001,VI 120,130,1.6,802,0.544068044,-0.477121255,0.096259709,650,,,,
2,0,9,0.1,VI 20,436,0.533333333,876,VI 120,146,1.6,835,0.475133633,-0.477121255,0.020817631,621,,,,
2,1,0,0.1,VI 20,498,0.64516129,1105,VI 120,144,1.052631579,649,0.538866851,-0.212608093,0.231117581,642,,,,
2,1,2,0.1,VI 20,450,0.64516129,1031,VI 120,138,1.052631579,639,0.513333427,-0.212608093,0.207757807,612,,,,
2,1,3,0.1,VI 20,513,0.64516129,1264,VI 120,131,1.052631579,608,0.592846069,-0.212608093,0.317843495,635,,,,
2,1,1,0.1,VI 20,536,0.64516129,1249,VI 120,131,1.052631579,569,0.611893494,-0.212608093,0.341450172,582,,,,
2,1,4,0.1,VI 20,504,0.64516129,1146,VI 120,119,1.052631579,654,0.626883575,-0.212608093,0.243606869,623,,,,
2,1,6,0.1,VI 20,477,0.64516129,1139,VI 120,147,1.052631579,670,0.511201044,-0.212608093,0.230448921,671,,,,
2,1,7,0.1,VI 20,481,0.64516129,1127,VI 120,128,1.052631579,590,0.574935107,-0.212608093,0.281071904,590,,,,
2,1,5,0.1,VI 20,504,0.64516129,1178,VI 120,121,1.052631579,602,0.619645166,-0.212608093,0.291548799,630,,,,
2,1,8,0.1,VI 20,521,0.64516129,1215,VI 120,136,1.052631579,628,0.583298815,-0.212608093,0.286616634,605,,,,
2,1,9,0.1,VI 20,529,0.64516129,1188,VI 120,116,1.052631579,596,0.658997683,-0.212608093,0.299570181,602,,,,
2,2,1,0.1,VI 20,537,0.8,1413,VI 120,123,0.8,497,0.640069174,0,0.453785773,543,,,,
2,2,0,0.1,VI 20,559,0.8,1482,VI 120,113,0.8,537,0.694333364,0,0.440873918,628,,,,
2,2,2,0.1,VI 20,597,0.8,1568,VI 120,123,0.8,459,0.68606922,0,0.533533373,602,,,,
2,2,4,0.1,VI 20,577,0.8,1590,VI 120,113,0.8,507,0.70809737,0,0.496389165,548,,,,
2,2,3,0.1,VI 20,525,0.8,1429,VI 120,114,0.8,537,0.663254452,0,0.425057943,578,,,,
2,2,6,0.1,VI 20,550,0.8,1455,VI 120,123,0.8,486,0.650457578,0,0.476226724,535,,,,
