net_type,run_index,repetition_index,mutation_rate,Sch 1,R1,M1,B1,Sch 2,R2,M2,B2,log(R1/R2),log(M1/M2),log(B1/B2),Changeovers,,53.2332999,,
0,4,8,0.1,VI 20,724,1.6,3125,VI 120,108,0.533333333,417,0.826314811,0.477121255,0.874713967,531,,,,
0,4,9,0.1,VI 20,667,1.6,2847,VI 120,97,0.533333333,411,0.8373541,0.477121255,0.840545645,481,,,,
0,5,0,0.1,VI 45,287,0.533333333,937,VI 95,159,1.6,1101,0.256484772,-0.477121255,-0.070047728,615,,,,
0,5,1,0.1,VI 45,288,0.533333333,965,VI 95,153,1.6,1051,0.274701057,-0.477121255,-0.037075403,594,,,,
0,5,2,0.1,VI 45,267,0.533333333,891,VI 95,179,1.6,1117,0.17365823,-0.477121255,-0.098175469,607,,,,
0,5,3,0.1,VI 45,282,0.533333333,896,VI 95,176,1.6,1115,0.204736441,-0.477121255,-0.094966858,644,,,,
0,5,4,0.1,VI 45,277,0.533333333,961,VI 95,164,1.6,999,0.227635921,-0.477121255,-0.016842101,604,,,,
0,5,6,0.1,VI 45,289,0.533333333,921,VI 95,175,1.6,1087,0.217859794,-0.477121255,-0.071969914,583,,,,
0,5,7,0.1,VI 45,282,0.533333333,972,VI 95,140,1.6,1024,0.304121073,-0.477121255,-0.022633692,619,,,,
0,5,5,0.1,VI 45,294,0.533333333,911,VI 95,158,1.6,1040,0.269690243,-0.477121255,-0.057514962,564,,,,
0,5,8,0.1,VI 45,274,0.533333333,972,VI 95,154,1.6,1035,0.250229842,-0.477121255,-0.027274085,645,,,,
0,6,0,0.1,VI 45,283,0.64516129,1000,VI 95,164,1.052631579,894,0.236942587,-0.212608093,0.048662481,607,,,,
0,5,9,0.1,VI 45,271,0.533333333,985,VI 95,155,1.6,1054,0.242637593,-0.477121255,-0.02940438,596,,,,
0,6,1,0.1,VI 45,287,0.64516129,999,VI 95,161,1.052631579,837,0.251056021,-0.212608093,0.07684003,569,,,,
0,6,2,0.1,VI 45,282,0.64516129,1048,VI 95,152,1.052631579,913,0.26840552,-0.212608093,0.059890505,580,,,,
0,6,3,0.1,VI 45,273,0.64516129,1016,VI 95,162,1.052631579,908,0.226647632,-0.212608093,0.048807859,598,,,,
0,6,4,0.1,VI 45,276,0.64516129,1063,VI 95,171,1.052631579,878,0.207912972,-0.212608093,0.083038749,614,,,,
0,6,5,0.1,VI 45,287,0.64516129,1044,VI 95,169,1.052631579,879,0.229995192,-0.212608093,0.074711624,571,,,,
0,6,7,0.1,VI 45,311,0.64516129,1004,VI 95,150,1.052631579,848,0.31666913,-0.212608093,0.073337861,560,,,,
0,6,6,0.1,VI 45,286,0.64516129,1051,VI 95,151,1.052631579,864,0.277389086,-0.212608093,0.085088974,583,,,,
0,6,9,0.1,VI 45,270,0.64516129,945,VI 95,163,1.052631579,921,0.21917616,-0.212608093,0.011172178,547,,,,
0,6,8,0.1,VI 45,288,0.64516129,1034,VI 95,134,1.052631579,786,0.332287689,-0.212608093,0.119097993,599,,,,
0,7,0,0.1,VI 45,276,0.8,1111,VI 95,149,0.8,773,0.267722814,0,0.157534565,625,,,,
0,7,1,0.1,VI 45,295,0.8,1159,VI 95,161,0.8,835,0.26299614,0,0.14239696,611,,,,
0,7,3,0.1,VI 45,277,0.8,1069,VI 95,155,0.8,775,0.252148071,0,0.139676003,601,,,,
0,7,2,0.1,VI 45,310,0.8,1194,VI 95,149,0.8,798,0.318175425,0,0.175001435,591,,,,
0,7,5,0.1,VI 45,278,0.8,1096,VI 95,168,0.8,828,0.218735514,0,0.121780217,594,,,,
0,7,4,0.1,VI 45,298,0.8,1098,VI 95,146,0.8,748,0.309863408,0,0.166700742,592,,,,
0,7,6,0.1,VI 45,308,0.8,1182,VI 95,153,0.8,747,0.303859286,0,0.199296875,569,,,,
0,7,7,0.1,VI 45,319,0.8,1209,VI 95,148,0.8,744,0.333528968,0,0.210853365,608,,,,
0,7,8,0.1,VI 45,287,0.8,1145,VI 95,164,0.8,816,0.243038049,0,0.147115328,522,,,,
0,7,9,0.1,VI 45,285,0.8,1044,VI 95,178,0.8,831,0.204424858,0,0.099099475,563,,,,
0,8,0,0.1,VI 45,330,1.052631579,1381,VI 95,145,0.64516129,622,0.357145938,0.212608093,0.346403294,546,,,,
0,8,2,0.1,VI 45,294,1.052631579,1306,VI 95,162,0.64516129,716,0.258832316,0.212608093,0.261030155,571,,,,
