run_index,repetition_index,R1,B1,R2,B2,log(R1/R2),log(B1/B2)
0,1,1140,7744,1115,7302,0.009629983952293144,0.025523515686628615
0,6,1138,7608,1098,7435,0.015539921944979218,0.00998953107138446
0,9,1115,7422,1097,7496,0.0070682398094683305,-0.004308627866957571
0,8,1076,7529,1050,7241,0.010622972260432299,0.016938749660098805
0,4,1121,7611,1074,7353,0.01860133123143639,0.014977155969652838
0,2,1100,7568,1033,7094,0.027292363638604423,0.028089939257812373
0,5,1134,7581,1008,6874,0.05115252244738129,0.0425169688383707
0,13,1076,7289,1085,7510,-0.0036174668541779677,-0.012971986775580454
0,11,1096,7372,1127,7665,-0.012113361897756175,-0.016926832643357755
0,14,1087,7230,1092,7436,-0.0019930942824238807,-0.012201083805330139
0,7,1083,7409,1090,7562,-0.002798041315303287,-0.008877078244106437
0,3,1128,7492,1076,7216,0.020496828316953136,0.016301244169314475
0,10,1104,7550,1062,7192,0.016844556647729825,0.021097272904015932
0,15,1071,7392,1076,7299,-0.002022800498514731,0.005498594561569413
0,12,1078,7463,1124,7656,-0.0181475503823224,-0.01108848314839186
0,0,1089,7321,1082,7206,0.0028006189852243114,0.006876149066880535
0,16,1092,7359,1089,7503,0.0011947586129434356,-0.008416143524116808
0,23,1136,7738,1033,7108,0.04127800985537949,0.03688130625196225
0,22,1114,7529,1079,7293,0.013863746154799426,0.013831083577666355
0,25,1086,7505,1073,7459,0.0052301032868770254,0.002670089427359521
0,24,1067,7227,1090,7450,-0.009262078516153755,-0.013198218030287024
0,21,1080,7326,1104,7379,-0.009545317906230389,-0.0031305960164250807
0,20,1128,7795,1054,7138,0.029468488770795723,0.0382395759052189
0,19,1104,7272,1077,7358,0.01075337009519854,-0.0051059132811971455
0,17,1087,7406,1112,7608,-0.009875243159744113,-0.01168679621593371
0,18,1109,7417,1101,7462,0.0031442271774083357,-0.002626965693015868
0,27,1072,7300,1091,7477,-0.007629965231590684,-0.01040452052622363
1,0,973,6628,1284,8183,-0.1204521834644826,-0.09153005142879783
0,28,1085,7277,1098,7464,-0.005172601929524778,-0.011019255816991818
1,1,970,6758,1191,7977,-0.08914002721653265,-0.07202140461235196
0,29,1077,7413,1076,7265,0.00040343196761120383,0.00875838148770148
0,26,1103,7500,1109,7429,-0.002356033708969447,0.004130905043004251
1,3,937,6639,1282,8318,-0.13614843429502035,-0.09791624738199445
1,2,987,6807,1277,8472,-0.11187374459377858,-0.09503019649483015
1,6,941,6577,1280,8355,-0.13362034622061147,-0.10391861237015391
1,8,883,6258,1259,8318,-0.15406502653029402,-0.12358335721874032
1,5,944,6503,1275,8383,-0.130538190471905,-0.11028571215081785
1,7,959,6564,1289,8218,-0.1284343101827394,-0.0975975645447969
1,4,936,6422,1343,8646,-0.15680016393061016,-0.12914492996714924
1,9,962,6644,1287,8408,-0.1264034748665737,-0.10226307924082896
1,11,928,6525,1287,8326,-0.14203057068552463,-0.10585589054044
1,12,955,6570,1312,8449,-0.13793046345589513,-0.10923994055182526
1,10,958,6560,1271,8338,-0.12278004147546373,-0.1041580514146183
1,14,971,6689,1238,8285,-0.1055014147760943,-0.0929313168027222
1,13,973,6693,1287,8469,-0.12146570663603477,-0.10221130786308161
1,16,903,6411,1274,8459,-0.14948167768582582,-0.1203932480759242
1,15,929,6678,1264,8366,-0.13373135995272442,-0.09787144552625951
1,17,986,6721,1238,8068,-0.09884372974288799,-0.07933199413994853
1,18,992,6715,1277,8280,-0.10967922510923662,-0.09098431978014596
1,19,1005,6702,1278,8329,-0.10436479206587367,-0.09438843858555583
1,21,986,6741,1246,7970,-0.1016411273819396,-0.07273399425732098
1,20,989,6750,1269,8366,-0.10826533049752536,-0.09321408741358653
1,22,997,6629,1302,8373,-0.1159158259205174,-0.10143307219076327
1,23,966,6650,1246,8306,-0.11054091590765747,-0.09657028147075479
1,25,979,6784,1294,8437,-0.12115158452954375,-0.09470220985854859
1,28,952,6664,1271,8153,-0.12550860216953383,-0.08758245392529934
1,26,964,6621,1238,8257,-0.10864361078126838,-0.09589869671459454
2,0,875,6049,1542,9516,-0.24607632069262494,-0.1967708488578779
1,27,975,6799,1214,8122,-0.09521407104070194,-0.07721794397990715
1,24,932,6545,1229,8099,-0.12013597053247273,-0.0925217480792318
1,29,959,6629,1280,8190,-0.12539136247720475,-0.09183588274288822
2,2,819,5862,1485,9298,-0.2584425518928127,-0.20034372774465162
2,1,815,5906,1480,9476,-0.2591041066549808,-0.2053316094216678
2,3,843,5760,1533,9591,-0.25971458022963284,-0.22144140756813832
2,4,890,6176,1492,9153,-0.22437881649173724,-0.1708561750343897
2,5,901,6339,1479,9193,-0.21524338301782944,-0.1614365083447318
2,6,885,6151,1506,9316,-0.2308817011668563,-0.1802837528388953
2,7,833,5896,1506,9575,-0.2571799704578942,-0.2105813077896653
2,11,836,5897,1515,9436,-0.2582063553993074,-0.20415680443575127
2,8,841,6000,1441,9109,-0.2338679850160771,-0.1813194516914635
2,10,862,5950,1492,9389,-0.23826155731193716,-0.19810237333107392
2,12,891,6080,1551,9320,-0.2407340937767301,-0.18551233308124646
2,13,851,5864,1550,9516,-0.26040213808570356,-0.21026047173215712
2,9,824,5808,1558,9763,-0.27664024163942985,-0.22555668161896789
2,14,859,6113,1506,9368,-0.24383180803343943,-0.18539248627452645
2,15,836,5978,1512,9446,-0.2573455137261713,-0.1986920305374192
2,16,866,5992,1485,9285,-0.23420856163588447,-0.19021010338438912
2,18,858,6168,1412,8944,-0.2163474088670795,-0.1613874254994475
2,17,827,5940,1482,9262,-0.2533426940907627,-0.192918331676681
2,19,849,5834,1489,9122,-0.2439870075082235,-0.19412364311920563
2,21,866,6164,1506,9248,-0.2403070798473351,-0.17618519103007216
2,22,807,5696,1533,9545,-0.27866862013230476,-0.22420595210088565
2,23,878,6077,1538,9310,-0.2434618195593097,-0.1852604446340262
2,25,831,5855,1514,9442,-0.2605248513799429,-0.20753709668685416
2,24,847,5978,1485,9390,-0.2438430433225242,-0.196109681562849
2,20,882,6205,1478,9163,-0.22420584892698717,-0.169295900730264
2,26,889,6212,1476,9160,-0.22018459651680905,-0.16866402661132945
3,1,787,5284,1903,10791,-0.3834640559279559,-0.31009888359568394
3,0,766,5361,1919,11250,-0.39884620510286756,-0.32190671522207465
3,2,769,5415,1763,10383,-0.360325972497891,-0.28272439305245095
3,4,705,4899,1906,11288,-0.43193377931090887,-0.3625095612899608
3,3,756,5214,1778,10684,-0.37140996113298835,-0.31156285251702515
2,28,864,6089,1470,9250,-0.23080359226928276,-0.18159575868451
2,27,824,5884,1472,9189,-0.2519805983043642,-0.19359558747074262
3,5,746,5201,1868,10920,-0.3986380444214057,-0.3221357845938863
2,29,851,5894,1557,9476,-0.2623590524835324,-0.20621492053682117
