net_type,run_index,repetition_index,mutation_rate,Sch 1,R1,M1,B1,Sch 2,R2,M2,B2,log(R1/R2),log(M1/M2),log(B1/B2),Changeovers
1,0,0,0.1,VI 20,479,0.5333333333333333,1079,VI 120,112,1.6,769,0.6311174907443816,-0.47712125471966244,0.14709510488147964,550
1,0,1,0.1,VI 20,477,0.5333333333333333,1101,VI 120,137,1.6,801,0.5417978118837071,-0.47712125471966244,0.1381548028875141,540
1,0,2,0.1,VI 20,470,0.5333333333333333,1072,VI 120,131,1.6,881,0.5548265622799532,-0.47712125471966244,0.08521887694470329,482
1,0,3,0.1,VI 20,450,0.5333333333333333,1046,VI 120,119,1.6,810,0.5776655523828129,-0.47712125471966244,0.11104666565260571,557
1,0,5,0.1,VI 20,459,0.5333333333333333,1038,VI 120,117,1.6,802,0.5936268237910995,-0.47712125471966244,0.11202298522827558,505
1,0,6,0.1,VI 20,504,0.5333333333333333,1162,VI 120,129,1.6,785,0.5918408261462763,-0.47712125471966244,0.17033647130905935,537
1,0,4,0.1,VI 20,434,0.5333333333333333,1012,VI 120,120,1.6,833,0.5583084834648859,-0.47712125471966244,0.08453551109699273,554
1,0,7,0.1,VI 20,421,0.5333333333333333,990,VI 120,110,1.6,769,0.5828894106774433,-0.47712125471966244,0.10970885479611885,533
1,0,8,0.1,VI 20,460,0.5333333333333333,1042,VI 120,117,1.6,830,0.5945719699354124,-0.47712125471966244,0.09878962658743173,518
1,0,9,0.1,VI 20,491,0.5333333333333333,1084,VI 120,128,1.6,769,0.5838715224751001,-0.47712125471966244,0.1491029424009371,532
1,1,0,0.1,VI 20,534,0.6451612903225806,1396,VI 120,113,1.0526315789473684,602,0.6744628135451367,-0.21260809288144372,0.3652889270293177,505
1,1,1,0.1,VI 20,558,0.6451612903225806,1439,VI 120,121,1.0526315789473684,583,0.6638488286211287,-0.21260809288144372,0.3923922391775911,507
1,1,2,0.1,VI 20,516,0.6451612903225806,1323,VI 120,122,1.0526315789473684,579,0.6262898709524631,-0.21260809288144372,0.3588812804600648,490
1,1,3,0.1,VI 20,556,0.6451612903225806,1392,VI 120,110,1.0526315789473684,531,0.7036821064238324,-0.21260809288144372,0.4185447141930742,521
1,1,4,0.1,VI 20,557,0.6451612903225806,1317,VI 120,131,1.0526315789473684,615,0.6285838995179647,-0.21260809288144372,0.3307106591863671,527
1,1,5,0.1,VI 20,534,0.6451612903225806,1378,VI 120,125,1.0526315789473684,640,0.6306312440205001,-0.21260809288144372,0.3330692435877199,529
1,1,7,0.1,VI 20,497,0.6451612903225806,1226,VI 120,139,1.0526315789473684,649,0.553341588479237,-0.21260809288144372,0.276245773382027,529
1,1,6,0.1,VI 20,481,0.6451612903225806,1229,VI 120,130,1.0526315789473684,629,0.568201724066995,-0.21260809288144372,0.2909012374411852,562
1,1,8,0.1,VI 20,481,0.6451612903225806,1262,VI 120,104,1.0526315789473684,583,0.6651117370750514,-0.21260809288144372,0.33539080014910144,466
1,1,9,0.1,VI 20,520,0.6451612903225806,1333,VI 120,115,1.0526315789473684,590,0.6553055032811874,-0.21260809288144372,0.353978137771715,559
1,2,1,0.1,VI 20,560,0.8,1561,VI 120,127,0.8,491,0.6443843060502435,0.0,0.502321410939449,487
