run_index,repetition_index,Sch 1,R1,B1,M1,Sch 2,R2,B2,M2,log(R1/R2),log(B1/B2),log(M1/M2),Changeovers
4,5,VI 20,120,120,1.6,VI 120,115,1985,0.533,0.018483405694013133,-1.218579265051509,0.4773927736293525,234
4,6,VI 20,115,115,1.6,VI 120,127,2240,0.533,-0.04310588060234521,-1.2895501779805512,0.4773927736293525,219
4,7,VI 20,112,112,1.6,VI 120,123,2171,0.533,-0.04068708876921634,-1.2874418007842385,0.4773927736293525,222
4,8,VI 20,118,118,1.6,VI 120,141,2488,0.533,-0.07733710534925452,-1.3239683687126558,0.4773927736293525,216
4,9,VI 20,116,117,1.6,VI 120,119,2081,0.533,-0.01108897216561229,-1.2500862184654653,0.4773927736293525,220
5,0,VI 45,392,6878,0.533,VI 95,118,212,1.6,0.5214040597143319,1.5111263105572432,-0.4773927736293525,395
5,1,VI 45,430,7460,0.533,VI 95,113,200,1.6,0.5803900120961668,1.5717088318086876,-0.4773927736293525,382
5,2,VI 45,430,7357,0.533,VI 95,114,192,1.6,0.5765636042431139,1.5833995273389494,-0.4773927736293525,370
5,3,VI 45,387,6841,0.533,VI 95,109,192,1.6,0.5502844670782877,1.551818361721,-0.4773927736293525,358
5,4,VI 45,407,7102,0.533,VI 95,113,186,1.6,0.5565159657418003,1.5818677237476804,-0.4773927736293525,351
5,5,VI 45,397,6895,0.533,VI 95,112,201,1.6,0.5495724840929335,1.5353382130913797,-0.4773927736293525,386
5,6,VI 45,409,7105,0.533,VI 95,106,207,1.6,0.5864174427425716,1.5355937368065709,-0.4773927736293525,392
5,7,VI 45,382,6893,0.533,VI 95,109,226,1.6,0.5446368649710851,1.4842998393467859,-0.4773927736293525,428
5,8,VI 45,399,6943,0.533,VI 95,109,212,1.6,0.5635463977461246,1.515211304327802,-0.4773927736293525,392
5,9,VI 45,415,7339,0.533,VI 95,113,215,1.6,0.564969653228673,1.5331984277840234,-0.4773927736293525,398
6,0,VI 45,399,5646,0.645,VI 95,136,709,1.05,0.4674339873165307,0.901094638627834,-0.21162958443467028,872
6,1,VI 45,380,5732,0.645,VI 95,150,734,1.05,0.4036923375611289,0.8926101218092364,-0.21162958443467028,907
6,2,VI 45,394,5772,0.645,VI 95,134,692,1.05,0.46839142346076645,0.9212202279646988,-0.21162958443467028,849
6,3,VI 45,379,5522,0.645,VI 95,160,791,1.05,0.37451922731214754,0.8439199188055678,-0.21162958443467028,992
6,4,VI 45,381,5533,0.645,VI 95,161,784,1.05,0.3740990996437696,0.848644607529714,-0.21162958443467028,933
6,5,VI 45,370,5383,0.645,VI 95,151,784,1.05,0.38922477677382555,0.8367083171312495,-0.21162958443467028,994
6,6,VI 45,385,5694,0.645,VI 95,148,704,1.05,0.41519901411354326,0.907844803668824,-0.21162958443467028,891
6,7,VI 45,399,5723,0.645,VI 95,161,772,1.05,0.3941470196548985,0.8700064455726528,-0.21162958443467028,956
6,8,VI 45,403,5690,0.645,VI 95,150,727,1.05,0.4292137870854282,0.8935778555360333,-0.21162958443467028,918
6,9,VI 45,421,6001,0.645,VI 95,140,735,1.05,0.4781540601574303,0.9119362876819015,-0.21162958443467028,968
7,0,VI 45,336,3685,0.8,VI 95,177,2086,0.8,0.27836601102803743,0.24712318810455822,0.0,1202
7,1,VI 45,395,4252,0.8,VI 95,167,1928,0.8,0.373880624478877,0.3434862262844472,0.0,1229
7,2,VI 45,375,3967,0.8,VI 95,167,1949,0.8,0.3513147965801356,0.30865036135652907,0.0,1109
7,3,VI 45,392,4197,0.8,VI 95,148,1770,0.8,0.42302435162549984,0.3749657028496834,0.0,1158
7,4,VI 45,337,3653,0.8,VI 95,164,1929,0.8,0.3127860528236407,0.27731744456803215,0.0,1178
7,5,VI 45,349,3868,0.8,VI 95,161,1902,0.8,0.3359995509273302,0.3082759528095689,0.0,1224
7,6,VI 45,384,4057,0.8,VI 95,167,1905,0.8,0.3616147532199475,0.3283100276926881,0.0,1188
7,7,VI 45,379,4062,0.8,VI 95,163,1953,0.8,0.3664516055641145,0.3180376757809335,0.0,1160
7,8,VI 45,377,4010,0.8,VI 95,156,1845,0.8,0.38321675185133125,0.33714800212510315,0.0,1141
7,9,VI 45,356,3854,0.8,VI 95,169,2027,0.8,0.32356329335920164,0.27905796162642543,0.0,1214
8,0,VI 45,303,1192,1.05,VI 95,191,3112,0.645,0.20040926125457745,-0.4167633329134337,0.2116295844346703,952
8,1,VI 45,296,1124,1.05,VI 95,202,3256,0.645,0.1659403416123148,-0.46191808498412135,0.2116295844346703,917
8,2,VI 45,287,1191,1.05,VI 95,176,3065,0.645,0.2123692289198425,-0.41051871737165635,0.2116295844346703,955
8,3,VI 45,300,1207,1.05,VI 95,195,3285,0.645,0.18708664335714445,-0.4348281037984504,0.2116295844346703,985
8,4,VI 45,299,1229,1.05,VI 95,180,3067,0.645,0.2203986832211236,-0.3971618930960314,0.2116295844346703,947
8,5,VI 45,321,1271,1.05,VI 95,168,2876,0.645,0.28119575067900926,-0.3546433311568368,0.2116295844346703,929
8,6,VI 45,319,1249,1.05,VI 95,211,3298,0.645,0.17950822775948844,-0.4216882129343645,0.2116295844346703,1004
8,7,VI 45,300,1221,1.05,VI 95,176,2951,0.645,0.23160858690551261,-0.38325354555507707,0.2116295844346703,892
8,8,VI 45,301,1255,1.05,VI 95,171,2920,0.645,0.24557038520168953,-0.36673912563136135,0.2116295844346703,956
8,9,VI 45,289,1177,1.05,VI 95,190,3050,0.645,0.1821442418037189,-0.41352337650335114,0.2116295844346703,866
9,0,VI 45,114,121,1.6,VI 95,144,2542,0.533,-0.10145764075877708,-1.3223901759015393,0.4773927736293525,227
9,1,VI 45,116,125,1.6,VI 95,151,2522,0.533,-0.11451895806625094,-1.3048350692290065,0.4773927736293525,237
9,2,VI 45,115,129,1.6,VI 95,167,2830,0.533,-0.1620186307939716,-1.3411967252250412,0.4773927736293525,248
9,3,VI 45,112,124,1.6,VI 95,163,2890,0.533,-0.16296958173377618,-1.3674761575943128,0.4773927736293525,238
9,4,VI 45,112,129,1.6,VI 95,151,2607,0.533,-0.12975892462298783,-1.3055513208690799,0.4773927736293525,248
9,5,VI 45,116,129,1.6,VI 95,162,2781,0.533,-0.1450570253157125,-1.3336112785649106,0.4773927736293525,253
9,6,VI 45,121,129,1.6,VI 95,161,2732,0.533,-0.12404050571539964,-1.325890984710246,0.4773927736293525,247
9,7,VI 45,115,120,1.6,VI 95,166,2921,0.533,-0.15941024768644343,-1.386350310925925,0.4773927736293525,229
9,8,VI 45,119,126,1.6,VI 95,159,2743,0.533,-0.12585016292792076,-1.3378552624869666,0.4773927736293525,245
9,9,VI 45,117,119,1.6,VI 95,140,2590,0.533,-0.07794217393207636,-1.337752802688721,0.4773927736293525,222
10,0,VI 70,253,5120,0.533,VI 70,123,176,1.6,0.31321540973642004,1.463757293161681,-0.4773927736293525,331
10,1,VI 70,251,5288,0.533,VI 70,119,168,1.6,0.3241267600885074,1.4979821647517209,-0.4773927736293525,322
10,2,VI 70,239,5038,0.533,VI 70,121,152,1.6,0.29561253063168763,1.5204145752173217,-0.4773927736293525,298
10,3,VI 70,267,5450,0.533,VI 70,124,176,1.6,0.33308957620234014,1.4908838344624926,-0.4773927736293525,344
10,4,VI 70,232,4945,0.533,VI 70,117,167,1.6,0.29730212314473803,1.471449824785615,-0.4773927736293525,305
10,5,VI 70,247,5266,0.533,VI 70,121,160,1.6,0.3099115829432157,1.5173608721141245,-0.4773927736293525,310
10,6,VI 70,227,5075,0.533,VI 70,111,161,1.6,0.31070287840646527,1.4986101705534007,-0.4773927736293525,308
10,7,VI 70,290,5895,0.533,VI 70,120,181,1.6,0.38321675185133125,1.5128052345619234,-0.4773927736293525,344
10,8,VI 70,240,5021,0.533,VI 70,124,155,1.6,0.28678955654937094,1.5104585232040555,-0.4773927736293525,300
10,9,VI 70,237,5064,0.533,VI 70,119,159,1.6,0.2992013846175731,1.5030965726888472,-0.4773927736293525,301
11,0,VI 70,249,4055,0.645,VI 70,186,819,1.05,0.12668640287782001,0.6947069567867564,-0.21162958443467028,939
11,1,VI 70,242,3839,0.645,VI 70,227,1017,1.05,0.027789508787308584,0.5768971591946603,-0.21162958443467028,978
11,2,VI 70,245,4040,0.645,VI 70,208,907,1.05,0.07110274940177093,0.6487740780505097,-0.21162958443467028,929
11,3,VI 70,267,4207,0.645,VI 70,203,933,1.05,0.11901522345136233,0.6540908682704965,-0.21162958443467028,963
11,4,VI 70,256,4235,0.645,VI 70,198,897,1.05,0.11157477505031849,0.6740609716226337,-0.21162958443467028,979
11,5,VI 70,262,4235,0.645,VI 70,197,946,1.05,0.12383506515815253,0.6509622782649329,-0.21162958443467028,940
11,6,VI 70,260,4246,0.645,VI 70,196,885,1.05,0.12271727661434188,0.6810367191321546,-0.21162958443467028,895
11,7,VI 70,231,3834,0.645,VI 70,189,922,1.05,0.0871501757189002,0.6189211874884144,-0.21162958443467028,911
11,8,VI 70,257,4058,0.645,VI 70,226,939,1.05,0.05582468418389366,0.6356464504312163,-0.21162958443467028,943
11,9,VI 70,277,4150,0.645,VI 70,209,963,1.05,0.12233348295339452,0.6344218095875581,-0.21162958443467028,1029
12,0,VI 70,237,2749,0.8,VI 70,257,2931,0.8,-0.035184777321190644,-0.02784107859496702,0.0,1185
12,1,VI 70,237,2716,0.8,VI 70,225,2699,0.8,0.02256582789874134,0.002726881051947411,0.0,1240
12,2,VI 70,206,2519,0.8,VI 70,242,2865,0.8,-0.06994814561127785,-0.05589645880529576,0.0,1144
12,3,VI 70,239,2760,0.8,VI 70,229,2672,0.8,0.018562418608249732,0.014072628261709685,0.0,1235
12,4,VI 70,231,2729,0.8,VI 70,225,2694,0.8,0.011429461780781804,0.005605944282929688,0.0,1189
12,5,VI 70,256,2923,0.8,VI 70,233,2632,0.8,0.04088404428583059,0.04554293041551856,0.0,1237
12,6,VI 70,270,3061,0.8,VI 70,229,2541,0.8,0.07152828181909934,0.08085866454696529,0.0,1244
12,7,VI 70,215,2610,0.8,VI 70,255,3042,0.8,-0.07410172051834985,-0.06651870237869861,0.0,1237
12,8,VI 70,228,2665,0.8,VI 70,232,2675,0.8,-0.007553137890445899,-0.0016265729946562015,0.0,1161
12,9,VI 70,249,2733,0.8,VI 70,235,2828,0.8,0.025131484824000107,-0.014839773432201095,0.0,1284
13,0,VI 70,188,916,1.05,VI 70,233,3926,0.645,-0.09319807176233913,-0.632054821596137,0.2116295844346703,899
13,1,VI 70,206,977,1.05,VI 70,262,4177,0.645,-0.10443407095059207,-0.6309699115463481,0.2116295844346703,1015
13,2,VI 70,186,951,1.05,VI 70,263,4295,0.645,-0.15044280427184153,-0.6547826512298471,0.2116295844346703,983
13,3,VI 70,200,986,1.05,VI 70,227,3745,0.645,-0.05499586152914154,-0.5795749070942741,0.2116295844346703,911
13,4,VI 70,202,944,1.05,VI 70,262,4161,0.645,-0.11294992187312171,-0.6442257214948783,0.2116295844346703,921
13,5,VI 70,219,987,1.05,VI 70,233,3752,0.645,-0.02691180618590063,-0.5799456770373901,0.2116295844346703,1003
13,6,VI 70,198,925,1.05,VI 70,259,4042,0.645,-0.1166345738197207,-0.6404545764402526,0.2116295844346703,978
13,7,VI 70,179,918,1.05,VI 70,241,3994,0.645,-0.1291640115949752,-0.6385653793334414,0.2116295844346703,980
13,8,VI 70,199,854,1.05,VI 70,251,4210,0.645,-0.10082064507133151,-0.6928242251466632,0.2116295844346703,824
13,9,VI 70,232,1003,1.05,VI 70,252,4087,0.645,-0.035912555890644446,-0.6101037046911754,0.2116295844346703,965
14,0,VI 70,111,148,1.6,VI 70,209,3355,0.533,-0.2748233073243966,-1.3554308091100535,0.4773927736293525,275
14,1,VI 70,112,139,1.6,VI 70,210,3374,0.533,-0.27300127206373764,-1.3851302779990113,0.4773927736293525,262
14,2,VI 70,117,138,1.6,VI 70,206,3293,0.533,-0.24568135862299179,-1.3777126443106713,0.4773927736293525,265
14,3,VI 70,115,141,1.6,VI 70,203,3372,0.533,-0.24679819755960125,-1.3786684532973248,0.4773927736293525,269
14,4,VI 70,114,134,1.6,VI 70,205,3318,0.533,-0.25484900971928165,-1.3937715833235342,0.4773927736293525,253
14,5,VI 70,106,158,1.6,VI 70,196,3256,0.533,-0.2669502060917058,-1.314027309262741,0.4773927736293525,289
14,6,VI 70,112,135,1.6,VI 70,205,3383,0.533,-0.26253583838557265,-1.3989682292929744,0.4773927736293525,258
14,7,VI 70,114,138,1.6,VI 70,236,3674,0.533,-0.316007151633634,-1.425260065568553,0.4773927736293525,253
14,8,VI 70,105,145,1.6,VI 70,183,3174,0.533,-0.24126179066049142,-1.3402389201838545,0.4773927736293525,267
14,9,VI 70,114,169,1.6,VI 70,213,3363,0.533,-0.2714747521022652,-1.298840162700962,0.4773927736293525,311
15,0,VI 95,207,4467,0.533,VI 45,131,152,1.6,0.19869904980115352,1.4681723645270661,-0.4773927736293525,294
15,1,VI 95,209,4548,0.533,VI 45,129,155,1.6,0.20955657581180503,1.4674887578454057,-0.4773927736293525,290
15,2,VI 95,197,4333,0.533,VI 45,123,133,1.6,0.204561114722195,1.512937048067289,-0.4773927736293525,259
15,3,VI 95,233,4925,0.533,VI 45,128,144,1.6,0.2601459513781506,1.5340437427383808,-0.4773927736293525,282
15,4,VI 95,181,4240,0.533,VI 45,127,145,1.6,0.1538748539132276,1.4659978543577579,-0.4773927736293525,290
15,5,VI 95,211,4655,0.533,VI 45,122,140,1.6,0.23792262462294445,1.5217916496391235,-0.4773927736293525,274
15,6,VI 95,192,4296,0.533,VI 45,130,149,1.6,0.16935787639671288,1.4598780042792252,-0.4773927736293525,290
15,7,VI 95,186,4221,0.533,VI 45,129,145,1.6,0.1589232339186673,1.4640473499194333,-0.4773927736293525,288
15,8,VI 95,203,4422,0.533,VI 45,130,138,1.6,0.19355268560637615,1.5057396518414585,-0.4773927736293525,276
15,9,VI 95,199,4555,0.533,VI 45,125,137,1.6,0.20194306340165025,1.5217678141526103,-0.4773927736293525,270
16,0,VI 95,160,2713,0.645,VI 45,331,1365,1.05,-0.3157080111197939,0.29831714238482127,-0.21162958443467028,1007
