net_type,run_index,repetition_index,mutation_rate,Sch 1,R1,M1,B1,Sch 2,R2,M2,B2,log(R1/R2),log(M1/M2),log(B1/B2),Changeovers,am,ar,log(b)
-1,4,6,0.1,VI 20,3248,1.6,8938,VI 120,712,0.533333333,4004,0.659136027,0.477121255,0.348746282,5579,,,
-1,2,6,0.1,VI 20,3229,0.8,8679,VI 120,670,0.8,4109,0.682993242,0,0.324733547,5529,,,
-1,5,8,0.1,VI 45,1518,0.533333333,5404,VI 95,916,1.6,7339,0.219376298,-0.477121255,-0.132921547,5744,,,
-1,4,2,0.1,VI 20,3257,1.6,8794,VI 120,703,0.533333333,3963,0.665862434,0.477121255,0.346162389,5472,,,
-1,3,4,0.1,VI 20,3213,1.052631579,8706,VI 120,659,0.64516129,4101,0.688025311,0.212608093,0.326928894,5515,,,
-1,0,6,0.1,VI 20,2974,0.533333333,7221,VI 120,721,1.6,5592,0.615405699,-0.477121255,0.111030182,5658,,,
-1,1,0,0.1,VI 20,3196,0.64516129,8377,VI 120,680,1.052631579,4542,0.672097858,-0.212608093,0.265841386,5607,,,
-1,1,4,0.1,VI 20,3161,0.64516129,8258,VI 120,706,1.052631579,4591,0.651019795,-0.212608093,0.254967586,5616,,,
-1,0,2,0.1,VI 20,2942,0.533333333,7153,VI 120,739,1.6,5815,0.59999823,-0.477121255,0.089938506,5720,,,
-1,5,5,0.1,VI 45,1537,0.533333333,5451,VI 95,965,1.6,7487,0.202146554,-0.477121255,-0.137831651,5849,,,
-1,3,1,0.1,VI 20,3228,1.052631579,8817,VI 120,661,0.64516129,3990,0.688732067,0.212608093,0.344347945,5446,,,
-1,6,3,0.1,VI 45,1617,0.64516129,6583,VI 95,928,1.052631579,6164,0.241162044,-0.212608093,0.028561225,5684,,,
-1,3,9,0.1,VI 20,3211,1.052631579,8927,VI 120,734,0.64516129,4118,0.640944246,0.212608093,0.336019192,5685,,,
-1,4,7,0.1,VI 20,3250,1.6,8920,VI 120,693,0.533333333,3952,0.671150126,0.477121255,0.353547918,5590,,,
-1,1,9,0.1,VI 20,3137,0.64516129,8305,VI 120,715,1.052631579,4535,0.642208477,-0.212608093,0.262762345,5621,,,
-1,2,7,0.1,VI 20,3191,0.8,8738,VI 120,703,0.8,4144,0.656971479,0,0.323992294,5550,,,
-1,5,1,0.1,VI 45,1582,0.533333333,5432,VI 95,951,1.6,7444,0.221025962,-0.477121255,-0.136846603,5796,,,
-1,5,9,0.1,VI 45,1574,0.533333333,5342,VI 95,956,1.6,7318,0.216546836,-0.477121255,-0.136688521,5733,,,
-1,2,3,0.1,VI 20,3212,0.8,8786,VI 120,743,0.8,4103,0.635786723,0,0.330689682,5433,,,
-1,3,5,0.1,VI 20,3194,1.052631579,8760,VI 120,689,0.64516129,4062,0.66611569,0.212608093,0.333764187,5551,,,
-1,4,3,0.1,VI 20,3223,1.6,8946,VI 120,713,0.533333333,4030,0.655170776,0.477121255,0.346323848,5568,,,
-1,0,7,0.1,VI 20,2948,0.533333333,7420,VI 120,689,1.6,5684,0.631308257,-0.477121255,0.115749836,5739,,,
-1,1,1,0.1,VI 20,3090,0.64516129,8222,VI 120,728,1.052631579,4608,0.6278271,-0.212608093,0.251465002,5563,,,
-1,0,3,0.1,VI 20,3025,0.533333333,7271,VI 120,703,1.6,5603,0.633770054,-0.477121255,0.113173522,5781,,,
-1,1,5,0.1,VI 20,3189,0.64516129,8362,VI 120,692,1.052631579,4548,0.663548425,-0.212608093,0.264489707,5648,,,
-1,6,4,0.1,VI 45,1642,0.64516129,6704,VI 95,902,1.052631579,6171,0.260166615,-0.212608093,0.035978459,5774,,,
-1,8,0,0.1,VI 45,1768,1.052631579,8297,VI 95,898,0.64516129,4622,0.294205924,0.212608093,0.254091149,5765,,,
-1,7,6,0.1,VI 45,1705,0.8,7653,VI 95,846,0.8,5087,0.30435402,0,0.177369976,5761,,,
-1,7,2,0.1,VI 45,1728,0.8,7780,VI 95,883,0.8,5070,0.291583035,0,0.185971638,5715,,,
