net_type,run_index,repetition_index,mutation_rate,Sch 1,R1,B1,M1,Sch 2,R2,B2,M2,log(R1/R2),log(M1/M2),log(B1/B2),Changeovers,,,,
0,1,5,0.1,VI 20,733,4156,0.64516129,VI 120,129,1266,1.052631579,0.754514264,-0.212608093,0.516241833,1097,,,,
0,1,6,0.1,VI 20,778,4436,0.64516129,VI 120,125,1181,1.052631579,0.794069584,-0.212608093,0.57474164,1179,,,,
0,1,7,0.1,VI 20,824,4513,0.64516129,VI 120,123,1176,1.052631579,0.8260221,-0.212608093,0.584058012,1065,,,,
0,1,8,0.1,VI 20,803,4405,0.64516129,VI 120,149,1344,1.052631579,0.731529277,-0.212608093,0.515546644,1198,,,,
0,1,9,0.1,VI 20,824,4506,0.64516129,VI 120,124,1130,1.052631579,0.822505527,-0.212608093,0.600712744,1117,,,,
0,2,0,0.1,VI 20,865,5381,0.8,VI 120,109,861,0.8,0.89958961,0,0.795859841,970,,,,
0,2,1,0.1,VI 20,817,5033,0.8,VI 120,135,1010,0.8,0.781888288,0,0.697505557,1127,,,,
0,2,2,0.1,VI 20,772,4903,0.8,VI 120,137,1037,0.8,0.750896733,0,0.674683137,1134,,,,
0,2,3,0.1,VI 20,812,5031,0.8,VI 120,129,988,0.8,0.798966319,0,0.706897373,1050,,,,
0,2,4,0.1,VI 20,765,4768,0.8,VI 120,128,988,0.8,0.776451466,0,0.683579302,1100,,,,
0,2,5,0.1,VI 20,776,5014,0.8,VI 120,121,929,0.8,0.807076351,0,0.732168616,1018,,,,
0,2,6,0.1,VI 20,775,4807,0.8,VI 120,132,1012,0.8,0.768727771,0,0.67669361,1024,,,,
0,2,7,0.1,VI 20,885,5480,0.8,VI 120,110,849,0.8,0.905550586,0,0.809872868,976,,,,
0,2,8,0.1,VI 20,799,5017,0.8,VI 120,118,916,0.8,0.830664772,0,0.738548627,1043,,,,
0,2,9,0.1,VI 20,820,5040,0.8,VI 120,133,964,0.8,0.789962211,0,0.718353503,1062,,,,
0,3,0,0.1,VI 20,839,5948,1.052631579,VI 120,125,892,0.64516129,0.826851948,0.212608093,0.824006105,1044,,,,
0,3,1,0.1,VI 20,855,6228,1.052631579,VI 120,113,740,0.64516129,0.878887671,0.212608093,0.925116884,982,,,,
0,3,2,0.1,VI 20,854,6243,1.052631579,VI 120,108,726,0.64516129,0.898034115,0.212608093,0.934456714,967,,,,
0,3,3,0.1,VI 20,838,6157,1.052631579,VI 120,110,753,0.64516129,0.881851333,0.212608093,0.912574177,990,,,,
0,3,4,0.1,VI 20,916,6520,1.052631579,VI 120,114,781,0.64516129,0.904990622,0.212608093,0.921596562,992,,,,
0,3,5,0.1,VI 20,854,6216,1.052631579,VI 120,112,744,0.64516129,0.882239848,0.212608093,0.92193807,982,,,,
0,3,6,0.1,VI 20,817,5963,1.052631579,VI 120,122,813,0.64516129,0.825862226,0.212608093,0.865374264,1039,,,,
0,3,7,0.1,VI 20,773,5678,1.052631579,VI 120,124,831,0.64516129,0.794757809,0.212608093,0.834594364,1010,,,,
0,3,8,0.1,VI 20,809,5900,1.052631579,VI 120,120,813,0.64516129,0.828767276,0.212608093,0.860761466,1001,,,,
0,4,1,0.1,VI 20,847,7362,1.6,VI 120,126,714,0.533333333,0.827512865,0.477121255,1.013297601,973,,,,
0,4,0,0.1,VI 20,832,7501,1.6,VI 120,109,648,0.533333333,0.882696828,0.477121255,1.06354416,914,,,,
0,3,9,0.1,VI 20,849,5944,1.052631579,VI 120,136,862,0.64516129,0.795368782,0.212608093,0.838571535,987,,,,
0,4,2,0.1,VI 20,870,7629,1.6,VI 120,123,655,0.533333333,0.849614141,0.477121255,1.066226315,928,,,,
0,4,3,0.1,VI 20,912,7802,1.6,VI 120,124,674,0.533333333,0.866573153,0.477121255,1.063546049,908,,,,
0,4,4,0.1,VI 20,867,7529,1.6,VI 120,113,663,0.533333333,0.884940654,0.477121255,1.055223769,895,,,,
0,4,5,0.1,VI 20,854,7678,1.6,VI 120,102,598,0.533333333,0.922857699,0.477121255,1.108546924,862,,,,
0,4,7,0.1,VI 20,898,7860,1.6,VI 120,112,657,0.533333333,0.904058314,0.477121255,1.077857176,914,,,,
0,4,6,0.1,VI 20,875,7688,1.6,VI 120,119,714,0.533333333,0.866461092,0.477121255,1.032115163,933,,,,
0,4,8,0.1,VI 20,886,7820,1.6,VI 120,125,632,0.533333333,0.850523709,0.477121255,1.092489675,874,,,,
0,4,9,0.1,VI 20,891,7836,1.6,VI 120,97,577,0.533333333,0.96310597,0.477121255,1.132918614,838,,,,
0,5,1,0.1,VI 45,339,2085,0.533333333,VI 95,168,2247,1.6,0.304890416,-0.477121255,-0.032497013,1217,,,,
0,5,0,0.1,VI 45,348,2052,0.533333333,VI 95,172,2431,1.6,0.306050797,-0.477121255,-0.073607602,1211,,,,
0,5,2,0.1,VI 45,309,1954,0.533333333,VI 95,180,2463,1.6,0.234685974,-0.477121255,-0.100539852,1187,,,,
0,5,3,0.1,VI 45,312,1904,0.533333333,VI 95,176,2414,1.6,0.248641926,-0.477121255,-0.103070322,1202,,,,
0,5,4,0.1,VI 45,345,2037,0.533333333,VI 95,191,2584,1.6,0.256785728,-0.477121255,-0.10330148,1167,,,,
0,5,5,0.1,VI 45,376,2169,0.533333333,VI 95,187,2387,1.6,0.303346238,-0.477121255,-0.041592867,1233,,,,
0,5,7,0.1,VI 45,341,2129,0.533333333,VI 95,162,2319,1.6,0.323239364,-0.477121255,-0.037125087,1161,,,,
0,5,6,0.1,VI 45,336,1944,0.533333333,VI 95,201,2647,1.6,0.22314322,-0.477121255,-0.134057681,1191,,,,
0,5,8,0.1,VI 45,346,2145,0.533333333,VI 95,156,2177,1.6,0.3459515,-0.477121255,-0.006431133,1241,,,,
0,5,9,0.1,VI 45,336,2063,0.533333333,VI 95,191,2497,1.6,0.24530591,-0.477121255,-0.082919314,1226,,,,
0,6,0,0.1,VI 45,349,2460,0.64516129,VI 95,160,1738,1.052631579,0.338705444,-0.212608093,0.150885335,1190,,,,
0,6,1,0.1,VI 45,324,2232,0.64516129,VI 95,185,1965,1.052631579,0.243373282,-0.212608093,0.055331636,1277,,,,
0,6,2,0.1,VI 45,349,2369,0.64516129,VI 95,166,1816,1.052631579,0.322717339,-0.212608093,0.115449217,1249,,,,
0,6,3,0.1,VI 45,344,2340,0.64516129,VI 95,169,1885,1.052631579,0.308671738,-0.212608093,0.093904503,1169,,,,
0,6,4,0.1,VI 45,333,2269,0.64516129,VI 95,194,1996,1.052631579,0.234642504,-0.212608093,0.055673959,1198,,,,
0,6,5,0.1,VI 45,349,2380,0.64516129,VI 95,167,1847,1.052631579,0.320108956,-0.212608093,0.110110062,1312,,,,
0,6,6,0.1,VI 45,381,2528,0.64516129,VI 95,174,1831,1.052631579,0.340375727,-0.212608093,0.140088725,1280,,,,
0,6,7,0.1,VI 45,350,2372,0.64516129,VI 95,172,1820,1.052631579,0.308539597,-0.212608093,0.115043297,1234,,,,
0,6,8,0.1,VI 45,339,2323,0.64516129,VI 95,189,1968,1.052631579,0.253737894,-0.212608093,0.072024116,1226,,,,
0,6,9,0.1,VI 45,333,2431,0.64516129,VI 95,163,1799,1.052631579,0.310256629,-0.212608093,0.130753795,1127,,,,
0,7,0,0.1,VI 45,367,2837,0.8,VI 95,189,1591,0.8,0.28820426,0,0.251189156,1229,,,,
0,7,1,0.1,VI 45,356,2777,0.8,VI 95,170,1531,0.8,0.321001077,0,0.258600689,1192,,,,
0,7,2,0.1,VI 45,367,2915,0.8,VI 95,168,1460,0.8,0.339356783,0,0.300285703,1151,,,,
0,7,3,0.1,VI 45,339,2647,0.8,VI 95,180,1685,0.8,0.274927193,0,0.196154036,1214,,,,
0,7,4,0.1,VI 45,358,2831,0.8,VI 95,172,1547,0.8,0.31835458,0,0.262449556,1180,,,,
0,7,5,0.1,VI 45,379,3018,0.8,VI 95,162,1431,0.8,0.369124195,0,0.324079602,1173,,,,
0,7,7,0.1,VI 45,333,2616,0.8,VI 95,167,1531,0.8,0.299727762,0,0.232662549,1192,,,,
0,7,6,0.1,VI 45,355,2856,0.8,VI 95,184,1563,0.8,0.28541053,0,0.261799225,1232,,,,
0,7,8,0.1,VI 45,407,3088,0.8,VI 95,163,1424,0.8,0.397406805,0,0.336167302,1183,,,,
0,7,9,0.1,VI 45,353,2816,0.8,VI 95,171,1527,0.8,0.314778595,0,0.265793613,1150,,,,
0,8,0,0.1,VI 45,363,3369,1.052631579,VI 95,147,1255,0.64516129,0.39258929,0.212608093,0.428857285,1141,,,,
0,8,1,0.1,VI 45,334,3166,1.052631579,VI 95,155,1248,0.64516129,0.333414769,0.212608093,0.404296325,1082,,,,
0,8,2,0.1,VI 45,353,3349,1.052631579,VI 95,150,1232,0.64516129,0.371683446,0.212608093,0.43430444,1151,,,,
0,8,3,0.1,VI 45,353,3351,1.052631579,VI 95,182,1376,0.64516129,0.287703317,0.212608093,0.386555994,1175,,,,
0,8,4,0.1,VI 45,387,3577,1.052631579,VI 95,160,1222,0.64516129,0.383590982,0.212608093,0.466447734,1146,,,,
0,8,5,0.1,VI 45,371,3435,1.052631579,VI 95,153,1221,0.64516129,0.384682479,0.212608093,0.449211077,1164,,,,
0,8,6,0.1,VI 45,400,3654,1.052631579,VI 95,149,1232,0.64516129,0.428873723,0.212608093,0.472157835,1168,,,,
0,8,8,0.1,VI 45,389,3622,1.052631579,VI 95,170,1264,0.64516129,0.35950068,0.212608093,0.457201372,1211,,,,
0,8,7,0.1,VI 45,362,3220,1.052631579,VI 95,176,1362,0.64516129,0.313195903,0.212608093,0.373678764,1253,,,,
0,8,9,0.1,VI 45,382,3411,1.052631579,VI 95,177,1394,0.64516129,0.334090097,0.212608093,0.388618946,1225,,,,
0,9,0,0.1,VI 45,395,4614,1.6,VI 95,155,943,0.533333333,0.406265397,0.477121255,0.689565897,1014,,,,
0,9,1,0.1,VI 45,396,4579,1.6,VI 95,153,1034,0.533333333,0.413003755,0.477121255,0.646250105,1098,,,,
0,9,2,0.1,VI 45,358,4259,1.6,VI 95,153,1091,0.533333333,0.369191596,0.477121255,0.591482889,1123,,,,
0,9,3,0.1,VI 45,334,4161,1.6,VI 95,158,1100,0.533333333,0.32508938,0.477121255,0.577805031,1170,,,,
0,9,4,0.1,VI 45,413,4656,1.6,VI 95,155,1003,0.533333333,0.425618353,0.477121255,0.666712039,1070,,,,
0,9,5,0.1,VI 45,386,4484,1.6,VI 95,170,1105,0.533333333,0.356138383,0.477121255,0.608303326,1136,,,,
0,9,6,0.1,VI 45,401,4522,1.6,VI 95,160,1080,0.533333333,0.39902439,0.477121255,0.621906803,1066,,,,
0,9,7,0.1,VI 45,384,4558,1.6,VI 95,148,1041,0.533333333,0.414069509,0.477121255,0.641323591,1133,,,,
0,9,9,0.1,VI 45,436,4895,1.6,VI 95,176,1106,0.533333333,0.393973821,0.477121255,0.645997569,1153,,,,
0,10,0,0.1,VI 70,212,1386,0.533333333,VI 70,234,3012,1.6,-0.042879996,-0.477121255,-0.337091737,1131,,,,
0,9,8,0.1,VI 45,398,4603,1.6,VI 95,157,1054,0.533333333,0.40398342,0.477121255,0.640200364,1108,,,,
0,10,1,0.1,VI 70,212,1435,0.533333333,VI 70,241,3085,1.6,-0.055681182,-0.477121255,-0.332403267,1182,,,,
0,10,2,0.1,VI 70,225,1484,0.533333333,VI 70,279,3397,1.6,-0.093421685,-0.477121255,-0.359661646,1239,,,,
0,10,3,0.1,VI 70,231,1455,0.533333333,VI 70,267,3367,1.6,-0.062899281,-0.477121255,-0.364380123,1136,,,,
0,10,4,0.1,VI 70,218,1416,0.533333333,VI 70,205,2828,1.6,0.026702633,-0.477121255,-0.300416152,1072,,,,
0,10,5,0.1,VI 70,217,1417,0.533333333,VI 70,246,3184,1.6,-0.054475373,-0.477121255,-0.351603209,1173,,,,
0,10,6,0.1,VI 70,200,1375,0.533333333,VI 70,244,3102,1.6,-0.086359831,-0.477121255,-0.353339095,1194,,,,
0,10,7,0.1,VI 70,215,1390,0.533333333,VI 70,237,3140,1.6,-0.042309886,-0.477121255,-0.353914848,1118,,,,
0,10,8,0.1,VI 70,189,1376,0.533333333,VI 70,257,3269,1.6,-0.133471319,-0.477121255,-0.375796487,1134,,,,
0,10,9,0.1,VI 70,226,1436,0.533333333,VI 70,240,3085,1.6,-0.026102803,-0.477121255,-0.332100728,1161,,,,
0,11,0,0.1,VI 70,221,1694,0.64516129,VI 70,251,2554,1.052631579,-0.055281448,-0.212608093,-0.178307487,1151,,,,
0,11,1,0.1,VI 70,218,1654,0.64516129,VI 70,257,2674,1.052631579,-0.07147663,-0.212608093,-0.208625898,1274,,,,
0,11,2,0.1,VI 70,220,1738,0.64516129,VI 70,232,2417,1.052631579,-0.023065304,-0.212608093,-0.143226878,1192,,,,
0,11,4,0.1,VI 70,236,1866,0.64516129,VI 70,197,2159,1.052631579,0.078445777,-0.212608093,-0.063341003,1143,,,,
0,11,5,0.1,VI 70,228,1694,0.64516129,VI 70,235,2432,1.052631579,-0.013133015,-0.212608093,-0.157050165,1143,,,,
0,11,3,0.1,VI 70,243,1893,0.64516129,VI 70,237,2381,1.052631579,0.010857928,-0.212608093,-0.099608781,1211,,,,
0,11,6,0.1,VI 70,236,1765,0.64516129,VI 70,246,2483,1.052631579,-0.018023104,-0.212608093,-0.14823201,1266,,,,
0,11,7,0.1,VI 70,213,1656,0.64516129,VI 70,253,2532,1.052631579,-0.074740918,-0.212608093,-0.184403369,1156,,,,
0,11,8,0.1,VI 70,241,1766,0.64516129,VI 70,235,2388,1.052631579,0.01094918,-0.212608093,-0.131043623,1256,,,,
0,11,9,0.1,VI 70,212,1712,0.64516129,VI 70,231,2456,1.052631579,-0.037276119,-0.212608093,-0.156724602,1193,,,,
0,12,0,0.1,VI 70,242,2166,0.8,VI 70,230,2058,0.8,0.02208753,0,0.022213082,1267,,,,
0,12,1,0.1,VI 70,228,1955,0.8,VI 70,255,2115,0.8,-0.048605333,0,-0.03416361,1189,,,,
0,12,2,0.1,VI 70,235,2028,0.8,VI 70,244,2135,0.8,-0.016321964,0,-0.022329929,1211,,,,
0,12,3,0.1,VI 70,217,1906,0.8,VI 70,234,2001,0.8,-0.032756124,0,-0.021124192,1198,,,,
0,12,4,0.1,VI 70,202,1800,0.8,VI 70,230,2029,0.8,-0.056376467,0,-0.052009542,1177,,,,
0,12,5,0.1,VI 70,218,1967,0.8,VI 70,229,2046,0.8,-0.021378989,0,-0.017101269,1246,,,,
0,12,6,0.1,VI 70,210,1824,0.8,VI 70,241,2183,0.8,-0.059797748,0,-0.078028902,1198,,,,
0,12,7,0.1,VI 70,243,2131,0.8,VI 70,239,2106,0.8,0.007208373,0,0.005125083,1231,,,,
0,12,8,0.1,VI 70,254,2146,0.8,VI 70,233,1947,0.8,0.037477796,0,0.042263766,1226,,,,
0,12,9,0.1,VI 70,232,2016,0.8,VI 70,200,1736,0.8,0.064457989,0,0.064940807,1149,,,,
0,13,0,0.1,VI 70,258,2568,1.052631579,VI 70,241,1729,0.64516129,0.029602663,0.212608093,0.171800026,1268,,,,
0,13,1,0.1,VI 70,262,2642,1.052631579,VI 70,237,1729,0.64516129,0.043552945,0.212608093,0.18413782,1132,,,,
0,13,2,0.1,VI 70,239,2491,1.052631579,VI 70,210,1606,0.64516129,0.056178606,0.212608093,0.190628187,1139,,,,
0,13,3,0.1,VI 70,245,2463,1.052631579,VI 70,219,1701,0.64516129,0.04872197,0.212608093,0.160760098,1229,,,,
0,13,4,0.1,VI 70,256,2498,1.052631579,VI 70,240,1765,0.64516129,0.028028724,0.212608093,0.150847724,1248,,,,
0,13,6,0.1,VI 70,214,2152,1.052631579,VI 70,236,1854,0.64516129,-0.04249823,0.212608093,0.064732537,1252,,,,
0,13,5,0.1,VI 70,233,2418,1.052631579,VI 70,251,1852,0.64516129,-0.0323178,0.212608093,0.115815314,1240,,,,
0,13,7,0.1,VI 70,253,2465,1.052631579,VI 70,245,1764,0.64516129,0.013954437,0.212608093,0.145318343,1274,,,,
0,13,8,0.1,VI 70,224,2385,1.052631579,VI 70,244,1889,0.64516129,-0.037141808,0.212608093,0.101256425,1149,,,,
0,13,9,0.1,VI 70,238,2497,1.052631579,VI 70,225,1666,0.64516129,0.024394439,0.212608093,0.175743545,1220,,,,
0,14,0,0.1,VI 70,256,3317,1.6,VI 70,217,1455,0.533333333,0.071780231,0.477121255,0.357882478,1210,,,,
0,14,1,0.1,VI 70,256,3308,1.6,VI 70,217,1459,0.533333333,0.071780231,0.477121255,0.355510209,1194,,,,
0,14,2,0.1,VI 70,232,3058,1.6,VI 70,228,1533,0.533333333,0.007553138,0.477121255,0.299895326,1227,,,,
0,14,4,0.1,VI 70,265,3287,1.6,VI 70,216,1385,0.533333333,0.088792123,0.477121255,0.375349931,1114,,,,
0,14,3,0.1,VI 70,284,3507,1.6,VI 70,216,1343,0.533333333,0.118864589,0.477121255,0.416859753,1110,,,,
0,14,6,0.1,VI 70,220,3120,1.6,VI 70,218,1519,0.533333333,0.003966187,0.477121255,0.31259682,1204,,,,
0,14,5,0.1,VI 70,250,3194,1.6,VI 70,209,1394,0.533333333,0.077793723,0.477121255,0.360072138,1162,,,,
0,14,7,0.1,VI 70,241,3145,1.6,VI 70,216,1456,0.533333333,0.047563291,0.477121255,0.334459275,1176,,,,
0,14,8,0.1,VI 70,274,3380,1.6,VI 70,222,1438,0.533333333,0.091397588,0.477121255,0.371157814,1155,,,,
0,14,9,0.1,VI 70,263,3390,1.6,VI 70,213,1419,0.533333333,0.091576145,0.477121255,0.378217303,1100,,,,
0,15,0,0.1,VI 95,166,1129,0.533333333,VI 45,403,4622,1.6,-0.385196958,-0.477121255,-0.612135999,1178,,,,
0,15,1,0.1,VI 95,169,1079,0.533333333,VI 45,390,4447,1.6,-0.363177902,-0.477121255,-0.615045685,1172,,,,
0,15,2,0.1,VI 95,159,1020,0.533333333,VI 45,390,4576,1.6,-0.389667483,-0.477121255,-0.651885844,1086,,,,
0,15,3,0.1,VI 95,152,1061,0.533333333,VI 45,375,4312,1.6,-0.39218768,-0.477121255,-0.608963368,1138,,,,
0,15,4,0.1,VI 95,139,964,0.533333333,VI 45,394,4499,1.6,-0.452481422,-0.477121255,-0.669038959,1021,,,,
0,15,5,0.1,VI 95,154,1068,0.533333333,VI 45,375,4449,1.6,-0.386510547,-0.477121255,-0.619691153,1055,,,,
0,15,6,0.1,VI 95,144,976,0.533333333,VI 45,371,4393,1.6,-0.411011418,-0.477121255,-0.653311386,1060,,,,
0,15,7,0.1,VI 95,167,1116,0.533333333,VI 45,392,4447,1.6,-0.370569596,-0.477121255,-0.600402935,1179,,,,
0,15,8,0.1,VI 95,175,1111,0.533333333,VI 45,407,4473,1.6,-0.366556361,-0.477121255,-0.604884839,1212,,,,
0,15,9,0.1,VI 95,174,1180,0.533333333,VI 45,374,4176,1.6,-0.332322354,-0.477121255,-0.548878483,1135,,,,
0,16,0,0.1,VI 95,167,1336,0.64516129,VI 45,353,3344,1.052631579,-0.325058234,-0.212608093,-0.398459811,1181,,,,
0,16,1,0.1,VI 95,174,1318,0.64516129,VI 45,372,3367,1.052631579,-0.329993692,-0.212608093,-0.407327706,1218,,,,
0,16,2,0.1,VI 95,181,1443,0.64516129,VI 45,346,3263,1.052631579,-0.281397524,-0.212608093,-0.354350743,1213,,,,
0,16,3,0.1,VI 95,164,1235,0.64516129,VI 45,368,3418,1.052631579,-0.351003971,-0.212608093,-0.442105101,1160,,,,
0,16,4,0.1,VI 95,146,1191,0.64516129,VI 45,394,3591,1.052631579,-0.431143366,-0.212608093,-0.479303644,1141,,,,
0,16,5,0.1,VI 95,165,1300,0.64516129,VI 45,362,3394,1.052631579,-0.341224626,-0.212608093,-0.416768486,1114,,,,
0,16,6,0.1,VI 95,158,1222,0.64516129,VI 45,358,3380,1.052631579,-0.35522594,-0.212608093,-0.441845494,1146,,,,
0,16,8,0.1,VI 95,150,1217,0.64516129,VI 45,366,3385,1.052631579,-0.387389826,-0.212608093,-0.444268095,1106,,,,
0,16,7,0.1,VI 95,145,1208,0.64516129,VI 45,394,3494,1.052631579,-0.43412822,-0.212608093,-0.461255966,1150,,,,
0,16,9,0.1,VI 95,157,1226,0.64516129,VI 45,385,3578,1.052631579,-0.389561077,-0.212608093,-0.465149866,1141,,,,
0,17,0,0.1,VI 95,184,1595,0.8,VI 45,377,2935,0.8,-0.311523527,0,-0.264847418,1289,,,,
0,17,1,0.1,VI 95,200,1713,0.8,VI 45,358,2748,0.8,-0.252853031,0,-0.205259365,1268,,,,
0,17,3,0.1,VI 95,167,1496,0.8,VI 45,360,2858,0.8,-0.33358603,0,-0.281130631,1204,,,,
0,17,2,0.1,VI 95,147,1326,0.8,VI 45,363,2835,0.8,-0.39258929,0,-0.330009539,1115,,,,
0,17,4,0.1,VI 95,195,1719,0.8,VI 45,339,2693,0.8,-0.240165087,0,-0.194960477,1210,,,,
0,17,6,0.1,VI 95,167,1431,0.8,VI 45,410,3143,0.8,-0.390067386,0,-0.341704747,1208,,,,
0,17,7,0.1,VI 95,180,1573,0.8,VI 45,334,2672,0.8,-0.268473962,0,-0.230107731,1247,,,,
0,17,5,0.1,VI 95,180,1543,0.8,VI 45,374,2939,0.8,-0.317599097,0,-0.27983366,1214,,,,
0,17,8,0.1,VI 95,186,1620,0.8,VI 45,337,2618,0.8,-0.258116957,0,-0.208454628,1190,,,,
0,17,9,0.1,VI 95,169,1535,0.8,VI 45,352,2816,0.8,-0.318655959,0,-0.263524271,1187,,,,
0,18,0,0.1,VI 95,179,1907,1.052631579,VI 45,325,2243,0.64516129,-0.25903033,0.212608093,-0.070478581,1223,,,,
0,18,1,0.1,VI 95,161,1756,1.052631579,VI 45,324,2320,0.64516129,-0.303719134,0.212608093,-0.120963473,1232,,,,
0,18,2,0.1,VI 95,190,1978,1.052631579,VI 45,348,2328,0.64516129,-0.262825643,0.212608093,-0.070756689,1230,,,,
0,18,3,0.1,VI 95,181,1899,1.052631579,VI 45,348,2387,0.64516129,-0.283900669,0.212608093,-0.099327454,1263,,,,
0,18,4,0.1,VI 95,147,1697,1.052631579,VI 45,343,2409,0.64516129,-0.367976785,0.212608093,-0.152154958,1268,,,,
0,18,5,0.1,VI 95,157,1762,1.052631579,VI 45,365,2505,0.64516129,-0.366393212,0.212608093,-0.152801826,1264,,,,
0,18,6,0.1,VI 95,189,1913,1.052631579,VI 45,352,2414,0.64516129,-0.270080859,0.212608093,-0.101022296,1182,,,,
0,18,7,0.1,VI 95,167,1810,1.052631579,VI 45,378,2590,0.64516129,-0.354775329,0.212608093,-0.155621189,1181,,,,
0,18,9,0.1,VI 95,191,2006,1.052631579,VI 45,365,2424,0.64516129,-0.281259497,0.212608093,-0.082201687,1168,,,,
0,18,8,0.1,VI 95,157,1827,1.052631579,VI 45,350,2432,0.64516129,-0.348168392,0.212608093,-0.124225023,1130,,,,
0,19,0,0.1,VI 95,166,2229,1.6,VI 45,361,2166,0.533333333,-0.337399114,0.477121255,0.012451616,1252,,,,
0,19,2,0.1,VI 95,168,2311,1.6,VI 45,330,1998,0.533333333,-0.293204658,0.477121255,0.063204462,1171,,,,
0,19,1,0.1,VI 95,175,2384,1.6,VI 45,314,1896,0.533333333,-0.253891599,0.477121255,0.099467918,1141,,,,
0,19,3,0.1,VI 95,182,2435,1.6,VI 45,309,1878,0.533333333,-0.229887091,0.477121255,0.112803378,1195,,,,
0,19,4,0.1,VI 95,186,2417,1.6,VI 45,313,1953,0.533333333,-0.226031393,0.477121255,0.092574407,1219,,,,
0,19,5,0.1,VI 95,198,2550,1.6,VI 45,335,1934,0.533333333,-0.228379617,0.477121255,0.120083711,1255,,,,
0,19,6,0.1,VI 95,198,2617,1.6,VI 45,322,1948,0.533333333,-0.211190681,0.477121255,0.12821477,1237,,,,
0,19,7,0.1,VI 95,180,2447,1.6,VI 45,313,1892,0.533333333,-0.240271832,0.477121255,0.111712837,1196,,,,
0,19,8,0.1,VI 95,169,2279,1.6,VI 45,351,2161,0.533333333,-0.317420412,0.477121255,0.023089558,1224,,,,
0,19,9,0.1,VI 95,196,2646,1.6,VI 45,343,1945,0.533333333,-0.243038049,0.477121255,0.133670234,1237,,,,
0,20,0,0.1,VI 120,115,644,0.533333333,VI 20,860,7505,1.6,-0.873800611,-0.477121255,-1.066464829,908,,,,
0,20,1,0.1,VI 120,107,608,0.533333333,VI 20,866,7632,1.6,-0.908134114,-0.477121255,-1.098734782,834,,,,
0,20,2,0.1,VI 120,108,602,0.533333333,VI 20,893,7692,1.6,-0.917427703,-0.477121255,-1.106442784,807,,,,
0,20,3,0.1,VI 120,126,636,0.533333333,VI 20,896,7698,1.6,-0.851937465,-0.477121255,-1.082920791,946,,,,
0,20,5,0.1,VI 120,139,736,0.533333333,VI 20,856,7499,1.6,-0.789458964,-0.477121255,-1.008125539,906,,,,
0,20,4,0.1,VI 120,107,585,0.533333333,VI 20,876,7717,1.6,-0.913120328,-0.477121255,-1.120292634,806,,,,
0,20,6,0.1,VI 120,123,641,0.533333333,VI 20,875,7765,1.6,-0.852102942,-0.477121255,-1.083283431,849,,,,
0,20,7,0.1,VI 120,102,650,0.533333333,VI 20,878,7677,1.6,-0.934894344,-0.477121255,-1.072278184,894,,,,
0,20,9,0.1,VI 120,107,585,0.533333333,VI 20,881,7657,1.6,-0.915592131,-0.477121255,-1.116902781,846,,,,
