net_type,run_index,repetition_index,mutation_rate,Sch 1,R1,B1,M1,Sch 2,R2,B2,M2,log(R1/R2),log(M1/M2),log(B1/B2),Changeovers,,,,
0,0,0,0.1,VI 20,756,3670,0.533333333,VI 120,137,1627,1.6,0.741801228,-0.477121255,0.353278511,1185,,0.638737681,0.868584432,0.000731464
0,0,1,0.1,VI 20,766,3651,0.533333333,VI 120,135,1621,1.6,0.753895001,-0.477121255,0.352628818,1144,,0.003650787,0.002180109,0.001201788
0,0,2,0.1,VI 20,656,3194,0.533333333,VI 120,161,1902,1.6,0.610077963,-0.477121255,0.225124399,1208,,0.998781988,0.019001851,#N/A
0,0,3,0.1,VI 20,769,3653,0.533333333,VI 120,137,1600,1.6,0.749205773,-0.477121255,0.35852969,1209,,101271.2356,247,#N/A
0,0,4,0.1,VI 20,709,3451,0.533333333,VI 120,142,1768,1.6,0.698357891,-0.477121255,0.290462699,1168,,73.13207899,0.089184374,#N/A
0,0,5,0.1,VI 20,717,3531,0.533333333,VI 120,145,1768,1.6,0.694151153,-0.477121255,0.300415457,1190,,,,
0,0,6,0.1,VI 20,706,3479,0.533333333,VI 120,128,1578,1.6,0.741594731,-0.477121255,0.34334743,1214,,,,
0,0,7,0.1,VI 20,696,3333,0.533333333,VI 120,164,1926,1.6,0.627765392,-0.477121255,0.238179031,1250,,,,
0,0,8,0.1,VI 20,740,3736,0.533333333,VI 120,125,1625,1.6,0.772321707,-0.477121255,0.361553502,1169,,,,
0,0,9,0.1,VI 20,679,3378,0.533333333,VI 120,136,1737,1.6,0.698330866,-0.477121255,0.288859827,1184,,,,
0,1,0,0.1,VI 20,794,4381,0.64516129,VI 120,124,1188,1.052631579,0.806398817,-0.212608093,0.566756813,1079,,,,
0,1,1,0.1,VI 20,790,4258,0.64516129,VI 120,138,1287,1.052631579,0.757748005,-0.212608093,0.51962711,1180,,,,
0,1,2,0.1,VI 20,766,4207,0.64516129,VI 120,124,1202,1.052631579,0.790807084,-0.212608093,0.544068044,1174,,,,
0,1,3,0.1,VI 20,740,4169,0.64516129,VI 120,128,1236,1.052631579,0.76202175,-0.212608093,0.528013424,1162,,,,
0,1,4,0.1,VI 20,763,4236,0.64516129,VI 120,119,1140,1.052631579,0.806977577,-0.212608093,0.5700511,1137,,,,
