net_type,run_index,repetition_index,mutation_rate,Sch 1,R1,M1,B1,Sch 2,R2,M2,B2,log(R1/R2),log(M1/M2),log(B1/B2),Changeovers,,85.65561242,,
0,0,0,0.11,VI 20,530,0.533333333,1299,VI 120,128,1.6,781,0.6170659,-0.477121255,0.220958117,532,,0.456303577,0.689422509,-0.001325442
0,0,1,0.11,VI 20,476,0.533333333,1078,VI 120,153,1.6,938,0.492915522,-0.477121255,0.060415922,521,,0.00606117,0.004222635,0.001991634
0,0,2,0.11,VI 20,505,0.533333333,1188,VI 120,117,1.6,842,0.635105516,-0.477121255,0.149504349,545,,0.993041874,0.031489815,#N/A
0,0,3,0.11,VI 20,508,0.533333333,1259,VI 120,120,1.6,747,0.626682466,-0.477121255,0.226705128,504,,17625.5331,247,#N/A
0,0,4,0.11,VI 20,479,0.533333333,1189,VI 120,120,1.6,800,0.601154267,-0.477121255,0.172091868,526,,34.95525416,0.24492728,#N/A
0,0,5,0.11,VI 20,515,0.533333333,1176,VI 120,127,1.6,795,0.608003508,-0.477121255,0.170040193,518,,,,
0,0,6,0.11,VI 20,511,0.533333333,1180,VI 120,123,1.6,760,0.618515789,-0.477121255,0.191068415,471,,,,
0,0,8,0.11,VI 20,509,0.533333333,1194,VI 120,116,1.6,773,0.642259793,-0.477121255,0.188824833,535,,,,
0,0,7,0.11,VI 20,471,0.533333333,1145,VI 120,117,1.6,750,0.604835045,-0.477121255,0.183744223,498,,,,
0,0,9,0.11,VI 20,472,0.533333333,1103,VI 120,114,1.6,790,0.617037147,-0.477121255,0.144948421,501,,,,
0,1,1,0.11,VI 20,505,0.64516129,1304,VI 120,136,1.052631579,641,0.56975247,-0.212608093,0.308419562,461,,,,
0,1,0,0.11,VI 20,483,0.64516129,1216,VI 120,131,1.052631579,637,0.566675835,-0.212608093,0.280794143,466,,,,
0,1,2,0.11,VI 20,525,0.64516129,1368,VI 120,111,1.052631579,564,0.674836325,-0.212608093,0.384806993,433,,,,
0,1,3,0.11,VI 20,542,0.64516129,1410,VI 120,128,1.052631579,670,0.626789317,-0.212608093,0.32314431,506,,,,
0,1,4,0.11,VI 20,528,0.64516129,1337,VI 120,130,1.052631579,670,0.60869057,-0.212608093,0.300056605,560,,,,
0,1,5,0.11,VI 20,474,0.64516129,1231,VI 120,139,1.052631579,720,0.532763541,-0.212608093,0.232925557,510,,,,
0,1,7,0.11,VI 20,529,0.64516129,1465,VI 120,121,1.052631579,630,0.640670302,-0.212608093,0.366497075,471,,,,
0,1,6,0.11,VI 20,544,0.64516129,1370,VI 120,113,1.052631579,611,0.682520456,-0.212608093,0.350679357,536,,,,
0,1,9,0.11,VI 20,563,0.64516129,1409,VI 120,118,1.052631579,593,0.678626388,-0.212608093,0.3758563,515,,,,
0,1,8,0.11,VI 20,546,0.64516129,1398,VI 120,120,1.052631579,621,0.658011397,-0.212608093,0.352415571,494,,,,
0,2,0,0.11,VI 20,567,0.8,1636,VI 120,122,0.8,550,0.667223228,0,0.47342061,480,,,,
0,2,1,0.11,VI 20,571,0.8,1577,VI 120,119,0.8,583,0.681089147,0,0.432163139,512,,,,
0,2,2,0.11,VI 20,541,0.8,1581,VI 120,114,0.8,547,0.676292414,0,0.460944544,450,,,,
0,2,3,0.11,VI 20,548,0.8,1533,VI 120,127,0.8,574,0.634976838,0,0.426630262,483,,,,
0,2,4,0.11,VI 20,548,0.8,1527,VI 120,120,0.8,552,0.659599312,0,0.441899959,511,,,,
0,2,7,0.11,VI 20,535,0.8,1508,VI 120,122,0.8,574,0.641993951,0,0.419489449,517,,,,
0,2,6,0.11,VI 20,526,0.8,1565,VI 120,122,0.8,610,0.634625913,0,0.409184507,506,,,,
0,2,5,0.11,VI 20,596,0.8,1722,VI 120,111,0.8,515,0.729923281,0,0.524225918,490,,,,
0,2,8,0.11,VI 20,600,0.8,1662,VI 120,106,0.8,516,0.752845385,0,0.507981318,463,,,,
0,2,9,0.11,VI 20,559,0.8,1559,VI 120,117,0.8,522,0.679225946,0,0.475175612,450,,,,
0,3,0,0.11,VI 20,616,1.052631579,1955,VI 120,109,0.64516129,464,0.752154214,0.212608093,0.624628781,501,,,,
0,3,1,0.11,VI 20,609,1.052631579,1952,VI 120,109,0.64516129,475,0.747190795,0.212608093,0.613786204,512,,,,
0,3,2,0.11,VI 20,650,1.052631579,2029,VI 120,115,0.64516129,470,0.752215516,0.212608093,0.635184189,468,,,,
0,3,3,0.11,VI 20,594,1.052631579,1931,VI 120,116,0.64516129,490,0.709328456,0.212608093,0.595586194,484,,,,
