run_index,repetition_index,R1,B1,R2,B2,log(R1/R2),log(B1/B2)
0,3,15415,50077,15586,50342,-0.004791142840636813,-0.0022921619387549024
0,2,15787,51022,15263,49673,0.01465970474633493,0.011637088424738354
0,6,15522,50125,15454,49893,0.0019067711911771705,0.0020147673520236513
0,0,15633,50477,15655,50568,-0.0006107440665105261,-0.0007822417445254072
0,9,15703,50252,15565,49945,0.003833505669824115,0.0026613336361395
0,5,15673,50928,15531,50330,0.003952713891768662,0.005129690879788448
0,12,15503,49898,15579,50492,-0.002123830281428457,-0.005139434860713978
0,13,15717,50680,15591,50480,0.0034956816250867042,0.00171725997532588
0,4,15493,50232,15384,49723,0.0030662496466072474,0.0044231464575825935
0,11,15576,49821,15696,50774,-0.0033330515238980327,-0.008228938294515644
0,8,15630,50317,15765,50972,-0.0037349970647365446,-0.0056169347297613205
0,1,15542,50139,15775,50569,-0.006462463292019977,-0.0037086976622728784
0,10,15617,50605,15703,50794,-0.0023850203902636936,-0.0016189854364690255
0,15,15233,48989,15788,51430,-0.015541675638794399,-0.021117949917105777
0,7,15445,49694,15670,50496,-0.00628108383112069,-0.006953021542346235
0,14,15598,50091,15557,50435,0.0011430642938365365,-0.002972323278168078
0,28,15610,50608,15353,49738,0.00720965314206593,0.007530856573533773
0,20,15463,50024,15757,50713,-0.008179779129085067,-0.005940886946016
0,26,15447,50079,15646,50285,-0.0055591793631089865,-0.0017828063629758304
1,0,13330,43833,17922,56958,-0.12855632357391272,-0.11375353578315585
0,19,15356,49942,15519,50015,-0.004585629683377687,-0.0006343428237218535
0,17,15248,49892,15640,50686,-0.011023865429578023,-0.006857105575546719
0,29,15536,49991,15668,50486,-0.0036743503118986157,-0.004279138663587605
0,18,15545,50067,15578,50432,-0.0009209731242905854,-0.003154622093289623
0,21,15604,50560,15652,50647,-0.0013338975888887669,-0.0007466603936955253
0,25,15428,49835,15542,50308,-0.003197274430147681,-0.004102589647710378
1,1,13472,44197,17923,57536,-0.12397863063479302,-0.11454687436945418
0,27,15616,50696,15379,49766,0.0066417033878494736,0.008040958893344661
0,23,15604,50250,15359,49863,0.006873001245022711,0.003357661875613611
0,24,15687,50699,15420,49706,0.007455522834379851,0.008590577796609915
1,6,13543,44490,17914,56750,-0.12147769141337554,-0.10570346011711586
0,22,15345,49799,15679,50856,-0.009351467345172101,-0.009121576522971155
0,16,15710,50745,15352,49561,0.010011223312558203,0.010253196223968924
1,5,13181,43060,17976,57662,-0.13474469938015082,-0.1268156762813383
1,2,13505,44480,17793,56727,-0.11975459022952749,-0.10562503799093882
1,7,13437,44270,18048,57306,-0.128126765138898,-0.11209057346975246
1,13,13416,44007,17709,56687,-0.12057098834282788,-0.10996171049072123
1,3,13291,43606,17866,57406,-0.12846967164883694,-0.11941103620888435
1,11,13470,44738,17761,56912,-0.120099818549304,-0.10452728266264392
1,10,13471,44632,17815,56579,-0.12138599055113888,-0.10300891889116141
1,4,13562,44372,17868,57039,-0.11975220375881021,-0.10906289860176512
1,8,13269,43572,17871,57465,-0.1293106607292409,-0.12019591607824182
1,15,13325,43473,17962,57368,-0.1296874743545567,-0.12045009832307384
1,9,13254,43252,18231,58255,-0.1384635248119003,-0.12932701227619034
1,18,13254,43679,17902,57601,-0.13055458653726698,-0.12015733624888904
1,16,13279,43579,18062,57843,-0.13360046703872763,-0.12297354900774655
1,12,13306,44107,17704,57121,-0.12402388180917111,-0.11228828226689169
1,21,13346,44164,17737,56792,-0.12352904550953332,-0.10921876195819033
1,17,13423,44474,17834,57169,-0.12339917211820646,-0.10905440386904344
1,19,13468,44594,17754,56920,-0.11999310782822566,-0.10598846189703177
1,20,13189,43644,18059,58133,-0.13648182974112177,-0.12449818854675668
1,14,13252,43355,18034,57558,-0.133810638129091,-0.12306650429421262
1,22,13359,44133,17739,56573,-0.12315518386788271,-0.10784575927748676
1,26,13533,44336,17792,56817,-0.11883068808459049,-0.10772179032852218
1,27,13336,43588,18065,57253,-0.13181237908409216,-0.11843130598006343
1,24,13387,43843,17857,57014,-0.12512523523575686,-0.11408124787886147
1,23,13129,43219,18106,57930,-0.1395908677074487,-0.127228814529026
2,2,11336,38370,20472,64894,-0.256700435639725,-0.22821274525459032
1,28,13217,43049,18089,58052,-0.1362816687637783,-0.12985411905846092
1,25,13154,42881,18187,58426,-0.14070322927542703,-0.13434124966505087
1,29,13186,43705,17912,57338,-0.13303100916329,-0.11791141572808303
2,0,11207,37977,20238,64377,-0.2566782196392885,-0.22921007989911013
2,1,11021,37261,20715,66453,-0.2740639352439307,-0.2512600856235094
2,3,11225,37451,20483,65248,-0.2612072153251606,-0.2411037855690044
2,13,11216,37732,20476,65060,-0.26140712025562435,-0.2366042331791503
2,11,11261,38145,20261,64568,-0.25508391807809055,-0.22857971506950933
2,7,11303,38288,20271,64295,-0.25368144604376786,-0.2251145193867218
2,12,11126,37346,20950,66333,-0.27484497169750494,-0.2494855464274153
2,15,11284,37926,20303,64663,-0.2550971371384073,-0.23171880885615087
2,4,11466,38223,20413,64780,-0.25049489813002435,-0.22911617324415381
2,8,11232,37760,20397,65180,-0.2591092011080434,-0.23708237050309403
2,5,11207,37202,20765,65971,-0.2678425635123404,-0.2487867788224016
2,18,11320,38172,20345,64420,-0.2546112673370514,-0.22727580532868438
2,6,11197,37523,20216,64560,-0.2565935507033012,-0.2356659683566426
2,17,11347,38032,20350,65301,-0.2536833586984671,-0.23477066759780746
2,16,11409,38642,20203,64037,-0.2481682837067906,-0.21937138176022628
2,20,11206,37507,20457,65008,-0.26139132703274615,-0.23885447651676248
2,24,11323,37808,20339,64496,-0.25436808900289815,-0.2319490765206822
2,9,11260,37984,20269,64329,-0.25529393216904805,-0.22880610303217494
2,10,11394,38288,20553,65203,-0.2561990071183846,-0.23120489687777762
2,19,11474,38511,20287,64635,-0.24750298365672024,-0.22488295722079138
2,25,11335,37963,20416,64933,-0.25554913257853207,-0.2331049434449071
2,14,11258,37833,20284,64503,-0.25569235755165215,-0.23170913349934297
2,27,11357,38285,20139,64325,-0.24877427612039885,-0.22535114345242693
2,23,11191,37921,20564,65247,-0.26423869945506573,-0.23568076656032425
2,29,11317,37966,20539,65324,-0.2588479790185319,-0.23567792673430207
2,21,11269,37902,20365,64986,-0.25699903553214476,-0.23415767893987272
3,3,9293,32787,23087,73012,-0.3952115657935158,-0.34769256444585256
3,4,9264,32329,23302,73772,-0.4005946515391148,-0.3582992863523859
2,26,11071,37573,20748,65843,-0.2727893885541837,-0.24363373788046302
2,28,11212,37430,20453,65262,-0.2610739292643557,-0.2414405518019517
3,6,9156,32349,23232,73502,-0.4043808150174944,-0.35643829653118175
3,2,9272,32536,22830,72307,-0.39133248853469565,-0.3468161837377681
3,1,9364,32916,23145,73352,-0.3929957800942428,-0.3480049060693738
