net_type,run_index,repetition_index,mutation_rate,Sch 1,R1,M1,B1,Sch 2,R2,M2,B2,log(R1/R2),log(M1/M2),log(B1/B2),Changeovers,,,,
2,0,0,0.1,VI 20,473,0.533333333,1017,VI 120,145,1.6,877,0.513493139,-0.477121255,0.06432136,693,,0.676421706,0.805612182,0.00117259
2,0,1,0.1,VI 20,475,0.533333333,1091,VI 120,134,1.6,854,0.549588811,-0.477121255,0.10636688,686,,0.013597571,0.009047949,0.004436068
2,0,2,0.1,VI 20,503,0.533333333,1071,VI 120,133,1.6,874,0.577716344,-0.477121255,0.088278038,718,,0.979991818,0.070139909,#N/A
2,0,3,0.1,VI 20,465,0.533333333,1049,VI 120,130,1.6,821,0.553509601,-0.477121255,0.106432331,684,,6048.97489,247,#N/A
2,0,4,0.1,VI 20,503,0.533333333,1072,VI 120,138,1.6,840,0.561688899,-0.477121255,0.105915499,724,,59.51715682,1.215142896,#N/A
2,0,5,0.1,VI 20,487,0.533333333,1042,VI 120,133,1.6,861,0.56367732,-0.477121255,0.082864568,646,,,,
2,0,6,0.1,VI 20,455,0.533333333,1011,VI 120,149,1.6,956,0.484825128,-0.477121255,0.024293263,692,,,,
2,0,7,0.1,VI 20,473,0.533333333,1100,VI 120,124,1.6,825,0.581439456,-0.477121255,0.124938737,763,,,,
2,0,8,0.1,VI 20,449,0.533333333,1005,VI 120,115,1.6,799,0.591548501,-0.477121255,0.099619282,708,,,,
2,1,0,0.1,VI 20,546,0.64516129,1319,VI 120,120,1.052631579,627,0.658011397,-0.212608093,0.322977255,678,,,,
2,0,9,0.1,VI 20,492,0.533333333,1104,VI 120,128,1.6,772,0.584755133,-0.477121255,0.155351773,659,,,,
2,1,1,0.1,VI 20,521,0.64516129,1321,VI 120,125,1.052631579,679,0.61992771,-0.212608093,0.289033043,713,,,,
2,1,2,0.1,VI 20,531,0.64516129,1344,VI 120,111,1.052631579,569,0.679771542,-0.212608093,0.373287002,618,,,,
2,1,3,0.1,VI 20,522,0.64516129,1304,VI 120,139,1.052631579,666,0.574655703,-0.212608093,0.291803362,673,,,,
2,1,4,0.1,VI 20,543,0.64516129,1327,VI 120,111,1.052631579,602,0.689476851,-0.212608093,0.343274432,630,,,,
2,1,5,0.1,VI 20,532,0.64516129,1343,VI 120,131,1.052631579,637,0.608640337,-0.212608093,0.32393658,675,,,,
2,1,6,0.1,VI 20,540,0.64516129,1336,VI 120,114,1.052631579,620,0.675488908,-0.212608093,0.333414769,677,,,,
2,1,7,0.1,VI 20,519,0.64516129,1245,VI 120,122,1.052631579,644,0.628807527,-0.212608093,0.286283484,685,,,,
2,1,8,0.1,VI 20,500,0.64516129,1219,VI 120,122,1.052631579,711,0.612610174,-0.212608093,0.234134105,697,,,,
2,2,0,0.1,VI 20,558,0.8,1635,VI 120,122,0.8,511,0.660274368,0,0.505096857,607,,,,
2,1,9,0.1,VI 20,503,0.64516129,1263,VI 120,130,1.052631579,647,0.587624633,-0.212608093,0.29049907,671,,,,
2,2,1,0.1,VI 20,581,0.8,1697,VI 120,115,0.8,478,0.703478292,0,0.550253946,576,,,,
2,2,2,0.1,VI 20,557,0.8,1606,VI 120,126,0.8,547,0.64548465,0,0.467758215,644,,,,
2,2,3,0.1,VI 20,556,0.8,1599,VI 120,125,0.8,535,0.648164779,0,0.475494682,580,,,,
2,2,4,0.1,VI 20,616,0.8,1709,VI 120,119,0.8,478,0.714033751,0,0.553314166,599,,,,
2,2,5,0.1,VI 20,536,0.8,1582,VI 120,111,0.8,512,0.683841811,0,0.489936518,586,,,,
2,2,6,0.1,VI 20,589,0.8,1704,VI 120,114,0.8,490,0.713210443,0,0.54127351,586,,,,
2,2,7,0.1,VI 20,574,0.8,1602,VI 120,119,0.8,590,0.683364931,0,0.4338105,640,,,,
2,2,8,0.1,VI 20,631,0.8,1883,VI 120,127,0.8,517,0.696225638,0,0.561359777,631,,,,
2,2,9,0.1,VI 20,553,0.8,1544,VI 120,115,0.8,510,0.682027291,0,0.48107712,570,,,,
2,3,0,0.1,VI 20,650,1.052631579,2331,VI 120,115,0.64516129,396,0.752215516,0.212608093,0.769847088,517,,,,
2,3,1,0.1,VI 20,696,1.052631579,2581,VI 120,114,0.64516129,372,0.785704388,0.212608093,0.841245065,510,,,,
2,3,2,0.1,VI 20,674,1.052631579,2429,VI 120,117,0.64516129,407,0.760474035,0.212608093,0.775833106,549,,,,
2,3,4,0.1,VI 20,650,1.052631579,2484,VI 120,100,0.64516129,371,0.812913357,0.212608093,0.825777682,519,,,,
2,3,3,0.1,VI 20,654,1.052631579,2387,VI 120,103,0.64516129,385,0.802740524,0.212608093,0.792391689,532,,,,
2,3,5,0.1,VI 20,664,1.052631579,2419,VI 120,106,0.64516129,406,0.796862214,0.212608093,0.775109835,524,,,,
2,3,7,0.1,VI 20,681,1.052631579,2465,VI 120,116,0.64516129,345,0.768689123,0.212608093,0.853997829,450,,,,
2,3,6,0.1,VI 20,622,1.052631579,2240,VI 120,114,0.64516129,393,0.736885533,0.212608093,0.755855468,530,,,,
2,3,8,0.1,VI 20,676,1.052631579,2526,VI 120,114,0.64516129,331,0.773041845,0.212608093,0.882605352,466,,,,
2,3,9,0.1,VI 20,692,1.052631579,2519,VI 120,99,0.64516129,357,0.8444709,0.212608093,0.848559951,481,,,,
2,4,0,0.1,VI 20,718,1.6,3821,VI 120,101,0.533333333,253,0.85180307,0.477121255,1.179056517,388,,,,
2,4,1,0.1,VI 20,719,1.6,3918,VI 120,87,0.533333333,240,0.917209638,0.477121255,1.21285319,354,,,,
2,4,2,0.1,VI 20,785,1.6,4407,VI 120,76,0.533333333,230,1.014056064,0.477121255,1.282415214,334,,,,
2,4,4,0.1,VI 20,763,1.6,4142,VI 120,82,0.533333333,236,0.968710686,0.477121255,1.244298092,382,,,,
2,4,3,0.1,VI 20,777,1.6,4291,VI 120,88,0.533333333,248,0.945938347,0.477121255,1.238106834,376,,,,
2,4,7,0.1,VI 20,734,1.6,3922,VI 120,93,0.533333333,252,0.897213111,0.477121255,1.192107049,364,,,,
2,4,6,0.1,VI 20,702,1.6,3761,VI 120,89,0.533333333,272,0.896947105,0.477121255,1.140734429,391,,,,
2,4,5,0.1,VI 20,813,1.6,4503,VI 120,95,0.533333333,221,0.93236694,0.477121255,1.309109673,356,,,,
2,4,8,0.1,VI 20,790,1.6,4254,VI 120,70,0.533333333,211,1.052529051,0.477121255,1.30451503,348,,,,
2,4,9,0.1,VI 20,725,1.6,3796,VI 120,102,0.533333333,281,0.851737835,0.477121255,1.130619884,434,,,,
2,5,1,0.1,VI 45,271,0.533333333,807,VI 95,177,1.6,1119,0.184996025,-0.477121255,-0.141956552,730,,,,
2,5,3,0.1,VI 45,283,0.533333333,847,VI 95,147,1.6,1024,0.284469101,-0.477121255,-0.082416546,709,,,,
2,5,0,0.1,VI 45,278,0.533333333,845,VI 95,158,1.6,1039,0.245387709,-0.477121255,-0.089758839,704,,,,
2,5,2,0.1,VI 45,288,0.533333333,823,VI 95,165,1.6,1073,0.241908544,-0.477121255,-0.115199887,705,,,,
2,5,4,0.1,VI 45,280,0.533333333,759,VI 95,172,1.6,1075,0.211629584,-0.477121255,-0.151166688,637,,,,
2,5,5,0.1,VI 45,276,0.533333333,789,VI 95,179,1.6,1084,0.188056051,-0.477121255,-0.137952279,689,,,,
2,5,6,0.1,VI 45,267,0.533333333,818,VI 95,166,1.6,1061,0.206403173,-0.477121255,-0.11296208,722,,,,
