net_type,run_index,repetition_index,mutation_rate,Sch 1,R1,M1,B1,Sch 2,R2,M2,B2,interaction,log(R1/R2),log(M1/M2),log(B1/B2),am,ar,ai,log(b),(log(M1/M2))^2,(log(R1/R2)) * (log(M1/M2)),(log(R1/R1))^2,Changeovers,A,B,C,G
1,14,1,0.1,VI 70,219,1.6,1376,VI 70,177,0.533333333,600,0.044119807,0.092470848,0.477121255,0.360467184,,,,,0.227644692,0.044119807,0.008550858,512,,,,
1,16,5,0.1,VI 95,153,0.64516129,635,VI 45,321,1.052631579,1381,0.068420176,-0.321813602,-0.212608093,-0.337419953,,,,,0.045202201,0.068420176,0.103563994,591,,,,
1,14,5,0.1,VI 70,233,1.6,1382,VI 70,193,0.533333333,603,0.039027856,0.081798612,0.477121255,0.360190731,,,,,0.227644692,0.039027856,0.006691013,535,,,,
1,16,1,0.1,VI 95,145,0.64516129,626,VI 45,292,1.052631579,1293,0.064636017,-0.304014849,-0.212608093,-0.315024192,,,,,0.045202201,0.064636017,0.092425029,591,,,,
1,14,9,0.1,VI 70,218,1.6,1342,VI 70,169,0.533333333,597,0.052755196,0.110569789,0.477121255,0.351778185,,,,,0.227644692,0.052755196,0.012225678,578,,,,
1,15,7,0.1,VI 95,114,0.533333333,419,VI 45,346,1.6,1847,0.230054151,-0.482171247,-0.477121255,-0.644252872,,,,,0.227644692,0.230054151,0.232489112,477,,,,
1,15,3,0.1,VI 95,128,0.533333333,457,VI 45,336,1.6,1839,0.199975501,-0.419129308,-0.477121255,-0.604665529,,,,,0.227644692,0.199975501,0.175669377,448,,,,
1,17,3,0.1,VI 95,160,0.8,785,VI 45,272,0.8,1033,0,-0.230448921,0,-0.119230665,,,,,0,0,0.053106705,607,,,,
1,16,9,0.1,VI 95,166,0.64516129,612,VI 45,306,1.052631579,1210,0.056471545,-0.265613338,-0.212608093,-0.296033948,,,,,0.045202201,0.056471545,0.070550446,523,,,,
1,17,7,0.1,VI 95,147,0.8,763,VI 45,286,0.8,1030,0,-0.289048698,0,-0.130312687,,,,,0,0,0.08354915,590,,,,
1,18,1,0.1,VI 95,176,1.052631579,944,VI 45,257,0.64516129,846,-0.034957119,-0.164420456,0.212608093,0.047601631,,,,,0.045202201,-0.034957119,0.027034086,548,,,,
1,18,5,0.1,VI 95,138,1.052631579,754,VI 45,287,0.64516129,936,-0.067609971,-0.31800281,0.212608093,-0.093904503,,,,,0.045202201,-0.067609971,0.101125787,590,,,,
1,18,9,0.1,VI 95,160,1.052631579,866,VI 45,281,0.64516129,935,-0.052001035,-0.244586337,0.212608093,-0.033293719,,,,,0.045202201,-0.052001035,0.059822476,559,,,,
1,13,0,0.1,VI 70,211,1.052631579,1029,VI 70,193,0.64516129,742,0.008233279,0.038725146,0.212608093,0.142011469,,,,,0.045202201,0.008233279,0.001499637,551,,,,
1,13,8,0.1,VI 70,222,1.052631579,1030,VI 70,192,0.64516129,799,0.013405311,0.063051746,0.212608093,0.110290445,,,,,0.045202201,0.013405311,0.003975523,593,,,,
1,13,4,0.1,VI 70,191,1.052631579,941,VI 70,204,0.64516129,799,-0.006079911,-0.0285968,0.212608093,0.071042844,,,,,0.045202201,-0.006079911,0.000817777,600,,,,
1,14,2,0.1,VI 70,194,1.6,1174,VI 70,184,0.533333333,719,0.010966111,0.022983907,0.477121255,0.212939207,,,,,0.227644692,0.010966111,0.00052826,622,,,,
1,16,6,0.1,VI 95,142,0.64516129,620,VI 45,302,1.052631579,1334,0.069675626,-0.327718599,-0.212608093,-0.33276414,,,,,0.045202201,0.069675626,0.10739948,611,,,,
1,14,6,0.1,VI 70,205,1.6,1281,VI 70,180,0.533333333,634,0.026948455,0.056481356,0.477121255,0.305459872,,,,,0.227644692,0.026948455,0.003190144,546,,,,
1,16,2,0.1,VI 95,154,0.64516129,652,VI 45,295,1.052631579,1253,0.06001954,-0.282301295,-0.212608093,-0.283703475,,,,,0.045202201,0.06001954,0.079694021,571,,,,
1,15,0,0.1,VI 95,134,0.533333333,495,VI 45,350,1.6,1843,0.198942027,-0.416963246,-0.477121255,-0.570920136,,,,,0.227644692,0.198942027,0.173858349,495,,,,
1,15,8,0.1,VI 95,133,0.533333333,475,VI 45,339,1.6,1788,0.193877295,-0.406348057,-0.477121255,-0.575673905,,,,,0.227644692,0.193877295,0.165118744,482,,,,
1,17,4,0.1,VI 95,159,0.8,740,VI 45,293,0.8,1106,0,-0.265470496,0,-0.174523407,,,,,0,0,0.070474584,541,,,,
1,15,4,0.1,VI 95,123,0.533333333,466,VI 45,330,1.6,1758,0.204498382,-0.428608828,-0.477121255,-0.576632954,,,,,0.227644692,0.204498382,0.183705528,490,,,,
