net_type,run_index,repetition_index,mutation_rate,Sch 1,R1,M1,B1,Sch 2,R2,M2,B2,interaction,log(R1/R2),log(M1/M2),log(B1/B2),am,ar,ai,log(b),(log(M1/M2))^2,(log(R1/R2)) * (log(M1/M2)),(log(R1/R1))^2,Changeovers,A,B,C,G
1,4,3,0.1,VI 20,684,1.6,2974,VI 120,89,0.533333333,226,0.422570119,0.885666095,0.477121255,1.119232525,,,,,0.227644692,0.422570119,0.784404432,284,,,,
1,5,9,0.1,VI 45,249,0.533333333,732,VI 95,168,1.6,1117,-0.081535282,0.170890065,-0.477121255,-0.183542092,,,,,0.227644692,-0.081535282,0.029203414,552,,,,
1,3,1,0.1,VI 20,614,1.052631579,2033,VI 120,102,0.64516129,354,0.165742508,0.779568199,0.212608093,0.759134117,,,,,0.045202201,0.165742508,0.607726577,387,,,,
1,3,9,0.1,VI 20,593,1.052631579,2071,VI 120,105,0.64516129,340,0.159852668,0.751865394,0.212608093,0.784701182,,,,,0.045202201,0.159852668,0.565301571,403,,,,
1,1,5,0.1,VI 20,494,0.64516129,1261,VI 120,116,1.052631579,620,-0.133787673,0.62926896,-0.212608093,0.308323397,,,,,0.045202201,-0.133787673,0.395979424,533,,,,
1,0,7,0.1,VI 20,460,0.533333333,1061,VI 120,139,1.6,850,-0.247980447,0.519743031,-0.477121255,0.096296458,,,,,0.227644692,-0.247980447,0.270132819,515,,,,
1,3,5,0.1,VI 20,637,1.052631579,2156,VI 120,98,0.64516129,303,0.172831958,0.812913357,0.212608093,0.852206128,,,,,0.045202201,0.172831958,0.660828125,356,,,,
1,5,1,0.1,VI 45,259,0.533333333,787,VI 95,181,1.6,1075,-0.074250177,0.155621189,-0.477121255,-0.135433732,,,,,0.227644692,-0.074250177,0.024217955,549,,,,
1,7,2,0.1,VI 45,278,0.8,1023,VI 95,175,0.8,776,0,0.201006747,0,0.120013912,,,,,0,0,0.040403712,592,,,,
1,7,6,0.1,VI 45,334,0.8,1155,VI 95,135,0.8,589,0,0.393412698,0,0.292466689,,,,,0,0,0.154773551,566,,,,
1,6,4,0.1,VI 45,262,0.64516129,884,VI 95,158,1.052631579,912,-0.046698135,0.219644204,-0.212608093,-0.013542573,,,,,0.045202201,-0.046698135,0.048243577,614,,,,
1,6,8,0.1,VI 45,292,0.64516129,1012,VI 95,154,1.052631579,860,-0.059075738,0.277862131,-0.212608093,0.070682061,,,,,0.045202201,-0.059075738,0.077207364,638,,,,
1,8,0,0.1,VI 45,317,1.052631579,1285,VI 95,145,0.64516129,590,0.072221111,0.33969126,0.212608093,0.338051116,,,,,0.045202201,0.072221111,0.115390152,537,,,,
1,8,4,0.1,VI 45,307,1.052631579,1379,VI 95,141,0.64516129,609,0.07184437,0.337919263,0.212608093,0.354946974,,,,,0.045202201,0.07184437,0.114189428,553,,,,
