net_type,run_index,repetition_index,mutation_rate,Sch 1,R1,M1,B1,Sch 2,R2,M2,B2,log(R1/R2),log(M1/M2),log(B1/B2),Changeovers,,,,
0,4,7,0.15,VI 20,793,1.6,3656,VI 120,118,0.533333333,601,0.82739118,0.477121255,0.784131715,760,,,,
0,4,9,0.15,VI 20,768,1.6,3651,VI 120,110,0.533333333,607,0.843968535,0.477121255,0.779223142,748,,,,
0,5,0,0.15,VI 45,304,0.533333333,1162,VI 95,180,1.6,1419,0.227601079,-0.477121255,-0.086776267,911,,,,
0,5,1,0.15,VI 45,292,0.533333333,1101,VI 95,155,1.6,1298,0.275051153,-0.477121255,-0.071487373,784,,,,
0,5,2,0.15,VI 45,303,0.533333333,1098,VI 95,170,1.6,1361,0.250993707,-0.477121255,-0.093255785,808,,,,
0,5,3,0.15,VI 45,311,0.533333333,1098,VI 95,184,1.6,1498,0.227942566,-0.477121255,-0.134909473,882,,,,
0,5,4,0.15,VI 45,294,0.533333333,1129,VI 95,187,1.6,1452,0.196505724,-0.477121255,-0.109272674,891,,,,
0,5,5,0.15,VI 45,306,0.533333333,1155,VI 95,177,1.6,1392,0.23774816,-0.477121255,-0.081057251,822,,,,
0,5,7,0.15,VI 45,313,0.533333333,1120,VI 95,158,1.6,1348,0.296887251,-0.477121255,-0.08047187,850,,,,
0,5,8,0.15,VI 45,294,0.533333333,1147,VI 95,181,1.6,1411,0.210668756,-0.477121255,-0.089963596,874,,,,
0,5,6,0.15,VI 45,313,0.533333333,1136,VI 95,175,1.6,1355,0.252506289,-0.477121255,-0.076560964,893,,,,
0,5,9,0.15,VI 45,254,0.533333333,1055,VI 95,169,1.6,1403,0.176947012,-0.477121255,-0.123805211,834,,,,
0,6,0,0.15,VI 45,330,0.64516129,1305,VI 95,160,1.052631579,1110,0.314393957,-0.212608093,0.070287533,882,,,,
0,6,1,0.15,VI 45,331,0.64516129,1321,VI 95,172,1.052631579,1099,0.284299547,-0.212608093,0.079905125,856,,,,
