net_type,run_index,repetition_index,mutation_rate,Sch 1,R1,M1,B1,Sch 2,R2,M2,B2,log(R1/R2),log(M1/M2),log(B1/B2),Changeovers,am,ar,log(b)
-1,10,0,0.1,VI 20,963,1.0,20000,VI 120,0,1.0,0,,0.0,,0,"=LINEST(O2:O12,M2:N12,TRUE,TRUE)",,
-1,2,0,0.1,VI 48,0,1.0,0,VI 26.7,765,1.0,20000,,0.0,,0,,,
-1,8,0,0.1,VI 24,814,1.0,20000,VI 60,0,1.0,0,,0.0,,0,,,
-1,7,0,0.1,VI 26.7,727,1.0,20000,VI 48,0,1.0,0,,0.0,,0,,,
-1,6,0,0.1,VI 30,640,1.0,20000,VI 40,0,1.0,0,,0.0,,0,,,
-1,9,0,0.1,VI 21.8,875,1.0,20000,VI 80,0,1.0,0,,0.0,,0,,,
-1,1,0,0.1,VI 40,0,1.0,0,VI 30,670,1.0,20000,,0.0,,0,,,
-1,4,0,0.1,VI 80,0,1.0,0,VI 21.8,870,1.0,20000,,0.0,,0,,,
-1,3,0,0.1,VI 60,0,1.0,0,VI 24,828,1.0,20000,,0.0,,0,,,
-1,5,0,0.1,VI 120,0,1.0,0,VI 20,1007,1.0,20000,,0.0,,0,,,
-1,0,0,0.1,VI 34.3,0,1.0,0,VI 34.3,555,1.0,20000,,0.0,,0,,,
