net_type,run_index,repetition_index,mutation_rate,Sch 1,R1,M1,B1,Sch 2,R2,M2,B2,log(R1/R2),log(M1/M2),log(B1/B2),Changeovers,am,ar,log(b)
-1,0,0,0.1,VI 34.3,402,1,1670,VI 34.3,437,1,1794,-0.036255384,0,-0.031105968,1293,0,,
-1,3,0,0.1,VI 60,232,1,926,VI 24,607,1,2477,-0.417700706,0,-0.42731502,1118,,,
-1,6,0,0.1,VI 30,490,1,2123,VI 40,357,1,1392,0.137527864,0,0.183310759,1216,,,
-1,5,0,0.1,VI 120,142,1,817,VI 20,715,1,2697,-0.702017697,0,-0.51865889,1201,,,
-1,10,0,0.1,VI 20,751,1,2722,VI 120,136,1,830,0.742101029,0,0.515810028,1229,,,
-1,9,0,0.1,VI 21.8,728,1,2695,VI 80,198,1,907,0.565466189,0,0.472951482,1282,,,
-1,2,0,0.1,VI 48,313,1,1213,VI 26.7,549,1,2287,-0.244028007,0,-0.275405364,1208,,,
-1,7,0,0.1,VI 26.7,525,1,2281,VI 48,296,1,1192,0.248867592,0,0.28184903,1233,,,
-1,4,0,0.1,VI 80,203,1,931,VI 21.8,690,1,2528,-0.531353053,0,-0.433827389,1260,,,
-1,8,0,0.1,VI 24,604,1,2411,VI 60,247,1,1065,0.388339985,0,0.354847603,1270,,,
-1,1,0,0.1,VI 40,320,1,1208,VI 30,563,1,2346,-0.245358417,0,-0.288261073,1225,,,
