net_type,run_index,repetition_index,mutation_rate,Sch 1,R1,M1,B1,Sch 2,R2,M2,B2,log(R1/R2),log(M1/M2),log(B1/B2),Changeovers,,,,
0,0,0,0.15,VI 20,691,0.533333333,2931,VI 120,129,1.6,1770,0.728888337,-0.477121255,0.219042552,1650,,0.505810721,0.638027193,-0.002090899
0,0,1,0.15,VI 20,724,0.533333333,3077,VI 120,146,1.6,1932,0.69538571,-0.477121255,0.202120374,1854,,0.003236495,0.002132767,0.001068248
0,0,2,0.15,VI 20,705,0.533333333,2850,VI 120,158,1.6,2065,0.64953203,-0.477121255,0.139924804,1737,,0.997913118,0.016890433,#N/A
0,0,3,0.15,VI 20,707,0.533333333,2922,VI 120,138,1.6,1927,0.709540327,-0.477121255,0.180798497,1765,,59055.70414,247,#N/A
0,0,4,0.15,VI 20,738,0.533333333,3063,VI 120,145,1.6,1884,0.70668836,-0.477121255,0.211066098,1701,,33.6956152,0.070465818,#N/A
0,0,5,0.15,VI 20,680,0.533333333,2906,VI 120,146,1.6,1869,0.668156057,-0.477121255,0.191686309,1667,,,,
0,0,6,0.15,VI 20,710,0.533333333,2977,VI 120,152,1.6,1959,0.669414761,-0.477121255,0.181744399,1835,,,,
0,0,7,0.15,VI 20,697,0.533333333,2896,VI 120,147,1.6,1914,0.675915443,-0.477121255,0.179856624,1658,,,,
0,0,8,0.15,VI 20,720,0.533333333,3082,VI 120,143,1.6,1833,0.701996459,-0.477121255,0.225670169,1734,,,,
0,0,9,0.15,VI 20,757,0.533333333,3167,VI 120,131,1.6,1874,0.761824584,-0.477121255,0.227878477,1881,,,,
0,1,0,0.15,VI 20,738,0.64516129,3474,VI 120,122,1.052631579,1427,0.781696531,-0.212608093,0.386405841,1582,,,,
0,1,1,0.15,VI 20,756,0.64516129,3496,VI 120,159,1.052631579,1721,0.677124671,-0.212608093,0.307790554,1807,,,,
0,1,2,0.15,VI 20,742,0.64516129,3342,VI 120,142,1.052631579,1576,0.718115561,-0.212608093,0.326450232,1678,,,,
0,1,3,0.15,VI 20,747,0.64516129,3524,VI 120,146,1.052631579,1640,0.708967746,-0.212608093,0.332192052,1836,,,,
0,1,4,0.15,VI 20,767,0.64516129,3614,VI 120,145,1.052631579,1519,0.723427362,-0.212608093,0.376430374,1728,,,,
0,1,5,0.15,VI 20,813,0.64516129,3651,VI 120,159,1.052631579,1650,0.708693421,-0.212608093,0.344927889,1820,,,,
0,1,6,0.15,VI 20,674,0.64516129,3167,VI 120,145,1.052631579,1594,0.667291894,-0.212608093,0.298159746,1643,,,,
0,1,7,0.15,VI 20,792,0.64516129,3638,VI 120,160,1.052631579,1684,0.694605199,-0.212608093,0.334520608,1769,,,,
0,1,8,0.15,VI 20,744,0.64516129,3493,VI 120,146,1.052631579,1637,0.70722008,-0.212608093,0.329149906,1756,,,,
0,1,9,0.15,VI 20,797,0.64516129,3713,VI 120,143,1.052631579,1545,0.746122284,-0.212608093,0.380796465,1745,,,,
0,2,0,0.15,VI 20,769,0.8,4090,VI 120,138,0.8,1344,0.746047253,0,0.483324039,1677,,,,
0,2,1,0.15,VI 20,739,0.8,3907,VI 120,145,0.8,1366,0.707276436,0,0.456392712,1612,,,,
0,2,2,0.15,VI 20,757,0.8,4114,VI 120,150,0.8,1396,0.70300462,0,0.469378869,1736,,,,
0,2,3,0.15,VI 20,789,0.8,4107,VI 120,133,0.8,1357,0.773225362,0,0.480944855,1697,,,,
0,2,4,0.15,VI 20,743,0.8,3962,VI 120,146,0.8,1371,0.706635958,0,0.460877016,1626,,,,
0,2,6,0.15,VI 20,718,0.8,3756,VI 120,166,0.8,1542,0.636016356,0,0.38664121,1803,,,,
0,2,5,0.15,VI 20,688,0.8,3680,VI 120,158,0.8,1546,0.638931351,0,0.376638329,1687,,,,
0,2,7,0.15,VI 20,743,0.8,3928,VI 120,162,0.8,1471,0.661473799,0,0.426558806,1715,,,,
0,2,8,0.15,VI 20,734,0.8,3909,VI 120,159,0.8,1467,0.664298936,0,0.425635557,1766,,,,
0,2,9,0.15,VI 20,752,0.8,3938,VI 120,144,0.8,1317,0.717855348,0,0.475689937,1628,,,,
0,3,0,0.15,VI 20,795,1.052631579,4787,VI 120,158,0.64516129,1290,0.701710042,0.212608093,0.569473717,1707,,,,
0,3,1,0.15,VI 20,797,1.052631579,4797,VI 120,139,0.64516129,1191,0.758443521,0.212608093,0.605057957,1656,,,,
0,3,2,0.15,VI 20,829,1.052631579,4960,VI 120,136,0.64516129,1206,0.785015622,0.212608093,0.614134369,1694,,,,
0,3,4,0.15,VI 20,780,1.052631579,4740,VI 120,145,0.64516129,1228,0.7307266,0.212608093,0.586579975,1585,,,,
0,3,5,0.15,VI 20,827,1.052631579,4961,VI 120,124,0.64516129,1095,0.824083824,0.212608093,0.656155108,1469,,,,
0,3,3,0.15,VI 20,799,1.052631579,4753,VI 120,143,0.64516129,1222,0.747210742,0.212608093,0.589896608,1634,,,,
0,3,6,0.15,VI 20,775,1.052631579,4570,VI 120,136,0.64516129,1190,0.755762794,0.212608093,0.584369239,1561,,,,
0,3,7,0.15,VI 20,849,1.052631579,4990,VI 120,133,0.64516129,1205,0.805056049,0.212608093,0.617113499,1681,,,,
0,3,8,0.15,VI 20,766,1.052631579,4617,VI 120,134,0.64516129,1233,0.757123971,0.212608093,0.573396798,1569,,,,
0,3,9,0.15,VI 20,801,1.052631579,4837,VI 120,127,0.64516129,1145,0.799828795,0.212608093,0.625770601,1555,,,,
0,4,0,0.15,VI 20,875,1.6,6372,VI 120,135,0.533333333,1038,0.811674285,0.477121255,0.788078414,1539,,,,
0,4,1,0.15,VI 20,807,1.6,5903,VI 120,135,0.533333333,1075,0.776539766,0.477121255,0.739664319,1577,,,,
0,4,2,0.15,VI 20,871,1.6,6166,VI 120,153,0.533333333,1126,0.755326724,0.477121255,0.73846513,1671,,,,
0,4,3,0.15,VI 20,855,1.6,6145,VI 120,146,0.533333333,1080,0.767613259,0.477121255,0.755098132,1591,,,,
0,4,4,0.15,VI 20,888,1.6,6314,VI 120,138,0.533333333,1153,0.808533879,0.477121255,0.73847527,1708,,,,
0,4,5,0.15,VI 20,845,1.6,6214,VI 120,156,0.533333333,1100,0.733732111,0.477121255,0.751978564,1604,,,,
0,4,6,0.15,VI 20,822,1.6,6005,VI 120,126,0.533333333,1024,0.814501272,0.477121255,0.768213055,1514,,,,
0,4,7,0.15,VI 20,804,1.6,5930,VI 120,138,0.533333333,1057,0.765376962,0.477121255,0.748979706,1543,,,,
0,4,8,0.15,VI 20,850,1.6,6117,VI 120,144,0.533333333,1053,0.771056434,0.477121255,0.764110109,1486,,,,
0,4,9,0.15,VI 20,845,1.6,6248,VI 120,139,0.533333333,1109,0.783841909,0.477121255,0.750809475,1636,,,,
0,5,0,0.15,VI 45,333,0.533333333,1931,VI 95,187,1.6,2275,0.250602627,-0.477121255,-0.071199127,1636,,,,
0,5,1,0.15,VI 45,353,0.533333333,1888,VI 95,175,1.6,2283,0.304736657,-0.477121255,-0.082503922,1572,,,,
0,5,2,0.15,VI 45,355,0.533333333,1890,VI 95,201,1.6,2396,0.247032296,-0.477121255,-0.10302501,1613,,,,
0,5,3,0.15,VI 45,338,0.533333333,1927,VI 95,177,1.6,2176,0.280943434,-0.477121255,-0.052777176,1553,,,,
0,5,4,0.15,VI 45,346,0.533333333,1931,VI 95,174,1.6,2220,0.298526851,-0.477121255,-0.060570701,1489,,,,
0,5,5,0.15,VI 45,332,0.533333333,1826,VI 95,166,1.6,2138,0.301029996,-0.477121255,-0.068506928,1494,,,,
0,5,6,0.15,VI 45,344,0.533333333,1898,VI 95,185,1.6,2314,0.269386714,-0.477121255,-0.086067147,1544,,,,
0,5,7,0.15,VI 45,379,0.533333333,2070,VI 95,178,1.6,2211,0.328219208,-0.477121255,-0.028618397,1543,,,,
0,5,8,0.15,VI 45,330,0.533333333,1829,VI 95,185,1.6,2254,0.251342211,-0.477121255,-0.090740206,1450,,,,
0,5,9,0.15,VI 45,349,0.533333333,1974,VI 95,182,1.6,2261,0.282754039,-0.477121255,-0.058953414,1602,,,,
0,6,0,0.15,VI 45,364,0.64516129,2212,VI 95,183,1.052631579,1867,0.298650294,-0.212608093,0.073640805,1549,,,,
0,6,1,0.15,VI 45,361,0.64516129,2221,VI 95,199,1.052631579,2034,0.258654125,-0.212608093,0.03819761,1606,,,,
0,6,2,0.15,VI 45,365,0.64516129,2232,VI 95,178,1.052631579,1860,0.311872862,-0.212608093,0.079181246,1538,,,,
0,6,3,0.15,VI 45,330,0.64516129,2062,VI 95,179,1.052631579,1869,0.265660909,-0.212608093,0.04267936,1466,,,,
0,6,4,0.15,VI 45,330,0.64516129,2005,VI 95,194,1.052631579,1898,0.23071221,-0.212608093,0.023818169,1518,,,,
0,6,5,0.15,VI 45,349,0.64516129,2162,VI 95,170,1.052631579,1744,0.312376506,-0.212608093,0.093309209,1452,,,,
0,6,6,0.15,VI 45,332,0.64516129,2083,VI 95,187,1.052631579,1882,0.249296477,-0.212608093,0.044069651,1487,,,,
0,6,7,0.15,VI 45,340,0.64516129,2093,VI 95,165,1.052631579,1756,0.313994973,-0.212608093,0.076244717,1502,,,,
0,6,8,0.15,VI 45,352,0.64516129,2154,VI 95,201,1.052631579,1969,0.243346606,-0.212608093,0.038999983,1506,,,,
0,6,9,0.15,VI 45,361,0.64516129,2242,VI 95,185,1.052631579,1801,0.290335474,-0.212608093,0.095121895,1482,,,,
0,7,0,0.15,VI 45,369,0.8,2485,VI 95,169,0.8,1629,0.339139662,0,0.183405309,1482,,,,
0,7,1,0.15,VI 45,327,0.8,2325,VI 95,167,0.8,1579,0.291831282,0,0.168040827,1520,,,,
0,7,2,0.15,VI 45,368,0.8,2507,VI 95,164,0.8,1652,0.351003971,0,0.181144291,1562,,,,
0,7,3,0.15,VI 45,372,0.8,2569,VI 95,149,0.8,1423,0.397356671,0,0.256559204,1442,,,,
0,7,4,0.15,VI 45,337,0.8,2299,VI 95,188,0.8,1593,0.253472052,0,0.159323195,1469,,,,
0,7,5,0.15,VI 45,371,0.8,2479,VI 95,194,0.8,1661,0.28157218,0,0.173906894,1587,,,,
0,7,8,0.15,VI 45,316,0.8,2281,VI 95,174,0.8,1498,0.259137834,0,0.182613472,1401,,,,
0,7,7,0.15,VI 45,335,0.8,2323,VI 95,188,0.8,1643,0.250886958,0,0.150411646,1523,,,,
0,7,6,0.15,VI 45,365,0.8,2520,VI 95,173,0.8,1589,0.324246761,0,0.200276644,1499,,,,
0,7,9,0.15,VI 45,347,0.8,2441,VI 95,179,0.8,1613,0.287476444,0,0.179933412,1520,,,,
0,8,0,0.15,VI 45,360,1.052631579,2775,VI 95,189,0.64516129,1554,0.279840697,0.212608093,0.251811973,1567,,,,
0,8,1,0.15,VI 45,333,1.052631579,2674,VI 95,161,0.64516129,1441,0.315618357,0.212608093,0.268497422,1437,,,,
0,8,2,0.15,VI 45,375,1.052631579,3019,VI 95,187,0.64516129,1460,0.302189661,0.212608093,0.315510257,1563,,,,
0,8,3,0.15,VI 45,379,1.052631579,2928,VI 95,174,0.64516129,1430,0.338089962,0.212608093,0.311235035,1514,,,,
0,8,4,0.15,VI 45,359,1.052631579,2883,VI 95,170,0.64516129,1475,0.324645527,0.212608093,0.291052622,1496,,,,
0,8,5,0.15,VI 45,365,1.052631579,2854,VI 95,165,0.64516129,1401,0.34480892,0.212608093,0.309015833,1487,,,,
0,8,6,0.15,VI 45,354,1.052631579,2764,VI 95,184,0.64516129,1493,0.284185439,0.212608093,0.267478231,1436,,,,
0,8,8,0.15,VI 45,348,1.052631579,2669,VI 95,172,0.64516129,1506,0.306050797,0.212608093,0.248523602,1438,,,,
0,8,7,0.15,VI 45,357,1.052631579,2763,VI 95,174,0.64516129,1451,0.312118968,0.212608093,0.279713472,1467,,,,
0,8,9,0.15,VI 45,371,1.052631579,2955,VI 95,174,0.64516129,1487,0.328824661,0.212608093,0.298246517,1499,,,,
0,9,0,0.15,VI 45,375,1.6,3547,VI 95,184,0.533333333,1310,0.309213445,0.477121255,0.432589893,1469,,,,
0,9,2,0.15,VI 45,364,1.6,3541,VI 95,179,0.533333333,1325,0.308248353,0.477121255,0.426910048,1509,,,,
0,9,1,0.15,VI 45,342,1.6,3400,VI 95,186,0.533333333,1368,0.264513162,0.477121255,0.39539282,1525,,,,
0,9,3,0.15,VI 45,356,1.6,3469,VI 95,191,0.533333333,1392,0.270416631,0.477121255,0.396565065,1512,,,,
0,9,4,0.15,VI 45,422,1.6,3788,VI 95,173,0.533333333,1329,0.387266348,0.477121255,0.454884989,1506,,,,
