net_type,run_index,repetition_index,mutation_rate,Sch 1,R1,M1,B1,Sch 2,R2,M2,B2,log(R1/R2),log(M1/M2),log(B1/B2),Changeovers,am,ar,log(b)
-1,3,0,0.1,VI 60,1256,1,5665,VI 24,3150,1,11607,-0.399320914,0,-0.31152007,6550,0,,
-1,0,4,0.1,VI 34.3,2183,1,8768,VI 34.3,2090,1,8575,0.01890745,0,0.009666412,6764,,,
-1,2,0,0.1,VI 48,1526,1,6483,VI 26.7,2806,1,10860,-0.264533133,0,-0.224053804,6799,,,
-1,2,4,0.1,VI 48,1510,1,6473,VI 26.7,2742,1,10679,-0.259090503,0,-0.217424979,6719,,,
-1,1,6,0.1,VI 40,1824,1,7707,VI 30,2353,1,9469,-0.110597093,0,-0.089418758,6661,,,
-1,0,8,0.1,VI 34.3,2155,1,8858,VI 34.3,2035,1,8494,0.024882861,0,0.018223419,6914,,,
-1,1,0,0.1,VI 40,1838,1,7625,VI 30,2456,1,9897,-0.125882855,0,-0.113263722,6812,,,
-1,1,4,0.1,VI 40,1858,1,7767,VI 30,2352,1,9491,-0.102391608,0,-0.087058668,6772,,,
-1,0,6,0.1,VI 34.3,2089,1,8640,VI 34.3,2099,1,8675,-0.002073999,0,-0.001755741,6828,,,
-1,2,6,0.1,VI 48,1516,1,6554,VI 26.7,2777,1,10790,-0.262876678,0,-0.216515008,6808,,,
-1,0,2,0.1,VI 34.3,2016,1,8304,VI 34.3,2192,1,8986,-0.036350022,0,-0.034279074,6830,,,
-1,2,2,0.1,VI 48,1547,1,6854,VI 26.7,2652,1,10633,-0.234083206,0,-0.190711714,6872,,,
-1,0,0,0.1,VI 34.3,2086,1,8662,VI 34.3,2065,1,8555,0.004394248,0,0.005398166,6810,,,
-1,1,8,0.1,VI 40,1837,1,7642,VI 30,2478,1,9755,-0.129992146,0,-0.10602024,6799,,,
-1,1,2,0.1,VI 40,1742,1,7374,VI 30,2502,1,9973,-0.157239155,0,-0.131122686,6683,,,
-1,2,8,0.1,VI 48,1580,1,6772,VI 26.7,2698,1,10463,-0.232384858,0,-0.188939276,6734,,,
-1,0,5,0.1,VI 34.3,2129,1,8480,VI 34.3,2191,1,8851,-0.012466716,0,-0.018596488,6860,,,
-1,1,1,0.1,VI 40,1852,1,7892,VI 30,2379,1,9623,-0.10875346,0,-0.086123409,6881,,,
-1,0,9,0.1,VI 34.3,2109,1,8679,VI 34.3,2096,1,8661,0.002685301,0,0.00090165,6861,,,
-1,3,1,0.1,VI 60,1268,1,5915,VI 24,3005,1,11359,-0.374725223,0,-0.283385351,6754,,,
-1,2,5,0.1,VI 48,1549,1,6850,VI 26.7,2682,1,10743,-0.238407356,0,-0.195435004,6775,,,
-1,0,7,0.1,VI 34.3,2107,1,8551,VI 34.3,2149,1,8785,-0.00857188,0,-0.011724859,6774,,,
-1,1,7,0.1,VI 40,1744,1,7209,VI 30,2528,1,9975,-0.161230589,0,-0.141037879,6817,,,
-1,2,1,0.1,VI 48,1588,1,6931,VI 26.7,2661,1,10679,-0.224194376,0,-0.187734688,6900,,,
-1,2,3,0.1,VI 48,1520,1,6794,VI 26.7,2708,1,10841,-0.250805072,0,-0.202943802,6927,,,
-1,2,7,0.1,VI 48,1508,1,6460,VI 26.7,2801,1,10741,-0.268911767,0,-0.220812199,6661,,,
-1,0,3,0.1,VI 34.3,2113,1,8776,VI 34.3,2120,1,8884,-0.001436364,0,-0.005311935,6949,,,
-1,0,1,0.1,VI 34.3,2173,1,8821,VI 34.3,2108,1,8594,0.01318912,0,0.011322473,6924,,,
-1,1,5,0.1,VI 40,1775,1,7430,VI 30,2468,1,9860,-0.143146798,0,-0.122888101,6904,,,
-1,1,3,0.1,VI 40,1783,1,7516,VI 30,2463,1,9919,-0.140313069,0,-0.120481119,6805,,,
-1,1,9,0.1,VI 40,1827,1,7566,VI 30,2405,1,9650,-0.119376533,0,-0.105660976,6831,,,
-1,2,9,0.1,VI 48,1461,1,6440,VI 26.7,2750,1,10908,-0.274682478,0,-0.228859262,6806,,,
-1,3,2,0.1,VI 60,1251,1,5737,VI 24,3143,1,11635,-0.400087071,0,-0.307081538,6684,,,
-1,4,2,0.1,VI 80,994,1,5223,VI 21.8,3330,1,12227,-0.525057849,0,-0.369399886,6720,,,
-1,4,0,0.1,VI 80,938,1,4864,VI 21.8,3382,1,12153,-0.556970765,0,-0.397689932,6399,,,
-1,3,8,0.1,VI 60,1244,1,5735,VI 24,3008,1,11571,-0.383457452,0,-0.304837471,6606,,,
-1,3,6,0.1,VI 60,1251,1,5703,VI 24,3053,1,11468,-0.387469495,0,-0.303384313,6562,,,
-1,5,2,0.1,VI 120,731,1,4680,VI 20,3614,1,12721,-0.694070771,0,-0.4342754,6555,,,
-1,4,6,0.1,VI 80,975,1,5024,VI 21.8,3306,1,12164,-0.530298234,0,-0.384026781,6486,,,
-1,4,8,0.1,VI 80,972,1,5057,VI 21.8,3366,1,12182,-0.539447847,0,-0.381825642,6517,,,
-1,4,4,0.1,VI 80,1023,1,5124,VI 21.8,3399,1,12067,-0.521475531,0,-0.371990192,6579,,,
-1,5,0,0.1,VI 120,712,1,4529,VI 20,3677,1,12501,-0.713013636,0,-0.440942434,6262,,,
-1,5,6,0.1,VI 120,665,1,4432,VI 20,3665,1,12808,-0.741252334,0,-0.460881567,6333,,,
-1,5,4,0.1,VI 120,724,1,4522,VI 20,3641,1,12775,-0.701482113,0,-0.451030351,6322,,,
-1,3,4,0.1,VI 60,1258,1,5648,VI 24,3103,1,11494,-0.392101134,0,-0.308576505,6696,,,
