net_type,run_index,repetition_index,mutation_rate,Sch 1,R1,M1,B1,Sch 2,R2,M2,B2,log(R1/R2),log(M1/M2),log(B1/B2),Changeovers,,8.698358728,,
0,0,0,0.1,VI 20,486,0.533333333,1114,VI 120,134,1.6,858,0.559531471,-0.477121255,0.113397903,618,,0.471968879,0.660595,0.00052738
0,0,1,0.1,VI 20,505,0.533333333,1064,VI 120,140,1.6,809,0.557163342,-0.477121255,0.118993106,584,,0.006526164,0.004584452,0.002144598
0,0,2,0.1,VI 20,499,0.533333333,1185,VI 120,113,1.6,739,0.645022102,-0.477121255,0.205073912,590,,0.991388115,0.033908926,#N/A
0,0,3,0.1,VI 20,518,0.533333333,1140,VI 120,127,1.6,794,0.610526039,-0.477121255,0.157084349,632,,14217.14623,247,#N/A
0,0,4,0.1,VI 20,513,0.533333333,1157,VI 120,123,1.6,758,0.620212254,-0.477121255,0.183664153,615,,32.69418333,0.284004369,#N/A
0,0,5,0.1,VI 20,528,0.533333333,1222,VI 120,122,1.6,751,0.636274092,-0.477121255,0.211431269,577,,,,
0,0,6,0.1,VI 20,475,0.533333333,1095,VI 120,133,1.6,849,0.552841969,-0.477121255,0.110506429,595,,,,
0,0,7,0.1,VI 20,473,0.533333333,1080,VI 120,134,1.6,821,0.547756342,-0.477121255,0.119080598,593,,,,
0,0,8,0.1,VI 20,497,0.533333333,1094,VI 120,125,1.6,731,0.599446376,-0.477121255,0.175099945,546,,,,
0,0,9,0.1,VI 20,491,0.533333333,1098,VI 120,135,1.6,753,0.560747724,-0.477121255,0.163807364,544,,,,
0,1,0,0.1,VI 20,510,0.64516129,1301,VI 120,106,1.052631579,610,0.682264311,-0.212608093,0.328947462,526,,,,
0,1,1,0.1,VI 20,548,0.64516129,1361,VI 120,116,1.052631579,592,0.674322569,-0.212608093,0.361536418,540,,,,
0,1,2,0.1,VI 20,548,0.64516129,1301,VI 120,133,1.052631579,647,0.614928918,-0.212608093,0.303373016,541,,,,
0,1,3,0.1,VI 20,535,0.64516129,1332,VI 120,115,1.052631579,615,0.667655942,-0.212608093,0.335629109,515,,,,
0,1,4,0.1,VI 20,509,0.64516129,1248,VI 120,144,1.052631579,658,0.54835529,-0.212608093,0.277988692,569,,,,
0,1,5,0.1,VI 20,500,0.64516129,1272,VI 120,124,1.052631579,650,0.605548319,-0.212608093,0.291573755,555,,,,
0,1,6,0.1,VI 20,551,0.64516129,1318,VI 120,110,1.052631579,617,0.699758914,-0.212608093,0.329630246,605,,,,
0,1,7,0.1,VI 20,536,0.64516129,1322,VI 120,145,1.052631579,646,0.567796787,-0.212608093,0.310998937,573,,,,
0,1,8,0.1,VI 20,498,0.64516129,1267,VI 120,120,1.052631579,686,0.618048097,-0.212608093,0.266452499,630,,,,
0,1,9,0.1,VI 20,540,0.64516129,1366,VI 120,137,1.052631579,662,0.595673193,-0.212608093,0.31459271,572,,,,
0,2,0,0.1,VI 20,540,0.8,1487,VI 120,123,0.8,600,0.642488648,0,0.394159718,593,,,,
0,2,1,0.1,VI 20,544,0.8,1511,VI 120,110,0.8,553,0.694206215,0,0.436539333,544,,,,
0,2,2,0.1,VI 20,577,0.8,1560,VI 120,112,0.8,533,0.71195779,0,0.466397389,624,,,,
0,2,3,0.1,VI 20,552,0.8,1424,VI 120,125,0.8,562,0.645029065,0,0.403773674,590,,,,
0,2,4,0.1,VI 20,646,0.8,1653,VI 120,110,0.8,486,0.768839833,0,0.531636584,564,,,,
0,2,5,0.1,VI 20,597,0.8,1627,VI 120,116,0.8,580,0.711516342,0,0.447959559,641,,,,
0,2,7,0.1,VI 20,594,0.8,1551,VI 120,122,0.8,521,0.687426614,0,0.473774075,536,,,,
0,2,6,0.1,VI 20,585,0.8,1582,VI 120,115,0.8,567,0.706458026,0,0.44562342,562,,,,
0,2,8,0.1,VI 20,556,0.8,1533,VI 120,113,0.8,545,0.691996348,0,0.449145653,594,,,,
0,2,9,0.1,VI 20,597,0.8,1557,VI 120,112,0.8,543,0.726756308,0,0.457488783,558,,,,
0,3,0,0.1,VI 20,586,1.052631579,1824,VI 120,110,0.64516129,479,0.726504931,0.212608093,0.580689321,569,,,,
0,3,1,0.1,VI 20,602,1.052631579,1800,VI 120,119,0.64516129,474,0.70404953,0.212608093,0.579494163,548,,,,
0,3,2,0.1,VI 20,606,1.052631579,1787,VI 120,133,0.64516129,507,0.658620983,0.212608093,0.547116593,522,,,,
0,3,3,0.1,VI 20,581,1.052631579,1807,VI 120,105,0.64516129,433,0.742986833,0.212608093,0.620470256,519,,,,
0,3,4,0.1,VI 20,624,1.052631579,1840,VI 120,112,0.64516129,494,0.745966567,0.212608093,0.571090874,597,,,,
0,3,5,0.1,VI 20,608,1.052631579,1857,VI 120,119,0.64516129,492,0.708356618,0.212608093,0.576846801,588,,,,
0,3,6,0.1,VI 20,579,1.052631579,1721,VI 120,113,0.64516129,487,0.70960012,0.212608093,0.548251909,541,,,,
0,3,7,0.1,VI 20,596,1.052631579,1865,VI 120,122,0.64516129,521,0.688886429,0.212608093,0.553841113,559,,,,
0,3,8,0.1,VI 20,625,1.052631579,1880,VI 120,119,0.64516129,489,0.720333056,0.212608093,0.58484899,557,,,,
0,3,9,0.1,VI 20,606,1.052631579,1812,VI 120,123,0.64516129,483,0.692567513,0.212608093,0.574211063,537,,,,
0,4,0,0.1,VI 20,720,1.6,2704,VI 120,113,0.533333333,418,0.804254053,0.477121255,0.810830405,540,,,,
0,4,1,0.1,VI 20,682,1.6,2598,VI 120,113,0.533333333,419,0.780705931,0.477121255,0.792425124,498,,,,
0,4,2,0.1,VI 20,681,1.6,2583,VI 120,109,0.533333333,417,0.795720614,0.477121255,0.791988351,532,,,,
0,4,3,0.1,VI 20,702,1.6,2806,VI 120,108,0.533333333,382,0.812913357,0.477121255,0.866024304,461,,,,
0,4,4,0.1,VI 20,678,1.6,2645,VI 120,118,0.533333333,389,0.759347687,0.477121255,0.832476075,514,,,,
0,4,5,0.1,VI 20,691,1.6,2648,VI 120,115,0.533333333,400,0.778780207,0.477121255,0.820857989,520,,,,
0,4,6,0.1,VI 20,690,1.6,2702,VI 120,102,0.533333333,393,0.830248919,0.477121255,0.837292794,544,,,,
0,4,7,0.1,VI 20,628,1.6,2447,VI 120,126,0.533333333,452,0.697589099,0.477121255,0.733495535,540,,,,
0,4,8,0.1,VI 20,665,1.6,2575,VI 120,98,0.533333333,397,0.83159557,0.477121255,0.811986727,501,,,,
0,4,9,0.1,VI 20,698,1.6,2535,VI 120,104,0.533333333,407,0.826822083,0.477121255,0.794383554,498,,,,
