net_type,run_index,repetition_index,mutation_rate,Sch 1,R1,M1,B1,Sch 2,R2,M2,B2,log(R1/R2),log(M1/M2),log(B1/B2),Changeovers,,,,
2,0,1,0.1,VI 20,519,0.533333333,1247,VI 120,142,1.6,1039,0.562879013,-0.477121255,0.079250906,899,,0.669722847,0.796189252,-0.000634383
2,0,0,0.1,VI 20,540,0.533333333,1359,VI 120,142,1.6,962,0.580105415,-0.477121255,0.150044385,819,,0.010029189,0.006699015,0.003288177
2,0,2,0.1,VI 20,490,0.533333333,1248,VI 120,137,1.6,1059,0.553475513,-0.477121255,0.071318625,884,,0.988295007,0.051988727,#N/A
2,0,3,0.1,VI 20,515,0.533333333,1330,VI 120,125,1.6,1013,0.614897216,-0.477121255,0.118242196,814,,10427.55324,247,#N/A
2,0,4,0.1,VI 20,590,0.533333333,1480,VI 120,115,1.6,920,0.710154171,-0.477121255,0.206473888,840,,56.36776107,0.66759846,#N/A
2,0,5,0.1,VI 20,560,0.533333333,1372,VI 120,135,1.6,938,0.617854259,-0.477121255,0.165151273,864,,,,
2,0,6,0.1,VI 20,553,0.533333333,1337,VI 120,149,1.6,1020,0.569538863,-0.477121255,0.117531236,862,,,,
2,0,7,0.1,VI 20,541,0.533333333,1366,VI 120,147,1.6,1078,0.56587993,-0.477121255,0.102831938,880,,,,
2,0,8,0.1,VI 20,558,0.533333333,1400,VI 120,135,1.6,889,0.61630043,-0.477121255,0.197226275,780,,,,
2,0,9,0.1,VI 20,520,0.533333333,1348,VI 120,139,1.6,961,0.572988543,-0.477121255,0.146966505,834,,,,
2,1,0,0.1,VI 20,571,0.64516129,1581,VI 120,144,1.052631579,791,0.598273616,-0.212608093,0.300755386,820,,,,
2,1,1,0.1,VI 20,560,0.64516129,1567,VI 120,149,1.052631579,723,0.575001759,-0.212608093,0.335930699,751,,,,
2,1,2,0.1,VI 20,619,0.64516129,1734,VI 120,126,1.052631579,741,0.691320104,-0.212608093,0.369230885,785,,,,
