run_index,repetition_index,R1,B1,R2,B2,log(R1/R2),log(B1/B2)
0,0,1139,7746,1068,7204,0.02795247138656275,0.0315037885025682
0,2,1140,7667,1107,7497,0.01275723045774981,0.00973795241012198
0,3,1088,7514,1086,7434,0.0007990701093330031,0.004648633967658683
0,1,1108,7639,1061,7273,0.018824376491070268,0.021322922456245546
0,4,1094,7449,1091,7501,0.0011925714090700592,-0.0030211911883414764
0,8,1086,7415,1095,7399,-0.0035842939233089854,0.0009381280427176916
0,9,1162,7946,1078,7198,0.032587367203592045,0.0429367184024516
0,10,1044,7253,1118,7624,-0.029741304884161133,-0.021665210168523685
0,6,1126,7888,1042,7124,0.03367067155182176,0.0442429911419489
0,7,1075,7308,1133,7685,-0.022821445611773086,-0.02184533315526375
0,11,1110,7545,1067,7193,0.017158559362187534,0.020749183810822434
0,5,1110,7414,1105,7617,0.0019607007655279246,-0.011731373899839819
0,12,1099,7386,1075,7539,0.00958922817186646,-0.00890443999727848
0,13,1100,7446,1088,7456,0.004763789796063924,-0.000582867463551504
0,14,1113,7533,1085,7487,0.011065426150160027,0.0026601343045459195
0,15,1096,7363,1084,7291,0.004781271945982265,0.0042677022413572805
0,21,1098,7475,1094,7392,0.0015850181166610936,0.00484923878441696
0,22,1101,7541,1090,7367,0.004360821031128104,0.01013827093333564
0,20,1109,7575,1091,7505,0.007106795560818186,0.004031940595053469
0,17,1091,7258,1153,7728,-0.024004556706357136,-0.027250149542899213
0,16,1126,7588,1050,7268,0.030349091445389373,0.01871240358062822
0,18,1076,7323,1120,7456,-0.01740575133981123,-0.007816865209073917
0,27,1048,7309,1072,7410,-0.009833502709043348,-0.005960246095355228
0,19,1036,7170,1064,7356,-0.011581872549815147,-0.011122564898239738
0,25,1142,7714,1081,7274,0.023840409956518916,0.025506337811329976
0,23,1060,7275,1114,7466,-0.021579325572939866,-0.011254987932340858
0,24,1084,7385,1092,7561,-0.0031933561663502964,-0.010228738414250925
0,26,1087,7428,1088,7525,-0.0003993512758665826,-0.0056346091981381565
0,28,1077,7524,1090,7500,-0.005210794642642038,0.0013875234866412602
0,29,1093,7428,1082,7374,0.004392901179152168,0.0031687617976450737
1,0,968,6591,1311,8646,-0.13172733438169063,-0.11786391955746017
1,1,1020,6836,1310,8230,-0.10867112389384671,-0.08059778116357061
1,2,978,6881,1273,8335,-0.11448954886605396,-0.08325404631763168
1,5,974,6785,1271,8467,-0.11558659367539263,-0.09617970777589864
1,4,928,6476,1299,8482,-0.1460611748541658,-0.11719142804235468
1,6,1039,7017,1247,8188,-0.0792509059213652,-0.06702635746165256
1,3,1005,6864,1259,8257,-0.09785966835135491,-0.08024500975526302
1,8,926,6548,1263,8357,-0.13479236387339644,-0.10594173142726994
1,7,966,6889,1294,8339,-0.1269571499171882,-0.08295778908453286
1,10,998,6836,1241,8110,-0.09464124021135872,-0.07421880016245683
1,9,922,6669,1307,8531,-0.15154466652691495,-0.1069392245374991
1,11,992,6848,1273,8471,-0.10831673149947674,-0.09237093007208266
1,12,971,6771,1283,8302,-0.12100742646692365,-0.08852991524507615
1,13,983,7002,1262,8290,-0.10850583707597991,-0.07333242412125973
1,14,984,6706,1320,8595,-0.12757883277450835,-0.10778233193026997
