net_type,run_index,repetition_index,mutation_rate,Sch 1,R1,M1,B1,Sch 2,R2,M2,B2,log(R1/R2),log(M1/M2),log(B1/B2),Changeovers,,,,
0,0,0,0.1,VI 20,749,0.533333333,3719,VI 120,142,1.6,1962,0.722193473,-0.477121255,0.277727175,1647,,0.631962149,0.81637968,-0.001495071
0,0,1,0.1,VI 20,796,0.533333333,3884,VI 120,154,1.6,2034,0.713392347,-0.477121255,0.280928273,1715,,0.003478169,0.002112412,0.001146156
0,0,2,0.1,VI 20,795,0.533333333,3896,VI 120,162,1.6,2034,0.690852114,-0.477121255,0.282268,1717,,0.998723899,0.018122311,#N/A
0,0,3,0.1,VI 20,778,0.533333333,3885,VI 120,136,1.6,1869,0.757440689,-0.477121255,0.317781722,1621,,96655.64736,247,#N/A
0,0,4,0.1,VI 20,782,0.533333333,3760,VI 120,150,1.6,1990,0.717115494,-0.477121255,0.276334769,1697,,63.48694017,0.081119286,#N/A
0,0,5,0.1,VI 20,764,0.533333333,3804,VI 120,143,1.6,1886,0.727757321,-0.477121255,0.30469882,1576,,,,
0,0,6,0.1,VI 20,753,0.533333333,3818,VI 120,133,1.6,1807,0.752943335,-0.477121255,0.324877771,1569,,,,
0,0,7,0.1,VI 20,726,0.533333333,3661,VI 120,137,1.6,1909,0.724216054,-0.477121255,0.2827938,1611,,,,
0,0,8,0.1,VI 20,737,0.533333333,3623,VI 120,146,1.6,2029,0.703114632,-0.477121255,0.251786287,1611,,,,
0,0,9,0.1,VI 20,737,0.533333333,3712,VI 120,141,1.6,1983,0.718248375,-0.477121255,0.272285253,1645,,,,
0,1,0,0.1,VI 20,790,0.64516129,4356,VI 120,134,1.052631579,1444,0.770522293,-0.212608093,0.479520678,1474,,,,
0,1,1,0.1,VI 20,811,0.64516129,4545,VI 120,135,1.052631579,1490,0.778687086,-0.212608093,0.484347619,1528,,,,
0,1,2,0.1,VI 20,779,0.64516129,4392,VI 120,139,1.052631579,1518,0.748522657,-0.212608093,0.46139056,1622,,,,
0,1,3,0.1,VI 20,774,0.64516129,4452,VI 120,136,1.052631579,1480,0.755202052,-0.212608093,0.47829344,1585,,,,
0,1,4,0.1,VI 20,779,0.64516129,4327,VI 120,156,1.052631579,1547,0.698412859,-0.212608093,0.446696581,1545,,,,
0,1,5,0.1,VI 20,789,0.64516129,4331,VI 120,163,1.052631579,1688,0.684889399,-0.212608093,0.409215741,1760,,,,
0,1,6,0.1,VI 20,780,0.64516129,4407,VI 120,138,1.052631579,1469,0.752215516,-0.212608093,0.477121255,1482,,,,
0,1,7,0.1,VI 20,828,0.64516129,4610,VI 120,133,1.052631579,1447,0.794178696,-0.212608093,0.503232394,1576,,,,
0,1,8,0.1,VI 20,799,0.64516129,4524,VI 120,143,1.052631579,1491,0.747210742,-0.212608093,0.482044953,1492,,,,
0,2,1,0.1,VI 20,870,0.8,5415,VI 120,124,0.8,1150,0.846097567,0,0.672900621,1417,,,,
0,1,9,0.1,VI 20,799,0.64516129,4614,VI 120,131,1.052631579,1436,0.785275484,-0.212608093,0.50692315,1589,,,,
0,2,0,0.1,VI 20,774,0.8,5171,VI 120,137,0.8,1210,0.752020394,0,0.630789167,1532,,,,
0,2,2,0.1,VI 20,859,0.8,5424,VI 120,142,0.8,1190,0.781704819,0,0.658772719,1538,,,,
0,2,3,0.1,VI 20,850,0.8,5259,VI 120,136,0.8,1237,0.795880017,0,0.628533471,1496,,,,
0,2,4,0.1,VI 20,842,0.8,5357,VI 120,126,0.8,1142,0.824941546,0,0.671255542,1442,,,,
0,2,6,0.1,VI 20,838,0.8,5241,VI 120,136,0.8,1142,0.78970511,0,0.661748056,1376,,,,
0,2,5,0.1,VI 20,832,0.8,5225,VI 120,142,0.8,1293,0.767834982,0,0.60648777,1479,,,,
0,2,7,0.1,VI 20,828,0.8,5319,VI 120,127,0.8,1120,0.814226616,0,0.676611968,1382,,,,
0,2,8,0.1,VI 20,860,0.8,5499,VI 120,122,0.8,1089,0.848138621,0,0.70325584,1418,,,,
0,2,9,0.1,VI 20,817,0.8,5192,VI 120,127,0.8,1154,0.808418336,0,0.653128875,1419,,,,
0,3,0,0.1,VI 20,846,1.052631579,6160,VI 120,129,0.64516129,1000,0.816780653,0.212608093,0.789580712,1339,,,,
0,3,1,0.1,VI 20,847,1.052631579,6257,VI 120,114,0.64516129,891,0.870978559,0.212608093,0.846488451,1224,,,,
0,3,2,0.1,VI 20,887,1.052631579,6579,VI 120,120,0.64516129,903,0.868742374,0.212608093,0.862472136,1304,,,,
0,3,3,0.1,VI 20,866,1.052631579,6290,VI 120,132,0.64516129,938,0.816943961,0.212608093,0.826447807,1320,,,,
0,3,4,0.1,VI 20,852,1.052631579,6274,VI 120,122,0.64516129,947,0.844079764,0.212608093,0.821194535,1304,,,,
0,3,5,0.1,VI 20,928,1.052631579,6569,VI 120,125,0.64516129,951,0.870637963,0.212608093,0.839318745,1310,,,,
0,3,6,0.1,VI 20,839,1.052631579,6283,VI 120,117,0.64516129,894,0.855576099,0.212608093,0.846829541,1260,,,,
0,3,7,0.1,VI 20,807,1.052631579,5893,VI 120,131,0.64516129,1061,0.789602239,0.212608093,0.744621057,1345,,,,
0,3,8,0.1,VI 20,866,1.052631579,6283,VI 120,142,0.64516129,1007,0.785229548,0.212608093,0.795137589,1417,,,,
