net_type,run_index,repetition_index,mutation_rate,Sch 1,R1,M1,B1,Sch 2,R2,M2,B2,log(R1/R2),log(M1/M2),log(B1/B2),Changeovers,,,,
0,0,0,0.1,VI 20,744,0.533333333,3749,VI 120,153,1.6,2301,0.686881505,-0.477121255,0.211998822,2044,,0.603376081,0.760288426,0.001793443
0,0,1,0.1,VI 20,791,0.533333333,4064,VI 120,132,1.6,2040,0.777602552,-0.477121255,0.299323532,1916,,0.003569153,0.002221198,0.001177338
0,0,2,0.1,VI 20,767,0.533333333,4016,VI 120,134,1.6,2055,0.757690566,-0.477121255,0.290981878,1983,,0.998383413,0.018615335,#N/A
0,0,3,0.1,VI 20,732,0.533333333,3755,VI 120,160,1.6,2329,0.660391098,-0.477121255,0.207440453,2060,,76271.99944,247,#N/A
0,0,4,0.1,VI 20,776,0.533333333,3968,VI 120,150,1.6,2109,0.713770462,-0.477121255,0.274495084,2024,,52.86118013,0.085593085,#N/A
0,0,5,0.1,VI 20,739,0.533333333,3846,VI 120,155,1.6,2357,0.67831274,-0.477121255,0.212649697,2178,,,,
0,0,6,0.1,VI 20,806,0.533333333,4161,VI 120,136,1.6,2103,0.772796133,-0.477121255,0.296358443,2101,,,,
0,0,7,0.1,VI 20,795,0.533333333,4052,VI 120,151,1.6,2160,0.721390181,-0.477121255,0.273215686,2098,,,,
0,0,8,0.1,VI 20,793,0.533333333,4061,VI 120,140,1.6,2132,0.753145152,-0.477121255,0.279845789,1996,,,,
0,0,9,0.1,VI 20,792,0.533333333,3971,VI 120,156,1.6,2211,0.705600583,-0.477121255,0.254311144,2054,,,,
0,1,0,0.1,VI 20,789,0.64516129,4584,VI 120,137,1.052631579,1711,0.760356436,-0.212608093,0.427994599,1906,,,,
0,1,1,0.1,VI 20,797,0.64516129,4680,VI 120,142,1.052631579,1678,0.749169977,-0.212608093,0.445453897,1980,,,,
0,1,2,0.1,VI 20,773,0.64516129,4667,VI 120,147,1.052631579,1689,0.720862159,-0.212608093,0.441408151,1880,,,,
0,1,3,0.1,VI 20,830,0.64516129,4679,VI 120,142,1.052631579,1710,0.766789748,-0.212608093,0.437156935,1941,,,,
0,1,4,0.1,VI 20,746,0.64516129,4432,VI 120,138,1.052631579,1645,0.732859741,-0.212608093,0.430433849,1860,,,,
0,1,5,0.1,VI 20,815,0.64516129,4799,VI 120,157,1.052631579,1723,0.715257956,-0.212608093,0.444865472,1892,,,,
0,1,6,0.1,VI 20,803,0.64516129,4636,VI 120,142,1.052631579,1649,0.752427201,-0.212608093,0.448922772,1810,,,,
0,1,7,0.1,VI 20,774,0.64516129,4611,VI 120,151,1.052631579,1791,0.709764013,-0.212608093,0.410699536,1855,,,,
0,1,8,0.1,VI 20,815,0.64516129,4762,VI 120,147,1.052631579,1741,0.743840274,-0.212608093,0.43699062,1986,,,,
0,2,0,0.1,VI 20,825,0.8,5324,VI 120,144,0.8,1432,0.758091456,0,0.570295029,1883,,,,
0,1,9,0.1,VI 20,787,0.64516129,4662,VI 120,141,1.052631579,1683,0.74675562,-0.212608093,0.442488153,1891,,,,
0,2,1,0.1,VI 20,800,0.8,5284,VI 120,159,0.8,1492,0.701692863,0,0.549193986,1853,,,,
0,2,2,0.1,VI 20,842,0.8,5446,VI 120,144,0.8,1409,0.766949599,0,0.587166644,1786,,,,
0,2,3,0.1,VI 20,782,0.8,5105,VI 120,159,0.8,1586,0.691809629,0,0.507692563,1862,,,,
0,2,4,0.1,VI 20,765,0.8,5257,VI 120,142,0.8,1426,0.731373091,0,0.566618452,1754,,,,
0,2,5,0.1,VI 20,821,0.8,5410,VI 120,153,0.8,1415,0.729651726,0,0.582440825,1871,,,,
0,2,6,0.1,VI 20,819,0.8,5366,VI 120,114,0.8,1266,0.85637905,0,0.627216963,1701,,,,
0,2,8,0.1,VI 20,866,0.8,5741,VI 120,138,0.8,1377,0.797638806,0,0.620053607,1828,,,,
0,2,7,0.1,VI 20,816,0.8,5417,VI 120,135,0.8,1430,0.78135639,0,0.578422798,1782,,,,
0,2,9,0.1,VI 20,824,0.8,5409,VI 120,132,0.8,1329,0.79535328,0,0.609592,1732,,,,
0,3,0,0.1,VI 20,849,1.052631579,6427,VI 120,155,0.64516129,1244,0.738575992,0.212608093,0.71318792,1711,,,,
0,3,2,0.1,VI 20,899,1.052631579,6615,VI 120,130,0.64516129,1105,0.839816339,0.212608093,0.777167571,1636,,,,
0,3,1,0.1,VI 20,875,1.052631579,6513,VI 120,147,0.64516129,1177,0.774690718,0.212608093,0.743004615,1614,,,,
0,3,3,0.1,VI 20,841,1.052631579,6419,VI 120,123,0.64516129,1056,0.834890884,0.212608093,0.783803457,1532,,,,
0,3,4,0.1,VI 20,897,1.052631579,6664,VI 120,132,0.64516129,1112,0.832218512,0.212608093,0.777630201,1631,,,,
0,3,5,0.1,VI 20,874,1.052631579,6507,VI 120,149,0.64516129,1225,0.768325164,0.212608093,0.725244718,1740,,,,
0,3,6,0.1,VI 20,807,1.052631579,6278,VI 120,110,0.64516129,1025,0.86548085,0.212608093,0.787097446,1455,,,,
0,3,7,0.1,VI 20,877,1.052631579,6540,VI 120,132,0.64516129,1160,0.822425662,0.212608093,0.751119759,1629,,,,
0,3,8,0.1,VI 20,885,1.052631579,6701,VI 120,130,0.64516129,1058,0.832999918,0.212608093,0.80165395,1477,,,,
0,3,9,0.1,VI 20,845,1.052631579,6447,VI 120,122,0.64516129,1073,0.840496878,0.212608093,0.778757948,1572,,,,
0,4,1,0.1,VI 20,919,1.6,8151,VI 120,146,0.533333333,936,0.798962656,0.477121255,0.939935044,1425,,,,
0,4,0,0.1,VI 20,894,1.6,7943,VI 120,138,0.533333333,989,0.811458432,0.477121255,0.904788271,1512,,,,
0,4,2,0.1,VI 20,905,1.6,8084,VI 120,136,0.533333333,925,0.823109671,0.477121255,0.941484572,1422,,,,
0,4,3,0.1,VI 20,896,1.6,8013,VI 120,123,0.533333333,874,0.862402898,0.477121255,0.96228371,1352,,,,
0,4,4,0.1,VI 20,878,1.6,7929,VI 120,139,0.533333333,973,0.800479716,0.477121255,0.911105578,1473,,,,
0,4,5,0.1,VI 20,878,1.6,8053,VI 120,125,0.533333333,930,0.846584503,0.477121255,0.937474751,1432,,,,
0,4,6,0.1,VI 20,843,1.6,7705,VI 120,134,0.533333333,973,0.798722776,0.477121255,0.898659803,1482,,,,
0,4,7,0.1,VI 20,895,1.6,8135,VI 120,132,0.533333333,928,0.831249104,0.477121255,0.942809581,1442,,,,
0,4,8,0.1,VI 20,911,1.6,8139,VI 120,135,0.533333333,922,0.829184608,0.477121255,0.945840127,1412,,,,
0,4,9,0.1,VI 20,911,1.6,8156,VI 120,136,0.533333333,955,0.825979469,0.477121255,0.931473846,1477,,,,
0,5,0,0.1,VI 45,364,0.533333333,2335,VI 95,190,1.6,2890,0.282347783,-0.477121255,-0.092610958,1816,,,,
0,5,1,0.1,VI 45,337,0.533333333,2223,VI 95,198,1.6,2986,0.230964711,-0.477121255,-0.128150341,1859,,,,
0,5,2,0.1,VI 45,355,0.533333333,2300,VI 95,200,1.6,2997,0.249198357,-0.477121255,-0.114958907,1888,,,,
0,5,3,0.1,VI 45,344,0.533333333,2210,VI 95,212,1.6,3012,0.210222582,-0.477121255,-0.134462694,1817,,,,
0,5,4,0.1,VI 45,348,0.533333333,2252,VI 95,187,1.6,2841,0.269737637,-0.477121255,-0.100902848,1835,,,,
0,5,5,0.1,VI 45,373,0.533333333,2488,VI 95,182,1.6,2586,0.311637444,-0.477121255,-0.016778145,1820,,,,
0,5,6,0.1,VI 45,362,0.533333333,2324,VI 95,191,1.6,2789,0.277675203,-0.477121255,-0.079212391,1752,,,,
0,5,7,0.1,VI 45,342,0.533333333,2208,VI 95,188,1.6,2775,0.259868257,-0.477121255,-0.099263918,1737,,,,
0,5,8,0.1,VI 45,356,0.533333333,2297,VI 95,175,1.6,2646,0.308411949,-0.477121255,-0.061428845,1704,,,,
