net_type,run_index,repetition_index,Sch 1,R1,B1,M1,Sch 2,R2,B2,M2,log(R1/R2),log(M1/M2),log(B1/B2),Changeovers,,,,
1,22,6,VI 120,113,503,0.8,VI 20,536,1559,0.8,-0.676086346,0,-0.49127813,499,,,,
1,22,8,VI 120,100,487,0.8,VI 20,577,1598,0.8,-0.761175813,0,-0.516047814,509,,,,
1,22,7,VI 120,108,472,0.8,VI 20,595,1659,0.8,-0.74109321,0,-0.545904387,459,,,,
1,22,9,VI 120,113,423,0.8,VI 20,639,1850,0.8,-0.752422415,0,-0.640831361,470,,,,
1,23,0,VI 120,115,592,1.052631579,VI 20,481,1275,0.64516129,-0.621447236,0.212608093,-0.333188478,541,,,,
1,23,1,VI 120,131,640,1.052631579,VI 20,487,1233,0.64516129,-0.570257666,0.212608093,-0.284783103,517,,,,
1,23,2,VI 120,113,606,1.052631579,VI 20,504,1249,0.64516129,-0.649352093,0.212608093,-0.314089814,550,,,,
1,23,3,VI 120,143,702,1.052631579,VI 20,479,1136,0.64516129,-0.524999476,0.212608093,-0.209041219,553,,,,
1,23,5,VI 120,122,701,1.052631579,VI 20,493,1331,0.64516129,-0.606487089,0.212608093,-0.278460038,539,,,,
1,23,4,VI 120,109,604,1.052631579,VI 20,493,1261,0.64516129,-0.655420421,0.212608093,-0.319678148,502,,,,
1,23,6,VI 120,120,663,1.052631579,VI 20,468,1292,0.64516129,-0.591064607,0.212608093,-0.289748985,537,,,,
1,23,7,VI 120,124,687,1.052631579,VI 20,458,1146,0.64516129,-0.567443793,0.212608093,-0.222227881,519,,,,
1,23,8,VI 120,114,562,1.052631579,VI 20,517,1305,0.64516129,-0.656585692,0.212608093,-0.365874196,512,,,,
1,23,9,VI 120,117,645,1.052631579,VI 20,517,1323,0.64516129,-0.645304681,0.212608093,-0.31200013,575,,,,
1,24,0,VI 120,120,711,1.6,VI 20,499,1116,0.533333333,-0.6189193,0.477121255,-0.195794594,522,,,,
1,24,1,VI 120,128,884,1.6,VI 20,419,932,0.533333333,-0.515004053,0.477121255,-0.022963647,550,,,,
1,24,2,VI 120,139,836,1.6,VI 20,438,1030,0.533333333,-0.49845931,0.477121255,-0.090630947,521,,,,
1,24,3,VI 120,130,830,1.6,VI 20,464,1042,0.533333333,-0.552574628,0.477121255,-0.098789627,588,,,,
1,24,4,VI 120,113,802,1.6,VI 20,465,1101,0.533333333,-0.614374509,0.477121255,-0.137612951,520,,,,
1,24,5,VI 120,139,859,1.6,VI 20,461,1064,0.533333333,-0.520686125,0.477121255,-0.092948464,538,,,,
1,24,6,VI 120,134,827,1.6,VI 20,445,1012,0.533333333,-0.521255213,0.477121255,-0.087675003,524,,,,
1,24,7,VI 120,122,786,1.6,VI 20,484,1099,0.533333333,-0.598485531,0.477121255,-0.145575146,522,,,,
1,24,8,VI 120,129,830,1.6,VI 20,474,1089,0.533333333,-0.565188631,0.477121255,-0.117949787,532,,,,
1,24,9,VI 120,143,890,1.6,VI 20,464,1010,0.533333333,-0.511181943,0.477121255,-0.054931367,563,,,,
