net_type,run_index,repetition_index,Sch 1,R1,B1,M1,Sch 2,R2,B2,M2,log(R1/R2),log(M1/M2),log(B1/B2),Changeovers,,,,
1,3,0,VI 20,629,2194,1.052631579,VI 120,96,360,0.64516129,0.816379412,0.212608093,0.784934122,438,,,,
1,3,1,VI 20,613,2014,1.052631579,VI 120,114,357,0.64516129,0.730555623,0.212608093,0.75139125,407,,,,
1,3,2,VI 20,617,1929,1.052631579,VI 120,107,350,0.64516129,0.760901386,0.212608093,0.741264183,387,,,,
1,3,3,VI 20,637,2032,1.052631579,VI 120,102,388,0.64516129,0.795539261,0.212608093,0.719091978,403,,,,
1,3,4,VI 20,644,2094,1.052631579,VI 120,97,342,0.64516129,0.822114133,0.212608093,0.786950571,376,,,,
1,3,5,VI 20,659,2135,1.052631579,VI 120,103,365,0.64516129,0.80604819,0.212608093,0.767105015,432,,,,
1,3,6,VI 20,607,2108,1.052631579,VI 120,96,352,0.64516129,0.800917458,0.212608093,0.777327943,411,,,,
1,3,7,VI 20,572,1979,1.052631579,VI 120,97,333,0.64516129,0.770624295,0.212608093,0.774001561,418,,,,
1,3,8,VI 20,614,2073,1.052631579,VI 120,103,357,0.64516129,0.775331146,0.212608093,0.763931086,389,,,,
1,3,9,VI 20,624,2149,1.052631579,VI 120,105,377,0.64516129,0.773995291,0.212608093,0.755895065,409,,,,
1,4,0,VI 20,672,2896,1.6,VI 120,84,240,0.533333333,0.903089987,0.477121255,1.081587316,294,,,,
1,4,1,VI 20,691,2989,1.6,VI 120,84,254,0.533333333,0.915198761,0.477121255,1.070692198,316,,,,
1,4,2,VI 20,743,3267,1.6,VI 120,98,255,0.533333333,0.879762738,0.477121255,1.107608954,333,,,,
1,4,3,VI 20,693,3077,1.6,VI 120,87,245,0.533333333,0.901213982,0.477121255,1.098961412,306,,,,
1,4,4,VI 20,681,2880,1.6,VI 120,88,249,0.533333333,0.88866444,0.477121255,1.063193141,314,,,,
1,4,5,VI 20,694,2937,1.6,VI 120,87,246,0.533333333,0.901840218,0.477121255,1.076968839,306,,,,
1,4,6,VI 20,675,2795,1.6,VI 120,79,261,0.533333333,0.931676682,0.477121255,1.029741305,290,,,,
1,4,7,VI 20,651,2790,1.6,VI 120,87,277,0.533333333,0.874061736,0.477121255,1.003124434,337,,,,
1,4,8,VI 20,632,2693,1.6,VI 120,107,280,0.533333333,0.771333301,0.477121255,0.983078322,340,,,,
1,4,9,VI 20,720,3076,1.6,VI 120,83,219,0.533333333,0.938254404,0.477121255,1.147542216,249,,,,
1,5,0,VI 45,269,813,0.533333333,VI 95,167,1055,1.6,0.207035809,-0.477121255,-0.113161914,549,,,,
1,5,1,VI 45,262,801,0.533333333,VI 95,167,1060,1.6,0.19558482,-0.477121255,-0.121673349,560,,,,
1,5,2,VI 45,260,776,0.533333333,VI 95,173,1105,1.6,0.176927245,-0.477121255,-0.153500557,565,,,,
1,5,3,VI 45,245,725,0.533333333,VI 95,155,1106,1.6,0.198834386,-0.477121255,-0.18341712,574,,,,
1,5,4,VI 45,263,772,0.533333333,VI 95,174,1142,1.6,0.1794065,-0.477121255,-0.170048804,589,,,,
1,5,5,VI 45,272,799,0.533333333,VI 95,163,1055,1.6,0.2223813,-0.477121255,-0.12070568,584,,,,
1,5,6,VI 45,277,825,0.533333333,VI 95,170,1094,1.6,0.212030848,-0.477121255,-0.122563373,588,,,,
1,5,7,VI 45,258,774,0.533333333,VI 95,176,1092,1.6,0.166107038,-0.477121255,-0.149481678,549,,,,
1,5,8,VI 45,269,785,0.533333333,VI 95,151,1009,1.6,0.250775333,-0.477121255,-0.109021509,543,,,,
