net_type,run_index,repetition_index,mutation_rate,Sch 1,R1,M1,B1,Sch 2,R2,M2,B2,log(R1/R2),log(M1/M2),log(B1/B2),Changeovers,,94.38133323,,
0,0,0,0.1,VI 20,502,0.533333333,1332,VI 120,131,1.6,910,0.583432421,-0.477121255,0.165462833,507,,0.507135412,0.751956478,-0.002612658
0,0,1,0.1,VI 20,482,0.533333333,1287,VI 120,128,1.6,872,0.575837069,-0.477121255,0.169062062,502,,0.005770917,0.003853471,0.001896694
0,0,2,0.1,VI 20,528,0.533333333,1415,VI 120,109,1.6,807,0.685207425,-0.477121255,0.243882905,511,,0.995063167,0.029989255,#N/A
0,0,3,0.1,VI 20,545,0.533333333,1444,VI 120,118,1.6,777,0.664514495,-0.477121255,0.269146174,491,,24892.53553,247,#N/A
0,0,4,0.1,VI 20,558,0.533333333,1446,VI 120,116,1.6,766,0.68217621,-0.477121255,0.275939523,540,,44.77447204,0.222140781,#N/A
0,0,5,0.1,VI 20,528,0.533333333,1341,VI 120,126,1.6,857,0.622263377,-0.477121255,0.194447956,530,,,,
0,0,6,0.1,VI 20,519,0.533333333,1392,VI 120,114,1.6,773,0.658262507,-0.477121255,0.255459741,517,,,,
0,0,7,0.1,VI 20,552,0.533333333,1405,VI 120,118,1.6,818,0.67005707,-0.477121255,0.234923021,505,,,,
0,0,8,0.1,VI 20,497,0.533333333,1333,VI 120,111,1.6,743,0.65103341,-0.477121255,0.253841336,525,,,,
0,0,9,0.1,VI 20,566,0.533333333,1476,VI 120,115,1.6,821,0.692118591,-0.477121255,0.2547432,574,,,,
0,1,0,0.1,VI 20,537,0.64516129,1521,VI 120,132,1.052631579,783,0.609400354,-0.212608093,0.288367452,521,,,,
0,1,1,0.1,VI 20,537,0.64516129,1612,VI 120,130,1.052631579,646,0.616030933,-0.212608093,0.397132519,492,,,,
0,1,2,0.1,VI 20,494,0.64516129,1432,VI 120,128,1.052631579,756,0.586516979,-0.212608093,0.277421222,501,,,,
0,1,3,0.1,VI 20,624,0.64516129,1777,VI 120,111,1.052631579,620,0.749861611,-0.212608093,0.457295738,479,,,,
0,1,4,0.1,VI 20,572,0.64516129,1666,VI 120,130,1.052631579,668,0.643452676,-0.212608093,0.396898535,495,,,,
0,1,7,0.1,VI 20,562,0.64516129,1588,VI 120,124,1.052631579,661,0.65631463,-0.212608093,0.380649039,473,,,,
0,1,5,0.1,VI 20,537,0.64516129,1478,VI 120,135,1.052631579,690,0.599640517,-0.212608093,0.330825343,505,,,,
0,1,6,0.1,VI 20,561,0.64516129,1592,VI 120,111,1.052631579,621,0.703639882,-0.212608093,0.408851463,492,,,,
0,1,8,0.1,VI 20,577,0.64516129,1647,VI 120,107,1.052631579,595,0.731792035,-0.212608093,0.442176633,509,,,,
0,1,9,0.1,VI 20,575,0.64516129,1629,VI 120,124,1.052631579,676,0.66624616,-0.212608093,0.381974388,490,,,,
0,2,1,0.1,VI 20,592,0.8,1886,VI 120,113,0.8,579,0.719243263,0,0.512863125,508,,,,
0,2,0,0.1,VI 20,541,0.8,1785,VI 120,125,0.8,611,0.636287252,0,0.46559701,475,,,,
0,2,2,0.1,VI 20,602,0.8,1888,VI 120,115,0.8,580,0.718898651,0,0.512573996,528,,,,
0,2,5,0.1,VI 20,643,0.8,1962,VI 120,120,0.8,522,0.729029727,0,0.5750285,480,,,,
0,2,4,0.1,VI 20,613,0.8,1964,VI 120,101,0.8,526,0.783139101,0,0.572155739,451,,,,
0,2,3,0.1,VI 20,638,0.8,2025,VI 120,106,0.8,548,0.779514813,0,0.567644469,448,,,,
0,2,6,0.1,VI 20,578,0.8,1808,VI 120,122,0.8,614,0.675568008,0,0.469030055,526,,,,
0,2,7,0.1,VI 20,699,0.8,2191,VI 120,105,0.8,502,0.823287877,0,0.63993866,481,,,,
0,2,8,0.1,VI 20,627,0.8,1942,VI 120,121,0.8,569,0.714482171,0,0.533136959,480,,,,
0,2,9,0.1,VI 20,641,0.8,2042,VI 120,100,0.8,507,0.80685803,0,0.605047778,483,,,,
0,3,0,0.1,VI 20,685,1.052631579,2480,VI 120,118,0.64516129,497,0.763808564,0.212608093,0.698095292,518,,,,
0,3,4,0.1,VI 20,606,1.052631579,2286,VI 120,110,0.64516129,474,0.741079939,0.212608093,0.683297884,464,,,,
0,3,2,0.1,VI 20,648,1.052631579,2405,VI 120,115,0.64516129,475,0.750877166,0.212608093,0.704421471,475,,,,
0,3,1,0.1,VI 20,650,1.052631579,2429,VI 120,112,0.64516129,488,0.763695334,0.212608093,0.697007693,458,,,,
0,3,5,0.1,VI 20,678,1.052631579,2429,VI 120,96,0.64516129,433,0.848958461,0.212608093,0.748939618,451,,,,
0,3,3,0.1,VI 20,680,1.052631579,2547,VI 120,108,0.64516129,425,0.799085157,0.212608093,0.777640015,469,,,,
0,3,6,0.1,VI 20,662,1.052631579,2406,VI 120,119,0.64516129,508,0.745311028,0.212608093,0.675431911,512,,,,
0,3,7,0.1,VI 20,623,1.052631579,2276,VI 120,124,0.64516129,485,0.701066361,0.212608093,0.671430519,478,,,,
0,3,8,0.1,VI 20,625,1.052631579,2329,VI 120,124,0.64516129,501,0.702458332,0.212608093,0.667331763,512,,,,
0,3,9,0.1,VI 20,627,1.052631579,2327,VI 120,126,0.64516129,557,0.696896996,0.212608093,0.620941188,503,,,,
0,4,0,0.1,VI 20,712,1.6,3269,VI 120,129,0.533333333,472,0.741890283,0.477121255,0.840472922,495,,,,
0,4,1,0.1,VI 20,688,1.6,3267,VI 120,103,0.533333333,427,0.824751214,0.477121255,0.883721259,466,,,,
0,4,2,0.1,VI 20,691,1.6,3166,VI 120,123,0.533333333,429,0.749572936,0.477121255,0.868053618,497,,,,
0,4,4,0.1,VI 20,735,1.6,3436,VI 120,101,0.533333333,383,0.861965965,0.477121255,0.952854381,446,,,,
0,4,3,0.1,VI 20,740,1.6,3412,VI 120,117,0.533333333,446,0.801045858,0.477121255,0.883674164,468,,,,
0,4,6,0.1,VI 20,770,1.6,3543,VI 120,100,0.533333333,398,0.886490725,0.477121255,0.94948808,462,,,,
0,4,5,0.1,VI 20,737,1.6,3290,VI 120,123,0.533333333,433,0.777562376,0.477121255,0.880708002,464,,,,
0,4,7,0.1,VI 20,705,1.6,3286,VI 120,106,0.533333333,433,0.822883252,0.477121255,0.880179663,493,,,,
0,4,8,0.1,VI 20,669,1.6,3220,VI 120,112,0.533333333,478,0.776208095,0.477121255,0.828427975,544,,,,
0,4,9,0.1,VI 20,705,1.6,3338,VI 120,101,0.533333333,399,0.843867743,0.477121255,0.922513437,476,,,,
0,5,0,0.1,VI 45,275,0.533333333,907,VI 95,174,1.6,1164,0.198783446,-0.477121255,-0.108345693,536,,,,
0,5,1,0.1,VI 45,276,0.533333333,1043,VI 95,153,1.6,1134,0.256217651,-0.477121255,-0.036328746,614,,,,
0,5,2,0.1,VI 45,294,0.533333333,1019,VI 95,152,1.6,1095,0.286503742,-0.477121255,-0.031239935,580,,,,
0,5,3,0.1,VI 45,293,0.533333333,1078,VI 95,143,1.6,1037,0.311531583,-0.477121255,0.016840004,624,,,,
0,5,4,0.1,VI 45,281,0.533333333,976,VI 95,169,1.6,1152,0.220819615,-0.477121255,-0.072002661,555,,,,
0,5,5,0.1,VI 45,288,0.533333333,955,VI 95,169,1.6,1167,0.231505783,-0.477121255,-0.087067484,583,,,,
0,5,6,0.1,VI 45,271,0.533333333,979,VI 95,173,1.6,1177,0.194923188,-0.477121255,-0.079993771,585,,,,
0,5,7,0.1,VI 45,270,0.533333333,907,VI 95,177,1.6,1213,0.183390498,-0.477121255,-0.126253514,563,,,,
0,5,9,0.1,VI 45,291,0.533333333,1011,VI 95,160,1.6,1123,0.259773006,-0.477121255,-0.045628601,559,,,,
0,5,8,0.1,VI 45,264,0.533333333,922,VI 95,160,1.6,1141,0.217483944,-0.477121255,-0.092554723,582,,,,
0,6,0,0.1,VI 45,282,0.64516129,1089,VI 95,140,1.052631579,916,0.304121073,-0.212608093,0.075132406,561,,,,
0,6,1,0.1,VI 45,281,0.64516129,1070,VI 95,138,1.052631579,838,0.308827234,-0.212608093,0.106139759,569,,,,
0,6,2,0.1,VI 45,280,0.64516129,1046,VI 95,153,1.052631579,901,0.262466601,-0.212608093,0.064806894,549,,,,
0,6,3,0.1,VI 45,274,0.64516129,1042,VI 95,157,1.052631579,924,0.24185091,-0.212608093,0.052195748,582,,,,
0,6,6,0.1,VI 45,282,0.64516129,1108,VI 95,151,1.052631579,897,0.271272161,-0.212608093,0.091747317,606,,,,
0,6,4,0.1,VI 45,299,0.64516129,1117,VI 95,150,1.052631579,844,0.299579929,-0.212608093,0.121710726,571,,,,
0,6,5,0.1,VI 45,265,0.64516129,1123,VI 95,153,1.052631579,926,0.238554443,-0.212608093,0.08376877,583,,,,
0,6,7,0.1,VI 45,302,0.64516129,1131,VI 95,139,1.052631579,870,0.336992143,-0.212608093,0.113943352,576,,,,
0,6,8,0.1,VI 45,291,0.64516129,1130,VI 95,178,1.052631579,950,0.213472987,-0.212608093,0.075354838,602,,,,
0,7,1,0.1,VI 45,289,0.8,1215,VI 95,149,0.8,816,0.287711574,0,0.172886119,579,,,,
0,7,0,0.1,VI 45,285,0.8,1118,VI 95,166,0.8,867,0.234736772,0,0.110422706,515,,,,
0,6,9,0.1,VI 45,298,0.64516129,1111,VI 95,164,1.052631579,939,0.259372416,-0.212608093,0.073048467,598,,,,
0,7,2,0.1,VI 45,281,0.8,1232,VI 95,160,0.8,802,0.244586337,0,0.18643634,561,,,,
0,7,3,0.1,VI 45,280,0.8,1219,VI 95,153,0.8,823,0.262466601,0,0.17060387,602,,,,
0,7,4,0.1,VI 45,312,0.8,1262,VI 95,156,0.8,841,0.301029996,0,0.176263359,591,,,,
0,7,6,0.1,VI 45,293,0.8,1233,VI 95,153,0.8,797,0.28217619,0,0.189504755,564,,,,
0,7,5,0.1,VI 45,280,0.8,1188,VI 95,151,0.8,812,0.268181084,0,0.165260411,560,,,,
0,7,8,0.1,VI 45,307,0.8,1255,VI 95,141,0.8,770,0.337919263,0,0.212153001,578,,,,
0,7,7,0.1,VI 45,290,0.8,1200,VI 95,165,0.8,785,0.244914054,0,0.184311589,518,,,,
0,7,9,0.1,VI 45,283,0.8,1152,VI 95,147,0.8,831,0.284469101,0,0.141851455,590,,,,
0,8,0,0.1,VI 45,330,1.052631579,1552,VI 95,145,0.64516129,661,0.357145938,0.212608093,0.370690257,534,,,,
0,8,2,0.1,VI 45,320,1.052631579,1466,VI 95,151,0.64516129,726,0.326173031,0.212608093,0.30519735,575,,,,
0,8,1,0.1,VI 45,291,1.052631579,1462,VI 95,161,0.64516129,744,0.257067113,0.212608093,0.293374437,534,,,,
0,8,3,0.1,VI 45,303,1.052631579,1463,VI 95,143,0.64516129,684,0.326106591,0.212608093,0.330188224,573,,,,
0,8,4,0.1,VI 45,334,1.052631579,1587,VI 95,159,0.64516129,765,0.322349342,0.212608093,0.316915492,589,,,,
0,8,5,0.1,VI 45,346,1.052631579,1508,VI 95,156,0.64516129,700,0.3459515,0.212608093,0.333303302,549,,,,
0,8,6,0.1,VI 45,291,1.052631579,1446,VI 95,149,0.64516129,753,0.290706721,0.212608093,0.283373317,596,,,,
0,8,7,0.1,VI 45,315,1.052631579,1456,VI 95,158,0.64516129,686,0.299653467,0.212608093,0.326837259,537,,,,
0,8,8,0.1,VI 45,285,1.052631579,1341,VI 95,160,0.64516129,787,0.250724877,0.212608093,0.231454045,584,,,,
0,8,9,0.1,VI 45,307,1.052631579,1488,VI 95,150,0.64516129,672,0.311047116,0.212608093,0.345233658,554,,,,
0,9,1,0.1,VI 45,339,1.6,1926,VI 95,153,0.533333333,660,0.345508267,0.477121255,0.465112347,588,,,,
0,9,0,0.1,VI 45,323,1.6,1867,VI 95,140,0.533333333,638,0.363074487,0.477121255,0.466323639,592,,,,
0,9,2,0.1,VI 45,327,1.6,1894,VI 95,141,0.533333333,654,0.36532864,0.477121255,0.461802226,574,,,,
0,9,3,0.1,VI 45,322,1.6,1876,VI 95,166,0.533333333,694,0.287747784,0.477121255,0.431873364,601,,,,
0,9,4,0.1,VI 45,329,1.6,1864,VI 95,146,0.533333333,666,0.352843042,0.477121255,0.446971679,612,,,,
0,9,5,0.1,VI 45,300,1.6,1787,VI 95,153,0.533333333,661,0.292429824,0.477121255,0.431923093,574,,,,
0,9,6,0.1,VI 45,309,1.6,1859,VI 95,149,0.533333333,674,0.316772211,0.477121255,0.440619493,614,,,,
0,9,7,0.1,VI 45,364,1.6,2087,VI 95,139,0.533333333,625,0.418086583,0.477121255,0.523642432,596,,,,
0,9,9,0.1,VI 45,340,1.6,1939,VI 95,142,0.533333333,625,0.379190573,0.477121255,0.491697792,561,,,,
0,9,8,0.1,VI 45,333,1.6,1892,VI 95,145,0.533333333,612,0.361076231,0.477121255,0.49016971,570,,,,
0,10,0,0.1,VI 70,198,0.533333333,765,VI 70,238,1.6,1530,-0.079911767,-0.477121255,-0.301029996,570,,,,
0,10,1,0.1,VI 70,212,0.533333333,830,VI 70,242,1.6,1510,-0.057479505,-0.477121255,-0.259898855,631,,,,
0,10,2,0.1,VI 70,203,0.533333333,845,VI 70,210,1.6,1331,-0.014723257,-0.477121255,-0.197321347,582,,,,
0,10,3,0.1,VI 70,209,0.533333333,833,VI 70,208,1.6,1413,0.002082951,-0.477121255,-0.22949716,582,,,,
0,10,4,0.1,VI 70,199,0.533333333,818,VI 70,221,1.6,1455,-0.045539197,-0.477121255,-0.25010969,656,,,,
0,10,5,0.1,VI 70,182,0.533333333,782,VI 70,229,1.6,1498,-0.099764094,-0.477121255,-0.28230506,548,,,,
0,10,6,0.1,VI 70,200,0.533333333,810,VI 70,224,1.6,1496,-0.049218023,-0.477121255,-0.266446575,587,,,,
0,10,7,0.1,VI 70,191,0.533333333,824,VI 70,227,1.6,1458,-0.07499249,-0.477121255,-0.247830312,598,,,,
0,10,8,0.1,VI 70,182,0.533333333,742,VI 70,210,1.6,1439,-0.062147907,-0.477121255,-0.287656889,640,,,,
0,10,9,0.1,VI 70,190,0.533333333,793,VI 70,219,1.6,1431,-0.061690514,-0.477121255,-0.256366446,571,,,,
0,11,0,0.1,VI 70,175,0.64516129,788,VI 70,209,1.052631579,1237,-0.077108237,-0.212608093,-0.195843482,572,,,,
0,11,1,0.1,VI 70,183,0.64516129,806,VI 70,232,1.052631579,1274,-0.103036895,-0.212608093,-0.198834386,567,,,,
0,11,3,0.1,VI 70,208,0.64516129,877,VI 70,210,1.052631579,1120,-0.00415596,-0.212608093,-0.106218429,581,,,,
0,11,2,0.1,VI 70,187,0.64516129,834,VI 70,209,1.052631579,1207,-0.04830468,-0.212608093,-0.160541219,602,,,,
0,11,5,0.1,VI 70,214,0.64516129,873,VI 70,214,1.052631579,1217,0,-0.212608093,-0.144276335,594,,,,
0,11,6,0.1,VI 70,192,0.64516129,845,VI 70,225,1.052631579,1192,-0.068881289,-0.212608093,-0.149419546,546,,,,
0,11,4,0.1,VI 70,187,0.64516129,851,VI 70,218,1.052631579,1141,-0.066614887,-0.212608093,-0.127356084,564,,,,
0,11,7,0.1,VI 70,186,0.64516129,899,VI 70,229,1.052631579,1155,-0.090322538,-0.212608093,-0.108822292,562,,,,
0,11,8,0.1,VI 70,188,0.64516129,790,VI 70,210,1.052631579,1165,-0.048061445,-0.212608093,-0.168698834,590,,,,
0,12,0,0.1,VI 70,189,0.8,1021,VI 70,198,0.8,948,-0.020203386,0,0.032217405,573,,,,
0,11,9,0.1,VI 70,198,0.64516129,839,VI 70,207,1.052631579,1142,-0.019305155,-0.212608093,-0.133904143,541,,,,
0,12,2,0.1,VI 70,200,0.8,914,VI 70,212,0.8,1013,-0.025305865,0,-0.04466325,521,,,,
0,12,3,0.1,VI 70,215,0.8,1008,VI 70,193,0.8,950,0.046881151,0,0.025736927,595,,,,
0,12,1,0.1,VI 70,218,0.8,1003,VI 70,221,0.8,1018,-0.00593578,0,-0.006446845,588,,,,
0,12,5,0.1,VI 70,227,0.8,994,VI 70,201,0.8,973,0.0528298,0,0.009273544,577,,,,
0,12,6,0.1,VI 70,219,0.8,994,VI 70,197,0.8,957,0.045977889,0,0.016474447,582,,,,
