net_type,run_index,repetition_index,mutation_rate,Sch 1,R1,M1,B1,Sch 2,R2,M2,B2,log(R1/R2),log(M1/M2),log(B1/B2),Changeovers,am,ar,log(b)
-1,0,18,0.1,VI 34.3,462,1,3611,VI 34.3,466,1,3587,-0.003743941,0,0.002896112,2405,0,0.790263798,0.000589824
-1,2,18,0.1,VI 48,367,1,2994,VI 26.7,586,1,4321,-0.203231552,0,-0.15933247,2390,0,0.002497719,0.001138944
-1,0,24,0.1,VI 34.3,454,1,3453,VI 34.3,482,1,3591,-0.025991185,0,-0.017018827,2264,0.996744076,0.02068974,#N/A
-1,0,0,0.1,VI 34.3,451,1,3356,VI 34.3,507,1,3866,-0.050831417,0,-0.061439898,2400,50052.65406,327,#N/A
-1,2,0,0.1,VI 48,352,1,2764,VI 26.7,654,1,4661,-0.269035085,0,-0.226941064,2335,42.85161148,0.139977362,#N/A
-1,1,6,0.1,VI 40,378,1,2996,VI 30,553,1,4203,-0.165233331,0,-0.147017581,2349,,,
-1,1,12,0.1,VI 40,435,1,3232,VI 30,558,1,4117,-0.108144942,0,-0.105109515,2415,,,
-1,1,24,0.1,VI 40,386,1,3098,VI 30,512,1,3871,-0.122682656,0,-0.096741758,2131,,,
-1,2,12,0.1,VI 48,332,1,2701,VI 26.7,653,1,4514,-0.293775098,0,-0.223036971,2322,,,
-1,2,24,0.1,VI 48,320,1,2495,VI 26.7,597,1,4374,-0.270824353,0,-0.243808229,2092,,,
-1,1,18,0.1,VI 40,401,1,3212,VI 30,527,1,3784,-0.118666243,0,-0.071175591,2266,,,
-1,3,0,0.1,VI 60,252,1,2259,VI 24,669,1,4733,-0.424025577,0,-0.321220274,2090,,,
-1,2,6,0.1,VI 48,342,1,2610,VI 26.7,561,1,4218,-0.214936755,0,-0.208466068,2147,,,
-1,0,12,0.1,VI 34.3,519,1,3730,VI 34.3,499,1,3616,0.017066812,0,0.01348041,2410,,,
-1,0,6,0.1,VI 34.3,441,1,3216,VI 34.3,505,1,3824,-0.058852789,0,-0.075201844,2209,,,
-1,1,0,0.1,VI 40,391,1,3098,VI 30,499,1,3815,-0.105923788,0,-0.090413129,2276,,,
-1,0,19,0.1,VI 34.3,460,1,3524,VI 34.3,451,1,3519,0.00858129,0,0.000616633,2307,,,
-1,2,19,0.1,VI 48,338,1,2621,VI 26.7,652,1,4511,-0.285330895,0,-0.235805806,2116,,,
-1,0,25,0.1,VI 34.3,457,1,3449,VI 34.3,488,1,3642,-0.028503622,0,-0.023646747,2352,,,
-1,0,1,0.1,VI 34.3,475,1,3669,VI 34.3,457,1,3389,0.01677741,0,0.034476143,2182,,,
-1,2,13,0.1,VI 48,325,1,2554,VI 26.7,608,1,4550,-0.272020218,0,-0.250790504,2165,,,
-1,1,19,0.1,VI 40,397,1,3023,VI 30,553,1,4033,-0.143934625,0,-0.125190075,2185,,,
-1,0,7,0.1,VI 34.3,492,1,3664,VI 34.3,463,1,3482,0.026384112,0,0.022126698,2320,,,
-1,2,1,0.1,VI 48,343,1,2661,VI 26.7,636,1,4502,-0.268162996,0,-0.228360616,2232,,,
-1,0,13,0.1,VI 34.3,462,1,3331,VI 34.3,480,1,3651,-0.016599262,0,-0.0398372,2242,,,
-1,2,25,0.1,VI 48,330,1,2536,VI 26.7,602,1,4412,-0.261082551,0,-0.240486255,2186,,,
-1,1,1,0.1,VI 40,386,1,3016,VI 30,558,1,4131,-0.160046894,0,-0.136623858,2313,,,
-1,2,7,0.1,VI 48,344,1,2736,VI 26.7,570,1,4248,-0.219316413,0,-0.191068415,2135,,,
-1,1,25,0.1,VI 40,381,1,2857,VI 30,542,1,4042,-0.153074311,0,-0.150686069,2186,,,
-1,0,20,0.1,VI 34.3,490,1,3772,VI 34.3,447,1,3316,0.039888557,0,0.055957162,2275,,,
-1,2,20,0.1,VI 48,365,1,2874,VI 26.7,585,1,4225,-0.204863002,0,-0.167339949,2212,,,
-1,0,14,0.1,VI 34.3,497,1,3565,VI 34.3,471,1,3512,0.023335482,0,0.006505027,2248,,,
-1,1,20,0.1,VI 40,391,1,2980,VI 30,560,1,4072,-0.15601127,0,-0.135591505,2318,,,
-1,0,8,0.1,VI 34.3,459,1,3508,VI 34.3,480,1,3542,-0.019428552,0,-0.004188972,2226,,,
-1,1,7,0.1,VI 40,368,1,2944,VI 30,523,1,3926,-0.15265387,0,-0.12501249,2142,,,
-1,0,2,0.1,VI 34.3,466,1,3604,VI 34.3,466,1,3534,0,0,0.008518237,2342,,,
-1,1,13,0.1,VI 40,379,1,2925,VI 30,515,1,3967,-0.133168019,0,-0.13233633,2200,,,
-1,2,21,0.1,VI 48,339,1,2630,VI 26.7,639,1,4521,-0.27530116,0,-0.235278759,2189,,,
-1,0,26,0.1,VI 34.3,477,1,3572,VI 34.3,493,1,3624,-0.01432854,0,-0.006276739,2381,,,
-1,2,26,0.1,VI 48,326,1,2476,VI 26.7,644,1,4516,-0.295668267,0,-0.261003293,2084,,,
-1,1,26,0.1,VI 40,389,1,3095,VI 30,515,1,3842,-0.121857628,0,-0.093896707,2196,,,
-1,0,21,0.1,VI 34.3,480,1,3722,VI 34.3,446,1,3467,0.031906379,0,0.030822527,2235,,,
-1,0,15,0.1,VI 34.3,450,1,3530,VI 34.3,460,1,3464,-0.009545318,0,0.008196822,2298,,,
-1,3,1,0.1,VI 60,282,1,2205,VI 24,682,1,4749,-0.383535266,0,-0.333193576,2031,,,
-1,2,14,0.1,VI 48,319,1,2611,VI 26.7,613,1,4489,-0.283669791,0,-0.235342734,2217,,,
-1,1,21,0.1,VI 40,399,1,3162,VI 30,519,1,3855,-0.114194462,0,-0.086062517,2271,,,
-1,1,2,0.1,VI 40,394,1,3052,VI 30,542,1,4085,-0.138503065,0,-0.126607532,2390,,,
