run_index,repetition_index,R1,B1,M1,R2,B2,M2,log(R1/R2),log(B1/B2),log(M1/M2)
4,0,13,87,1,32,210,1,-0.391206626,-0.382700042,0
4,2,10,61,1,46,223,1,-0.662757832,-0.562975028,0
4,5,7,63,1,34,172,1,-0.686380877,-0.436187897,0
4,4,11,86,1,37,168,1,-0.526809039,-0.29081083,0
4,6,8,59,1,34,152,1,-0.62838893,-0.410991576,0
4,7,8,69,1,35,206,1,-0.640978057,-0.47501813,0
4,10,11,74,1,20,136,1,-0.259637311,-0.264307189,0
4,8,7,42,1,47,267,1,-0.826999818,-0.803261971,0
4,9,11,66,1,41,194,1,-0.571391172,-0.468257794,0
4,11,4,45,1,32,174,1,-0.903089987,-0.587336735,0
4,12,14,95,1,37,201,1,-0.422073688,-0.325472452,0
4,14,8,34,1,35,208,1,-0.640978057,-0.786584418,0
4,13,12,64,1,43,195,1,-0.55428721,-0.483854637,0
4,16,6,42,1,39,222,1,-0.812913357,-0.723103684,0
4,17,8,45,1,36,221,1,-0.653212514,-0.69117976,0
4,15,7,42,1,41,195,1,-0.767685817,-0.666785321,0
4,19,8,62,1,31,159,1,-0.588271707,-0.409005435,0
4,18,15,89,1,40,170,1,-0.425968732,-0.281058915,0
4,20,13,95,1,27,153,1,-0.317420412,-0.206967826,0
4,21,5,48,1,26,148,1,-0.716003344,-0.489020478,0
4,23,9,56,1,43,212,1,-0.679225946,-0.578147834,0
4,22,12,55,1,39,224,1,-0.511883361,-0.609885329,0
4,24,8,53,1,35,205,1,-0.640978057,-0.587477991,0
4,25,7,26,1,34,203,1,-0.686380877,-0.89252269,0
4,29,10,57,1,32,191,1,-0.505149978,-0.525158512,0
4,26,16,84,1,39,204,1,-0.386944624,-0.385350881,0
4,27,7,51,1,43,238,1,-0.788370416,-0.669006781,0
4,28,5,41,1,42,223,1,-0.924279286,-0.735521006,0
5,0,6,41,1,45,238,1,-0.875061263,-0.7637931,0
5,3,8,66,1,37,205,1,-0.665111737,-0.492209926,0
5,2,9,61,1,56,271,1,-0.793945518,-0.647639456,0
5,1,3,38,1,57,293,1,-1.278753601,-0.887084024,0
5,6,4,43,1,46,248,1,-1.06069784,-0.760983225,0
5,5,5,55,1,34,198,1,-0.832508913,-0.556302501,0
5,4,6,45,1,45,230,1,-0.875061263,-0.708515322,0
5,7,3,29,1,57,306,1,-1.278753601,-1.023323429,0
5,9,5,59,1,30,167,1,-0.77815125,-0.45186446,0
5,8,6,52,1,30,180,1,-0.698970004,-0.539269161,0
5,13,11,62,1,36,201,1,-0.514909816,-0.510804368,0
5,10,11,58,1,40,198,1,-0.560667306,-0.533237197,0
5,11,10,70,1,40,233,1,-0.602059991,-0.522257881,0
5,12,7,45,1,44,243,1,-0.798354636,-0.73239376,0
5,15,6,47,1,38,227,1,-0.801632346,-0.683927999,0
5,17,7,68,1,31,190,1,-0.646263654,-0.446244688,0
5,14,6,44,1,48,248,1,-0.903089987,-0.750999004,0
5,16,3,34,1,53,289,1,-1.247154615,-0.929418926,0
5,18,7,59,1,42,236,1,-0.77815125,-0.602059991,0
5,19,4,32,1,47,281,1,-1.070037867,-0.943556342,0
5,23,8,63,1,28,125,1,-0.544068044,-0.297569464,0
5,20,9,63,1,37,163,1,-0.613959215,-0.412847055,0
5,21,6,57,1,55,292,1,-0.962211439,-0.709507996,0
5,22,7,42,1,36,236,1,-0.711204461,-0.749662713,0
5,24,11,62,1,42,231,1,-0.581856605,-0.57122029,0
5,26,4,34,1,44,266,1,-1.041392685,-0.89340272,0
5,27,8,50,1,44,220,1,-0.740362689,-0.643452676,0
5,25,10,48,1,39,221,1,-0.591064607,-0.663151036,0
5,28,4,44,1,47,241,1,-1.070037867,-0.738564366,0
6,2,32,149,1,25,133,1,0.10720997,0.049334627,0
5,29,6,63,1,31,157,1,-0.713210443,-0.396559103,0
6,1,17,107,1,15,93,1,0.054357662,0.060900829,0
6,0,33,160,1,18,98,1,0.263241435,0.212893907,0
6,3,30,120,1,23,148,1,0.115393419,-0.091080469,0
6,4,26,142,1,20,134,1,0.113943352,0.025183546,0
6,5,22,118,1,31,164,1,-0.148939013,-0.142961841,0
6,6,21,112,1,16,122,1,0.118099312,-0.037141808,0
6,9,26,124,1,23,122,1,0.053245512,0.007061854,0
6,7,17,112,1,16,70,1,0.026328939,0.204119983,0
6,8,35,217,1,15,72,1,0.367976785,0.479127237,0
6,10,38,174,1,20,119,1,0.278753601,0.165002287,0
6,11,21,151,1,20,129,1,0.021189299,0.068387237,0
6,12,26,124,1,17,90,1,0.184524427,0.139179176,0
6,13,24,155,1,20,124,1,0.079181246,0.096910013,0
6,14,24,133,1,29,145,1,-0.082186756,-0.037516361,0
6,15,19,138,1,13,68,1,0.164810249,0.307370174,0
6,16,30,153,1,20,124,1,0.176091259,0.091269746,0
6,17,21,114,1,15,85,1,0.146128036,0.127485926,0
6,20,25,154,1,16,119,1,0.193820026,0.111973759,0
6,18,34,185,1,26,117,1,0.116505569,0.198985867,0
6,19,21,146,1,18,99,1,0.06694679,0.168717661,0
6,22,26,130,1,26,140,1,0,-0.032184683,0
6,21,30,171,1,18,90,1,0.22184875,0.278753601,0
6,24,22,144,1,20,118,1,0.041392685,0.086480485,0
6,23,19,108,1,21,128,1,-0.043465694,-0.073786214,0
6,25,39,195,1,23,143,1,0.229336771,0.134698574,0
6,26,23,149,1,13,97,1,0.247784484,0.186414534,0
6,29,20,113,1,13,93,1,0.187086643,0.084595495,0
6,27,32,185,1,23,102,1,0.143422142,0.258571557,0
6,28,21,117,1,17,79,1,0.091770373,0.17055877,0
7,1,41,205,1,16,85,1,0.408663874,0.382334935,0
7,0,36,187,1,13,70,1,0.442359148,0.426743567,0
7,4,27,139,1,16,117,1,0.227243782,0.074828939,0
7,2,19,106,1,24,143,1,-0.101457641,-0.130030172,0
7,3,28,184,1,19,105,1,0.16840443,0.243628524,0
7,5,35,223,1,12,63,1,0.464886798,0.548964314,0
7,7,30,169,1,12,77,1,0.397940009,0.341395979,0
7,6,34,174,1,12,61,1,0.452297671,0.455219413,0
7,10,23,137,1,18,131,1,0.106455331,0.019449272,0
7,8,39,216,1,14,77,1,0.444936571,0.447963026,0
7,9,36,190,1,10,83,1,0.556302501,0.359675509,0
7,11,30,166,1,17,101,1,0.246672333,0.215786714,0
7,14,18,93,1,11,89,1,0.21387982,0.019092942,0
7,16,26,129,1,13,83,1,0.301029996,0.191511618,0
7,13,25,161,1,14,92,1,0.251811973,0.243038049,0
7,12,19,109,1,23,133,1,-0.082974235,-0.086425143,0
7,15,37,156,1,20,124,1,0.267171728,0.099702913,0
7,17,24,144,1,19,146,1,0.101457641,-0.005990364,0
7,18,22,137,1,18,116,1,0.087150176,0.072262578,0
7,21,37,155,1,16,104,1,0.364081741,0.173298359,0
7,20,33,154,1,13,83,1,0.404570588,0.268442628,0
7,19,28,178,1,16,83,1,0.243038049,0.33134191,0
7,25,28,173,1,16,112,1,0.243038049,0.18882808,0
7,26,34,209,1,11,59,1,0.490086232,0.549294274,0
7,23,24,127,1,18,106,1,0.124938737,0.078497856,0
7,22,36,206,1,15,75,1,0.380211242,0.438805957,0
7,24,37,209,1,15,89,1,0.392110465,0.370756279,0
7,28,33,174,1,16,101,1,0.314393957,0.236227874,0
7,27,29,189,1,11,54,1,0.421005313,0.544068044,0
7,29,36,202,1,15,87,1,0.380211242,0.365832117,0
8,2,30,187,1,15,77,1,0.301029996,0.385350881,0
8,1,37,200,1,8,63,1,0.665111737,0.501689446,0
8,0,36,236,1,15,82,1,0.380211242,0.459098151,0
8,4,26,184,1,14,82,1,0.268845312,0.351003971,0
8,6,28,174,1,11,70,1,0.405765346,0.395451208,0
8,3,31,194,1,9,44,1,0.537119184,0.644349053,0
8,5,36,201,1,16,85,1,0.352182518,0.373777132,0
8,10,33,199,1,9,58,1,0.56427143,0.535425083,0
8,7,45,228,1,9,56,1,0.698970004,0.60974682,0
