net_type,run_index,repetition_index,mutation_rate,Sch 1,R1,M1,B1,Sch 2,R2,M2,B2,log(R1/R2),log(M1/M2),log(B1/B2),Changeovers,,,,
0,0,0,0.1,VI 20,692,0.533333333,3282,VI 120,121,1.6,1447,0.757320724,-0.477121255,0.355670046,846,,0.622333632,0.897221934,-0.000235759
0,0,1,0.1,VI 20,744,0.533333333,3574,VI 120,108,1.6,1309,0.83814918,-0.477121255,0.436214902,831,,0.00380476,0.00225014,0.001253198
0,0,2,0.1,VI 20,710,0.533333333,3280,VI 120,137,1.6,1535,0.714537782,-0.477121255,0.329765464,868,,0.998747934,0.019814429,#N/A
0,0,3,0.1,VI 20,719,0.533333333,3433,VI 120,125,1.6,1351,0.759818877,-0.477121255,0.405018454,828,,98513.44687,247,#N/A
0,0,4,0.1,VI 20,652,0.533333333,3086,VI 120,137,1.6,1547,0.677527029,-0.477121255,0.299905608,959,,77.35503985,0.09697506,#N/A
0,0,5,0.1,VI 20,728,0.533333333,3531,VI 120,106,1.6,1321,0.836825514,-0.477121255,0.4269949,834,,,,
0,0,6,0.1,VI 20,727,0.533333333,3556,VI 120,121,1.6,1391,0.778749041,-0.477121255,0.407634622,787,,,,
0,0,7,0.1,VI 20,742,0.533333333,3553,VI 120,128,1.6,1475,0.763193936,-0.477121255,0.381803187,820,,,,
0,0,8,0.1,VI 20,735,0.533333333,3408,VI 120,124,1.6,1491,0.772865654,-0.477121255,0.359021943,846,,,,
0,0,9,0.1,VI 20,708,0.533333333,3303,VI 120,150,1.6,1610,0.673941999,-0.477121255,0.312082698,837,,,,
0,1,0,0.1,VI 20,788,0.64516129,4200,VI 120,124,1.052631579,1071,0.803104532,-0.212608093,0.59345982,819,,,,
0,1,1,0.1,VI 20,769,0.64516129,4137,VI 120,121,1.052631579,1048,0.803140969,-0.212608093,0.596324238,815,,,,
0,1,2,0.1,VI 20,789,0.64516129,4210,VI 120,133,1.052631579,1065,0.773225362,-0.212608093,0.596932488,825,,,,
0,1,3,0.1,VI 20,710,0.64516129,3884,VI 120,119,1.052631579,1024,0.775711387,-0.212608093,0.578979265,814,,,,
0,1,4,0.1,VI 20,736,0.64516129,3991,VI 120,118,1.052631579,1051,0.794995807,-0.212608093,0.579479012,762,,,,
0,1,5,0.1,VI 20,703,0.64516129,3720,VI 120,126,1.052631579,1119,0.74658478,-0.212608093,0.521712853,790,,,,
0,1,6,0.1,VI 20,738,0.64516129,4015,VI 120,136,1.052631579,1135,0.734517453,-0.212608093,0.548689688,875,,,,
0,1,7,0.1,VI 20,766,0.64516129,3997,VI 120,130,1.052631579,1123,0.770285417,-0.212608093,0.551354392,903,,,,
0,1,8,0.1,VI 20,693,0.64516129,3922,VI 120,117,1.052631579,1112,0.772547373,-0.212608093,0.547402802,800,,,,
0,1,9,0.1,VI 20,695,0.64516129,3794,VI 120,128,1.052631579,1188,0.734774835,-0.212608093,0.504280886,843,,,,
0,2,0,0.1,VI 20,772,0.8,4977,VI 120,104,0.8,699,0.870583961,0,0.852490465,697,,,,
0,2,1,0.1,VI 20,785,0.8,4794,VI 120,117,0.8,902,0.826683795,0,0.725491492,864,,,,
