net_type,run_index,repetition_index,mutation_rate,Sch 1,R1,M1,B1,Sch 2,R2,M2,B2,log(R1/R2),log(M1/M2),log(B1/B2),Changeovers,,175.7569986,,
0,0,0,0.1,VI 20,531,0.533333333,1436,VI 120,118,1.6,791,0.653212514,-0.477121255,0.258977956,504,,0.51364408,0.756812136,0.00149625
0,0,2,0.1,VI 20,612,0.533333333,1513,VI 120,115,1.6,747,0.726053582,-0.477121255,0.306518326,492,,0.006344344,0.004232696,0.002084704
0,0,1,0.1,VI 20,535,0.533333333,1399,VI 120,128,1.6,793,0.621143812,-0.477121255,0.246544527,518,,0.994148642,0.032962028,#N/A
0,0,3,0.1,VI 20,523,0.533333333,1302,VI 120,123,1.6,831,0.628596577,-0.477121255,0.19500996,496,,20982.71323,247,#N/A
0,0,4,0.1,VI 20,508,0.533333333,1303,VI 120,134,1.6,850,0.578758914,-0.477121255,0.18552549,497,,45.59523717,0.268364331,#N/A
0,0,5,0.1,VI 20,504,0.533333333,1297,VI 120,132,1.6,838,0.581856605,-0.477121255,0.189695957,465,,,,
0,0,6,0.1,VI 20,537,0.533333333,1465,VI 120,112,1.6,778,0.680756263,-0.477121255,0.274858028,511,,,,
0,0,7,0.1,VI 20,574,0.533333333,1498,VI 120,112,1.6,832,0.70969387,-0.477121255,0.255388487,539,,,,
0,0,8,0.1,VI 20,530,0.533333333,1390,VI 120,108,1.6,799,0.690852114,-0.477121255,0.240468021,531,,,,
0,0,9,0.1,VI 20,521,0.533333333,1295,VI 120,145,1.6,877,0.555469721,-0.477121255,0.169270175,505,,,,
0,1,0,0.1,VI 20,590,0.64516129,1779,VI 120,105,1.052631579,576,0.749662713,-0.212608093,0.489753465,481,,,,
0,1,1,0.1,VI 20,543,0.64516129,1479,VI 120,149,1.052631579,799,0.561613561,-0.212608093,0.267421395,480,,,,
0,1,2,0.1,VI 20,529,0.64516129,1466,VI 120,127,1.052631579,661,0.619651951,-0.212608093,0.345932511,487,,,,
