net_type,run_index,repetition_index,mutation_rate,Sch 1,R1,M1,B1,Sch 2,R2,M2,B2,log(R1/R2),log(M1/M2),log(B1/B2),am,ar,log(b),(log(R1/R1))^2,(log(R1/R2)) * (log(B1/B2)),(log(B1/B2))^2,Changeovers,A,B,C,G
1,0,0,0.1,VI 20,452,0.533333333,1060,VI 120,134,1.6,780,0.528033636,-0.477121255,0.133211263,0.629329208,0.772341464,0.001459691,0.278819521,0.070340027,0.01774524,540,-305.5683615,219.3156741,-193.6905163,589.3261231
1,2,4,0.1,VI 20,548,0.8,1508,VI 120,121,0.8,526,0.655995188,0,0.457415597,0.009155509,0.006002009,0.002974916,0.430329687,0.300062431,0.209229029,527,43.55750605,73.39574396,33.05907888,2.965876935
1,0,4,0.1,VI 20,434,0.533333333,1111,VI 120,124,1.6,825,0.544068044,-0.477121255,0.12926011,0.99033494,0.047035537,#N/A,0.296010037,0.070326295,0.016708176,526,0.900752598,28.71561793,#N/A,#N/A
1,3,6,0.1,VI 20,666,1.052631579,2202,VI 120,104,0.64516129,339,0.80644089,0.212608093,0.812617616,12654.48551,247,#N/A,0.650346909,0.655328074,0.660347391,404,744.2180976,246,#N/A,#N/A
1,1,6,0.1,VI 20,520,0.64516129,1233,VI 120,110,1.052631579,563,0.674610658,-0.212608093,0.340454682,55.99209323,0.546448412,#N/A,0.455099541,0.229674357,0.11590939,493,1841017.065,202848.3314,#N/A,#N/A
1,2,8,0.1,VI 20,606,0.8,1693,VI 120,117,0.8,505,0.714286762,0,0.52536558,,,,0.510205579,0.375261679,0.276008993,474,,,,
1,2,0,0.1,VI 20,552,0.8,1597,VI 120,105,0.8,465,0.720749779,0,0.535851963,,,,0.519480243,0.386215184,0.287137327,453,,,,
1,3,2,0.1,VI 20,663,1.052631579,2181,VI 120,104,0.64516129,380,0.804480189,0.212608093,0.758872069,,,,0.647188375,0.610497546,0.575886817,429,,,,
1,4,0,0.1,VI 20,740,1.6,3111,VI 120,81,0.533333333,228,0.960746701,0.477121255,1.134965164,,,,0.923034223,1.090414037,1.288145924,293,,,,
1,5,2,0.1,VI 45,238,0.533333333,744,VI 95,181,1.6,1114,0.118898382,-0.477121255,-0.175312255,,,,0.014136825,-0.020844344,0.030734387,580,,,,
1,0,8,0.1,VI 20,453,0.533333333,1096,VI 120,128,1.6,760,0.548888232,-0.477121255,0.158996962,,,,0.301278292,0.087271561,0.025280034,496,,,,
1,5,6,0.1,VI 45,252,0.533333333,796,VI 95,169,1.6,1044,0.173513836,-0.477121255,-0.117787431,,,,0.030107051,-0.020437749,0.013873879,582,,,,
1,6,0,0.1,VI 45,294,0.64516129,908,VI 95,143,1.052631579,799,0.313011293,-0.212608093,0.055539069,,,,0.09797607,0.017384356,0.003084588,590,,,,
1,1,2,0.1,VI 20,503,0.64516129,1253,VI 120,115,1.052631579,622,0.640870145,-0.212608093,0.304160686,,,,0.410714542,0.194927503,0.092513723,512,,,,
1,4,4,0.1,VI 20,698,1.6,3110,VI 120,73,0.533333333,190,0.980532563,0.477121255,1.214006788,,,,0.961444106,1.190373187,1.473812481,269,,,,
1,4,8,0.1,VI 20,713,1.6,3017,VI 120,81,0.533333333,236,0.944604511,0.477121255,1.106663307,,,,0.892277682,1.045359152,1.224703676,248,,,,
1,0,1,0.1,VI 20,419,0.533333333,986,VI 120,147,1.6,934,0.454896688,-0.477121255,0.023530039,,,,0.206930997,0.010703737,0.000553663,536,,,,
1,2,9,0.1,VI 20,590,0.8,1739,VI 120,93,0.8,408,0.802369063,0,0.629639419,,,,0.643796113,0.505203191,0.396445798,433,,,,
1,1,7,0.1,VI 20,521,0.64516129,1357,VI 120,104,1.052631579,579,0.699804384,-0.212608093,0.369901284,,,,0.489726176,0.25885854,0.13682696,509,,,,
1,0,5,0.1,VI 20,490,0.533333333,1132,VI 120,121,1.6,771,0.60741071,-0.477121255,0.166792049,,,,0.36894777,0.101311277,0.027819588,540,,,,
1,2,1,0.1,VI 20,555,0.8,1649,VI 120,100,0.8,445,0.744292983,0,0.568860645,,,,0.553972045,0.423398986,0.323602433,453,,,,
1,5,7,0.1,VI 45,252,0.533333333,750,VI 95,185,1.6,1124,0.134228812,-0.477121255,-0.175705048,,,,0.018017374,-0.02358468,0.030872264,570,,,,
1,3,3,0.1,VI 20,617,1.052631579,2056,VI 120,100,0.64516129,378,0.790285164,0.212608093,0.73553131,,,,0.62455064,0.581279482,0.541006309,440,,,,
1,5,3,0.1,VI 45,251,0.533333333,800,VI 95,170,1.6,1146,0.1692248,-0.477121255,-0.156094631,,,,0.028637033,-0.026415083,0.024365534,565,,,,
1,2,5,0.1,VI 20,532,0.8,1560,VI 120,100,0.8,492,0.725911632,0,0.501159496,,,,0.526947698,0.363797507,0.25116084,453,,,,
1,3,7,0.1,VI 20,590,1.052631579,1947,VI 120,98,0.64516129,411,0.779625936,0.212608093,0.67552413,,,,0.6078166,0.526656132,0.45633285,432,,,,
1,4,1,0.1,VI 20,683,1.6,2897,VI 120,78,0.533333333,214,0.942326101,0.477121255,1.131534722,,,,0.887978481,1.066274703,1.280370827,276,,,,
1,6,1,0.1,VI 45,302,0.64516129,974,VI 95,159,1.052631579,857,0.278609819,-0.212608093,0.055578135,,,,0.077623431,0.015484614,0.003088929,600,,,,
1,1,3,0.1,VI 20,528,0.64516129,1309,VI 120,118,1.052631579,613,0.650751915,-0.212608093,0.329479172,,,,0.423478055,0.214409202,0.108556525,495,,,,
1,4,9,0.1,VI 20,718,1.6,3073,VI 120,81,0.533333333,207,0.947639425,0.477121255,1.171592215,,,,0.898020481,1.110246973,1.372628318,249,,,,
1,4,5,0.1,VI 20,705,1.6,3042,VI 120,78,0.533333333,226,0.956094514,0.477121255,1.129050771,,,,0.91411672,1.079479248,1.274755643,278,,,,
1,0,9,0.1,VI 20,462,0.533333333,1085,VI 120,133,1.6,835,0.540790335,-0.477121255,0.113743263,,,,0.292454186,0.061511257,0.01293753,527,,,,
1,0,2,0.1,VI 20,470,0.533333333,1066,VI 120,137,1.6,857,0.535377291,-0.477121255,0.094776383,,,,0.286628843,0.050741123,0.008982563,552,,,,
1,3,0,0.1,VI 20,627,1.052631579,2105,VI 120,103,0.64516129,379,0.784430316,0.212608093,0.74461289,,,,0.615330921,0.584096925,0.554448356,424,,,,
1,2,2,0.1,VI 20,532,0.8,1465,VI 120,121,0.8,513,0.643126262,0,0.45572026,,,,0.413611389,0.293085667,0.207680955,522,,,,
1,5,8,0.1,VI 45,247,0.533333333,765,VI 95,155,1.6,1041,0.202365255,-0.477121255,-0.133789294,,,,0.040951696,-0.027074305,0.017899575,542,,,,
1,1,8,0.1,VI 20,519,0.64516129,1295,VI 120,130,1.052631579,656,0.601224006,-0.212608093,0.295365929,,,,0.361470305,0.177581087,0.087241032,548,,,,
1,0,6,0.1,VI 20,433,0.533333333,974,VI 120,125,1.6,845,0.539577883,-0.477121255,0.061702248,,,,0.291144292,0.033293168,0.003807167,510,,,,
1,3,4,0.1,VI 20,576,1.052631579,1917,VI 120,102,0.64516129,371,0.751822312,0.212608093,0.713248203,,,,0.565236788,0.536235913,0.508722999,400,,,,
1,5,4,0.1,VI 45,276,0.533333333,854,VI 95,154,1.6,976,0.253388361,-0.477121255,-0.057991947,,,,0.064205662,-0.014694484,0.003363066,592,,,,
1,2,6,0.1,VI 20,544,0.8,1526,VI 120,105,0.8,469,0.714409601,0,0.512381691,,,,0.510381077,0.366050399,0.262534997,431,,,,
1,4,2,0.1,VI 20,694,1.6,3159,VI 120,84,0.533333333,274,0.917080184,0.477121255,1.061799063,,,,0.841036065,0.973754881,1.12741725,302,,,,
1,3,8,0.1,VI 20,620,1.052631579,2165,VI 120,87,0.64516129,307,0.852872437,0.212608093,0.848319525,,,,0.727391394,0.723508341,0.719646017,370,,,,
