net_type,run_index,repetition_index,mutation_rate,Sch 1,R1,M1,B1,Sch 2,R2,M2,B2,log(R1/R2),log(M1/M2),log(B1/B2),Changeovers,log R sq,log M sq,log RM,,,,
2,4,8,0.1,VI 20,693,1.6,3305,VI 120,89,0.533333333,218,0.891343228,0.477121255,1.18071497,322,0.79449275,0.227644692,0.425278799,,,,
2,5,2,0.1,VI 45,270,0.533333333,751,VI 95,164,1.6,997,0.216519916,-0.477121255,-0.123055221,645,0.046880874,0.227644692,-0.103306254,,,,
2,5,3,0.1,VI 45,266,0.533333333,735,VI 95,162,1.6,972,0.215366622,-0.477121255,-0.121378926,665,0.046382782,0.227644692,-0.102755993,,,,
2,5,4,0.1,VI 45,265,0.533333333,772,VI 95,177,1.6,1033,0.175272608,-0.477121255,-0.126483021,664,0.030720487,0.227644692,-0.083626286,,,,
2,5,6,0.1,VI 45,261,0.533333333,739,VI 95,157,1.6,967,0.220740855,-0.477121255,-0.116782036,688,0.048726525,0.227644692,-0.105320154,,,,
2,5,7,0.1,VI 45,267,0.533333333,773,VI 95,164,1.6,1029,0.211667413,-0.477121255,-0.124235881,693,0.044803094,0.227644692,-0.100991022,,,,
2,6,0,0.1,VI 45,278,0.64516129,901,VI 95,150,1.052631579,791,0.267953537,-0.212608093,0.056548307,668,0.071799098,0.045202201,-0.05696909,,,,
2,6,1,0.1,VI 45,288,0.64516129,852,VI 95,172,1.052631579,868,0.223864041,-0.212608093,-0.00808013,677,0.050115109,0.045202201,-0.047595307,,,,
2,5,8,0.1,VI 45,275,0.533333333,746,VI 95,166,1.6,983,0.219224606,-0.477121255,-0.11981469,650,0.048059428,0.227644692,-0.104596719,,,,
2,5,5,0.1,VI 45,257,0.533333333,703,VI 95,177,1.6,1041,0.161959857,-0.477121255,-0.170495404,604,0.026230995,0.227644692,-0.07727449,,,,
2,6,2,0.1,VI 45,281,0.64516129,872,VI 95,154,1.052631579,828,0.261185599,-0.212608093,0.022486148,634,0.068217917,0.045202201,-0.055530172,,,,
2,5,9,0.1,VI 45,277,0.533333333,746,VI 95,172,1.6,1032,0.206951322,-0.477121255,-0.14094087,664,0.04282885,0.227644692,-0.098740874,,,,
2,6,4,0.1,VI 45,286,0.64516129,873,VI 95,143,1.052631579,773,0.301029996,-0.212608093,0.05283475,700,0.090619058,0.045202201,-0.064001413,,,,
2,6,5,0.1,VI 45,304,0.64516129,957,VI 95,132,1.052631579,705,0.362299652,-0.212608093,0.132722821,664,0.131261038,0.045202201,-0.077027838,,,,
2,6,8,0.1,VI 45,253,0.64516129,828,VI 95,165,1.052631579,849,0.185636577,-0.212608093,-0.010877353,683,0.034460939,0.045202201,-0.039467839,,,,
2,6,6,0.1,VI 45,288,0.64516129,922,VI 95,161,1.052631579,832,0.252566612,-0.212608093,0.044607595,674,0.063789893,0.045202201,-0.053697706,,,,
2,7,0,0.1,VI 45,297,0.8,1017,VI 95,161,0.8,719,0.265930573,0,0.150592063,680,0.07071907,0,0,,,,
2,6,9,0.1,VI 45,279,0.64516129,815,VI 95,183,1.052631579,911,0.183153114,-0.212608093,-0.048360768,701,0.033545063,0.045202201,-0.038939834,,,,
2,6,3,0.1,VI 45,268,0.64516129,882,VI 95,168,1.052631579,842,0.202825512,-0.212608093,0.020156494,663,0.041138188,0.045202201,-0.043122345,,,,
2,7,2,0.1,VI 45,337,0.8,1161,VI 95,147,0.8,628,0.360312566,0,0.266872576,635,0.129825145,0,0,,,,
2,6,7,0.1,VI 45,278,0.64516129,906,VI 95,160,1.052631579,841,0.239924813,-0.212608093,0.032332202,688,0.057563916,0.045202201,-0.051009957,,,,
2,7,1,0.1,VI 45,292,0.8,986,VI 95,144,0.8,671,0.307020359,0,0.167154395,615,0.094261501,0,0,,,,
2,7,3,0.1,VI 45,298,0.8,987,VI 95,168,0.8,733,0.248906982,0,0.129213178,668,0.061954686,0,0,,,,
2,7,4,0.1,VI 45,298,0.8,954,VI 95,166,0.8,715,0.254108176,0,0.125242333,664,0.064570965,0,0,,,,
2,7,7,0.1,VI 45,291,0.8,1004,VI 95,161,0.8,742,0.257067113,0,0.131329808,696,0.066083501,0,0,,,,
2,7,6,0.1,VI 45,293,0.8,990,VI 95,153,0.8,729,0.28217619,0,0.132907666,697,0.079623402,0,0,,,,
2,7,9,0.1,VI 45,326,0.8,1055,VI 95,155,0.8,720,0.322885902,0,0.165919963,689,0.104255306,0,0,,,,
2,8,0,0.1,VI 45,306,1.052631579,1220,VI 95,160,0.64516129,605,0.281601444,0.212608093,0.304604456,631,0.079299373,0.045202201,0.059870746,,,,
2,7,8,0.1,VI 45,288,0.8,1028,VI 95,148,0.8,695,0.289130772,0,0.17000831,630,0.083596604,0,0,,,,
2,7,5,0.1,VI 45,323,0.8,1061,VI 95,166,0.8,699,0.289094434,0,0.181238208,671,0.083575592,0,0,,,,
2,8,2,0.1,VI 45,302,1.052631579,1179,VI 95,125,0.64516129,603,0.38309693,0.212608093,0.291196493,625,0.146763258,0.045202201,0.081449508,,,,
2,8,1,0.1,VI 45,297,1.052631579,1200,VI 95,138,0.64516129,592,0.332877363,0.212608093,0.306859539,684,0.110807339,0.045202201,0.070772421,,,,
2,8,3,0.1,VI 45,283,1.052631579,1073,VI 95,151,0.64516129,611,0.272809488,0.212608093,0.244558512,569,0.074425017,0.045202201,0.058001505,,,,
2,8,4,0.1,VI 45,298,1.052631579,1170,VI 95,145,0.64516129,611,0.312848262,0.212608093,0.282144652,631,0.097874035,0.045202201,0.066514072,,,,
2,8,6,0.1,VI 45,313,1.052631579,1220,VI 95,178,0.64516129,643,0.245124335,0.212608093,0.278148858,619,0.06008594,0.045202201,0.052115417,,,,
