run_index,repetition_index,Sch 1,R1,B1,M1,Sch 2,R2,B2,M2,log(R1/R2),log(B1/B2),log(M1/M2),Changeovers
0,0,VI 20,914,10862,0.533,VI 120,99,193,1.6,0.965311001,1.750352489,-0.477392774,374
0,1,VI 20,891,10774,0.533,VI 120,100,198,1.6,0.949877704,1.735711781,-0.477392774,390
0,2,VI 20,880,10688,0.533,VI 120,91,217,1.6,0.98544128,1.692436711,-0.477392774,416
0,3,VI 20,874,10579,0.533,VI 120,87,219,1.6,1.00199218,1.684000502,-0.477392774,418
0,4,VI 20,925,11127,0.533,VI 120,103,188,1.6,0.953304508,1.772220239,-0.477392774,364
0,5,VI 20,867,10440,0.533,VI 120,105,189,1.6,0.916829798,1.742238694,-0.477392774,366
0,6,VI 20,926,11022,0.533,VI 120,98,205,1.6,0.975384911,1.730506546,-0.477392774,392
0,7,VI 20,939,10962,0.533,VI 120,88,207,1.6,1.02818292,1.723919452,-0.477392774,406
0,8,VI 20,938,10969,0.533,VI 120,92,185,1.6,1.008415011,1.772995308,-0.477392774,362
0,9,VI 20,922,11059,0.533,VI 120,101,218,1.6,0.960409547,1.705259364,-0.477392774,416
1,0,VI 20,916,9509,0.645,VI 120,108,452,1.05,0.928471718,1.322996413,-0.211629584,726
1,1,VI 20,788,8605,0.645,VI 120,132,528,1.05,0.775952286,1.212116952,-0.211629584,783
1,2,VI 20,886,9354,0.645,VI 120,112,416,1.05,0.898215699,1.351904035,-0.211629584,688
1,3,VI 20,909,9489,0.645,VI 120,134,467,1.05,0.831459085,1.307903566,-0.211629584,710
1,4,VI 20,884,9304,0.645,VI 120,117,475,1.05,0.878266403,1.291976092,-0.211629584,759
1,5,VI 20,853,9068,0.645,VI 120,109,445,1.05,0.893522533,1.3091515,-0.211629584,656
1,6,VI 20,860,9108,0.645,VI 120,127,530,1.05,0.83069473,1.235147152,-0.211629584,723
1,7,VI 20,915,9661,0.645,VI 120,108,416,1.05,0.927997339,1.365928751,-0.211629584,666
1,8,VI 20,877,9191,0.645,VI 120,107,407,1.05,0.913615816,1.353768357,-0.211629584,643
1,9,VI 20,921,9631,0.645,VI 120,101,413,1.05,0.959938256,1.367721331,-0.211629584,672
2,0,VI 20,873,7287,0.8,VI 120,115,1055,0.8,0.880316403,0.83929631,0,932
2,1,VI 20,844,7170,0.8,VI 120,111,1079,0.8,0.881019468,0.822497711,0,984
2,2,VI 20,823,6953,0.8,VI 120,126,1112,0.8,0.81502929,0.796067442,0,1040
2,3,VI 20,849,7010,0.8,VI 120,129,1180,0.8,0.81831798,0.773836011,0,983
2,4,VI 20,804,6752,0.8,VI 120,132,1212,0.8,0.784682118,0.745929814,0,1000
2,5,VI 20,799,6957,0.8,VI 120,123,1117,0.8,0.812641668,0.79436883,0,1018
2,6,VI 20,824,6732,0.8,VI 120,137,1274,0.8,0.779206645,0.722974679,0,1124
2,7,VI 20,826,6813,0.8,VI 120,125,1228,0.8,0.820070034,0.744140022,0,974
2,8,VI 20,826,6837,0.8,VI 120,138,1310,0.8,0.777100961,0.717594284,0,1064
2,9,VI 20,889,7308,0.8,VI 120,119,1110,0.8,0.8733548,0.81847556,0,1030
3,0,VI 20,611,1839,1.05,VI 120,141,2119,0.645,0.636822098,-0.061549227,0.211629584,894
3,1,VI 20,611,1961,1.05,VI 120,118,1925,0.645,0.714159203,0.00804686,0.211629584,898
3,2,VI 20,565,1745,1.05,VI 120,142,2338,0.645,0.599760103,-0.127049076,0.211629584,847
3,3,VI 20,550,1745,1.05,VI 120,142,2247,0.645,0.588074345,-0.109807641,0.211629584,903
3,4,VI 20,565,1807,1.05,VI 120,125,2137,0.645,0.655138435,-0.07284637,0.211629584,831
3,5,VI 20,563,1818,1.05,VI 120,143,2236,0.645,0.595172357,-0.08987792,0.211629584,910
3,6,VI 20,545,1756,1.05,VI 120,155,2314,0.645,0.546064804,-0.119838843,0.211629584,886
3,7,VI 20,597,1807,1.05,VI 120,132,2087,0.645,0.6554004,-0.062564297,0.211629584,847
3,8,VI 20,579,1830,1.05,VI 120,146,2321,0.645,0.598325708,-0.103224051,0.211629584,888
3,9,VI 20,629,1923,1.05,VI 120,133,2001,0.645,0.674799004,-0.017267804,0.211629584,900
4,0,VI 20,113,113,1.6,VI 120,121,2204,0.533,-0.029706927,-1.290133147,0.477392774,218
4,1,VI 20,117,117,1.6,VI 120,119,2176,0.533,-0.0073611,-1.269473029,0.477392774,219
4,2,VI 20,114,114,1.6,VI 120,119,2243,0.533,-0.01864211,-1.293924422,0.477392774,218
4,3,VI 20,118,118,1.6,VI 120,134,2345,0.533,-0.055222791,-1.29826084,0.477392774,226
4,4,VI 20,118,118,1.6,VI 120,120,2123,0.533,-0.007299239,-1.255067987,0.477392774,219
4,5,VI 20,118,118,1.6,VI 120,115,2009,0.533,0.011184167,-1.231097929,0.477392774,224
4,6,VI 20,116,116,1.6,VI 120,114,2120,0.533,0.007553138,-1.261877872,0.477392774,220
4,7,VI 20,116,116,1.6,VI 120,112,2060,0.533,0.015239967,-1.249409231,0.477392774,215
