net_type,run_index,repetition_index,mutation_rate,Sch 1,R1,M1,B1,Sch 2,R2,M2,B2,log(R1/R2),log(M1/M2),log(B1/B2),am,ar,log(b),(log(R1/R1))^2,(log(R1/R2)) * (log(M1/M2)),(log(M1/M2))^2,Changeovers,A,B,C,G
1,1,2,0.1,VI 20,535,0.64516129,1313,VI 120,114,1.052631579,621,0.671448931,-0.212608093,0.325173126,,,,0.450843667,-0.142755477,0.045202201,561,,,,
1,2,0,0.1,VI 20,577,0.8,1617,VI 120,116,0.8,457,0.696717824,0,0.54879382,,,,0.485415726,0,0,491,,,,
1,5,2,0.1,VI 45,256,0.533333333,773,VI 95,185,1.6,1154,0.141068237,-0.477121255,-0.174026315,,,,0.019900247,-0.067306654,0.227644692,583,,,,
1,1,6,0.1,VI 20,536,0.64516129,1343,VI 120,108,1.052631579,572,0.695741034,-0.212608093,0.370679984,,,,0.484055587,-0.147920174,0.045202201,507,,,,
1,4,8,0.1,VI 20,706,1.6,3021,VI 120,80,0.533333333,229,0.945714714,0.477121255,1.120315243,,,,0.89437632,0.451220591,0.227644692,310,,,,
1,4,4,0.1,VI 20,671,1.6,2903,VI 120,81,0.533333333,262,0.918237501,0.477121255,1.044545745,,,,0.843160109,0.438110629,0.227644692,338,,,,
1,3,3,0.1,VI 20,594,1.052631579,2002,VI 120,113,0.64516129,401,0.720708001,0.212608093,0.698319701,,,,0.519420023,0.153228354,0.045202201,470,,,,
1,5,7,0.1,VI 45,252,0.533333333,753,VI 95,179,1.6,1120,0.14854751,-0.477121255,-0.172423046,,,,0.022066363,-0.070875174,0.227644692,583,,,,
1,0,1,0.1,VI 20,483,0.533333333,1126,VI 120,133,1.6,861,0.56009549,-0.477121255,0.116535239,,,,0.313706958,-0.267233463,0.227644692,599,,,,
1,0,5,0.1,VI 20,457,0.533333333,1114,VI 120,124,1.6,810,0.566494515,-0.477121255,0.138400172,,,,0.320916035,-0.270286574,0.227644692,555,,,,
1,6,1,0.1,VI 45,244,0.64516129,787,VI 95,180,1.052631579,940,0.132117321,-0.212608093,-0.077153121,,,,0.017454987,-0.028089212,0.045202201,554,,,,
1,2,5,0.1,VI 20,526,0.8,1549,VI 120,128,0.8,539,0.613775775,0,0.458462653,,,,0.376720701,0,0,467,,,,
1,2,9,0.1,VI 20,583,0.8,1631,VI 120,113,0.8,479,0.712590111,0,0.532118448,,,,0.507784667,0,0,443,,,,
1,4,1,0.1,VI 20,669,1.6,2792,VI 120,79,0.533333333,253,0.927799026,0.477121255,1.042794893,,,,0.860811034,0.442672636,0.227644692,324,,,,
1,1,3,0.1,VI 20,546,0.64516129,1383,VI 120,118,1.052631579,605,0.665310635,-0.212608093,0.359066805,,,,0.442638242,-0.141450425,0.045202201,503,,,,
1,0,9,0.1,VI 20,463,0.533333333,1136,VI 120,130,1.6,814,0.551637639,-0.477121255,0.144753926,,,,0.304304084,-0.263198042,0.227644692,544,,,,
1,1,7,0.1,VI 20,485,0.64516129,1236,VI 120,112,1.052631579,584,0.636523716,-0.212608093,0.325605624,,,,0.405162441,-0.135330093,0.045202201,528,,,,
1,5,3,0.1,VI 45,241,0.533333333,750,VI 95,174,1.6,1099,0.141467794,-0.477121255,-0.165936429,,,,0.020013137,-0.067497292,0.227644692,533,,,,
1,3,7,0.1,VI 20,617,1.052631579,2049,VI 120,112,0.64516129,391,0.741067141,0.212608093,0.719365201,,,,0.549180508,0.157556872,0.045202201,420,,,,
1,2,1,0.1,VI 20,600,0.8,1660,VI 120,125,0.8,544,0.681241237,0,0.484509188,,,,0.464089624,0,0,505,,,,
1,4,9,0.1,VI 20,677,1.6,2945,VI 120,81,0.533333333,225,0.92210365,0.477121255,1.116902781,,,,0.850275141,0.43995525,0.227644692,294,,,,
1,4,5,0.1,VI 20,709,1.6,2935,VI 120,92,0.533333333,238,0.886858408,0.477121255,1.091031149,,,,0.786517836,0.423138996,0.227644692,301,,,,
1,0,2,0.1,VI 20,466,0.533333333,1032,VI 120,129,1.6,838,0.557796206,-0.477121255,0.090435679,,,,0.311136608,-0.266136426,0.227644692,521,,,,
1,6,2,0.1,VI 45,291,0.64516129,979,VI 95,156,1.052631579,853,0.270768391,-0.212608093,0.059833661,,,,0.073315521,-0.057567551,0.045202201,603,,,,
1,0,6,0.1,VI 20,438,0.533333333,1046,VI 120,129,1.6,876,0.5308844,-0.477121255,0.077027578,,,,0.281838246,-0.253296231,0.227644692,572,,,,
1,3,4,0.1,VI 20,617,1.052631579,2056,VI 120,108,0.64516129,373,0.756861409,0.212608093,0.741314279,,,,0.572839192,0.160914861,0.045202201,407,,,,
1,5,8,0.1,VI 45,262,0.533333333,796,VI 95,172,1.6,1060,0.182772844,-0.477121255,-0.124392798,,,,0.033405913,-0.087204809,0.227644692,537,,,,
1,2,6,0.1,VI 20,602,0.8,1623,VI 120,113,0.8,465,0.726518048,0,0.542865567,,,,0.527828474,0,0,495,,,,
1,1,0,0.1,VI 20,522,0.64516129,1374,VI 120,107,1.052631579,601,0.688286725,-0.212608093,0.359112261,,,,0.473738616,-0.146335328,0.045202201,569,,,,
1,3,0,0.1,VI 20,619,1.052631579,2053,VI 120,105,0.64516129,333,0.77050135,0.212608093,0.789944716,,,,0.59367233,0.163814823,0.045202201,375,,,,
1,4,2,0.1,VI 20,674,1.6,2955,VI 120,80,0.533333333,254,0.92556991,0.477121255,1.065723769,,,,0.856679657,0.441609077,0.227644692,292,,,,
1,1,4,0.1,VI 20,509,0.64516129,1298,VI 120,127,1.052631579,625,0.602914061,-0.212608093,0.317394675,,,,0.363505365,-0.128184409,0.045202201,523,,,,
1,1,8,0.1,VI 20,543,0.64516129,1402,VI 120,112,1.052631579,596,0.685581807,-0.212608093,0.371501754,,,,0.470022414,-0.14576024,0.045202201,526,,,,
1,5,4,0.1,VI 45,267,0.533333333,777,VI 95,166,1.6,1097,0.206403173,-0.477121255,-0.149785609,,,,0.04260227,-0.098479341,0.227644692,573,,,,
1,2,2,0.1,VI 20,524,0.8,1422,VI 120,124,0.8,518,0.625909602,0,0.438569837,,,,0.39176283,0,0,479,,,,
1,3,8,0.1,VI 20,600,1.052631579,1909,VI 120,103,0.64516129,371,0.765314026,0.212608093,0.711432019,,,,0.585705558,0.162711955,0.045202201,396,,,,
1,5,0,0.1,VI 45,239,0.533333333,680,VI 95,170,1.6,1130,0.14794898,-0.477121255,-0.220569531,,,,0.021888901,-0.070589603,0.227644692,588,,,,
1,4,6,0.1,VI 20,711,1.6,3077,VI 120,73,0.533333333,216,0.988546741,0.477121255,1.153673745,,,,0.977224658,0.471656661,0.227644692,268,,,,
1,0,3,0.1,VI 20,522,0.533333333,1178,VI 120,111,1.6,703,0.672347524,-0.477121255,0.224189965,,,,0.452051193,-0.320791294,0.227644692,543,,,,
1,3,5,0.1,VI 20,635,1.052631579,2128,VI 120,111,0.64516129,383,0.757450747,0.212608093,0.74477285,,,,0.573731633,0.161040159,0.045202201,398,,,,
1,0,7,0.1,VI 20,462,0.533333333,1063,VI 120,124,1.6,808,0.57122029,-0.477121255,0.119121904,,,,0.32629262,-0.272541342,0.227644692,608,,,,
1,6,3,0.1,VI 45,275,0.64516129,824,VI 95,175,1.052631579,904,0.196294645,-0.212608093,-0.040241219,,,,0.038531588,-0.04173383,0.045202201,568,,,,
1,5,9,0.1,VI 45,269,0.533333333,776,VI 95,171,1.6,1112,0.19675617,-0.477121255,-0.156243066,,,,0.03871299,-0.093876551,0.227644692,573,,,,
1,1,1,0.1,VI 20,493,0.64516129,1233,VI 120,113,1.052631579,608,0.639768476,-0.212608093,0.307059497,,,,0.409303703,-0.136019956,0.045202201,489,,,,
1,2,7,0.1,VI 20,579,0.8,1683,VI 120,109,0.8,408,0.725252066,0,0.615423953,,,,0.525990559,0,0,439,,,,
1,5,5,0.1,VI 45,263,0.533333333,819,VI 95,158,1.6,1025,0.221298662,-0.477121255,-0.097439964,,,,0.048973098,-0.105586295,0.227644692,545,,,,
1,4,3,0.1,VI 20,694,1.6,2849,VI 120,99,0.533333333,291,0.845724276,0.477121255,0.99079946,,,,0.715249551,0.403513028,0.227644692,338,,,,
1,1,5,0.1,VI 20,524,0.64516129,1283,VI 120,115,1.052631579,628,0.658633447,-0.212608093,0.310267013,,,,0.433798017,-0.140030801,0.045202201,530,,,,
1,2,3,0.1,VI 20,547,0.8,1579,VI 120,114,0.8,494,0.681082475,0,0.504655181,,,,0.463873338,0,0,507,,,,
1,1,9,0.1,VI 20,536,0.64516129,1412,VI 120,114,1.052631579,558,0.672259938,-0.212608093,0.403200498,,,,0.451933425,-0.142927903,0.045202201,493,,,,
1,3,1,0.1,VI 20,615,1.052631579,2071,VI 120,105,0.64516129,350,0.767685817,0.212608093,0.772112055,,,,0.589341513,0.163216217,0.045202201,408,,,,
1,3,9,0.1,VI 20,610,1.052631579,2037,VI 120,107,0.64516129,364,0.755946057,0.212608093,0.747889645,,,,0.571454442,0.16072025,0.045202201,382,,,,
1,5,1,0.1,VI 45,253,0.533333333,740,VI 95,167,1.6,1073,0.18040405,-0.477121255,-0.161368002,,,,0.032545621,-0.086074607,0.227644692,531,,,,
1,4,7,0.1,VI 20,679,1.6,2899,VI 120,82,0.533333333,224,0.918055922,0.477121255,1.112000197,,,,0.842826676,0.438023993,0.227644692,302,,,,
1,6,8,0.1,VI 45,299,0.64516129,965,VI 95,153,1.052631579,833,0.290979758,-0.212608093,0.063882312,,,,0.084669219,-0.061864651,0.045202201,618,,,,
1,6,4,0.1,VI 45,288,0.64516129,991,VI 95,149,1.052631579,870,0.286206219,-0.212608093,0.056554402,,,,0.081914,-0.060849758,0.045202201,527,,,,
1,7,6,0.1,VI 45,279,0.8,1024,VI 95,167,0.8,749,0.222887732,0,0.135818139,,,,0.049678941,0,0,601,,,,
1,7,2,0.1,VI 45,269,0.8,1041,VI 95,161,0.8,818,0.222926404,0,0.104697426,,,,0.049696182,0,0,629,,,,
1,8,8,0.1,VI 45,337,1.052631579,1365,VI 95,141,0.64516129,568,0.378410788,0.212608093,0.380784316,,,,0.143194725,0.080453196,0.045202201,544,,,,
1,8,4,0.1,VI 45,302,1.052631579,1297,VI 95,140,0.64516129,607,0.333878907,0.212608093,0.329751285,,,,0.111475125,0.070985358,0.045202201,558,,,,
1,8,0,0.1,VI 45,283,1.052631579,1187,VI 95,152,0.64516129,586,0.269942848,0.212608093,0.306553103,,,,0.072869141,0.057392034,0.045202201,548,,,,
1,9,2,0.1,VI 45,348,1.6,1773,VI 95,121,0.533333333,417,0.458793874,0.477121255,0.628572681,,,,0.210491818,0.218900309,0.227644692,456,,,,
1,10,4,0.1,VI 70,176,0.533333333,646,VI 70,215,1.6,1330,-0.086925792,-0.477121255,-0.313619123,,,,0.007556093,0.041474143,0.227644692,571,,,,
1,9,6,0.1,VI 45,334,1.6,1801,VI 95,118,0.533333333,446,0.45186446,0.477121255,0.606178854,,,,0.20418149,0.215594138,0.227644692,456,,,,
1,10,8,0.1,VI 70,207,0.533333333,734,VI 70,203,1.6,1218,0.008474308,-0.477121255,-0.219951228,,,,7.18E-05,-0.004043272,0.227644692,555,,,,
1,11,6,0.1,VI 70,220,0.64516129,762,VI 70,196,1.052631579,935,0.050166609,-0.212608093,-0.08885664,,,,0.002516689,-0.010665827,0.045202201,562,,,,
1,11,2,0.1,VI 70,198,0.64516129,717,VI 70,208,1.052631579,1085,-0.021398145,-0.212608093,-0.179910583,,,,0.000457881,0.004549419,0.045202201,596,,,,
1,10,0,0.1,VI 70,185,0.533333333,634,VI 70,242,1.6,1378,-0.116643638,-0.477121255,-0.33715996,,,,0.013605738,0.055653159,0.227644692,527,,,,
1,12,0,0.1,VI 70,209,0.8,899,VI 70,209,0.8,901,0,0,-0.000965099,,,,0,0,0,628,,,,
1,12,4,0.1,VI 70,194,0.8,831,VI 70,196,0.8,869,-0.004454341,0,-0.019418753,,,,1.98E-05,0,0,633,,,,
1,6,5,0.1,VI 45,283,0.64516129,910,VI 95,188,1.052631579,894,0.177628586,-0.212608093,0.007703874,,,,0.031551915,-0.037765275,0.045202201,543,,,,
1,8,5,0.1,VI 45,293,1.052631579,1269,VI 95,148,0.64516129,630,0.296605905,0.212608093,0.304121073,,,,0.087975063,0.063060816,0.045202201,564,,,,
1,6,9,0.1,VI 45,272,0.64516129,912,VI 95,158,1.052631579,864,0.235911817,-0.212608093,0.023481096,,,,0.055654385,-0.050156762,0.045202201,589,,,,
1,8,1,0.1,VI 45,307,1.052631579,1382,VI 95,154,0.64516129,582,0.299617655,0.212608093,0.375585058,,,,0.089770739,0.063701138,0.045202201,558,,,,
1,7,3,0.1,VI 45,320,0.8,1186,VI 95,142,0.8,663,0.352861634,0,0.252571161,,,,0.124511333,0,0,587,,,,
1,7,7,0.1,VI 45,294,0.8,1057,VI 95,156,0.8,719,0.275222732,0,0.167346097,,,,0.075747552,0,0,590,,,,
1,8,9,0.1,VI 45,293,1.052631579,1294,VI 95,145,0.64516129,634,0.305499618,0.212608093,0.309845018,,,,0.093330017,0.064951691,0.045202201,546,,,,
1,11,3,0.1,VI 70,205,0.64516129,752,VI 70,220,1.052631579,1012,-0.03066882,-0.212608093,-0.128962672,,,,0.000940577,0.006520439,0.045202201,615,,,,
1,10,5,0.1,VI 70,163,0.533333333,547,VI 70,218,1.6,1316,-0.126268889,-0.477121255,-0.381268563,,,,0.015943832,0.060245571,0.227644692,532,,,,
1,9,3,0.1,VI 45,315,1.6,1628,VI 95,134,0.533333333,475,0.371205755,0.477121255,0.534960791,,,,0.137793713,0.177110156,0.227644692,472,,,,
1,11,7,0.1,VI 70,195,0.64516129,756,VI 70,200,1.052631579,990,-0.010995384,-0.212608093,-0.117113399,,,,0.000120898,0.002337708,0.045202201,611,,,,
1,10,1,0.1,VI 70,180,0.533333333,669,VI 70,212,1.6,1263,-0.071063356,-0.477121255,-0.275977233,,,,0.005050001,0.033905837,0.227644692,573,,,,
1,10,9,0.1,VI 70,184,0.533333333,608,VI 70,213,1.6,1328,-0.06356178,-0.477121255,-0.339294496,,,,0.0040401,0.030326676,0.227644692,489,,,,
1,9,7,0.1,VI 45,306,1.6,1685,VI 95,135,0.533333333,484,0.355387658,0.477121255,0.541754544,,,,0.126300387,0.169563005,0.227644692,480,,,,
1,12,1,0.1,VI 70,211,0.8,851,VI 70,190,0.8,850,0.045528854,0,0.000510634,,,,0.002072877,0,0,592,,,,
1,12,5,0.1,VI 70,207,0.8,868,VI 70,202,0.8,892,0.010618976,0,-0.011845129,,,,0.000112763,0,0,587,,,,
1,6,6,0.1,VI 45,273,0.64516129,921,VI 95,148,1.052631579,772,0.265900932,-0.212608093,0.07664233,,,,0.070703305,-0.05653269,0.045202201,564,,,,
1,7,0,0.1,VI 45,302,0.8,1097,VI 95,152,0.8,720,0.298163355,0,0.182874131,,,,0.088901386,0,0,599,,,,
1,8,2,0.1,VI 45,324,1.052631579,1423,VI 95,135,0.64516129,594,0.380211242,0.212608093,0.379418455,,,,0.144560588,0.080835987,0.045202201,541,,,,
1,8,6,0.1,VI 45,314,1.052631579,1272,VI 95,155,0.64516129,616,0.30659795,0.212608093,0.314906399,,,,0.094002303,0.065185205,0.045202201,582,,,,
1,9,0,0.1,VI 45,312,1.6,1639,VI 95,147,0.533333333,489,0.326837259,0.477121255,0.525270094,,,,0.106822594,0.155941003,0.227644692,496,,,,
1,7,8,0.1,VI 45,302,0.8,1106,VI 95,141,0.8,694,0.33078783,0,0.202395657,,,,0.109420589,0,0,560,,,,
1,7,4,0.1,VI 45,295,0.8,1083,VI 95,157,0.8,758,0.273922364,0,0.154959251,,,,0.075033461,0,0,602,,,,
1,11,4,0.1,VI 70,192,0.64516129,783,VI 70,200,1.052631579,1012,-0.017728767,-0.212608093,-0.11141875,,,,0.000314309,0.003769279,0.045202201,609,,,,
1,10,6,0.1,VI 70,176,0.533333333,627,VI 70,225,1.6,1372,-0.10666985,-0.477121255,-0.340086571,,,,0.011378457,0.050894453,0.227644692,494,,,,
1,9,4,0.1,VI 45,295,1.6,1587,VI 95,128,0.533333333,504,0.362612046,0.477121255,0.49814639,,,,0.131487496,0.173009915,0.227644692,503,,,,
1,11,8,0.1,VI 70,198,0.64516129,788,VI 70,199,1.052631579,1044,-0.002187886,-0.212608093,-0.122174281,,,,4.79E-06,0.000465162,0.045202201,629,,,,
1,10,2,0.1,VI 70,171,0.533333333,627,VI 70,213,1.6,1314,-0.095383493,-0.477121255,-0.321327824,,,,0.009098011,0.045509492,0.227644692,538,,,,
1,11,0,0.1,VI 70,203,0.64516129,741,VI 70,219,1.052631579,1058,-0.032948077,-0.212608093,-0.15466746,,,,0.001085576,0.007005028,0.045202201,559,,,,
1,9,8,0.1,VI 45,315,1.6,1629,VI 95,149,0.533333333,503,0.325124285,0.477121255,0.510353099,,,,0.105705801,0.155123707,0.227644692,461,,,,
1,12,2,0.1,VI 70,208,0.8,942,VI 70,186,0.8,872,0.048550391,0,0.033534418,,,,0.00235714,0,0,644,,,,
1,12,6,0.1,VI 70,200,0.8,866,VI 70,202,0.8,892,-0.004321374,0,-0.012846962,,,,1.87E-05,0,0,598,,,,
1,6,7,0.1,VI 45,267,0.64516129,883,VI 95,175,1.052631579,895,0.183473213,-0.212608093,-0.005862332,,,,0.03366242,-0.03900789,0.045202201,588,,,,
1,7,1,0.1,VI 45,288,0.8,1095,VI 95,142,0.8,686,0.307104143,0,0.203090003,,,,0.094312955,0,0,562,,,,
1,8,7,0.1,VI 45,303,1.052631579,1315,VI 95,144,0.64516129,631,0.323080136,0.212608093,0.318896394,,,,0.104380775,0.068689452,0.045202201,551,,,,
1,8,3,0.1,VI 45,316,1.052631579,1320,VI 95,154,0.64516129,582,0.312166362,0.212608093,0.355650947,,,,0.097447837,0.066369095,0.045202201,537,,,,
1,9,1,0.1,VI 45,320,1.6,1655,VI 95,144,0.533333333,524,0.346787486,0.477121255,0.499466711,,,,0.120261561,0.165459681,0.227644692,510,,,,
1,10,7,0.1,VI 70,175,0.533333333,612,VI 70,215,1.6,1300,-0.089400411,-0.477121255,-0.32719193,,,,0.007992434,0.042654836,0.227644692,521,,,,
1,7,9,0.1,VI 45,300,0.8,1151,VI 95,155,0.8,738,0.286789557,0,0.193018962,,,,0.08224825,0,0,571,,,,
1,7,5,0.1,VI 45,277,0.8,1040,VI 95,159,0.8,728,0.241082645,0,0.15490196,,,,0.058120842,0,0,595,,,,
1,11,5,0.1,VI 70,210,0.64516129,731,VI 70,222,1.052631579,1051,-0.02413368,-0.212608093,-0.157685339,,,,0.000582434,0.005131016,0.045202201,610,,,,
1,10,3,0.1,VI 70,176,0.533333333,619,VI 70,230,1.6,1347,-0.116215168,-0.477121255,-0.337676947,,,,0.013505965,0.055448727,0.227644692,584,,,,
1,11,9,0.1,VI 70,180,0.64516129,682,VI 70,252,1.052631579,1129,-0.146128036,-0.212608093,-0.218909567,,,,0.021353403,0.031068003,0.045202201,569,,,,
1,9,5,0.1,VI 45,296,1.6,1723,VI 95,125,0.533333333,444,0.374381698,0.477121255,0.588902307,,,,0.140161656,0.178625466,0.227644692,513,,,,
1,9,9,0.1,VI 45,314,1.6,1670,VI 95,136,0.533333333,503,0.36339074,0.477121255,0.521148486,,,,0.13205283,0.173381446,0.227644692,510,,,,
1,11,1,0.1,VI 70,202,0.64516129,780,VI 70,176,1.052631579,937,0.059838702,-0.212608093,-0.079644988,,,,0.00358067,-0.012722192,0.045202201,586,,,,
1,12,3,0.1,VI 70,199,0.8,881,VI 70,202,0.8,872,-0.006498293,0,0.004459423,,,,4.22E-05,0,0,599,,,,
1,12,7,0.1,VI 70,188,0.8,885,VI 70,196,0.8,880,-0.018098222,0,0.002460599,,,,0.000327546,0,0,608,,,,
1,13,2,0.1,VI 70,205,1.052631579,1029,VI 70,210,0.64516129,812,-0.010465434,0.212608093,0.102859346,,,,0.000109525,-0.002225036,0.045202201,608,,,,
1,12,8,0.1,VI 70,213,0.8,894,VI 70,191,0.8,841,0.047346236,0,0.026541523,,,,0.002241666,0,0,620,,,,
1,14,4,0.1,VI 70,221,1.6,1370,VI 70,203,0.533333333,706,0.036896236,0.477121255,0.287915866,,,,0.001361332,0.017603978,0.227644692,588,,,,
1,15,2,0.1,VI 95,131,0.533333333,470,VI 45,309,1.6,1632,-0.372687184,-0.477121255,-0.540622296,,,,0.138895737,0.177816977,0.227644692,466,,,,
1,14,0,0.1,VI 70,210,1.6,1331,VI 70,183,0.533333333,652,0.059768205,0.477121255,0.30993046,,,,0.003572238,0.028516681,0.227644692,585,,,,
1,13,6,0.1,VI 70,204,1.052631579,1002,VI 70,198,0.64516129,831,0.012964977,0.212608093,0.081266698,,,,0.000168091,0.002756459,0.045202201,650,,,,
1,16,0,0.1,VI 95,144,0.64516129,591,VI 45,310,1.052631579,1295,-0.332999202,-0.212608093,-0.340682288,,,,0.110888468,0.070798325,0.045202201,532,,,,
1,14,8,0.1,VI 70,196,1.6,1207,VI 70,177,0.533333333,617,0.044282805,0.477121255,0.291422106,,,,0.001960967,0.021128267,0.227644692,568,,,,
1,15,6,0.1,VI 95,140,0.533333333,526,VI 45,307,1.6,1622,-0.34101034,-0.477121255,-0.489065106,,,,0.116288052,0.162703281,0.227644692,464,,,,
1,16,4,0.1,VI 95,128,0.64516129,568,VI 45,308,1.052631579,1303,-0.381340747,-0.212608093,-0.36059608,,,,0.145420765,0.081076129,0.045202201,537,,,,
1,17,2,0.1,VI 95,150,0.8,719,VI 45,275,0.8,1085,-0.263241435,0,-0.178700848,,,,0.069296053,0,0,598,,,,
1,16,8,0.1,VI 95,144,0.64516129,597,VI 45,320,1.052631579,1383,-0.346787486,-0.212608093,-0.364847849,,,,0.120261561,0.073729826,0.045202201,552,,,,
1,17,6,0.1,VI 95,138,0.8,681,VI 45,297,0.8,1123,-0.332877363,0,-0.217232644,,,,0.110807339,0,0,538,,,,
1,18,0,0.1,VI 95,159,1.052631579,858,VI 45,274,0.64516129,859,-0.236353438,0.212608093,-0.000505876,,,,0.055862948,-0.050250654,0.045202201,569,,,,
1,18,4,0.1,VI 95,153,1.052631579,833,VI 45,308,0.64516129,1013,-0.303859286,0.212608093,-0.084964444,,,,0.092330465,-0.064602943,0.045202201,611,,,,
1,18,8,0.1,VI 95,155,1.052631579,824,VI 45,282,0.64516129,956,-0.25991741,0.212608093,-0.064530681,,,,0.06755706,-0.055260545,0.045202201,617,,,,
1,13,3,0.1,VI 70,211,1.052631579,1020,VI 70,198,0.64516129,799,0.027617265,0.212608093,0.106053392,,,,0.000762713,0.005871654,0.045202201,567,,,,
1,12,9,0.1,VI 70,190,0.8,804,VI 70,209,0.8,919,-0.041392685,0,-0.058059463,,,,0.001713354,0,0,585,,,,
1,14,5,0.1,VI 70,243,1.6,1334,VI 70,174,0.533333333,551,0.145057025,0.477121255,0.384004231,,,,0.021041541,0.06920979,0.227644692,505,,,,
1,15,3,0.1,VI 95,132,0.533333333,525,VI 45,292,1.6,1576,-0.34480892,-0.477121255,-0.47739691,,,,0.118893191,0.164515665,0.227644692,468,,,,
1,13,7,0.1,VI 70,195,1.052631579,981,VI 70,177,0.64516129,754,0.042061345,0.212608093,0.114297662,,,,0.001769157,0.008942582,0.045202201,597,,,,
1,14,1,0.1,VI 70,218,1.6,1319,VI 70,171,0.533333333,644,0.105460383,0.477121255,0.311358928,,,,0.011121892,0.05031739,0.227644692,526,,,,
1,16,1,0.1,VI 95,138,0.64516129,567,VI 45,306,1.052631579,1310,-0.34584234,-0.212608093,-0.363688237,,,,0.119606924,0.07352888,0.045202201,538,,,,
1,14,9,0.1,VI 70,219,1.6,1373,VI 70,184,0.533333333,656,0.075626292,0.477121255,0.320766698,,,,0.005719336,0.036082911,0.227644692,560,,,,
1,15,7,0.1,VI 95,139,0.533333333,471,VI 45,349,1.6,1818,-0.399810627,-0.477121255,-0.586572972,,,,0.159848537,0.190758148,0.227644692,523,,,,
1,16,5,0.1,VI 95,136,0.64516129,585,VI 45,313,1.052631579,1286,-0.362005429,-0.212608093,-0.342085103,,,,0.131047931,0.076965284,0.045202201,572,,,,
1,17,3,0.1,VI 95,143,0.8,699,VI 45,308,0.8,1116,-0.333214679,0,-0.203187019,,,,0.111032022,0,0,588,,,,
1,17,7,0.1,VI 95,149,0.8,656,VI 45,295,0.8,1131,-0.296635748,0,-0.236558766,,,,0.087992767,0,0,561,,,,
1,16,9,0.1,VI 95,147,0.64516129,623,VI 45,288,1.052631579,1264,-0.292075153,-0.212608093,-0.307259027,,,,0.085307895,0.062097541,0.045202201,554,,,,
1,18,1,0.1,VI 95,147,1.052631579,820,VI 45,262,0.64516129,890,-0.250983957,0.212608093,-0.035576154,,,,0.062992946,-0.05336122,0.045202201,575,,,,
1,18,5,0.1,VI 95,166,1.052631579,875,VI 45,283,0.64516129,966,-0.231678347,0.212608093,-0.042969073,,,,0.053674857,-0.049256692,0.045202201,562,,,,
1,18,9,0.1,VI 95,141,1.052631579,783,VI 45,279,0.64516129,953,-0.296385091,0.212608093,-0.085331139,,,,0.087844122,-0.063013869,0.045202201,620,,,,
1,13,4,0.1,VI 70,207,1.052631579,1090,VI 70,207,0.64516129,773,0,0.212608093,0.149247004,,,,0,0,0.045202201,624,,,,
1,13,0,0.1,VI 70,206,1.052631579,1003,VI 70,207,0.64516129,775,-0.002103125,0.212608093,0.111999231,,,,4.42E-06,-0.000447141,0.045202201,583,,,,
1,14,6,0.1,VI 70,221,1.6,1372,VI 70,177,0.533333333,575,0.096419007,0.477121255,0.377686267,,,,0.009296625,0.046003558,0.227644692,570,,,,
