net_type,run_index,repetition_index,mutation_rate,Sch 1,R1,M1,B1,Sch 2,R2,M2,B2,log(R1/R2),log(M1/M2),log(B1/B2),am,ar,log(b),(log(R1/R1))^2,(log(R1/R2)) * (log(M1/M2)),(log(M1/M2))^2,Changeovers,A,B,C,G
1,0,0,0.1,VI 20,512,0.533333333,1160,VI 120,114,1.6,752,0.65236511,-0.477121255,0.188240149,0.625223542,0.771289787,-0.000234748,0.425580236,-0.31125726,0.227644692,568,-162.632984,-184.0519624,-223.1538959,596.2149988
1,3,2,0.1,VI 20,585,1.052631579,1976,VI 120,100,0.64516129,341,0.767155866,0.212608093,0.763032561,0.008573019,0.005707424,0.002793187,0.588528123,0.163103546,0.045202201,357,17.71088213,11.79013139,7.500823645,3.084261036
1,2,8,0.1,VI 20,601,0.8,1623,VI 120,117,0.8,495,0.71068861,0,0.515713321,0.99112896,0.044164082,#N/A,0.505078301,0,0,524,0.899958451,27.15838759,#N/A,#N/A
1,5,6,0.1,VI 45,241,0.533333333,783,VI 95,162,1.6,1002,0.172502028,-0.477121255,-0.107105959,13798.20505,247,#N/A,0.02975695,-0.082304384,0.227644692,582,737.6594416,246,#N/A,#N/A
1,0,4,0.1,VI 20,442,0.533333333,1073,VI 120,119,1.6,822,0.569875308,-0.477121255,0.115727904,53.82586366,0.481765138,#N/A,0.324757867,-0.271899622,0.227644692,519,1632244.164,181444.1921,#N/A,#N/A
1,0,8,0.1,VI 20,447,0.533333333,1043,VI 120,144,1.6,859,0.491945031,-0.477121255,0.084291145,,,,0.242009914,-0.23471743,0.227644692,511,,,,
1,2,4,0.1,VI 20,580,0.8,1686,VI 120,98,0.8,449,0.772201918,0,0.574611229,,,,0.596295802,0,0,478,,,,
1,3,6,0.1,VI 20,578,1.052631579,2041,VI 120,99,0.64516129,367,0.766292644,0.212608093,0.74517694,,,,0.587204416,0.162920018,0.045202201,443,,,,
1,6,0,0.1,VI 45,269,0.64516129,874,VI 95,160,1.052631579,882,0.225632297,-0.212608093,-0.003957152,,,,0.050909934,-0.047971252,0.045202201,563,,,,
1,4,0,0.1,VI 20,701,1.6,3070,VI 120,75,0.533333333,221,0.970656755,0.477121255,1.142746102,,,,0.942174535,0.463120969,0.227644692,286,,,,
