run_index,repetition_index,R1,B1,R2,B2,log(R1/R2),log(B1/B2)
0,0,1083,6368,1094,6611,-0.0043888653720915915,-0.016264102431351922
0,1,1113,6561,1072,6299,0.016300378977957105,0.017698429407426827
0,3,1092,6492,1050,6249,0.01703333929878037,0.016567986486785966
0,5,1123,6544,1105,6355,0.007017478240328257,0.012727735773239622
0,6,1066,6371,1132,6542,-0.026089222161699153,-0.011502934706921385
0,4,1069,6331,1145,6696,-0.02982778146712878,-0.024343131463732494
0,7,1081,6497,1061,6252,0.008110310051969636,0.0166938974182194
0,2,1097,6500,1045,6342,0.02109033712763832,0.010687118951785687
0,10,1106,6513,1043,6312,0.025470818542148596,0.01361408797271861
0,8,1020,6269,1100,6510,-0.03279251339630749,-0.016382718729233043
0,11,1093,6605,1091,6311,0.0007954113613609573,0.019774641775770378
0,9,1069,6320,1080,6484,-0.004446050278171685,-0.011125927894092313
0,12,1101,6398,1084,6503,0.006758036769383636,-0.007069518259810336
0,14,1093,6504,1077,6400,0.0064044586517211744,0.007000558602124623
0,13,1044,6281,1090,6608,-0.018725999274380258,-0.022041240908252713
0,15,1075,6344,1103,6469,-0.011167048188566469,-0.008473976830940944
0,16,1116,6727,1041,6150,0.03021346509102376,0.03894631190738543
0,17,1089,6404,1114,6479,-0.009857311081935152,-0.0050566566980645485
0,18,1084,6551,1055,6340,0.01177682256865663,0.0142183415502071
0,20,1086,6278,1112,6460,-0.010274961993210508,-0.01241120663106045
0,19,1123,6685,1109,6487,0.005448210112297676,0.013057513667776518
0,23,1093,6370,1071,6441,0.008830691117847128,-0.0048138668205606775
0,25,1091,6434,1047,6265,0.01787806890949954,0.011559981235782245
0,21,1188,6883,1026,6124,0.0636690798693773,0.050742587527509854
0,24,1114,6440,1112,6443,0.0007804035916714247,-0.00020226398653415347
0,27,1080,6334,1073,6365,0.002824033520998593,-0.0021203489537810613
0,22,1092,6520,1085,6386,0.0027929001841700716,0.00901868152849411
0,28,1095,6437,1112,6527,-0.00669066806990153,-0.00603010356700745
0,26,1034,6295,1093,6548,-0.024099623191779097,-0.017112936296022424
0,29,1064,6363,1128,6671,-0.025367471688294094,-0.02052901741635898
1,0,952,5845,1287,7278,-0.13094159851991233,-0.09522753575235769
1,1,957,6000,1212,7007,-0.10259068205342382,-0.06738086710993184
1,2,1000,6002,1234,6973,-0.0913151596972229,-0.06512367411608447
1,3,979,6081,1209,6829,-0.09164360905763407,-0.050382109305733946
1,4,1011,6122,1231,6779,-0.08550689734031526,-0.04427230864812667
1,5,966,5873,1280,7164,-0.12223284323237504,-0.08629557633403684
1,6,955,6006,1251,6991,-0.11725393810967362,-0.06595397426604566
1,7,906,5836,1254,7125,-0.14116933881788457,-0.0866695854591338
1,10,911,5603,1240,7079,-0.13390330818923685,-0.10155128986128176
1,8,988,6050,1232,6963,-0.09585376324077852,-0.06104102052311125
1,11,926,5751,1243,7026,-0.1278601419597104,-0.08696477785828173
1,13,953,5967,1250,7014,-0.11781711236973003,-0.07020972370138574
1,9,965,5858,1294,7120,-0.127406962988889,-0.08473062629127653
1,12,932,5790,1278,7153,-0.1371149414684,-0.09180966131699417
1,14,948,5990,1272,7147,-0.12767877397432884,-0.0766969597118557
1,15,924,5816,1209,6819,-0.11675432964066519,-0.06909629259365187
1,16,964,5784,1277,7082,-0.1221138633605845,-0.08792763813561785
1,17,1019,5933,1283,7132,-0.10005247236850213,-0.07993698616586317
1,18,982,5933,1235,6983,-0.09955546980873485,-0.07076769370356271
1,19,972,6072,1240,7015,-0.10575542023596052,-0.06269591247695477
1,20,945,5891,1249,7071,-0.12113062986487255,-0.07929181450799289
1,21,977,5954,1231,6987,-0.1003634892125432,-0.06948191294363718
1,22,967,5993,1217,6988,-0.09986410414706332,-0.06670861861440841
1,23,967,5832,1295,7123,-0.12684329433426894,-0.08684542903465105
1,24,979,5946,1220,6872,-0.0955771388716104,-0.06285824595426691
1,25,956,5986,1282,7133,-0.12743013290669855,-0.07613551151651064
1,26,911,5760,1267,7356,-0.14325823791044312,-0.1062192371428278
1,27,941,5965,1268,7232,-0.12952963011845695,-0.0836479694609462
1,29,1002,6018,1223,6835,-0.08655873550505855,-0.05528633549977933
1,28,964,5911,1190,6810,-0.09146992748969998,-0.061486152563897764
2,0,896,5537,1465,7633,-0.2135296150280031,-0.13942073886966375
2,2,826,5493,1469,7858,-0.2500417484698743,-0.1555024254544284
2,1,865,5304,1492,8008,-0.23675271567183578,-0.1789205490745455
2,3,827,5307,1531,7917,-0.26746968114571434,-0.1737115573103266
2,4,822,5330,1502,7975,-0.26179811512809914,-0.17500348270264646
2,5,881,5498,1450,7813,-0.21639209382292696,-0.15261308880212662
2,6,875,5628,1507,7963,-0.23610519929231855,-0.15072262696354674
2,7,897,5577,1442,7780,-0.2061728173393182,-0.1445789524981279
2,8,827,5407,1457,7854,-0.2459540422174435,-0.1621345273587748
2,9,834,5351,1436,7666,-0.23598838926854282,-0.15613386394407855
2,10,861,5456,1505,7956,-0.24253334847620744,-0.16382041280397547
2,11,837,5322,1528,8006,-0.26139789624641113,-0.1773407155537163
2,12,867,5629,1436,7772,-0.21913534243007124,-0.14010154326754273
2,13,845,5405,1465,7896,-0.2389809157404359,-0.16461144137225117
2,15,843,5344,1484,7998,-0.24560632631826596,-0.17511495033001362
2,14,904,5530,1498,7897,-0.21934338288808433,-0.15473700670836482
2,16,869,5429,1437,7826,-0.21843699168555922,-0.15882000190898146
2,18,875,5414,1454,7663,-0.22055635350070577,-0.15088057412219866
2,17,857,5510,1528,7995,-0.25114253231647293,-0.16166686923046844
2,19,833,5293,1384,7575,-0.2204910887139514,-0.15568074318307476
2,20,857,5372,1440,7740,-0.2253816701720515,-0.15860495668621483
2,21,832,5505,1438,7856,-0.2376355597561398,-0.15444415147112264
2,22,848,5445,1429,7705,-0.2266363765342564,-0.15077475896264436
2,24,837,5365,1504,7999,-0.25452237826236346,-0.17346597048652743
2,25,888,5540,1486,7908,-0.22360584364595545,-0.15455689591320496
2,23,864,5465,1447,7820,-0.2239547886401442,-0.1556165867741264
2,28,852,5320,1421,7752,-0.22215448316076966,-0.16350213174766073
2,27,857,5373,1483,7926,-0.23816032910518384,-0.16883722742947688
2,29,855,5403,1482,7959,-0.23888208891513676,-0.16822353716279587
3,0,767,4939,1728,8780,-0.3527483741938935,-0.24985548974455438
2,26,841,5431,1478,7990,-0.24487843826089478,-0.16766697652136386
3,2,787,5036,1769,8957,-0.35175310055065856,-0.25007685277863756
3,3,776,5039,1698,8541,-0.3400759646497454,-0.2291643635108488
3,5,770,4910,1815,9039,-0.37238590419964945,-0.26503889427005106
3,4,767,4858,1743,8876,-0.3565020231610122,-0.26175978309085896
3,1,802,5142,1684,8518,-0.3221677188794672,-0.2192055634308883
3,6,784,4991,1779,8987,-0.3558598853994866,-0.25542717182451813
3,7,786,4986,1758,8855,-0.34959632469834523,-0.24943629135833895
3,8,725,4730,1764,9020,-0.38616057422480726,-0.2803453968041301
3,9,817,5078,1789,8774,-0.3403882840349575,-0.23750493353122293
3,10,752,4881,1742,8710,-0.36483031008000216,-0.25150934735114194
3,11,745,4849,1805,8834,-0.38432093349338387,-0.2605052108068479
3,13,744,4886,1742,8893,-0.3694752151257657,-0.2600948296782459
3,14,777,4992,1850,9252,-0.37675070960209955,-0.2679610474242142
3,12,772,4928,1779,8861,-0.3625586477481889,-0.2548120374005496
3,15,756,4919,1816,8841,-0.38059404868385976,-0.25462456801025624
