net_type,run_index,repetition_index,mutation_rate,Sch 1,R1,M1,B1,Sch 2,R2,M2,B2,log(R1/R2),log(M1/M2),log(B1/B2),Changeovers,am,ar,log(b),,epsilon
-1,7,5,0.1,VI 45,1925,0.8,55178,VI 95,756,0.8,21769,0.405908938,0,0.403927475,7620,,,,,
-1,7,7,0.1,VI 45,1916,0.8,53984,VI 95,744,0.8,22453,0.410822569,0,0.380990685,6883,,,,,
-1,7,6,0.1,VI 45,1924,0.8,55260,VI 95,673,0.8,20389,0.456190003,0,0.433014955,7011,,,,,
-1,7,8,0.1,VI 45,1910,0.8,55148,VI 95,731,0.8,21474,0.41711599,0,0.409616818,8052,,,,,
-1,7,9,0.1,VI 45,1828,0.8,53210,VI 95,741,0.8,23404,0.392157983,0,0.356703169,6488,,,,,
-1,8,0,0.1,VI 45,2008,1.052631579,62348,VI 95,621,0.64516129,12752,0.509672108,0.212608093,0.689244223,6145,,,,,
-1,8,2,0.1,VI 45,2155,1.052631579,62745,VI 95,650,0.64516129,12311,0.520533918,0.212608093,0.707285792,6096,,,,,
-1,8,1,0.1,VI 45,1971,1.052631579,61096,VI 95,659,0.64516129,14012,0.47580121,0.212608093,0.639512649,6206,,,,,
-1,8,3,0.1,VI 45,2028,1.052631579,61950,VI 95,655,0.64516129,13791,0.490826651,0.212608093,0.652445552,6155,,,,,
-1,8,5,0.1,VI 45,1995,1.052631579,62254,VI 95,610,0.64516129,12417,0.514613065,0.212608093,0.70015058,6428,,,,,
-1,8,4,0.1,VI 45,2036,1.052631579,61026,VI 95,664,0.64516129,12753,0.486609694,0.212608093,0.679902545,5792,,,,,
-1,8,7,0.1,VI 45,2053,1.052631579,61173,VI 95,689,0.64516129,13345,0.474169727,0.212608093,0.661241201,6554,,,,,
-1,8,8,0.1,VI 45,1995,1.052631579,60974,VI 95,658,0.64516129,13144,0.481717006,0.212608093,0.666417136,6239,,,,,
-1,8,6,0.1,VI 45,2041,1.052631579,61737,VI 95,614,0.64516129,12786,0.521674634,0.212608093,0.683810822,5794,,,,,
-1,9,0,0.1,VI 45,2037,1.6,65652,VI 95,585,0.533333333,7557,0.541835163,0.477121255,0.938898539,4754,,,,,
-1,8,9,0.1,VI 45,2041,1.052631579,62011,VI 95,648,0.64516129,12701,0.498267999,0.212608093,0.688630819,6060,,,,,
-1,9,1,0.1,VI 45,2065,1.6,64754,VI 95,567,0.533333333,6903,0.561336997,0.477121255,0.972228728,5048,,,,,
-1,9,2,0.1,VI 45,2070,1.6,65315,VI 95,597,0.533333333,7247,0.539996014,0.477121255,0.95485467,4832,,,,,
-1,9,3,0.1,VI 45,2075,1.6,65188,VI 95,616,0.533333333,7822,0.527437389,0.477121255,0.920849845,5471,,,,,
-1,9,4,0.1,VI 45,2046,1.6,64634,VI 95,584,0.533333333,7221,0.544492782,0.477121255,0.951863689,5158,,,,,
-1,9,5,0.1,VI 45,2070,1.6,64173,VI 95,638,0.533333333,7792,0.511149667,0.477121255,0.915703399,5522,,,,,
-1,9,7,0.1,VI 45,2066,1.6,64100,VI 95,620,0.533333333,7575,0.522738628,0.477121255,0.927475392,5452,,,,,
-1,9,6,0.1,VI 45,2093,1.6,66434,VI 95,542,0.533333333,6717,0.586769942,0.477121255,0.995215054,4836,,,,,
-1,9,8,0.1,VI 45,2071,1.6,64175,VI 95,605,0.533333333,7226,0.534424724,0.477121255,0.94846792,4831,,,,,
-1,10,2,0.1,VI 70,744,0.533333333,11957,VI 70,1361,1.6,59326,-0.26228519,-0.477121255,-0.695622838,6156,,,,,
-1,10,0,0.1,VI 70,819,0.533333333,12729,VI 70,1380,1.6,57979,-0.226595185,-0.477121255,-0.658476434,6528,,,,,
-1,10,4,0.1,VI 70,792,0.533333333,12705,VI 70,1361,1.6,59330,-0.235132944,-0.477121255,-0.669299679,5884,,,,,
-1,9,9,0.1,VI 45,2052,1.6,66057,VI 95,568,0.533333333,7165,0.557829021,0.477121255,0.964702651,5019,,,,,
-1,10,1,0.1,VI 70,772,0.533333333,12480,VI 70,1308,1.6,57850,-0.228990444,-0.477121255,-0.666088778,6160,,,,,
-1,10,3,0.1,VI 70,766,0.533333333,11986,VI 70,1394,1.6,59537,-0.260034004,-0.477121255,-0.696112674,6474,,,,,
-1,10,5,0.1,VI 70,703,0.533333333,11562,VI 70,1312,1.6,59765,-0.27097851,-0.477121255,-0.713413959,5152,,,,,
-1,10,7,0.1,VI 70,753,0.533333333,13069,VI 70,1322,1.6,59530,-0.244436479,-0.477121255,-0.658493525,5601,,,,,
-1,10,6,0.1,VI 70,805,0.533333333,13087,VI 70,1325,1.6,58855,-0.216419998,-0.477121255,-0.652943262,6946,,,,,
-1,10,8,0.1,VI 70,829,0.533333333,13325,VI 70,1337,1.6,58084,-0.207576877,-0.477121255,-0.639389299,6782,,,,,
-1,10,9,0.1,VI 70,813,0.533333333,13251,VI 70,1301,1.6,57092,-0.204186751,-0.477121255,-0.634326603,6371,,,,,
-1,11,0,0.1,VI 70,914,0.64516129,23415,VI 70,1237,1.052631579,50572,-0.131423504,-0.212608093,-0.334415967,7268,,,,,
-1,11,1,0.1,VI 70,895,0.64516129,22261,VI 70,1293,1.052631579,51026,-0.15977549,-0.212608093,-0.360246855,7717,,,,,
-1,11,2,0.1,VI 70,876,0.64516129,21976,VI 70,1279,1.052631579,51431,-0.164366438,-0.212608093,-0.369276322,6984,,,,,
-1,11,3,0.1,VI 70,932,0.64516129,24881,VI 70,1249,1.052631579,49827,-0.127146526,-0.212608093,-0.301596909,8039,,,,,
-1,11,6,0.1,VI 70,917,0.64516129,23727,VI 70,1259,1.052631579,51384,-0.137656394,-0.212608093,-0.335585079,8226,,,,,
-1,11,5,0.1,VI 70,956,0.64516129,24919,VI 70,1192,1.052631579,49716,-0.095818363,-0.212608093,-0.299965569,7548,,,,,
-1,11,8,0.1,VI 70,924,0.64516129,24256,VI 70,1270,1.052631579,50589,-0.13813175,-0.212608093,-0.319236911,7899,,,,,
-1,11,7,0.1,VI 70,935,0.64516129,23596,VI 70,1275,1.052631579,51381,-0.134698574,-0.212608093,-0.337964165,7567,,,,,
-1,11,9,0.1,VI 70,948,0.64516129,24548,VI 70,1254,1.052631579,50012,-0.121489199,-0.212608093,-0.309058108,7876,,,,,
-1,11,4,0.1,VI 70,927,0.64516129,23043,VI 70,1292,1.052631579,51185,-0.14418278,-0.212608093,-0.346603688,7299,,,,,
-1,12,0,0.1,VI 70,1139,0.8,38200,VI 70,1115,0.8,37556,0.009248857,0,0.007384033,7633,,,,,
-1,12,2,0.1,VI 70,1090,0.8,39487,VI 70,1032,0.8,37834,0.023746801,0,0.01857188,7753,,,,,
-1,12,3,0.1,VI 70,1069,0.8,37820,VI 70,1087,0.8,37537,-0.007251839,0,0.003261964,7322,,,,,
-1,12,1,0.1,VI 70,1104,0.8,37138,VI 70,1128,0.8,39141,-0.009340026,0,-0.022813405,8859,,,,,
-1,12,4,0.1,VI 70,1082,0.8,38861,VI 70,1102,0.8,37902,-0.007954334,0,0.010851845,7421,,,,,
-1,12,6,0.1,VI 70,1123,0.8,38686,VI 70,1094,0.8,37499,0.011362434,0,0.013534141,7932,,,,,
-1,12,5,0.1,VI 70,1116,0.8,37858,VI 70,1081,0.8,37401,0.013838501,0,0.005274453,8055,,,,,
-1,12,7,0.1,VI 70,1051,0.8,36515,VI 70,1144,0.8,40036,-0.036823308,0,-0.039979376,7466,,,,,
-1,12,8,0.1,VI 70,1088,0.8,36642,VI 70,1134,0.8,39086,-0.017984159,0,-0.028042057,8254,,,,,
-1,12,9,0.1,VI 70,1051,0.8,36895,VI 70,1130,0.8,38774,-0.031475727,0,-0.021573091,6553,,,,,
-1,13,0,0.1,VI 70,1232,1.052631579,49650,VI 70,981,0.64516129,25942,0.0989417,0.212608093,0.281915798,7665,,,,,
-1,13,1,0.1,VI 70,1315,1.052631579,53989,VI 70,848,0.64516129,21355,0.190529901,0.212608093,0.402805708,7203,,,,,
-1,13,3,0.1,VI 70,1184,1.052631579,49090,VI 70,975,0.64516129,25106,0.084347087,0.212608093,0.291215508,7450,,,,,
-1,13,2,0.1,VI 70,1270,1.052631579,51710,VI 70,925,0.64516129,23120,0.137661988,0.212608093,0.349586708,7397,,,,,
-1,13,5,0.1,VI 70,1213,1.052631579,51326,VI 70,917,0.64516129,24027,0.121491465,0.212608093,0.329637871,7606,,,,,
-1,13,6,0.1,VI 70,1231,1.052631579,49325,VI 70,935,0.64516129,25218,0.119446442,0.212608093,0.291356454,6193,,,,,
-1,13,4,0.1,VI 70,1255,1.052631579,50658,VI 70,900,0.64516129,23040,0.144401216,0.212608093,0.342165565,7704,,,,,
-1,13,7,0.1,VI 70,1348,1.052631579,53567,VI 70,871,0.64516129,21423,0.189671737,0.212608093,0.398017037,7048,,,,,
-1,13,8,0.1,VI 70,1247,1.052631579,49579,VI 70,966,0.64516129,25629,0.110889327,0.212608093,0.286566102,7479,,,,,
-1,13,9,0.1,VI 70,1268,1.052631579,50539,VI 70,990,0.64516129,24895,0.107484059,0.212608093,0.307514514,7348,,,,,
-1,14,0,0.1,VI 70,1416,1.6,59345,VI 70,776,0.533333333,12930,0.261201532,0.477121255,0.661785609,6433,,,,,
-1,14,1,0.1,VI 70,1324,1.6,58389,VI 70,829,0.533333333,13261,0.203333455,0.477121255,0.643754762,6304,,,,,
-1,14,2,0.1,VI 70,1332,1.6,58215,VI 70,839,0.533333333,13148,0.200742264,0.477121255,0.646175206,6170,,,,,
-1,14,3,0.1,VI 70,1281,1.6,57441,VI 70,844,0.533333333,13643,0.181206683,0.477121255,0.624312113,6596,,,,,
-1,14,5,0.1,VI 70,1345,1.6,59094,VI 70,727,0.533333333,11544,0.267187873,0.477121255,0.70918707,5903,,,,,
-1,14,4,0.1,VI 70,1345,1.6,57993,VI 70,805,0.533333333,12755,0.222926404,0.477121255,0.657695113,6439,,,,,
-1,14,7,0.1,VI 70,1336,1.6,58677,VI 70,776,0.533333333,12064,0.235944737,0.477121255,0.686976573,5332,,,,,
-1,14,6,0.1,VI 70,1335,1.6,57995,VI 70,829,0.533333333,13894,0.206926735,0.477121255,0.620563258,6105,,,,,
-1,14,9,0.1,VI 70,1288,1.6,58329,VI 70,760,0.533333333,12552,0.229102271,0.477121255,0.6671716,5851,,,,,
-1,14,8,0.1,VI 70,1351,1.6,59380,VI 70,773,0.533333333,12187,0.242475855,0.477121255,0.687743382,5965,,,,,
-1,15,0,0.1,VI 95,607,0.533333333,7458,VI 45,2034,1.6,63862,-0.525162258,-0.477121255,-0.932620136,4984,,,,,
-1,15,1,0.1,VI 95,589,0.533333333,7307,VI 45,2044,1.6,64329,-0.540365597,-0.477121255,-0.944667693,5471,,,,,
-1,15,2,0.1,VI 95,628,0.533333333,7466,VI 45,2150,1.6,64356,-0.534478816,-0.477121255,-0.935501057,5085,,,,,
-1,15,3,0.1,VI 95,554,0.533333333,6650,VI 45,2082,1.6,65599,-0.57497096,-0.477121255,-0.994075574,4556,,,,,
-1,15,6,0.1,VI 95,623,0.533333333,7567,VI 45,2083,1.6,64321,-0.524201223,-0.477121255,-0.929429054,5360,,,,,
-1,15,5,0.1,VI 95,568,0.533333333,7256,VI 45,2048,1.6,64590,-0.556981617,-0.477121255,-0.94946801,5394,,,,,
-1,15,4,0.1,VI 95,595,0.533333333,7133,VI 45,2112,1.6,64640,-0.550176948,-0.477121255,-0.957229124,5042,,,,,
-1,15,7,0.1,VI 95,596,0.533333333,7266,VI 45,2027,1.6,64789,-0.531607489,-0.477121255,-0.950205883,4710,,,,,
-1,15,8,0.1,VI 95,626,0.533333333,7327,VI 45,2159,1.6,63821,-0.537678309,-0.477121255,-0.940037413,5165,,,,,
-1,15,9,0.1,VI 95,623,0.533333333,7629,VI 45,2026,1.6,63639,-0.512151394,-0.477121255,-0.921255732,4938,,,,,
-1,16,1,0.1,VI 95,674,0.64516129,13395,VI 45,2013,1.052631579,61579,-0.475183878,-0.212608093,-0.662489914,6605,,,,,
-1,16,3,0.1,VI 95,659,0.64516129,12835,VI 45,2027,1.052631579,61415,-0.487968334,-0.212608093,-0.679878583,6584,,,,,
-1,16,2,0.1,VI 95,651,0.64516129,13446,VI 45,1908,1.052631579,60576,-0.466997382,-0.212608093,-0.653707485,6321,,,,,
-1,16,0,0.1,VI 95,622,0.64516129,12038,VI 45,2114,1.052631579,62028,-0.531314598,-0.212608093,-0.712033439,6151,,,,,
-1,16,4,0.1,VI 95,664,0.64516129,13534,VI 45,2024,1.052631579,60846,-0.484042429,-0.212608093,-0.652805861,6391,,,,,
-1,16,5,0.1,VI 95,620,0.64516129,12139,VI 45,2055,1.052631579,61361,-0.520420137,-0.212608093,-0.703709517,6019,,,,,
-1,16,6,0.1,VI 95,637,0.64516129,12281,VI 45,2073,1.052631579,61663,-0.51245987,-0.212608093,-0.700790919,6255,,,,,
-1,16,7,0.1,VI 95,670,0.64516129,13231,VI 45,2057,1.052631579,62173,-0.487159489,-0.212608093,-0.672009154,6922,,,,,
-1,16,9,0.1,VI 95,608,0.64516129,11860,VI 45,2093,1.052631579,62192,-0.536865649,-0.212608093,-0.719649834,5650,,,,,
-1,16,8,0.1,VI 95,644,0.64516129,12617,VI 45,2041,1.052631579,62401,-0.500957137,-0.212608093,-0.694235446,6132,,,,,
-1,17,1,0.1,VI 95,758,0.8,21888,VI 45,1882,0.8,53404,-0.394950413,0,-0.387367707,7915,,,,,
-1,17,0,0.1,VI 95,769,0.8,22510,VI 45,1869,0.8,53553,-0.385682962,0,-0.37640831,7878,,,,,
-1,17,2,0.1,VI 95,734,0.8,20440,VI 45,1950,0.8,54244,-0.424338551,0,-0.423870816,7454,,,,,
-1,17,3,0.1,VI 95,756,0.8,23385,VI 45,1810,0.8,52434,-0.379156779,0,-0.350675615,7119,,,,,
-1,17,4,0.1,VI 95,741,0.8,22260,VI 45,1907,0.8,53854,-0.410532485,0,-0.383692806,7559,,,,,
-1,17,5,0.1,VI 95,748,0.8,21377,VI 45,1962,0.8,54969,-0.418797405,0,-0.410171079,7563,,,,,
-1,17,6,0.1,VI 95,766,0.8,22935,VI 45,1917,0.8,53528,-0.398393343,0,-0.368082272,7441,,,,,
-1,17,9,0.1,VI 95,719,0.8,20672,VI 45,1958,0.8,55147,-0.435083797,0,-0.426139395,7838,,,,,
-1,17,8,0.1,VI 95,730,0.8,21649,VI 45,1815,0.8,53534,-0.395553769,0,-0.393191854,7586,,,,,
-1,18,1,0.1,VI 95,816,1.052631579,33303,VI 45,1639,0.64516129,42755,-0.302888795,0.212608093,-0.108503553,7659,,,,,
-1,18,2,0.1,VI 95,902,1.052631579,36690,VI 45,1590,0.64516129,38824,-0.246190587,0.212608093,-0.024552567,7442,,,,,
-1,18,0,0.1,VI 95,883,1.052631579,34361,VI 45,1702,0.64516129,42331,-0.284998852,0.212608093,-0.090592734,8081,,,,,
-1,17,7,0.1,VI 95,676,0.8,19906,VI 45,1901,0.8,56205,-0.449035421,0,-0.450790952,6289,,,,,
-1,18,4,0.1,VI 95,817,1.052631579,35164,VI 45,1568,0.64516129,40967,-0.283124002,0.212608093,-0.06633589,7411,,,,,
-1,18,3,0.1,VI 95,895,1.052631579,37045,VI 45,1613,0.64516129,39621,-0.255811332,0.212608093,-0.029195833,8102,,,,,
-1,18,6,0.1,VI 95,838,1.052631579,33450,VI 45,1678,0.64516129,42102,-0.301547938,0.212608093,-0.099906605,7692,,,,,
-1,18,5,0.1,VI 95,880,1.052631579,35399,VI 45,1608,0.64516129,40740,-0.261803372,0.212608093,-0.061030031,7165,,,,,
