run_index,repetition_index,Sch 1,R1,B1,M1,Sch 2,R2,B2,M2,log(R1/R2),log(B1/B2),log(M1/M2),Changeovers
0,0,VI 34.3,22,115,1,VI 34.3,19,111,1,0.0636690798693773,0.015374861566954282,0.0,100
0,1,VI 34.3,22,113,1,VI 34.3,28,155,1,-0.104735350520013,-0.13725325468687177,0.0,108
0,2,VI 34.3,21,89,1,VI 34.3,18,132,1,0.06694678963061322,-0.17118392456093712,0.0,99
0,3,VI 34.3,29,164,1,VI 34.3,19,102,1,0.18364439694612714,0.20624367628578033,0.0,109
0,4,VI 34.3,13,79,1,VI 34.3,19,123,1,-0.16481024864599217,-0.19227802014895648,0.0,74
0,5,VI 34.3,19,88,1,VI 34.3,29,179,1,-0.18364439694612714,-0.3083703588297246,0.0,108
0,6,VI 34.3,28,173,1,VI 34.3,27,143,1,0.015794267183231885,0.08271006566373361,0.0,121
0,7,VI 34.3,18,126,1,VI 34.3,28,129,1,-0.1918855262389131,-0.010219165181686082,0.0,94
0,8,VI 34.3,18,133,1,VI 34.3,27,151,1,-0.17609125905568127,-0.05512530632608367,0.0,139
0,9,VI 34.3,17,104,1,VI 34.3,29,162,1,-0.2319490765206822,-0.19248167524385063,0.0,78
0,10,VI 34.3,21,131,1,VI 34.3,24,148,1,-0.057991946977686754,-0.05299041973919315,0.0,96
0,11,VI 34.3,33,179,1,VI 34.3,22,120,1,0.17609125905568124,0.17367178493226834,0.0,137
0,12,VI 34.3,30,176,1,VI 34.3,23,120,1,0.11539341870206957,0.16633142176652496,0.0,100
0,13,VI 34.3,13,96,1,VI 34.3,14,78,1,-0.03218468337140124,0.09017663034908803,0.0,78
0,14,VI 34.3,24,137,1,VI 34.3,28,153,1,-0.06694678963061322,-0.04797086366119201,0.0,128
0,15,VI 34.3,20,117,1,VI 34.3,26,149,1,-0.11394335230683675,-0.1050004066661124,0.0,123
0,16,VI 34.3,22,135,1,VI 34.3,24,142,1,-0.0377885608893998,-0.021954575888050384,0.0,99
0,17,VI 34.3,25,155,1,VI 34.3,18,100,1,0.14266750356873154,0.1903316981702915,0.0,88
0,18,VI 34.3,25,115,1,VI 34.3,19,100,1,0.11918640771920867,0.06069784035361165,0.0,81
0,19,VI 34.3,23,119,1,VI 34.3,28,147,1,-0.08543019532462635,-0.09177037335564533,0.0,105
0,20,VI 34.3,25,136,1,VI 34.3,18,90,1,0.14266750356873154,0.17929639893089264,0.0,79
0,21,VI 34.3,20,127,1,VI 34.3,20,132,1,0.0,-0.01677021024989299,0.0,104
0,22,VI 34.3,20,137,1,VI 34.3,20,118,1,0.0,0.06483855985028139,0.0,97
0,23,VI 34.3,28,140,1,VI 34.3,23,124,1,0.08543019532462637,0.052706350516002996,0.0,103
0,24,VI 34.3,22,102,1,VI 34.3,26,137,1,-0.07255066714861173,-0.12812039539448922,0.0,98
0,25,VI 34.3,22,124,1,VI 34.3,24,121,1,-0.0377885608893998,0.010636314845784953,0.0,105
0,26,VI 34.3,24,116,1,VI 34.3,35,178,1,-0.1638568026386696,-0.18596201308197546,0.0,133
0,27,VI 34.3,13,101,1,VI 34.3,25,132,1,-0.28399665636520083,-0.1162525574232073,0.0,84
0,28,VI 34.3,18,110,1,VI 34.3,18,124,1,0.0,-0.052029000004010034,0.0,85
0,29,VI 34.3,19,98,1,VI 34.3,22,153,1,-0.06366907986937727,-0.193465355125104,0.0,79
1,0,VI 40,12,68,1,VI 30,26,166,1,-0.3357921019231931,-0.38759917533381877,0.0,89
1,1,VI 40,18,114,1,VI 30,26,130,1,-0.1597008428675119,-0.05703850097036418,0.0,111
1,2,VI 40,17,128,1,VI 30,21,105,1,-0.09177037335564533,0.08602067057793034,0.0,108
1,3,VI 40,20,111,1,VI 30,25,166,1,-0.09691001300805639,-0.17478510925339769,0.0,106
1,4,VI 40,26,105,1,VI 30,27,140,1,-0.01639041618816937,-0.12493873660829995,0.0,108
1,5,VI 40,26,132,1,VI 30,22,130,1,0.07255066714861175,0.006630578899013076,0.0,105
1,6,VI 40,21,116,1,VI 30,27,148,1,-0.10914446942506803,-0.10580372616803892,0.0,105
1,7,VI 40,17,99,1,VI 30,26,120,1,-0.18452442659254403,-0.08354605145007493,0.0,100
1,8,VI 40,22,142,1,VI 30,21,126,1,0.02020338608828699,0.05191779926549358,0.0,116
1,9,VI 40,17,90,1,VI 30,28,152,1,-0.21670910996394532,-0.2276010785054477,0.0,83
1,10,VI 40,14,91,1,VI 30,36,180,1,-0.41017446508904926,-0.2962311127822125,0.0,107
1,11,VI 40,18,97,1,VI 30,35,185,1,-0.2887955392469696,-0.28039999413676897,0.0,122
1,12,VI 40,20,127,1,VI 30,25,113,1,-0.09691001300805639,0.050725277472537134,0.0,99
1,13,VI 40,18,103,1,VI 30,25,131,1,-0.14266750356873156,-0.10443407095059207,0.0,95
1,14,VI 40,21,105,1,VI 30,29,183,1,-0.1401787031650368,-0.24126179066049142,0.0,116
1,15,VI 40,20,73,1,VI 30,30,171,1,-0.17609125905568127,-0.36967325027169795,0.0,92
1,16,VI 40,19,101,1,VI 30,34,195,1,-0.25272531608942617,-0.2857132375798754,0.0,98
1,17,VI 40,20,134,1,VI 30,22,120,1,-0.04139268515822506,0.047923552317182816,0.0,116
1,18,VI 40,13,92,1,VI 30,18,92,1,-0.14132915279646932,0.0,0.0,65
1,19,VI 40,24,147,1,VI 30,20,79,1,0.07918124604762482,0.2696902434577347,0.0,87
1,20,VI 40,20,101,1,VI 30,29,158,1,-0.16136800223497486,-0.19433571317178008,0.0,108
1,21,VI 40,23,97,1,VI 30,25,124,1,-0.036212172654444715,-0.10664995089599023,0.0,89
1,22,VI 40,20,133,1,VI 30,26,131,1,-0.11394335230683675,0.006580345311321542,0.0,108
1,23,VI 40,21,141,1,VI 30,20,115,1,0.021189299069938092,0.08852127230176823,0.0,103
1,24,VI 40,12,66,1,VI 30,33,207,1,-0.43933269383026263,-0.4964264099150491,0.0,81
