run_index,repetition_index,R1,B1,R2,B2,log(R1/R2),log(B1/B2)
0,0,11117,72603,11121,71979,-0.0001562350882586703,0.0037487576510967058
0,1,11240,72221,11175,72258,0.002518779429068217,-0.00022243919437017092
0,3,11106,71935,11157,72690,-0.001989763942087275,-0.00453442091643677
0,12,11150,72687,11102,72035,0.0018736443883376882,0.003913184145672111
0,2,11135,72509,11175,72134,-0.001557310433917095,0.0022519001348870952
0,6,11096,72085,11202,72687,-0.004129120267493471,-0.0036118418619311243
0,14,11190,72630,11099,72212,0.0035462351332144542,0.0025066706812385472
0,4,10996,71401,11069,72315,-0.0028736562746889713,-0.005524096249339413
0,10,11141,72151,11207,72190,-0.0025651977035216064,-0.0002346870980026242
0,13,11125,71892,11116,71911,0.0003514815476349334,-0.00011476249040946961
0,7,11011,71059,11269,72756,-0.010058616252328024,-0.010249722831192654
0,8,11296,72744,11058,71897,0.009248098105011093,0.005086408845547711
0,9,11098,71714,11218,71844,-0.004670715195350873,-0.0007865573228939351
0,11,11155,72271,11068,71526,0.0034004241509421364,0.004500125648735298
0,5,11113,72200,11142,72472,-0.0011318397756695162,-0.0016330490802043407
0,15,11308,72958,11049,72041,0.01006282624290655,0.005493187530658207
0,16,11182,72534,11092,71977,0.0035096270168300495,0.0033478866570444
0,17,11141,71899,11194,72289,-0.002061128340676087,-0.002349366951345347
0,18,11136,72005,10999,71411,0.005376020219512625,0.0035975399869628603
0,22,11159,72296,11028,71514,0.005128520148047571,0.004723199113951778
0,19,11157,72546,11002,71687,0.006075792464887887,0.005173065398448484
0,20,11178,72434,11119,71988,0.0022983750491986396,0.0026823607854401283
0,21,11202,72683,10874,70985,0.01290623966702997,0.010266257895281506
0,24,11167,72100,11276,72678,-0.004218551061485633,-0.0034677028858179277
0,25,11110,71724,11266,72516,-0.006055687958464373,-0.004769338414774828
0,27,11096,72218,11116,72075,-0.0007820900401058219,0.0008608058775435957
0,26,11030,71602,11181,71959,-0.005905135033311514,-0.002159966141665257
0,23,11263,72666,11092,72035,0.006644223207462299,0.003787694005345765
0,29,11212,72577,10949,71673,0.010308633319774281,0.005443429482828974
0,28,10999,71186,11188,72396,-0.0073992556525153165,-0.00731998110624434
1,0,9726,64527,13068,80675,-0.1282748605712412,-0.09699749979063964
1,1,9796,65378,12914,80125,-0.12001200561714422,-0.08833641172530915
1,2,9722,64771,12990,80797,-0.1258535343345045,-0.09601463349839202
1,3,9861,65816,12945,80300,-0.11818109596960402,-0.08638406098054294
1,5,9637,64550,13077,80512,-0.13256626475345823,-0.0959643684906982
1,4,9851,66089,12828,79964,-0.11467863218640635,-0.08276532992747515
1,8,9670,65094,12872,80449,-0.12421955700797149,-0.09197969050367755
