run_index,repetition_index,Sch 1,R1,B1,M1,Sch 2,R2,B2,M2,log(R1/R2),log(B1/B2),log(M1/M2),Changeovers
0,0,VI 20,482,1066,0.533,VI 120,136,980,1.6,0.5495081298686321,0.036531128998058576,-0.4773927736293525,566
0,1,VI 20,420,888,0.533,VI 120,135,932,1.6,0.49291552190289434,-0.02100294657538032,-0.4773927736293525,542
0,2,VI 20,381,902,0.533,VI 120,128,936,1.6,0.47371500602775096,-0.01606931119616349,-0.4773927736293525,518
0,3,VI 20,431,964,0.533,VI 120,140,1016,1.6,0.4883492344824936,-0.022816674045069686,-0.4773927736293525,522
0,4,VI 20,412,857,0.533,VI 120,138,935,1.6,0.4750181296318981,-0.037830788949319585,-0.4773927736293525,506
0,5,VI 20,417,989,0.533,VI 120,125,918,1.6,0.5232260419657011,0.03235361039593701,-0.4773927736293525,544
0,6,VI 20,430,933,0.533,VI 120,125,956,1.6,0.5365584425715301,-0.010576248529600117,-0.4773927736293525,496
0,7,VI 20,448,950,0.533,VI 120,139,987,1.6,0.5082632137440489,-0.01659354738078895,-0.4773927736293525,588
0,8,VI 20,427,966,0.533,VI 120,119,906,1.6,0.5548809136324931,0.02784892873868023,-0.4773927736293525,538
0,9,VI 20,445,1004,0.533,VI 120,132,923,1.6,0.5277860797750817,0.03653201178308848,-0.4773927736293525,573
1,0,VI 20,523,1257,0.645,VI 120,117,617,1.05,0.6503158271211126,0.3090501136527161,-0.21162958443467028,519
1,1,VI 20,504,1217,0.645,VI 120,128,669,1.05,0.5952205667976569,0.2598644604622419,-0.21162958443467028,510
1,2,VI 20,510,1204,0.645,VI 120,109,621,1.05,0.6701436781573127,0.28753488674522554,-0.21162958443467028,499
1,3,VI 20,489,1185,0.645,VI 120,128,700,1.05,0.5820988894757518,0.22862031033186583,-0.21162958443467028,534
1,4,VI 20,486,1098,0.645,VI 120,139,698,1.05,0.5436214690081983,0.196746917490912,-0.21162958443467028,559
1,5,VI 20,480,1117,0.645,VI 120,121,680,1.05,0.5984558670591371,0.21554426040937272,-0.21162958443467028,541
1,6,VI 20,536,1351,0.645,VI 120,107,647,1.05,0.6997810120075604,0.3197510683533302,-0.21162958443467028,533
1,7,VI 20,476,1196,0.645,VI 120,115,591,1.05,0.6169091123668815,0.3061436987711367,-0.21162958443467028,496
1,8,VI 20,503,1246,0.645,VI 120,124,648,1.05,0.6081462998936924,0.2839430364525575,-0.21162958443467028,500
1,9,VI 20,504,1188,0.645,VI 120,119,616,1.05,0.6268835750529945,0.2852357284807493,-0.21162958443467028,523
2,0,VI 20,576,1615,0.8,VI 120,126,464,0.8,0.6600519383056491,0.5416545461122408,0.0,484
2,1,VI 20,562,1591,0.8,VI 120,109,472,0.8,0.7123098176284375,0.5277281810124937,0.0,518
2,2,VI 20,544,1492,0.8,VI 120,99,468,0.8,0.73996370510063,0.503522970062526,0.0,531
2,3,VI 20,553,1514,0.8,VI 120,127,490,0.8,0.6389214103487414,0.4899297951355403,0.0,491
2,4,VI 20,521,1400,0.8,VI 120,123,528,0.8,0.6269326118601265,0.42349411314442575,0.0,511
2,5,VI 20,544,1579,0.8,VI 120,130,491,0.8,0.6216555473913432,0.5073006378853258,0.0,509
2,6,VI 20,547,1510,0.8,VI 120,116,458,0.8,0.6735293371065123,0.5181114692893002,0.0,502
2,7,VI 20,560,1587,0.8,VI 120,124,486,0.8,0.6547663418439654,0.5139406574925548,0.0,498
2,8,VI 20,556,1527,0.8,VI 120,105,481,0.8,0.7238854925121194,0.5016939606825894,0.0,498
2,9,VI 20,581,1640,0.8,VI 120,117,523,0.8,0.6959902706441691,0.4963421591804237,0.0,474
3,0,VI 20,641,2134,1.05,VI 120,102,328,0.645,0.7982578577568998,0.8133205713767719,0.2116295844346703,385
3,1,VI 20,636,2128,1.05,VI 120,102,342,0.645,0.7948569438864963,0.7939455175668756,0.2116295844346703,414
3,2,VI 20,662,2285,1.05,VI 120,104,312,0.645,0.8038246501409195,0.8647316103874263,0.2116295844346703,380
3,3,VI 20,668,2229,1.05,VI 120,90,318,0.645,0.8705339530362208,0.845682948495805,0.2116295844346703,398
3,4,VI 20,655,2216,1.05,VI 120,94,319,0.645,0.8431134463920844,0.841779072999211,0.2116295844346703,369
3,5,VI 20,668,2247,1.05,VI 120,89,305,0.645,0.8753864558306329,0.867303233072343,0.2116295844346703,390
3,6,VI 20,610,2117,1.05,VI 120,95,337,0.645,0.8076062297219193,0.7980909571480733,0.2116295844346703,414
3,7,VI 20,592,2014,1.05,VI 120,97,355,0.645,0.7855499724566749,0.7538311131625052,0.2116295844346703,402
3,8,VI 20,662,2282,1.05,VI 120,100,334,0.645,0.8208579894396999,0.8345691732706314,0.2116295844346703,402
3,9,VI 20,636,2120,1.05,VI 120,101,363,0.645,0.7991357418657713,0.7664292358926389,0.2116295844346703,386
4,0,VI 20,741,3469,1.6,VI 120,79,214,0.533,0.9721911166888868,1.209790526492869,0.4773927736293525,260
4,1,VI 20,767,3582,1.6,VI 120,69,176,0.533,1.0459462732117257,1.308612913698863,0.4773927736293525,226
4,2,VI 20,766,3685,1.6,VI 120,74,170,0.533,1.0149970499016276,1.3359885708167962,0.4773927736293525,226
4,3,VI 20,696,3341,1.6,VI 120,82,208,0.533,0.9287953872268454,1.2058131406753698,0.4773927736293525,276
4,4,VI 20,729,3450,1.6,VI 120,73,181,0.533,0.9994046681975187,1.2801405202040896,0.4773927736293525,252
4,5,VI 20,720,3383,1.6,VI 120,83,193,0.533,0.9382544040551946,1.2437446887802068,0.4773927736293525,273
4,6,VI 20,760,3636,1.6,VI 120,69,173,0.533,1.041964501543536,1.3225777714211344,0.4773927736293525,242
4,7,VI 20,749,3564,1.6,VI 120,68,202,0.533,1.0419729049932303,1.2465863259182135,0.4773927736293525,247
4,8,VI 20,720,3458,1.6,VI 120,71,162,0.533,1.0060741477121933,1.3293099743952728,0.4773927736293525,236
4,9,VI 20,719,3368,1.6,VI 120,98,227,0.533,0.8655028146903877,1.171346225634489,0.4773927736293525,274
5,0,VI 45,233,700,0.533,VI 95,169,1262,1.6,0.13946921641234541,-0.2559613148938587,-0.4773927736293525,533
5,1,VI 45,255,775,0.533,VI 95,172,1191,1.6,0.17101173352640625,-0.18661005897646724,-0.4773927736293525,554
5,2,VI 45,269,792,0.533,VI 95,162,1107,1.6,0.22023726545977704,-0.1454224392892293,-0.4773927736293525,586
5,3,VI 45,257,700,0.533,VI 95,163,1133,1.6,0.19774551892733672,-0.20913186984914042,-0.4773927736293525,600
5,4,VI 45,257,725,0.533,VI 95,159,1111,1.6,0.20853599901084308,-0.18537605236987392,-0.4773927736293525,591
5,6,VI 45,275,811,0.533,VI 95,151,1172,1.6,0.2603557465370932,-0.1599067574709158,-0.4773927736293525,574
5,5,VI 45,259,714,0.533,VI 95,151,1157,1.6,0.23432281678808242,-0.20963514717557513,-0.4773927736293525,597
5,7,VI 45,240,719,0.533,VI 95,173,1196,1.6,0.1421651385828106,-0.22100228926950943,-0.4773927736293525,550
5,8,VI 45,207,629,0.533,VI 95,187,1254,1.6,0.04412873892041878,-0.29964689104942865,-0.4773927736293525,531
5,9,VI 45,254,747,0.533,VI 95,158,1161,1.6,0.20617662966551542,-0.19151161792317503,-0.4773927736293525,580
6,0,VI 45,259,815,0.645,VI 95,160,881,1.05,0.20917978142532703,-0.033818299672071325,-0.21162958443467028,563
6,1,VI 45,266,838,0.645,VI 95,164,888,1.05,0.21003778858336913,-0.025168947148324506,-0.21162958443467028,619
6,2,VI 45,262,888,0.645,VI 95,162,947,1.05,0.20878627677711453,-0.02793701322467242,-0.21162958443467028,592
6,3,VI 45,284,983,0.645,VI 95,159,877,1.05,0.2519212157265862,0.04955392446609515,-0.21162958443467028,631
6,4,VI 45,272,974,0.645,VI 95,164,882,1.05,0.2197250559865008,0.043090371746795815,-0.21162958443467028,609
6,5,VI 45,270,843,0.645,VI 95,148,840,1.05,0.2611020487640299,0.0015482885628606662,-0.21162958443467028,521
6,6,VI 45,312,1007,0.645,VI 95,166,870,1.05,0.2740465059783877,0.06351021793499945,-0.21162958443467028,657
6,7,VI 45,266,893,0.645,VI 95,145,857,1.05,0.26351363439609204,0.017870636965348276,-0.21162958443467028,633
6,8,VI 45,277,896,0.645,VI 95,163,890,1.05,0.23029216466049074,0.0029180030172124387,-0.21162958443467028,594
6,9,VI 45,280,879,0.645,VI 95,158,897,1.05,0.24850094438779657,-0.008803567970320185,-0.21162958443467028,621
7,0,VI 45,281,1067,0.8,VI 95,130,670,0.8,0.3347629675982431,0.20208961672364345,0.0,581
7,1,VI 45,312,1077,0.8,VI 95,175,731,0.8,0.2511165453321484,0.16829832634012112,0.0,605
7,2,VI 45,283,1052,0.8,VI 95,139,694,0.8,0.3087716352701952,0.18065626936286533,0.0,579
7,3,VI 45,308,1178,0.8,VI 95,139,711,0.8,0.34553591624634916,0.2192756897213165,0.0,598
