run_index,repetition_index,R1,B1,R2,B2,log(R1/R2),log(B1/B2)
0,1,11015,48875,10869,48458,0.005794912732587112,0.003721284805657755
0,2,11013,48990,10816,48627,0.00783896062608855,0.0032299624778099295
0,4,10862,48775,10988,48924,-0.00500885229191561,-0.0013246794332258944
0,3,11006,48693,10909,48815,0.003844566721500207,-0.0010867611773416788
0,12,10809,48333,11002,48476,-0.007686123771516236,-0.0012830244312231978
0,0,11010,48800,10806,48873,0.00812235576857481,-0.0006491763963853234
0,11,11031,49111,11052,48648,-0.0008259916559489235,0.004113786937339655
0,7,10989,49077,10996,48646,-0.00027655778722350874,0.003830871655318279
0,5,11025,48850,10835,48511,0.007549682484039344,0.003024340841516903
0,9,10853,48737,11028,48598,-0.006946954423679062,0.0012403960347462638
0,6,11030,48683,11052,48648,-0.0008653638042831515,0.00031234257372880455
0,10,11051,48608,11107,48881,-0.0021951929566977418,-0.0024323298725810504
0,13,10938,48625,10955,48487,-0.00067446285810418,0.0012343001656731879
0,8,11071,49010,10986,48901,0.0033472560820235506,0.0009669622020701739
0,15,10850,48328,10903,48828,-0.0021162739012784443,-0.004470113179500055
0,14,11027,48596,11148,48607,-0.004739585466945693,-9.829407160947565e-05
0,16,10934,48878,11068,49150,-0.0052900809133760345,-0.0024100951205247266
0,18,10936,48594,11006,49072,-0.0027710069153718303,-0.004251109288760242
0,19,10839,48660,11039,49154,-0.007940517055475048,-0.004386760548789576
0,22,11055,48907,11008,48598,0.0018503260232965932,0.002752626924923449
0,17,11028,48882,10890,48596,0.005468877677961163,0.002548443304839528
0,20,11025,48781,11057,49228,-0.001258711452694385,-0.003961492912984745
0,21,11117,49149,10959,48508,0.006216678729388395,0.0057013170768949505
0,27,10996,48489,10994,48830,7.899854171911857e-05,-0.0030434966330278967
0,24,10856,48713,10875,48536,-0.0007594309749943038,0.0015808945732799313
0,23,10983,48540,10933,48648,0.0019816354964445793,-0.0009652184086988039
0,28,10929,48382,11032,48995,-0.004073827206215018,-0.005467944877352523
0,29,10939,48476,11071,48491,-0.005209228434671801,-0.00013436359339800562
0,25,10852,48814,10873,48670,-0.0008396029422796552,0.001283050569955411
0,26,10925,48826,10868,48850,0.0022718158966062714,-0.0002134212657241719
1,0,9866,48150,12428,49819,-0.10026013345681442,-0.014798714380628918
1,1,9745,47409,12302,49576,-0.10119387923408871,-0.019410688317543768
1,3,9973,47889,12370,49639,-0.09354388058883463,-0.015587255492934967
1,4,9856,47535,12337,49668,-0.09750886991377918,-0.019063174202403037
1,7,9835,47757,12337,49945,-0.09843520047877394,-0.01945498000456323
1,5,9823,47729,12427,50384,-0.10212215428936289,-0.023510308005031733
1,10,9901,48110,12316,49541,-0.09479061971953834,-0.012729411800598597
1,11,9693,47655,12330,49628,-0.10450486385842517,-0.017618299673036575
1,9,9766,48105,12434,49881,-0.10489414308403229,-0.015744932521031423
1,2,9922,47736,12238,49640,-0.0911112261604632,-0.016985747990650602
1,13,9769,47636,12364,50085,-0.10230888678808689,-0.02177239152225666
1,15,10045,47883,12522,50543,-0.09572375836482969,-0.023479663756170527
1,14,10016,48101,12466,50227,-0.09503280668962537,-0.018783133761153904
1,6,9889,47544,12365,50079,-0.09704174380586227,-0.02255993085122242
1,16,9848,47804,12378,49824,-0.09930243843353528,-0.01797435316196601
1,8,9865,47776,12349,49978,-0.09753470103859803,-0.019569086667008413
1,17,9732,47732,12422,49854,-0.10598942465075109,-0.018890377400529165
1,12,9979,48031,12365,50090,-0.09310709807142765,-0.018229402994318734
1,18,9944,47833,12470,49843,-0.09830533784495424,-0.01787655428810842
1,20,9836,47643,12342,49473,-0.0985670220116881,-0.016369145936367298
1,21,9814,48102,12308,49532,-0.09834143393052412,-0.012722730270910507
1,19,10035,47710,12296,50020,-0.08824647766818439,-0.020534270835557603
1,22,9894,47585,12352,50390,-0.09636537696349855,-0.024874284708290725
1,23,9850,47788,12236,49997,-0.09420323781502933,-0.019625090864432822
1,24,9806,47761,12331,49645,-0.09950640884303875,-0.016802103737521924
1,25,10012,48021,12381,49582,-0.09223488266089279,-0.013892841356624098
1,26,9917,47955,12448,50423,-0.09871926641220356,-0.021794785852136372
1,29,9777,48051,12350,50103,-0.1014613424108779,-0.01816130044902959
2,0,9018,47355,14296,51489,-0.20010430852703606,-0.036348616257094325
1,27,9772,47503,12336,50121,-0.10119090240548266,-0.023298689445190965
1,28,9902,47654,12423,50134,-0.09850356322657525,-0.02203299620650686
2,2,8902,47392,14247,51663,-0.20423583435517703,-0.037474584617102354
2,1,9013,47019,14200,51829,-0.19741897331657826,-0.042299441235214424
2,3,9049,47330,14262,51883,-0.19757984389864727,-0.03988857562286603
2,5,8932,47296,14232,51694,-0.2023172206764683,-0.03861572610965589
2,4,8922,46814,14303,51412,-0.2049649197342,-0.04068874807069509
2,6,8901,46712,14314,51594,-0.20632221184141916,-0.043170737089382814
2,7,9009,46849,14348,51999,-0.2021147810852855,-0.04529466650555864
2,13,8950,46828,14212,51690,-0.20083216350137834,-0.04290092248537689
2,9,8890,46953,14253,51843,-0.2050045241686542,-0.04302677875616101
2,10,8991,47060,14151,51433,-0.19697913330005706,-0.03858993388333289
2,11,8902,47376,14108,51713,-0.19997786104894835,-0.038041342962839286
