net_type,run_index,repetition_index,mutation_rate,Sch 1,R1,M1,B1,Sch 2,R2,M2,B2,log(R1/R2),log(M1/M2),log(B1/B2),Changeovers,am,ar,log(b),,epsilon
-1,0,0,0.1,VI 20,3584,0.533333333,41549,VI 120,733,1.6,25589,0.689264026,-0.477121255,0.210507261,8155,0.873732289,0.925586975,-0.000174788,,0.2
-1,0,1,0.1,VI 20,3688,0.533333333,42688,VI 120,715,1.6,24246,0.712484871,-0.477121255,0.245665707,7614,0.004328546,0.002486616,0.00141398,,
-1,0,3,0.1,VI 20,3656,0.533333333,43517,VI 120,680,1.6,23605,0.730497274,-0.477121255,0.265654943,8057,0.998804268,0.022356827,#N/A,,
-1,0,2,0.1,VI 20,3540,0.533333333,42674,VI 120,708,1.6,24576,0.698970004,-0.477121255,0.239652155,7589,103160.4751,247,#N/A,,
-1,0,5,0.1,VI 20,3513,0.533333333,43034,VI 120,664,1.6,23689,0.72351007,-0.477121255,0.259264988,7584,103.1249324,0.12345745,#N/A,,
-1,0,6,0.1,VI 20,3720,0.533333333,44163,VI 120,687,1.6,23646,0.733586203,-0.477121255,0.271300882,8032,,,,,
-1,0,4,0.1,VI 20,3495,0.533333333,42987,VI 120,691,1.6,24599,0.703969133,-0.477121255,0.242419685,7510,,,,,
-1,0,8,0.1,VI 20,3579,0.533333333,43098,VI 120,691,1.6,24331,0.714283651,-0.477121255,0.248297158,8007,,,,,
-1,0,7,0.1,VI 20,3520,0.533333333,42425,VI 120,692,1.6,24257,0.706436569,-0.477121255,0.242784763,7740,,,,,
-1,1,1,0.1,VI 20,4127,0.64516129,54088,VI 120,630,1.052631579,13898,0.816293919,-0.212608093,0.590148616,7698,,,,,
-1,0,9,0.1,VI 20,3711,0.533333333,44020,VI 120,691,1.6,23717,0.730012907,-0.477121255,0.268590285,8478,,,,,
-1,1,3,0.1,VI 20,4041,0.64516129,53998,VI 120,610,1.052631579,13844,0.821159015,-0.212608093,0.591116084,7798,,,,,
-1,1,2,0.1,VI 20,4129,0.64516129,54692,VI 120,606,1.052631579,13516,0.833372259,-0.212608093,0.607075622,7384,,,,,
-1,1,0,0.1,VI 20,4182,0.64516129,54448,VI 120,609,1.052631579,13423,0.836766736,-0.212608093,0.608132342,7413,,,,,
-1,1,4,0.1,VI 20,4007,0.64516129,53019,VI 120,670,1.052631579,14948,0.77674454,-0.212608093,0.549848443,8274,,,,,
-1,1,5,0.1,VI 20,4080,0.64516129,53625,VI 120,598,1.052631579,13569,0.833958979,-0.212608093,0.596819463,7432,,,,,
-1,1,6,0.1,VI 20,4090,0.64516129,53016,VI 120,674,1.052631579,14995,0.783063411,-0.212608093,0.548460487,7762,,,,,
-1,1,7,0.1,VI 20,4163,0.64516129,53776,VI 120,648,1.052631579,14780,0.807831405,-0.212608093,0.560914061,8254,,,,,
-1,2,0,0.1,VI 20,4246,0.8,56888,VI 120,627,0.8,9429,0.830712449,0,0.78055503,6706,,,,,
-1,1,9,0.1,VI 20,4143,0.64516129,54405,VI 120,632,1.052631579,14081,0.816597855,-0.212608093,0.587005316,8124,,,,,
-1,2,1,0.1,VI 20,4399,0.8,58674,VI 120,572,0.8,8603,0.885957933,0,0.833795774,6408,,,,,
-1,1,8,0.1,VI 20,4149,0.64516129,54536,VI 120,605,1.052631579,14105,0.83618806,-0.212608093,0.58731019,7297,,,,,
-1,2,4,0.1,VI 20,4258,0.8,58395,VI 120,615,0.8,9114,0.840330541,0,0.806666639,6380,,,,,
-1,2,6,0.1,VI 20,4392,0.8,58258,VI 120,623,0.8,9210,0.848174285,0,0.801095941,6854,,,,,
-1,2,2,0.1,VI 20,4337,0.8,57858,VI 120,572,0.8,8539,0.879793393,0,0.830956404,6816,,,,,
-1,2,3,0.1,VI 20,4181,0.8,57029,VI 120,661,0.8,9773,0.801078708,0,0.766067858,7002,,,,,
-1,2,7,0.1,VI 20,4336,0.8,57566,VI 120,626,0.8,9264,0.84051494,0,0.793367507,6623,,,,,
-1,2,5,0.1,VI 20,4363,0.8,57991,VI 120,584,0.8,8742,0.873372366,0,0.821749796,6480,,,,,
-1,2,8,0.1,VI 20,4393,0.8,58642,VI 120,600,0.8,8899,0.864609953,0,0.818867567,6780,,,,,
-1,3,0,0.1,VI 20,4512,1.052631579,60164,VI 120,604,0.64516129,6153,0.873332152,0.212608093,0.990249787,5676,,,,,
-1,2,9,0.1,VI 20,4310,0.8,58283,VI 120,613,0.8,9176,0.847016796,0,0.802888493,6996,,,,,
-1,3,1,0.1,VI 20,4420,1.052631579,60320,VI 120,597,0.64516129,6199,0.869447938,0.212608093,0.988139697,5897,,,,,
-1,3,2,0.1,VI 20,4401,1.052631579,59493,VI 120,550,0.64516129,5798,0.903188679,0.212608093,1.011187658,5616,,,,,
-1,3,3,0.1,VI 20,4454,1.052631579,59891,VI 120,559,0.64516129,5825,0.901338405,0.212608093,1.012065635,5677,,,,,
-1,3,6,0.1,VI 20,4259,1.052631579,60416,VI 120,573,0.64516129,6034,0.871153018,0.212608093,1.000546662,5696,,,,,
-1,3,4,0.1,VI 20,4480,1.052631579,60277,VI 120,562,0.64516129,5645,0.901541698,0.212608093,1.028487683,5034,,,,,
