net_type,run_index,repetition_index,mutation_rate,Sch 1,R1,M1,B1,Sch 2,R2,M2,B2,log(R1/R2),log(M1/M2),log(B1/B2),Changeovers,,27.21509592,,
0,0,0,0.15,VI 20,490,0.533333333,1188,VI 120,122,1.6,859,0.603836249,-0.477121255,0.140823277,625,,0.432299425,0.589840829,0.000495476
0,0,1,0.15,VI 20,534,0.533333333,1295,VI 120,118,1.6,852,0.65565925,-0.477121255,0.181830174,652,,0.005988586,0.00437659,0.001970292
0,0,2,0.15,VI 20,480,0.533333333,1170,VI 120,131,1.6,817,0.563969942,-0.477121255,0.155963805,552,,0.990347358,0.031152988,#N/A
0,0,3,0.15,VI 20,501,0.533333333,1170,VI 120,138,1.6,939,0.559958639,-0.477121255,0.095520269,660,,12670.92462,247,#N/A
0,0,4,0.15,VI 20,494,0.533333333,1167,VI 120,145,1.6,955,0.532358947,-0.477121255,0.087067484,728,,24.5944836,0.239715634,#N/A
0,0,5,0.15,VI 20,514,0.533333333,1204,VI 120,132,1.6,926,0.590389188,-0.477121255,0.1140155,659,,,,
0,0,6,0.15,VI 20,495,0.533333333,1155,VI 120,148,1.6,965,0.524343484,-0.477121255,0.078054671,625,,,,
0,0,7,0.15,VI 20,492,0.533333333,1165,VI 120,143,1.6,957,0.536629065,-0.477121255,0.085413988,678,,,,
0,0,8,0.15,VI 20,514,0.533333333,1199,VI 120,135,1.6,881,0.580629351,-0.477121255,0.133843275,638,,,,
0,0,9,0.15,VI 20,515,0.533333333,1195,VI 120,122,1.6,860,0.625447398,-0.477121255,0.142869454,658,,,,
0,1,0,0.15,VI 20,533,0.64516129,1412,VI 120,122,1.052631579,694,0.640367378,-0.212608093,0.308475226,645,,,,
0,1,1,0.15,VI 20,516,0.64516129,1286,VI 120,122,1.052631579,748,0.626289871,-0.212608093,0.235339371,704,,,,
0,1,2,0.15,VI 20,548,0.64516129,1394,VI 120,118,1.052631579,675,0.666898551,-0.212608093,0.314959001,631,,,,
0,1,3,0.15,VI 20,550,0.64516129,1352,VI 120,138,1.052631579,764,0.600483603,-0.212608093,0.247883333,640,,,,
0,1,4,0.15,VI 20,547,0.64516129,1361,VI 120,157,1.052631579,790,0.542087674,-0.212608093,0.236231034,663,,,,
0,1,5,0.15,VI 20,552,0.64516129,1442,VI 120,125,1.052631579,772,0.645029065,-0.212608093,0.27134796,703,,,,
0,1,6,0.15,VI 20,556,0.64516129,1388,VI 120,138,1.052631579,770,0.605195705,-0.212608093,0.255898741,688,,,,
