net_type,run_index,repetition_index,mutation_rate,Sch 1,R1,M1,B1,Sch 2,R2,M2,B2,log(R1/R2),log(M1/M2),log(B1/B2),Changeovers,am,ar,log(b)
-1,2,16,0.1,VI 48,16741,1,87056,VI 26.7,27603,1,100516,-0.217174889,0,-0.062436489,92216,0,,
-1,1,8,0.1,VI 40,19898,1,90752,VI 30,25237,1,98279,-0.103228301,0,-0.034604524,93621,,,
-1,2,8,0.1,VI 48,17557,1,103834,VI 26.7,28587,1,118573,-0.211718273,0,-0.057646223,109402,,,
-1,2,12,0.1,VI 48,17028,1,91684,VI 26.7,27889,1,105420,-0.214269301,0,-0.060629459,97193,,,
-1,0,16,0.1,VI 34.3,22726,1,98872,VI 34.3,22596,1,98877,0.002491436,0,-2.20E-05,97902,,,
-1,0,12,0.1,VI 34.3,22369,1,98461,VI 34.3,22777,1,99287,-0.007849952,0,-0.003628146,98198,,,
-1,1,12,0.1,VI 40,19852,1,90618,VI 30,24882,1,97497,-0.098081019,0,-0.03177678,92880,,,
-1,0,0,0.1,VI 34.3,22727,1,99456,VI 34.3,22740,1,99319,-0.000248348,0,0.00059865,98082,,,
-1,0,4,0.1,VI 34.3,21742,1,85580,VI 34.3,21722,1,85591,0.000399682,0,-5.58E-05,84309,,,
-1,2,4,0.1,VI 48,17636,1,111088,VI 26.7,29532,1,127584,-0.22389277,0,-0.060129066,117917,,,
-1,1,0,0.1,VI 40,19843,1,94950,VI 30,25177,1,102440,-0.103396648,0,-0.032974601,97668,,,
-1,3,0,0.1,VI 60,13824,1,87732,VI 24,30394,1,109601,-0.342154134,0,-0.096656487,96297,,,
-1,0,8,0.1,VI 34.3,22488,1,98666,VI 34.3,22639,1,99274,-0.002906407,0,-0.002667999,97596,,,
-1,1,16,0.1,VI 40,20010,1,95481,VI 30,25417,1,102830,-0.1038772,0,-0.032202877,97854,,,
-1,1,4,0.1,VI 40,19604,1,90260,VI 30,24909,1,97248,-0.104011599,0,-0.032385349,92373,,,
-1,2,0,0.1,VI 48,17138,1,96987,VI 26.7,28409,1,111583,-0.219495808,0,-0.060884508,102689,,,
-1,1,9,0.1,VI 40,19117,1,82436,VI 30,24587,1,89198,-0.109285801,0,-0.034238206,84761,,,
-1,2,9,0.1,VI 48,16921,1,86914,VI 26.7,27532,1,100410,-0.211411735,0,-0.062687229,91843,,,
-1,2,17,0.1,VI 48,17336,1,103450,VI 26.7,28850,1,118613,-0.221196919,0,-0.059401795,109560,,,
-1,0,1,0.1,VI 34.3,22344,1,93841,VI 34.3,22470,1,94298,-0.00244215,0,-0.002109855,92934,,,
-1,2,13,0.1,VI 48,17320,1,103285,VI 26.7,28816,1,119209,-0.221085808,0,-0.062271791,109292,,,
-1,0,13,0.1,VI 34.3,22761,1,98746,VI 34.3,22629,1,98917,0.002525976,0,-0.000751424,97701,,,
-1,0,17,0.1,VI 34.3,22441,1,90497,VI 34.3,22195,1,89629,0.004787056,0,0.004185631,88529,,,
-1,0,5,0.1,VI 34.3,22836,1,104685,VI 34.3,22903,1,104544,-0.001272339,0,0.000585345,103539,,,
-1,2,5,0.1,VI 48,17016,1,97062,VI 26.7,28391,1,111887,-0.222323213,0,-0.061730393,102835,,,
-1,1,13,0.1,VI 40,19981,1,95372,VI 30,25614,1,103150,-0.107860185,0,-0.034048342,98210,,,
-1,1,17,0.1,VI 40,20119,1,100985,VI 30,25883,1,108655,-0.109408222,0,-0.031792846,103896,,,
-1,3,1,0.1,VI 60,14335,1,99326,VI 24,31287,1,122493,-0.338966225,0,-0.091048325,108559,,,
-1,1,1,0.1,VI 40,19949,1,95354,VI 30,25357,1,102624,-0.10417674,0,-0.031910022,97446,,,
-1,1,5,0.1,VI 40,20304,1,102129,VI 30,25722,1,108539,-0.102723129,0,-0.026436736,104353,,,
-1,0,9,0.1,VI 34.3,22665,1,99015,VI 34.3,22754,1,98969,-0.00170203,0,0.00020181,98095,,,
-1,2,1,0.1,VI 48,17158,1,91780,VI 26.7,27948,1,106241,-0.211884071,0,-0.063544097,97110,,,
-1,2,10,0.1,VI 48,16803,1,82644,VI 26.7,26972,1,95826,-0.205526324,0,-0.064272031,87222,,,
-1,2,18,0.1,VI 48,17219,1,91862,VI 26.7,27843,1,105555,-0.208708101,0,-0.060342914,97241,,,
-1,1,10,0.1,VI 40,19554,1,86400,VI 30,24834,1,92925,-0.103811066,0,-0.031618827,88824,,,
-1,0,14,0.1,VI 34.3,22543,1,94027,VI 34.3,22602,1,94670,-0.00113516,0,-0.002959797,93276,,,
-1,2,14,0.1,VI 48,17267,1,91828,VI 26.7,27708,1,106032,-0.20538829,0,-0.062461828,97239,,,
-1,0,2,0.1,VI 34.3,23528,1,111722,VI 34.3,23526,1,111945,3.69E-05,0,-0.000865999,110397,,,
-1,1,14,0.1,VI 40,20231,1,100840,VI 30,25664,1,108424,-0.103306997,0,-0.031492588,102993,,,
-1,0,6,0.1,VI 34.3,22286,1,90214,VI 34.3,22181,1,89605,0.002051004,0,0.002941695,89455,,,
-1,0,18,0.1,VI 34.3,23777,1,119323,VI 34.3,23808,1,119570,-0.000565856,0,-0.000898065,118376,,,
-1,1,6,0.1,VI 40,20085,1,95601,VI 30,25422,1,102839,-0.102337878,0,-0.03169541,98046,,,
-1,1,18,0.1,VI 40,19896,1,95660,VI 30,25049,1,102275,-0.10002462,0,-0.029039112,97583,,,
-1,0,10,0.1,VI 34.3,23056,1,105197,VI 34.3,22983,1,104746,0.001377246,0,0.001865908,103669,,,
-1,2,6,0.1,VI 48,16918,1,87203,VI 26.7,27675,1,101212,-0.213738609,0,-0.064700581,92662,,,
-1,3,2,0.1,VI 60,14078,1,87725,VI 24,30226,1,109119,-0.331839717,0,-0.094777,96649,,,
-1,1,2,0.1,VI 40,20119,1,95603,VI 30,25402,1,102681,-0.101261521,0,-0.031018569,97799,,,
-1,2,2,0.1,VI 48,17840,1,111125,VI 26.7,29305,1,126601,-0.215546876,0,-0.056625362,116574,,,
-1,2,11,0.1,VI 48,17479,1,103634,VI 26.7,29143,1,119478,-0.222017674,0,-0.061785683,109559,,,
-1,2,19,0.1,VI 48,17335,1,97630,VI 26.7,28219,1,111533,-0.211617774,0,-0.057820095,102895,,,
-1,1,11,0.1,VI 40,19781,1,90676,VI 30,25245,1,97805,-0.105927132,0,-0.032868704,93091,,,
-1,0,3,0.1,VI 34.3,22691,1,98993,VI 34.3,22853,1,99614,-0.003089584,0,-0.002715894,98243,,,
-1,0,15,0.1,VI 34.3,22200,1,93781,VI 34.3,22328,1,94091,-0.002496849,0,-0.001433225,92720,,,
-1,2,15,0.1,VI 48,17854,1,111520,VI 26.7,29289,1,127250,-0.214969014,0,-0.05730503,117378,,,
-1,0,7,0.1,VI 34.3,22412,1,93890,VI 34.3,22249,1,94123,0.003170118,0,-0.001076422,92983,,,
-1,1,15,0.1,VI 40,19380,1,86199,VI 30,24968,1,93367,-0.110029983,0,-0.034691177,88362,,,
-1,2,7,0.1,VI 48,17049,1,91737,VI 26.7,27792,1,105499,-0.21222089,0,-0.060703809,97334,,,
-1,0,19,0.1,VI 34.3,23827,1,119575,VI 34.3,23886,1,119756,-0.001074063,0,-0.000656892,118380,,,
-1,1,7,0.1,VI 40,19682,1,86479,VI 30,24785,1,92946,-0.100119696,0,-0.031320045,88585,,,
-1,0,11,0.1,VI 34.3,22843,1,99478,VI 34.3,22919,1,99430,-0.001442525,0,0.000209606,98471,,,
-1,1,19,0.1,VI 40,19328,1,82646,VI 30,24346,1,88866,-0.100240701,0,-0.031513793,84405,,,
-1,3,3,0.1,VI 60,14419,1,99362,VI 24,31415,1,122259,-0.338201922,0,-0.090060515,108389,,,
-1,1,3,0.1,VI 40,20139,1,101618,VI 30,25580,1,108299,-0.103862638,0,-0.027653803,103648,,,
-1,2,3,0.1,VI 48,17409,1,103634,VI 26.7,28866,1,118880,-0.219612782,0,-0.059606535,109535,,,
-1,3,8,0.1,VI 60,14563,1,107058,VI 24,31912,1,130482,-0.340703174,0,-0.085931479,116096,,,
-1,3,4,0.1,VI 60,14331,1,93385,VI 24,30816,1,115056,-0.332499769,0,-0.090632148,102035,,,
-1,3,12,0.1,VI 60,14363,1,99814,VI 24,31448,1,122237,-0.34034787,0,-0.088011223,109123,,,
-1,3,16,0.1,VI 60,14567,1,106556,VI 24,32075,1,130253,-0.342796545,0,-0.087209826,116231,,,
-1,4,4,0.1,VI 80,11241,1,94825,VI 21.8,34001,1,125510,-0.480686742,0,-0.121755478,106792,,,
-1,5,4,0.1,VI 120,7820,1,116380,VI 20,38575,1,158672,-0.693099182,0,-0.134621943,132548,,,
-1,4,16,0.1,VI 80,11161,1,102042,VI 21.8,34597,1,133058,-0.491335333,0,-0.115262029,114229,,,
-1,4,0,0.1,VI 80,11078,1,89139,VI 21.8,33342,1,118011,-0.478530286,0,-0.121854733,100434,,,
-1,5,8,0.1,VI 120,7830,1,106151,VI 20,38145,1,147521,-0.687675857,0,-0.142929758,122469,,,
