run_index,repetition_index,Sch 1,R1,B1,M1,Sch 2,R2,B2,M2,log(R1/R2),log(B1/B2),log(M1/M2),Changeovers
0,0,VI 34.3,27,157,1,VI 34.3,13,72,1,0.3174204118521506,0.3385671559779652,0.0,83
0,3,VI 34.3,31,165,1,VI 34.3,23,121,1,0.1296338578166798,0.13469857389745618,0.0,114
0,2,VI 34.3,17,109,1,VI 34.3,26,140,1,-0.18452442659254403,-0.10870153773761439,0.0,101
0,1,VI 34.3,22,129,1,VI 34.3,28,159,1,-0.104735350520013,-0.0908074140212025,0.0,129
0,4,VI 34.3,24,137,1,VI 34.3,19,117,1,0.10145764075877704,0.06853470541024514,0.0,105
0,7,VI 34.3,21,99,1,VI 34.3,20,106,1,0.021189299069938092,-0.02967067066722032,0.0,88
0,5,VI 34.3,22,112,1,VI 34.3,19,146,1,0.0636690798693773,-0.11513483311425551,0.0,97
0,9,VI 34.3,16,75,1,VI 34.3,29,181,1,-0.2582780152430313,-0.38261731147748446,0.0,88
0,6,VI 34.3,23,134,1,VI 34.3,21,117,1,0.039508541283673655,0.05891893661864596,0.0,121
0,8,VI 34.3,22,107,1,VI 34.3,20,120,1,0.04139268515822508,-0.049797468362415165,0.0,88
0,11,VI 34.3,18,116,1,VI 34.3,25,141,1,-0.14266750356873156,-0.08476112342846144,0.0,91
0,10,VI 34.3,24,141,1,VI 34.3,19,109,1,0.10145764075877704,0.11179261471475627,0.0,117
0,12,VI 34.3,20,107,1,VI 34.3,26,133,1,-0.11394335230683675,-0.09446786328187615,0.0,103
0,13,VI 34.3,16,76,1,VI 34.3,20,118,1,-0.09691001300805639,-0.19106841502533406,0.0,82
0,14,VI 34.3,34,176,1,VI 34.3,19,86,1,0.25272531608942617,0.3110142165705821,0.0,101
0,18,VI 34.3,16,96,1,VI 34.3,18,80,1,-0.05115252244738131,0.07918124604762482,0.0,76
0,17,VI 34.3,15,81,1,VI 34.3,22,147,1,-0.16633142176652502,-0.2588323158695264,0.0,75
0,16,VI 34.3,18,95,1,VI 34.3,32,189,1,-0.2498774732165999,-0.29873819888439634,0.0,117
