run_index,repetition_index,Sch 1,R1,B1,M1,Sch 2,R2,B2,M2,log(R1/R2),log(B1/B2),log(M1/M2)
0,1,VI 34.3,23,129,1,VI 34.3,23,115,1,0.0,0.04989186994563727,0.0
0,3,VI 34.3,21,113,1,VI 34.3,28,125,1,-0.12493873660829995,-0.04383156952463668,0.0
0,2,VI 34.3,23,143,1,VI 34.3,22,107,1,0.019305155195386624,0.1259522597798522,0.0
0,4,VI 34.3,28,160,1,VI 34.3,20,115,1,0.146128035678238,0.1434221423023131,0.0
0,0,VI 34.3,24,120,1,VI 34.3,19,129,1,0.10145764075877704,-0.03140846425162414,0.0
0,5,VI 34.3,27,199,1,VI 34.3,16,97,1,0.22724378150306254,0.3120813421434618,0.0
0,7,VI 34.3,12,79,1,VI 34.3,24,156,1,-0.3010299956639812,-0.29549750706402017,0.0
0,6,VI 34.3,22,131,1,VI 34.3,14,96,1,0.1962946451439682,0.13500006261619582,0.0
0,11,VI 34.3,23,149,1,VI 34.3,17,83,1,0.13127891463931898,0.2541081760362001,0.0
0,9,VI 34.3,31,160,1,VI 34.3,24,135,1,0.11115045212266668,0.07378621416091864,0.0
0,10,VI 34.3,17,95,1,VI 34.3,29,152,1,-0.2319490765206822,-0.2041199826559248,0.0
0,12,VI 34.3,33,163,1,VI 34.3,20,133,1,0.21748394421390627,0.08833596343687206,0.0
0,8,VI 34.3,24,145,1,VI 34.3,23,129,1,0.018483405694013133,0.05077829193572593,0.0
0,13,VI 34.3,18,84,1,VI 34.3,30,172,1,-0.2218487496163564,-0.3112491608456673,0.0
0,14,VI 34.3,26,124,1,VI 34.3,21,130,1,0.09275405323689871,-0.020521667144601675,0.0
0,15,VI 34.3,11,80,1,VI 34.3,14,94,1,-0.104735350520013,-0.07003786660775507,0.0
0,17,VI 34.3,18,105,1,VI 34.3,20,134,1,-0.045757490560675115,-0.10591549929486953,0.0
0,16,VI 34.3,23,102,1,VI 34.3,31,154,1,-0.1296338578166798,-0.1789205490745455,0.0
0,18,VI 34.3,33,179,1,VI 34.3,21,111,1,0.1962946451439682,0.20753005219323573,0.0
0,20,VI 34.3,22,159,1,VI 34.3,13,64,1,0.22847932851536945,0.3952171503365643,0.0
0,19,VI 34.3,23,139,1,VI 34.3,17,77,1,0.13127891463931898,0.25652407508161323,0.0
0,21,VI 34.3,25,128,1,VI 34.3,26,129,1,-0.017033339298780342,-0.003379740651380603,0.0
0,22,VI 34.3,24,131,1,VI 34.3,21,111,1,0.05799194697768673,0.0719483168691068,0.0
0,23,VI 34.3,23,103,1,VI 34.3,23,124,1,0.0,-0.08058446045706284,0.0
0,25,VI 34.3,19,107,1,VI 34.3,29,152,1,-0.18364439694612714,-0.1524598102595629,0.0
0,26,VI 34.3,18,108,1,VI 34.3,20,114,1,-0.045757490560675115,-0.023481095849522914,0.0
0,24,VI 34.3,24,133,1,VI 34.3,25,142,1,-0.017728766960431602,-0.028436703415970703,0.0
0,27,VI 34.3,22,153,1,VI 34.3,25,131,1,-0.05551732784983137,0.06742013516183457,0.0
0,28,VI 34.3,18,88,1,VI 34.3,20,133,1,-0.045757490560675115,-0.1793689688169172,0.0
1,0,VI 40,20,94,1,VI 30,28,166,1,-0.146128035678238,-0.2469802344403564,0.0
1,2,VI 40,24,175,1,VI 30,30,167,1,-0.09691001300805639,0.02032157753871113,0.0
0,29,VI 34.3,24,157,1,VI 34.3,26,113,1,-0.03476210625921192,0.14282120892581399,0.0
1,1,VI 40,26,136,1,VI 30,27,170,1,-0.01639041618816937,-0.09691001300805639,0.0
1,3,VI 40,16,91,1,VI 30,32,174,1,-0.3010299956639812,-0.2815078559615061,0.0
1,4,VI 40,18,118,1,VI 30,28,123,1,-0.1918855262389131,-0.018023104133272547,0.0
1,5,VI 40,16,128,1,VI 30,21,115,1,-0.11809931207799451,0.04651212929425669,0.0
1,9,VI 40,18,131,1,VI 30,23,106,1,-0.10645533091428679,0.09196543039099404,0.0
1,7,VI 40,21,103,1,VI 30,30,141,1,-0.1549019599857432,-0.13638188795020767,0.0
1,6,VI 40,21,119,1,VI 30,25,140,1,-0.07572071393811836,-0.07058107428570728,0.0
1,8,VI 40,25,105,1,VI 30,30,150,1,-0.0791812460476248,-0.1549019599857432,0.0
1,10,VI 40,23,142,1,VI 30,37,180,1,-0.20647388804940214,-0.1029841607202496,0.0
1,11,VI 40,12,72,1,VI 30,34,160,1,-0.45229767099463025,-0.3467874862246563,0.0
1,12,VI 40,25,134,1,VI 30,27,148,1,-0.0334237554869497,-0.043156917030149775,0.0
1,16,VI 40,17,115,1,VI 30,20,124,1,-0.07058107428570728,-0.032723844808623406,0.0
1,13,VI 40,17,84,1,VI 30,31,156,1,-0.2609127724559988,-0.26884531229257996,0.0
1,15,VI 40,11,62,1,VI 30,21,125,1,-0.2808266095756942,-0.30451832350980257,0.0
1,14,VI 40,14,106,1,VI 30,23,141,1,-0.21559980033935483,-0.12391324739060967,0.0
1,17,VI 40,19,70,1,VI 30,27,143,1,-0.15261016320615833,-0.31023799745080494,0.0
1,18,VI 40,13,102,1,VI 30,17,122,1,-0.11650556907143719,-0.07775965891283065,0.0
1,19,VI 40,20,130,1,VI 30,23,111,1,-0.0606978403536117,0.06862037352017934,0.0
1,20,VI 40,19,125,1,VI 30,21,123,1,-0.0434656937810903,0.0070049015686585205,0.0
1,22,VI 40,26,140,1,VI 30,13,82,1,0.3010299956639812,0.23231418329452133,0.0
1,24,VI 40,17,86,1,VI 30,25,182,1,-0.16749108729376366,-0.3255729367415071,0.0
1,21,VI 40,19,106,1,VI 30,29,172,1,-0.18364439694612714,-0.21022258164277868,0.0
1,23,VI 40,8,52,1,VI 30,26,203,1,-0.5118833609788743,-0.5914926942784138,0.0
1,25,VI 40,21,152,1,VI 30,22,143,1,-0.02020338608828695,0.026507550479710727,0.0
1,26,VI 40,21,88,1,VI 30,32,198,1,-0.18293068358598671,-0.35218251811136253,0.0
1,28,VI 40,13,72,1,VI 30,31,189,1,-0.3774183415274359,-0.4191293077419757,0.0
1,27,VI 40,14,84,1,VI 30,23,148,1,-0.21559980033935483,-0.24598242933307574,0.0
1,29,VI 40,27,197,1,VI 30,11,65,1,0.3899710790007623,0.4815528695187373,0.0
2,0,VI 48,13,79,1,VI 26.7,32,188,1,-0.3912066260130692,-0.37653075797323843,0.0
2,2,VI 48,16,83,1,VI 26.7,24,143,1,-0.17609125905568127,-0.2362579450889879,0.0
2,4,VI 48,14,109,1,VI 26.7,24,132,1,-0.23408320603336796,-0.08314743326522621,0.0
2,1,VI 48,22,120,1,VI 26.7,28,129,1,-0.104735350520013,-0.03140846425162414,0.0
2,9,VI 48,25,117,1,VI 26.7,22,120,1,0.05551732784983141,-0.010995384301463193,0.0
2,3,VI 48,22,124,1,VI 26.7,28,125,1,-0.104735350520013,-0.0034883278458213473,0.0
2,5,VI 48,14,116,1,VI 26.7,31,166,1,-0.3452336581560347,-0.1556500988131366,0.0
2,6,VI 48,16,115,1,VI 26.7,25,155,1,-0.1938200260161128,-0.1296338578166798,0.0
2,8,VI 48,19,89,1,VI 26.7,32,177,1,-0.22639637736707702,-0.2985832597168938,0.0
2,7,VI 48,16,87,1,VI 26.7,33,177,1,-0.31439395722196267,-0.3084540137431881,0.0
2,10,VI 48,16,77,1,VI 26.7,32,160,1,-0.3010299956639812,-0.3176292574834429,0.0
2,12,VI 48,15,79,1,VI 26.7,39,227,1,-0.4149733479708179,-0.4583987659026813,0.0
2,11,VI 48,12,75,1,VI 26.7,34,180,1,-0.45229767099463025,-0.38021124171160603,0.0
2,13,VI 48,13,77,1,VI 26.7,29,192,1,-0.3484546455921193,-0.3968105035310677,0.0
2,14,VI 48,13,74,1,VI 26.7,32,219,1,-0.3912066260130692,-0.47121239510914215,0.0
2,16,VI 48,15,84,1,VI 26.7,28,165,1,-0.27106677228653797,-0.2932046581520247,0.0
2,15,VI 48,13,70,1,VI 26.7,35,209,1,-0.43012469204343884,-0.47504824609679713,0.0
2,17,VI 48,15,92,1,VI 26.7,35,203,1,-0.36797678529459443,-0.34370821056765766,0.0
