run_index,repetition_index,Sch 1,R1,B1,M1,Sch 2,R2,B2,M2,log(R1/R2),log(B1/B2),log(M1/M2)
0,0,VI34.3,17,117,1,VI34.3,15,75,1,0.054357662322592676,0.1931245983544616,0.0
0,2,VI34.3,18,97,1,VI34.3,28,168,1,-0.1918855262389131,-0.23853754745961805,0.0
0,1,VI34.3,25,124,1,VI34.3,22,128,1,0.05551732784983141,-0.013788284485633297,0.0
0,3,VI34.3,20,148,1,VI34.3,24,113,1,-0.0791812460476248,0.11718327191153767,0.0
0,8,VI34.3,18,106,1,VI34.3,20,140,1,-0.045757490560675115,-0.1208221704134678,0.0
0,7,VI34.3,19,96,1,VI34.3,25,140,1,-0.11918640771920865,-0.1638568026386696,0.0
0,5,VI34.3,37,204,1,VI34.3,19,95,1,0.28944812311416607,0.331906562137051,0.0
0,10,VI34.3,30,157,1,VI34.3,18,108,1,0.2218487496163564,0.16247589692228404,0.0
0,4,VI34.3,20,99,1,VI34.3,26,140,1,-0.11394335230683675,-0.15049284108068808,0.0
0,6,VI34.3,17,111,1,VI34.3,24,138,1,-0.14976232033333206,-0.09455610761457907,0.0
0,9,VI34.3,29,152,1,VI34.3,22,124,1,0.11997531707674983,0.08842190278253749,0.0
0,11,VI34.3,21,109,1,VI34.3,16,113,1,0.11809931207799448,-0.015651945542796114,0.0
0,12,VI34.3,32,207,1,VI34.3,19,106,1,0.226396377367077,0.29066448019214747,0.0
0,13,VI34.3,15,121,1,VI34.3,21,106,1,-0.146128035678238,0.05747950505167987,0.0
0,14,VI34.3,19,134,1,VI34.3,20,108,1,-0.022276394711152253,0.09368104287785792,0.0
0,15,VI34.3,26,140,1,VI34.3,22,121,1,0.07255066714861175,0.06334266536178791,0.0
0,16,VI34.3,25,108,1,VI34.3,22,119,1,0.05551732784983141,-0.04212320590558106,0.0
0,19,VI34.3,10,55,1,VI34.3,25,163,1,-0.3979400086720376,-0.47182491490971395,0.0
0,17,VI34.3,19,120,1,VI34.3,21,123,1,-0.0434656937810903,-0.010723865391773113,0.0
0,18,VI34.3,21,115,1,VI34.3,24,153,1,-0.057991946977686754,-0.12399359046398713,0.0
0,20,VI34.3,20,95,1,VI34.3,23,127,1,-0.0606978403536117,-0.12608011566710908,0.0
0,23,VI34.3,30,173,1,VI34.3,21,78,1,0.1549019599857432,0.345951500438315,0.0
0,22,VI34.3,23,124,1,VI34.3,21,124,1,0.039508541283673655,0.0,0.0
0,21,VI34.3,27,141,1,VI34.3,25,154,1,0.03342375548694973,-0.03830160818108315,0.0
0,24,VI34.3,28,135,1,VI34.3,23,145,1,0.08543019532462637,-0.03103423373996879,0.0
0,25,VI34.3,30,179,1,VI34.3,19,96,1,0.1983676537668335,0.2705817979403247,0.0
0,27,VI34.3,16,96,1,VI34.3,21,121,1,-0.11809931207799451,-0.10051413727688166,0.0
0,26,VI34.3,19,116,1,VI34.3,24,107,1,-0.10145764075877708,0.0350742115417088,0.0
0,28,VI34.3,19,161,1,VI34.3,25,111,1,-0.11918640771920865,0.1615028972451923,0.0
0,29,VI34.3,20,118,1,VI34.3,35,186,1,-0.24303804868629447,-0.19763093691179093,0.0
