net_type,run_index,repetition_index,mutation_rate,Sch 1,R1,M1,B1,Sch 2,R2,M2,B2,interaction,log(R1/R2),log(M1/M2),log(B1/B2),am,ar,ai,log(b),(log(M1/M2))^2,(log(R1/R2)) * (log(M1/M2)),(log(R1/R1))^2,Changeovers,A,B,C,G,B^2 - 4AC
-1,2,24,0.08,VI 20,826,0.8,6566,VI 120,117,0.8,1498,0,0.848794186,0,0.641789065,0.596689373,0.760862979,-0.002957733,9.02509E-05,0,0,0.720451569,1164,-160.7976228,,,,0
-1,2,12,0.08,VI 20,765,0.8,6285,VI 120,120,0.8,1448,0,0.804480189,0,0.63753672,0.002351256,0.001443053,0.00452299,0.000777615,0,0,0.647188375,962,,,,,
-1,5,18,0.08,VI 45,264,0.533333333,2318,VI 95,204,1.6,3907,-0.053425061,0.111973759,-0.477121255,-0.22672998,0.998142193,0.020950798,#N/A,#N/A,0.227644692,-0.053425061,0.012538123,1054,,,,,
-1,1,18,0.08,VI 20,676,0.64516129,5611,VI 120,136,1.052631579,2146,-0.148061932,0.696407788,-0.212608093,0.417410551,133600.9336,746,#N/A,#N/A,0.045202201,-0.148061932,0.484983807,1056,,,,,
-1,0,0,0.08,VI 20,616,0.533333333,4325,VI 120,140,1.6,2629,-0.307004948,0.643452676,-0.477121255,0.216195526,175.9267497,0.327446203,#N/A,#N/A,0.227644692,-0.307004948,0.414031347,966,,,,,
-1,4,12,0.08,VI 20,807,1.6,6855,VI 120,110,0.533333333,814,0.412939309,0.86548085,0.477121255,0.925383054,,,,,0.227644692,0.412939309,0.749057101,1050,,,,,
-1,2,0,0.08,VI 20,761,0.8,6339,VI 120,124,0.8,1567,0,0.787962972,0,0.606951755,,,,,0,0,0.620885645,1152,,,,,
-1,0,24,0.08,VI 20,561,0.533333333,4089,VI 120,155,1.6,3102,-0.266534801,0.558631163,-0.477121255,0.119975317,,,,,0.227644692,-0.266534801,0.312068776,1145,,,,,
-1,5,6,0.08,VI 45,240,0.533333333,2229,VI 95,191,1.6,3692,-0.047319872,0.099177874,-0.477121255,-0.219151624,,,,,0.227644692,-0.047319872,0.009836251,1173,,,,,
-1,3,18,0.08,VI 20,764,1.052631579,6579,VI 120,104,0.64516129,998,0.184131369,0.866060019,0.212608093,0.819029345,,,,,0.045202201,0.184131369,0.750059957,917,,,,,
-1,3,6,0.08,VI 20,741,1.052631579,6538,VI 120,124,0.64516129,1294,0.165068184,0.776396523,0.212608093,0.70351064,,,,,0.045202201,0.165068184,0.602791561,1263,,,,,
-1,4,24,0.08,VI 20,846,1.6,6767,VI 120,115,0.533333333,837,0.413507881,0.866672523,0.477121255,0.907670718,,,,,0.227644692,0.413507881,0.751121262,1053,,,,,
-1,1,6,0.08,VI 20,681,0.64516129,5478,VI 120,138,1.052631579,2159,-0.147394393,0.693268026,-0.212608093,0.404369386,,,,,0.045202201,-0.147394393,0.480620555,978,,,,,
-1,0,12,0.08,VI 20,592,0.533333333,4085,VI 120,152,1.6,2915,-0.281729661,0.590478119,-0.477121255,0.146553502,,,,,0.227644692,-0.281729661,0.348664409,978,,,,,
-1,4,0,0.08,VI 20,831,1.6,6751,VI 120,110,0.533333333,774,0.419011864,0.878208339,0.477121255,0.940627147,,,,,0.227644692,0.419011864,0.771249886,925,,,,,
-1,6,0,0.08,VI 45,282,0.64516129,3166,VI 95,176,1.052631579,3137,-0.043528624,0.204736441,-0.212608093,0.003996392,,,,,0.045202201,-0.043528624,0.04191701,974,,,,,
-1,2,25,0.08,VI 20,781,0.8,6537,VI 120,120,0.8,1501,0,0.813469788,0,0.638997793,,,,,0,0,0.661733096,1138,,,,,
-1,0,1,0.08,VI 20,581,0.533333333,4158,VI 120,145,1.6,2828,-0.287612571,0.60280813,-0.477121255,0.16740508,,,,,0.227644692,-0.287612571,0.363377642,1288,,,,,
-1,1,19,0.08,VI 20,771,0.64516129,6026,VI 120,124,1.052631579,1809,-0.168732733,0.793632693,-0.212608093,0.52259056,,,,,0.045202201,-0.168732733,0.629852851,973,,,,,
-1,4,13,0.08,VI 20,827,1.6,6773,VI 120,114,0.533333333,872,0.410610866,0.860600658,0.477121255,0.890264591,,,,,0.227644692,0.410610866,0.740633493,1163,,,,,
-1,2,13,0.08,VI 20,817,0.8,6635,VI 120,109,0.8,1332,0,0.874795559,0,0.697336702,,,,,0,0,0.765267269,1013,,,,,
-1,4,25,0.08,VI 20,791,1.6,6713,VI 120,103,0.533333333,843,0.422414178,0.885339259,0.477121255,0.901089073,,,,,0.227644692,0.422414178,0.783825603,1132,,,,,
-1,3,7,0.08,VI 20,824,1.052631579,6790,VI 120,117,0.64516129,1136,0.180236672,0.84774135,0.212608093,0.776491443,,,,,0.045202201,0.180236672,0.718665396,1136,,,,,
-1,5,19,0.08,VI 45,271,0.533333333,2397,VI 95,166,1.6,3386,-0.101560604,0.212861203,-0.477121255,-0.15001892,,,,,0.227644692,-0.101560604,0.045309892,1037,,,,,
-1,4,1,0.08,VI 20,829,1.6,6936,VI 120,109,0.533333333,904,0.420404912,0.881128033,0.477121255,0.884940654,,,,,0.227644692,0.420404912,0.77638661,1206,,,,,
-1,2,1,0.08,VI 20,751,0.8,6401,VI 120,112,0.8,1534,0,0.826421914,0,0.620422468,,,,,0,0,0.68297318,1237,,,,,
-1,0,25,0.08,VI 20,607,0.533333333,4257,VI 120,155,1.6,2894,-0.282864672,0.592856993,-0.477121255,0.167605123,,,,,0.227644692,-0.282864672,0.351479414,1224,,,,,
-1,3,19,0.08,VI 20,788,1.052631579,6723,VI 120,108,0.64516129,1084,0.183502568,0.863102462,0.212608093,0.792533829,,,,,0.045202201,0.183502568,0.74494586,1049,,,,,
-1,6,1,0.08,VI 45,302,0.64516129,3395,VI 95,156,1.052631579,2965,-0.060993508,0.286882345,-0.212608093,0.058815081,,,,,0.045202201,-0.060993508,0.08230148,1082,,,,,
-1,1,7,0.08,VI 20,710,0.64516129,5594,VI 120,119,1.052631579,1910,-0.164922519,0.775711387,-0.212608093,0.466689095,,,,,0.045202201,-0.164922519,0.601728156,938,,,,,
-1,5,7,0.08,VI 45,309,0.533333333,2624,VI 95,183,1.6,3407,-0.108548611,0.22750739,-0.477121255,-0.113408303,,,,,0.227644692,-0.108548611,0.051759612,1259,,,,,
-1,0,13,0.08,VI 20,595,0.533333333,4074,VI 120,153,1.6,2714,-0.281418299,0.589825535,-0.477121255,0.176411181,,,,,0.227644692,-0.281418299,0.347894162,1211,,,,,
-1,2,26,0.08,VI 20,810,0.8,6480,VI 120,114,0.8,1428,0,0.851580168,0,0.656846798,,,,,0,0,0.725188782,1130,,,,,
-1,0,2,0.08,VI 20,538,0.533333333,3866,VI 120,148,1.6,2793,-0.267436273,0.56052056,-0.477121255,0.141190914,,,,,0.227644692,-0.267436273,0.314183298,1053,,,,,
-1,1,20,0.08,VI 20,672,0.64516129,5345,VI 120,158,1.052631579,2310,-0.133669299,0.628712186,-0.212608093,0.36433573,,,,,0.045202201,-0.133669299,0.395279013,1056,,,,,
-1,4,14,0.08,VI 20,812,1.6,6723,VI 120,109,0.533333333,908,0.416111536,0.872129531,0.477121255,0.869477263,,,,,0.227644692,0.416111536,0.760609919,1202,,,,,
-1,3,8,0.08,VI 20,821,1.052631579,6620,VI 120,115,0.64516129,1119,0.181491903,0.853645317,0.212608093,0.772027903,,,,,0.045202201,0.181491903,0.728710327,1144,,,,,
-1,2,14,0.08,VI 20,791,0.8,6293,VI 120,121,0.8,1443,0,0.815391113,0,0.639591401,,,,,0,0,0.664862667,1104,,,,,
-1,2,2,0.08,VI 20,806,0.8,6519,VI 120,105,0.8,1307,0,0.885145743,0,0.697905393,,,,,0,0,0.783482986,953,,,,,
-1,5,20,0.08,VI 45,292,0.533333333,2547,VI 95,174,1.6,3378,-0.107272891,0.224833603,-0.477121255,-0.1226307,,,,,0.227644692,-0.107272891,0.050550149,1314,,,,,
-1,4,26,0.08,VI 20,793,1.6,6831,VI 120,121,0.533333333,933,0.389563692,0.816487817,0.477121255,0.864602642,,,,,0.227644692,0.389563692,0.666652355,1152,,,,,
-1,4,2,0.08,VI 20,834,1.6,6831,VI 120,107,0.533333333,829,0.425488277,0.891782273,0.477121255,0.915929755,,,,,0.227644692,0.425488277,0.795275622,1044,,,,,
-1,5,8,0.08,VI 45,302,0.533333333,2627,VI 95,168,1.6,3197,-0.121521668,0.254697661,-0.477121255,-0.085282563,,,,,0.227644692,-0.121521668,0.064870899,1098,,,,,
-1,6,2,0.08,VI 45,360,0.64516129,4063,VI 95,145,1.052631579,2592,-0.083966271,0.394934499,-0.212608093,0.195211825,,,,,0.045202201,-0.083966271,0.155973258,1016,,,,,
-1,3,20,0.08,VI 20,821,1.052631579,6606,VI 120,117,0.64516129,1198,0.179899889,0.846157295,0.212608093,0.741481751,,,,,0.045202201,0.179899889,0.715982169,1267,,,,,
-1,0,26,0.08,VI 20,609,0.533333333,4416,VI 120,141,1.6,2723,-0.303161977,0.63539818,-0.477121255,0.209981423,,,,,0.227644692,-0.303161977,0.403730847,1001,,,,,
-1,0,14,0.08,VI 20,582,0.533333333,4248,VI 120,131,1.6,2588,-0.309008386,0.647651689,-0.477121255,0.215220236,,,,,0.227644692,-0.309008386,0.41945271,1102,,,,,
