net_type,run_index,repetition_index,mutation_rate,Sch 1,R1,M1,B1,Sch 2,R2,M2,B2,interaction,log(R1/R2),log(M1/M2),log(B1/B2),am,ar,ai,log(b),(log(M1/M2))^2,(log(R1/R2)) * (log(M1/M2)),(log(R1/R1))^2,Changeovers,A,B,C,G,B^2 - 4AC,Key
1,9,0,0.1,VI 45,345,1.6,1927,VI 95,144,0.5333333333333333,473,0.18104681052453583,0.37945660297802447,0.47712125471966244,0.6100205739176414,"=LINEST(P2:P26,M2:O26,TRUE,TRUE)",,,,0.227644691705265,0.18104681052453583,0.1439873135436221,441,"=LINEST(X2:X26,U2:W26,TRUE,TRUE)",,,,=Z2^2 - 4 * Y2 * AA2,9 0
1,2,0,0.1,VI 20,565,0.8,1819,VI 120,95,0.8,393,0.0,0.7743248425305908,0.0,0.6654401486880569,,,,,0.0,0.0,0.5995789617600241,386,,,,,,2 0
1,7,0,0.1,VI 45,289,0.8,1112,VI 95,166,0.8,765,0.0,0.24078975471649278,0.0,0.16244335209242103,,,,,0.0,0.0,0.05797970597642876,503,,,,,,7 0
1,3,0,0.1,VI 20,611,1.0526315789473684,2369,VI 120,91,0.6451612903225806,316,0.17582685410158294,0.8269998179214606,0.21260809288144372,0.8748779781043613,,,,,0.0452022011586846,0.17582685410158294,0.683928698842129,351,,,,,,3 0
1,13,0,0.1,VI 70,207,1.0526315789473684,1090,VI 70,163,0.6451612903225806,682,0.02206505064927853,0.10378274105295994,0.21260809288144372,0.2036421232841447,,,,,0.0452022011586846,0.02206505064927853,0.010770857340465737,545,,,,,,13 0
1,5,0,0.1,VI 45,260,0.5333333333333333,793,VI 95,141,1.6,963,-0.12679699420076623,0.26575423531543807,-0.47712125471966244,-0.08435309980693069,,,,,0.227644691705265,-0.12679699420076623,0.07062531358809324,527,,,,,,5 0
1,6,0,0.1,VI 45,279,0.6451612903225806,994,VI 95,161,1.0526315789473684,881,-0.05076620477628929,0.23877832724174786,-0.21260809288144372,0.05241047598526541,,,,,0.0452022011586846,-0.05076620477628929,0.05701508956036723,593,,,,,,6 0
1,0,0,0.1,VI 20,487,0.5333333333333333,1205,VI 120,112,1.6,754,-0.30455171589961466,0.6383109385444528,-0.47712125471966244,0.20361570104111318,,,,,0.227644691705265,-0.30455171589961466,0.40744085426550014,467,,,,,,0 0
1,12,0,0.1,VI 70,175,0.8,850,VI 70,205,0.8,952,-0.0,-0.06871581236945987,0.0,-0.04921802267018159,,,,,0.0,-0.0,0.004721862869594814,588,,,,,,12 0
1,1,0,0.1,VI 20,523,0.6451612903225806,1541,VI 120,103,1.0526315789473684,544,-0.1500299759397104,0.705664464162102,-0.21260809288144372,0.45220373902023936,,,,,0.0452022011586846,-0.1500299759397104,0.4979623359811866,439,,,,,,1 0
