log(R1/R2),log(M1/M2),log(B1/B2)
-0.362906384,0,-0.284168546
-0.361727836,0,-0.292173195
-0.358654985,0,-0.279768308
-0.353450532,0,-0.260858562
-0.353038271,0,-0.286287995
-0.352792911,0,-0.289189279
-0.346925775,0,-0.26539327
-0.340538537,0,-0.269753309
-0.335792102,0,-0.261181093
-0.334956116,0,-0.240936121
-0.328071945,0,-0.260856887
-0.325485627,0,-0.261170719
-0.316780197,0,-0.23712952
-0.306262523,0,-0.244612532
-0.304779324,0,-0.23924506
-0.299780227,0,-0.235296938
-0.297415874,0,-0.219022709
-0.286389469,0,-0.226480113
-0.094174906,0,-0.090607963
-0.084576278,0,-0.079853603
-0.081205933,0,-0.076941306
-0.07690148,0,-0.069652683
-0.072086429,0,-0.061966435
-0.065678776,0,-0.070297557
-0.056904851,0,-0.038033421
-0.050938003,0,-0.038045954
-0.048197354,0,-0.026384941
-0.044478272,0,-0.018541869
-0.043664501,0,-0.03707632
-0.034608128,0,-0.046393253
-0.032184683,0,-0.03862078
-0.029963223,0,-0.047709379
-0.024705873,0,-0.027181556
-0.023271342,0,-0.011702458
-0.016390416,0,-0.037378913
-0.015939201,0,-0.000547488
-0.010995384,0,-0.015728079
-0.005882182,0,-0.026371247
-0.004021274,0,-0.001349999
0,0,0.00579697
0.011479818,0,0.011301734
0.024289462,0,0.011457513
0.040654089,0,0.036915186
0.04326869,0,0.035719154
0.050059407,0,0.043929953
0.052029,0,0.028959477
0.084920161,0,0.057326844
0.088941083,0,0.083640013
0.285330895,0,0.231301723
0.288513438,0,0.224189965
0.290564562,0,0.226934106
0.295765756,0,0.23621285
0.310957159,0,0.247473583
0.324942153,0,0.251587037
0.33134191,0,0.250415966
0.335999551,0,0.259260436
0.339356783,0,0.287360621
0.346505385,0,0.280570313
0.347773399,0,0.262384056
0.352763514,0,0.267157171
0.356110078,0,0.281605132
0.358485887,0,0.282937888
0.360758428,0,0.283693597
0.363356588,0,0.280686379
0.363635778,0,0.267176687
0.365383975,0,0.306619953
0.367190732,0,0.305379596
0.377042085,0,0.30735618
0.37794338,0,0.290451765
0.379288193,0,0.291941289
0.381156388,0,0.29704606
0.385182778,0,0.312521154
0.396825003,0,0.306008166
0.420669907,0,0.326503369
0.424836282,0,0.349732616
0.43091043,0,0.327312568
0.431143366,0,0.348763383
0.453997456,0,0.343995375
0.723264445,0,0.568181239
0.757495592,0,0.600643966
