net_type,run_index,repetition_index,mutation_rate,Sch 1,R1,M1,B1,Sch 2,R2,M2,B2,interaction,log(R1/R2),log(M1/M2),log(B1/B2),am,ar,ai,log(b),(log(M1/M2))^2,(log(R1/R2)) * (log(M1/M2)),(log(R1/R1))^2,Changeovers,A,B,C,G,B^2 - 4AC
3,5,2,0.1,VI 45,187,0.533333333,901,VI 95,143,1.6,2074,-0.055587283,0.116505569,-0.477121255,-0.362083961,0.79694618,0.968964671,0.021887542,0.002541199,0.227644692,-0.055587283,0.013573548,371,-161.3930082,,,,0
3,6,0,0.1,VI 45,208,0.64516129,1468,VI 95,121,1.052631579,1377,-0.050021999,0.235277965,-0.212608093,0.027792115,0.016185201,0.008239387,0.024586005,0.00534149,0.045202201,-0.050021999,0.055355721,331,,,,,
3,5,6,0.1,VI 45,199,0.533333333,1122,VI 95,152,1.6,1901,-0.055827714,0.117009488,-0.477121255,-0.22898926,0.988366871,0.081418054,#N/A,#N/A,0.227644692,-0.055827714,0.01369122,410,,,,,
3,0,8,0.1,VI 20,396,0.533333333,2110,VI 120,102,1.6,1417,-0.281069752,0.589095014,-0.477121255,0.172912605,6966.834322,246,#N/A,#N/A,0.227644692,-0.281069752,0.347032936,292,,,,,
3,0,4,0.1,VI 20,412,0.533333333,2189,VI 120,104,1.6,1539,-0.285253563,0.597863877,-0.477121255,0.153007142,138.5473335,1.630709275,#N/A,#N/A,0.227644692,-0.285253563,0.357441215,306,,,,,
3,0,0,0.1,VI 20,404,0.533333333,1982,VI 120,105,1.6,1594,-0.279207573,0.585192066,-0.477121255,0.094615333,,,,,0.227644692,-0.279207573,0.342449754,299,,,,,
3,1,2,0.1,VI 20,477,0.64516129,2797,VI 120,93,1.052631579,1095,-0.150959279,0.71003543,-0.212608093,0.407278347,,,,,0.045202201,-0.150959279,0.504150313,271,,,,,
3,2,0,0.1,VI 20,568,0.8,3961,VI 120,71,0.8,624,0,0.903089987,0,0.802620253,,,,,0,0,0.815571525,204,,,,,
3,2,4,0.1,VI 20,618,0.8,4235,VI 120,63,0.8,496,0,0.991647926,0,0.931371738,,,,,0,0,0.983365608,240,,,,,
3,2,8,0.1,VI 20,589,0.8,4421,VI 120,75,0.8,661,0,0.895054031,0,0.825319055,,,,,0,0,0.801121719,264,,,,,
3,4,8,0.1,VI 20,660,1.6,5894,VI 120,60,0.533333333,430,0.496870585,1.041392685,0.477121255,1.136941676,,,,,0.227644692,0.496870585,1.084498725,142,,,,,
3,3,6,0.1,VI 20,673,1.052631579,5374,VI 120,51,0.64516129,238,0.238215651,1.120444888,0.212608093,1.353720705,,,,,0.045202201,0.238215651,1.255396747,146,,,,,
3,3,2,0.1,VI 20,694,1.052631579,5767,VI 120,57,0.64516129,167,0.230782814,1.085484615,0.212608093,1.53823348,,,,,0.045202201,0.230782814,1.178276849,145,,,,,
3,1,6,0.1,VI 20,666,0.64516129,4259,VI 120,60,1.052631579,457,-0.222244125,1.045322979,-0.212608093,0.96939144,,,,,0.045202201,-0.222244125,1.09270013,223,,,,,
3,4,4,0.1,VI 20,712,1.6,6727,VI 120,47,0.533333333,210,0.563185406,1.180382136,0.477121255,1.505602133,,,,,0.227644692,0.563185406,1.393301986,106,,,,,
3,4,0,0.1,VI 20,748,1.6,7083,VI 120,40,0.533333333,201,0.606822663,1.271841607,0.477121255,1.547021184,,,,,0.227644692,0.606822663,1.617581072,105,,,,,
3,5,3,0.1,VI 45,180,0.533333333,926,VI 95,155,1.6,2117,-0.030984639,0.064940807,-0.477121255,-0.359109871,,,,,0.227644692,-0.030984639,0.004217308,300,,,,,
3,5,7,0.1,VI 45,214,0.533333333,1148,VI 95,164,1.6,2167,-0.055140868,0.115569925,-0.477121255,-0.275917023,,,,,0.227644692,-0.055140868,0.013356408,289,,,,,
3,6,1,0.1,VI 45,247,0.64516129,1874,VI 95,143,1.052631579,1356,-0.050464852,0.237360916,-0.212608093,0.140509897,,,,,0.045202201,-0.050464852,0.056340204,414,,,,,
3,0,9,0.1,VI 20,386,0.533333333,1983,VI 120,97,1.6,1455,-0.286184758,0.59981557,-0.477121255,0.134459721,,,,,0.227644692,-0.286184758,0.359778719,294,,,,,
3,0,5,0.1,VI 20,418,0.533333333,2334,VI 120,91,1.6,1201,-0.315918629,0.662134889,-0.477121255,0.288557844,,,,,0.227644692,-0.315918629,0.438422612,251,,,,,
3,0,1,0.1,VI 20,421,0.533333333,2467,VI 120,93,1.6,1143,-0.312895712,0.655799147,-0.477121255,0.334122919,,,,,0.227644692,-0.312895712,0.430072522,260,,,,,
3,5,4,0.1,VI 45,174,0.533333333,935,VI 95,155,1.6,2163,-0.023959861,0.05021755,-0.477121255,-0.364244909,,,,,0.227644692,-0.023959861,0.002521802,337,,,,,
3,5,8,0.1,VI 45,184,0.533333333,952,VI 95,158,1.6,1966,-0.031566693,0.066160736,-0.477121255,-0.314946565,,,,,0.227644692,-0.031566693,0.004377243,302,,,,,
3,1,3,0.1,VI 20,583,0.64516129,3575,VI 120,82,1.052631579,842,-0.181111204,0.851854702,-0.212608093,0.627963955,,,,,0.045202201,-0.181111204,0.725656434,200,,,,,
3,6,2,0.1,VI 45,221,0.64516129,1461,VI 95,141,1.052631579,1353,-0.041495394,0.195173161,-0.212608093,0.033352419,,,,,0.045202201,-0.041495394,0.038092563,396,,,,,
3,2,1,0.1,VI 20,610,0.8,4238,VI 120,60,0.8,452,0,1.007178585,0,0.972022518,,,,,0,0,1.014408701,180,,,,,
3,2,9,0.1,VI 20,575,0.8,4141,VI 120,69,0.8,766,0,0.920818754,0,0.732876461,,,,,0,0,0.847907178,214,,,,,
3,2,5,0.1,VI 20,624,0.8,4512,VI 120,67,0.8,464,0,0.969109787,0,0.98785111,,,,,0,0,0.939173779,216,,,,,
3,1,7,0.1,VI 20,609,0.64516129,3989,VI 120,71,1.052631579,493,-0.198439665,0.933358944,-0.212608093,0.908017117,,,,,0.045202201,-0.198439665,0.871158918,184,,,,,
3,4,9,0.1,VI 20,693,1.6,6617,VI 120,41,0.533333333,158,0.585880748,1.227949378,0.477121255,1.622004048,,,,,0.227644692,0.585880748,1.507859675,117,,,,,
3,3,7,0.1,VI 20,730,1.052631579,5695,VI 120,44,0.64516129,222,0.259354273,1.219870184,0.212608093,1.409140754,,,,,0.045202201,0.259354273,1.488083265,137,,,,,
3,4,5,0.1,VI 20,686,1.6,6314,VI 120,49,0.533333333,186,0.546842046,1.146128036,0.477121255,1.530791633,,,,,0.227644692,0.546842046,1.313609474,143,,,,,
3,3,3,0.1,VI 20,728,1.052631579,5771,VI 120,48,0.64516129,171,0.251066801,1.180890142,0.212608093,1.528254964,,,,,0.045202201,0.251066801,1.394501527,148,,,,,
3,4,1,0.1,VI 20,722,1.6,6741,VI 120,50,0.533333333,203,0.553254154,1.159567193,0.477121255,1.521228289,,,,,0.227644692,0.553254154,1.344596076,141,,,,,
3,5,5,0.1,VI 45,185,0.533333333,994,VI 95,134,1.6,2087,-0.066828909,0.14006693,-0.477121255,-0.322136065,,,,,0.227644692,-0.066828909,0.019618745,349,,,,,
3,0,6,0.1,VI 20,387,0.533333333,1901,VI 120,95,1.6,1426,-0.291037934,0.60998736,-0.477121255,0.124862591,,,,,0.227644692,-0.291037934,0.372084579,360,,,,,
3,1,0,0.1,VI 20,474,0.64516129,3031,VI 120,94,1.052631579,891,-0.14938918,0.702650488,-0.212608093,0.531708232,,,,,0.045202201,-0.14938918,0.493717708,257,,,,,
3,5,9,0.1,VI 45,169,0.533333333,990,VI 95,162,1.6,2380,-0.008765524,0.01837169,-0.477121255,-0.380941762,,,,,0.227644692,-0.008765524,0.000337519,345,,,,,
3,0,2,0.1,VI 20,428,0.533333333,2373,VI 120,116,1.6,1505,-0.270520967,0.56698578,-0.477121255,0.197761238,,,,,0.227644692,-0.270520967,0.321472874,264,,,,,
3,6,3,0.1,VI 45,214,0.64516129,1389,VI 95,123,1.052631579,1505,-0.051134088,0.240508662,-0.212608093,-0.034834254,,,,,0.045202201,-0.051134088,0.057844416,365,,,,,
3,5,0,0.1,VI 45,182,0.533333333,1061,VI 95,157,1.6,2326,-0.030617699,0.064171736,-0.477121255,-0.340894326,,,,,0.227644692,-0.030617699,0.004118012,387,,,,,
3,1,4,0.1,VI 20,495,0.64516129,3080,VI 120,64,1.052631579,585,-0.188886393,0.888425225,-0.212608093,0.72139485,,,,,0.045202201,-0.188886393,0.78929938,192,,,,,
3,2,2,0.1,VI 20,625,0.8,4458,VI 120,61,0.8,334,0,1.010550182,0,1.125393597,,,,,0,0,1.021211671,172,,,,,
3,3,0,0.1,VI 20,592,1.052631579,4614,VI 120,64,0.64516129,500,0.205409551,0.966141733,0.212608093,0.965107586,,,,,0.045202201,0.205409551,0.933429848,194,,,,,
3,6,4,0.1,VI 45,225,0.64516129,1549,VI 95,137,1.052631579,1397,-0.045808954,0.215461951,-0.212608093,0.044855012,,,,,0.045202201,-0.045808954,0.046423852,373,,,,,
3,2,6,0.1,VI 20,645,0.8,4638,VI 120,63,0.8,342,0,1.010219165,0,1.132304638,,,,,0,0,1.020542762,191,,,,,
3,1,8,0.1,VI 20,562,0.64516129,3441,VI 120,78,1.052631579,647,-0.182341569,0.857641713,-0.212608093,0.725780392,,,,,0.045202201,-0.182341569,0.735549308,290,,,,,
3,6,8,0.1,VI 45,203,0.64516129,1265,VI 95,136,1.052631579,1625,-0.036984694,0.17395713,-0.212608093,-0.10876284,,,,,0.045202201,-0.036984694,0.030261083,343,,,,,
3,3,8,0.1,VI 20,617,1.052631579,4842,VI 120,57,0.64516129,351,0.219924003,1.034410308,0.212608093,1.139717669,,,,,0.045202201,0.219924003,1.070004686,179,,,,,
3,7,2,0.1,VI 45,243,0.8,1965,VI 95,116,0.8,1093,0,0.321148284,0,0.254742393,,,,,0,0,0.103136221,396,,,,,
3,3,4,0.1,VI 20,590,1.052631579,4545,VI 120,72,0.64516129,437,0.194221642,0.913519515,0.212608093,1.017052451,,,,,0.045202201,0.194221642,0.834517905,175,,,,,
3,4,6,0.1,VI 20,764,1.6,6934,VI 120,37,0.533333333,103,0.627362746,1.314891635,0.477121255,1.828146613,,,,,0.227644692,0.627362746,1.728940011,122,,,,,
3,0,7,0.1,VI 20,494,0.533333333,2765,VI 120,81,1.6,1107,-0.374655615,0.78524193,-0.477121255,0.397547515,,,,,0.227644692,-0.374655615,0.616604889,278,,,,,
3,1,1,0.1,VI 20,470,0.64516129,3132,VI 120,82,1.052631579,718,-0.161217316,0.758284006,-0.212608093,0.639697309,,,,,0.045202201,-0.161217316,0.574994633,228,,,,,
3,4,2,0.1,VI 20,690,1.6,6170,VI 120,54,0.533333333,294,0.527913356,1.106455331,0.477121255,1.321937834,,,,,0.227644692,0.527913356,1.224243399,130,,,,,
3,0,3,0.1,VI 20,438,0.533333333,2331,VI 120,99,1.6,1309,-0.308143474,0.645838916,-0.477121255,0.250602627,,,,,0.227644692,-0.308143474,0.417107905,284,,,,,
3,5,1,0.1,VI 45,202,0.533333333,1189,VI 95,147,1.6,1967,-0.065858972,0.138034035,-0.477121255,-0.218622505,,,,,0.227644692,-0.065858972,0.019053395,392,,,,,
3,6,5,0.1,VI 45,202,0.64516129,1313,VI 95,147,1.052631579,1566,-0.029347153,0.138034035,-0.212608093,-0.076527032,,,,,0.045202201,-0.029347153,0.019053395,376,,,,,
3,6,9,0.1,VI 45,208,0.64516129,1203,VI 95,135,1.052631579,1576,-0.039912825,0.187729566,-0.212608093,-0.117290586,,,,,0.045202201,-0.039912825,0.03524239,399,,,,,
3,1,5,0.1,VI 20,631,0.64516129,3940,VI 120,68,1.052631579,502,-0.205702677,0.967520447,-0.212608093,0.894792505,,,,,0.045202201,-0.205702677,0.936095814,257,,,,,
3,7,3,0.1,VI 45,266,0.8,2278,VI 95,106,0.8,1019,0,0.399575771,0,0.349379536,,,,,0,0,0.159660797,353,,,,,
3,8,0,0.1,VI 45,257,1.052631579,2474,VI 95,109,0.64516129,753,0.079197923,0.372506625,0.212608093,0.516604719,,,,,0.045202201,0.079197923,0.138761186,312,,,,,
3,8,4,0.1,VI 45,230,1.052631579,1971,VI 95,130,0.64516129,1030,0.052680987,0.247784484,0.212608093,0.2818494,,,,,0.045202201,0.052680987,0.06139715,351,,,,,
3,2,7,0.1,VI 20,546,0.8,3697,VI 120,82,0.8,675,0,0.82337879,0,0.738545678,,,,,0,0,0.677952632,211,,,,,
3,7,6,0.1,VI 45,285,0.8,2378,VI 95,119,0.8,905,0,0.379297899,0,0.419563271,,,,,0,0,0.143866896,324,,,,,
3,2,3,0.1,VI 20,657,0.8,4651,VI 120,58,0.8,324,0,1.054137376,0,1.157001329,,,,,0,0,1.111205607,182,,,,,
3,1,9,0.1,VI 20,538,0.64516129,3256,VI 120,75,1.052631579,661,-0.181933212,0.855721012,-0.212608093,0.692482937,,,,,0.045202201,-0.181933212,0.732258451,251,,,,,
