net_type,run_index,repetition_index,mutation_rate,Sch 1,R1,M1,B1,Sch 2,R2,M2,B2,interaction,log(R1/R2),log(M1/M2),log(B1/B2),am,ar,ai,log(b),(log(M1/M2))^2,(log(R1/R2)) * (log(M1/M2)),(log(R1/R1))^2,Changeovers,A,B,C,G,B^2 - 4AC
-1,2,0,,VI 20,749,0.8,6371,VI 120,110,0.8,1305,0,0.833089133,0,0.688597093,0.587632098,0.757424599,-0.01089721,0.003211772,0,0,0.694037503,844,-186.387537,366.1612332,309.5788353,1085.652573,364880.5953
-1,12,0,,VI 70,211,0.8,3132,VI 70,228,0.8,3218,0,-0.033652392,0,-0.011764286,0.01651634,0.010134179,0.031934338,0.005465241,0,0,0.001132483,1025,73.64058777,125.5401465,202.9419754,37.14704364,
-1,10,0,,VI 70,198,0.533333333,1836,VI 70,246,1.6,3971,0.044978181,-0.094269917,-0.477121255,-0.33502721,0.997443505,0.02675914,#N/A,#N/A,0.227644692,0.044978181,0.008886817,1280,0.441566945,96.8980261,#N/A,#N/A,
-1,7,0,,VI 45,346,0.8,4589,VI 95,145,0.8,2186,0,0.377708097,0,0.3220679,2731.124257,21,#N/A,#N/A,0,0,0.142663406,1000,5.535074599,21,#N/A,#N/A,
-1,9,0,,VI 45,343,1.6,4840,VI 95,139,0.533333333,1405,0.187164801,0.39227932,0.477121255,0.537169037,5.866877339,0.015037083,#N/A,#N/A,0.227644692,0.187164801,0.153883065,1145,155910.2233,197173.7767,#N/A,#N/A,
-1,11,0,,VI 70,202,0.64516129,2543,VI 70,241,1.052631579,3801,0.016299743,-0.076665673,-0.212608093,-0.174551509,,,,,0.045202201,0.016299743,0.005877625,1234,,,,,
-1,8,0,,VI 45,363,1.052631579,4858,VI 95,142,0.64516129,1763,0.086662945,0.407618281,0.212608093,0.440205198,,,,,0.045202201,0.086662945,0.166152663,1321,,,,,
-1,3,0,,VI 20,815,1.052631579,6600,VI 120,120,0.64516129,1143,0.176884908,0.831976363,0.212608093,0.761497705,,,,,0.045202201,0.176884908,0.692184668,1151,,,,,
-1,6,0,,VI 45,285,0.64516129,3501,VI 95,157,1.052631579,3000,-0.055053847,0.258945208,-0.212608093,0.067070856,,,,,0.045202201,-0.055053847,0.067052621,892,,,,,
-1,13,0,,VI 70,262,1.052631579,4057,VI 70,168,0.64516129,2069,0.041031663,0.19299201,0.212608093,0.292444517,,,,,0.045202201,0.041031663,0.037245916,1077,,,,,
-1,14,0,,VI 70,274,1.6,4533,VI 70,161,0.533333333,1618,0.110179076,0.230924687,0.477121255,0.447407202,,,,,0.227644692,0.110179076,0.053326211,1199,,,,,
-1,0,0,,VI 20,534,0.533333333,3828,VI 120,144,1.6,2811,-0.271567286,0.569178765,-0.477121255,0.134111083,,,,,0.227644692,-0.271567286,0.323964466,998,,,,,
-1,1,0,,VI 20,740,0.64516129,5700,VI 120,125,1.052631579,1959,-0.164201845,0.772321707,-0.212608093,0.46384042,,,,,0.045202201,-0.164201845,0.596480819,1031,,,,,
-1,5,0,,VI 45,252,0.533333333,2199,VI 95,186,1.6,3520,-0.062926376,0.131887597,-0.477121255,-0.204317434,,,,,0.227644692,-0.062926376,0.017394338,1111,,,,,
-1,15,0,,VI 95,152,0.533333333,1308,VI 45,385,1.6,5204,0.192574317,-0.403617142,-0.477121255,-0.599729544,,,,,0.227644692,0.192574317,0.162906797,1222,,,,,
-1,4,0,,VI 20,845,1.6,6750,VI 120,116,0.533333333,830,0.411468759,0.86239872,0.477121255,0.91022568,,,,,0.227644692,0.411468759,0.743731552,1065,,,,,
-1,20,0,,VI 120,102,0.533333333,832,VI 20,802,1.6,6679,0.427297484,-0.895574197,-0.477121255,-0.904588117,,,,,0.227644692,0.427297484,0.802053141,1155,,,,,
-1,23,0,,VI 120,135,1.052631579,2176,VI 20,660,0.64516129,5433,-0.146531659,-0.689210167,0.212608093,-0.397380814,,,,,0.045202201,-0.146531659,0.475010654,939,,,,,
-1,21,0,,VI 120,106,0.64516129,1039,VI 20,763,1.052631579,6482,0.182251627,-0.857218673,-0.212608093,-0.795093479,,,,,0.045202201,0.182251627,0.734823853,1009,,,,,
-1,18,0,,VI 95,161,1.052631579,2865,VI 45,299,0.64516129,3509,-0.057158689,-0.268845312,0.212608093,-0.088058742,,,,,0.045202201,-0.057158689,0.072277802,933,,,,,
-1,22,0,,VI 120,121,0.8,1479,VI 20,798,0.8,6331,0,-0.819217521,0,-0.63150414,,,,,0,0,0.671117347,1040,,,,,
-1,16,0,,VI 95,139,0.64516129,1661,VI 45,350,1.052631579,4730,0.085267165,-0.401053244,-0.212608093,-0.454491508,,,,,0.045202201,0.085267165,0.160843705,1059,,,,,
-1,19,0,,VI 95,201,1.6,3785,VI 45,279,0.533333333,2405,-0.067945953,-0.142408146,0.477121255,0.196950803,,,,,0.227644692,-0.067945953,0.02028008,1166,,,,,
-1,24,0,,VI 120,136,1.6,2878,VI 20,514,0.533333333,3810,-0.275501364,-0.577424211,0.477121255,-0.121834186,,,,,0.227644692,-0.275501364,0.333418719,957,,,,,
-1,17,0,,VI 95,164,0.8,2380,VI 45,356,0.8,4444,0,-0.33660615,0,-0.271197093,,,,,0,0,0.1133037,1097,,,,,
