net_type,run_index,repetition_index,mutation_rate,Sch 1,R1,B1,Sch 2,R2,B2,Larger Ratio/Smaller Ratio,Preference for Smaller Ratio,Key
1,0,0,0.1,VR 160,1,191,VR 160,1,222,1,0.462469734,0.537530266
1,1,0,0.1,VR 160,1,219,VR 160,0,206,1,0.515294118,0.515294118
1,2,0,0.1,VR 160,2,231,VR 160,1,170,1,0.57605985,0.57605985
1,3,0,0.1,VR 5,1,202,VR 5,2,208,1,0.492682927,0.507317073
1,4,0,0.1,VR 5,31,233,VR 5,52,320,1,0.421338156,0.578661844
1,5,0,0.1,VR 5,23,192,VR 5,56,292,1,0.396694215,0.603305785
1,6,0,0.1,VR 5,34,220,VR 5,71,344,1,0.390070922,0.609929078
1,7,0,0.1,VR 160,51,317,VR 160,30,204,1,0.608445298,0.608445298
1,8,0,0.1,VR 160,0,199,VR 160,2,206,1,0.491358025,0.508641975
1,9,0,0.1,VR 160,0,210,VR 160,1,198,1,0.514705882,0.514705882
1,10,0,0.1,VR 160,0,200,VR 160,0,183,1,0.522193211,0.522193211
1,11,0,0.1,VR 2,0,192,VR 2,1,202,1,0.487309645,0.512690355
1,12,0,0.1,VR 2,272,702,VR 2,286,713,1,0.496113074,0.503886926
