net_type,run_index,repetition_index,mutation_rate,Sch 1,R1,B1,Sch 2,R2,B2,Larger Ratio/Smaller Ratio,Preference for Smaller Ratio,Max Preference
3,0,0,0.1,VR 2,1263,3207,VR 2.2,2009,5454,1.1,0.370280568,0.629719432
3,1,0,0.1,VR 2,1791,4445,VR 2.5,1423,4317,1.25,0.507304268,0.507304268
3,2,0,0.1,VR 2,2263,5755,VR 3,759,2608,1.5,0.688150185,0.688150185
3,3,0,0.1,VR 2,3030,7656,VR 4,152,697,2,0.916556926,0.916556926
3,4,0,0.1,VR 2,3358,8605,VR 6,9,60,3,0.993075591,0.993075591
3,5,0,0.1,VR 2,3256,8418,VR 8,11,110,4,0.987101313,0.987101313
3,6,0,0.1,VR 2,3417,8784,VR 10,2,44,5,0.995015859,0.995015859
3,7,0,0.1,VR 2,3268,8346,VR 20,4,73,10,0.991329136,0.991329136
3,8,0,0.1,VR 2,3458,8654,VR 40,1,51,20,0.994141298,0.994141298
3,9,0,0.1,VR 3,1074,3933,VR 3.3,909,3495,1.1,0.529483037,0.529483037
3,10,0,0.1,VR 3,1073,3689,VR 3.75,795,3367,1.25,0.52281746,0.52281746
3,11,0,0.1,VR 3,1264,4524,VR 4.5,455,2221,1.5,0.670719051,0.670719051
3,12,0,0.1,VR 3,1848,6640,VR 6,82,546,2,0.924018926,0.924018926
3,13,0,0.1,VR 3,1866,6731,VR 9,47,412,3,0.942321154,0.942321154
3,14,0,0.1,VR 3,1867,6456,VR 12,22,275,4,0.959144258,0.959144258
3,15,0,0.1,VR 3,1765,6364,VR 15,19,347,5,0.948293846,0.948293846
3,16,0,0.1,VR 3,2071,7234,VR 30,3,124,10,0.983147594,0.983147594
3,17,0,0.1,VR 3,1981,6928,VR 60,2,121,20,0.982834445,0.982834445
3,18,0,0.1,VR 5,572,3153,VR 5.5,188,1239,1.1,0.717896175,0.717896175
3,19,0,0.1,VR 5,540,2782,VR 6.25,281,1862,1.25,0.599052541,0.599052541
3,20,0,0.1,VR 5,547,2870,VR 7.5,237,1700,1.5,0.628008753,0.628008753
3,21,0,0.1,VR 5,801,4102,VR 10,81,972,2,0.80843516,0.80843516
3,22,0,0.1,VR 5,747,4149,VR 15,28,517,3,0.889198457,0.889198457
3,23,0,0.1,VR 5,723,3956,VR 20,25,466,4,0.89461782,0.89461782
3,24,0,0.1,VR 5,713,3911,VR 25,16,488,5,0.889065697,0.889065697
3,25,0,0.1,VR 5,926,4913,VR 50,4,305,10,0.941548486,0.941548486
3,26,0,0.1,VR 5,551,3313,VR 100,4,571,20,0.852986612,0.852986612
3,27,0,0.1,VR 10,121,1349,VR 11,161,1598,1.1,0.457753648,0.542246352
3,28,0,0.1,VR 10,136,1488,VR 12.5,111,1343,1.25,0.525609325,0.525609325
3,29,0,0.1,VR 10,126,1454,VR 15,69,1150,1.5,0.558371736,0.558371736
3,30,0,0.1,VR 10,162,1612,VR 20,55,1028,2,0.610606061,0.610606061
3,31,0,0.1,VR 10,167,1619,VR 30,22,796,3,0.670393375,0.670393375
3,32,0,0.1,VR 10,183,1768,VR 40,24,755,4,0.700753072,0.700753072
3,33,0,0.1,VR 10,176,1774,VR 50,13,761,5,0.699802761,0.699802761
3,34,0,0.1,VR 10,180,1701,VR 100,5,720,10,0.70260223,0.70260223
3,35,0,0.1,VR 10,164,1898,VR 200,2,652,20,0.744313725,0.744313725
3,36,0,0.1,VR 15,81,1262,VR 16.5,52,950,1.1,0.570524412,0.570524412
3,37,0,0.1,VR 15,66,1044,VR 18.75,46,1029,1.25,0.503617945,0.503617945
3,38,0,0.1,VR 15,82,1232,VR 22.5,49,1049,1.5,0.540113985,0.540113985
3,39,0,0.1,VR 15,77,1105,VR 30,49,1110,2,0.498871332,0.501128668
3,40,0,0.1,VR 15,68,1180,VR 45,21,871,3,0.575329108,0.575329108
3,41,0,0.1,VR 15,72,1090,VR 60,11,796,4,0.577942736,0.577942736
3,42,0,0.1,VR 15,59,1123,VR 75,11,751,5,0.599252935,0.599252935
3,43,0,0.1,VR 15,63,1061,VR 150,8,840,10,0.558127301,0.558127301
3,44,0,0.1,VR 15,69,1230,VR 300,4,802,20,0.605314961,0.605314961
