net_type,run_index,repetition_index,mutation_rate,Sch 1,R1,B1,Sch 2,R2,B2,Larger Ratio/Smaller Ratio,Preference for Smaller Ratio
1,0,0,0.1,VR 160,2,159,VR 160,2,233,1.0,0.40561224489795916
1,1,0,0.1,VR 160,3,201,VR 160,0,178,1.0,0.5303430079155673
1,2,0,0.1,VR 160,2,191,VR 160,1,193,1.0,0.4973958333333333
1,3,0,0.1,VR 5,1,194,VR 5,1,195,1.0,0.4987146529562982
1,4,0,0.1,VR 5,52,273,VR 5,22,165,1.0,0.6232876712328768
1,5,0,0.1,VR 5,23,149,VR 5,42,218,1.0,0.40599455040871935
1,6,0,0.1,VR 5,36,211,VR 5,29,189,1.0,0.5275
1,7,0,0.1,VR 160,39,208,VR 160,45,248,1.0,0.45614035087719296
1,8,0,0.1,VR 160,3,218,VR 160,2,190,1.0,0.5343137254901961
1,9,0,0.1,VR 160,0,236,VR 160,2,183,1.0,0.5632458233890215
1,10,0,0.1,VR 160,3,197,VR 160,0,239,1.0,0.4518348623853211
1,11,0,0.1,VR 160,0,161,VR 160,0,163,1.0,0.49691358024691357
