net_type,run_index,repetition_index,mutation_rate,Sch 1,R1,B1,Sch 2,R2,B2,Larger Ratio/Smaller Ratio,Preference for Smaller Ratio,Key
1,0,0,0.1,VR 2,1072,2747,VR 2.2,980,2621,1.1,0.511736215,0 0
1,1,0,0.1,VR 2,1956,5036,VR 2.5,151,478,1.25,0.913311571,1 0
1,2,0,0.1,VR 2,1699,4302,VR 3,193,679,1.5,0.863681992,2 0
1,3,0,0.1,VR 2,2072,5220,VR 4,88,370,2,0.933810376,3 0
1,4,0,0.1,VR 2,2413,6107,VR 6,22,129,3,0.979313663,4 0
1,5,0,0.1,VR 2,2207,5614,VR 8,33,210,4,0.963942308,5 0
1,6,0,0.1,VR 2,2243,5814,VR 10,11,146,5,0.975503356,6 0
1,7,0,0.1,VR 2,2728,6747,VR 20,5,88,10,0.987125091,7 0
1,8,0,0.1,VR 2,2345,5957,VR 40,6,87,20,0.985605559,8 0
1,9,0,0.1,VR 3,571,2039,VR 3.3,210,895,1.1,0.694955692,9 0
1,10,0,0.1,VR 3,612,2205,VR 3.75,222,992,1.25,0.689709102,10 0
1,11,0,0.1,VR 3,631,2289,VR 4.5,120,650,1.5,0.778836339,11 0
1,12,0,0.1,VR 3,524,1976,VR 6,87,596,2,0.768273717,12 0
1,13,0,0.1,VR 3,601,2158,VR 9,49,481,3,0.81773399,13 0
1,14,0,0.1,VR 3,676,2431,VR 12,38,454,4,0.842634315,14 0
1,15,0,0.1,VR 3,753,2605,VR 15,17,366,5,0.876809155,15 0
1,16,0,0.1,VR 3,820,2887,VR 30,10,307,10,0.903882279,16 0
1,17,0,0.1,VR 3,673,2460,VR 60,8,337,20,0.879513765,17 0
1,18,0,0.1,VR 5,172,989,VR 5.5,175,1024,1.1,0.491306508,18 0
1,19,0,0.1,VR 5,243,1271,VR 6.25,101,779,1.25,0.62,19 0
1,20,0,0.1,VR 5,252,1313,VR 7.5,83,680,1.5,0.65880582,20 0
1,21,0,0.1,VR 5,226,1304,VR 10,55,666,2,0.661928934,21 0
1,22,0,0.1,VR 5,256,1454,VR 15,41,640,3,0.694364852,22 0
1,23,0,0.1,VR 5,237,1362,VR 20,27,620,4,0.687184662,23 0
1,24,0,0.1,VR 5,266,1478,VR 25,18,552,5,0.728078818,24 0
1,25,0,0.1,VR 5,261,1477,VR 50,5,525,10,0.737762238,25 0
1,26,0,0.1,VR 5,248,1462,VR 100,4,536,20,0.731731732,26 0
1,27,0,0.1,VR 10,86,957,VR 11,54,789,1.1,0.548109966,27 0
1,28,0,0.1,VR 10,93,980,VR 12.5,48,788,1.25,0.554298643,28 0
1,29,0,0.1,VR 10,65,823,VR 15,66,895,1.5,0.479045402,29 0
1,30,0,0.1,VR 10,89,914,VR 20,41,731,2,0.5556231,30 0
1,31,0,0.1,VR 10,79,971,VR 30,22,728,3,0.571512655,31 0
1,32,0,0.1,VR 10,113,1016,VR 40,14,627,4,0.61838101,32 0
1,33,0,0.1,VR 10,84,972,VR 50,14,740,5,0.567757009,33 0
1,34,0,0.1,VR 10,77,937,VR 100,4,720,10,0.565479783,34 0
1,35,0,0.1,VR 10,91,996,VR 200,5,675,20,0.596050269,35 0
1,36,0,0.1,VR 15,54,857,VR 16.5,48,880,1.1,0.49337939,36 0
1,37,0,0.1,VR 15,35,794,VR 18.75,63,921,1.25,0.462973761,37 0
1,38,0,0.1,VR 15,60,862,VR 22.5,36,787,1.5,0.522741055,38 0
1,39,0,0.1,VR 15,63,919,VR 30,24,802,2,0.533991865,39 0
1,40,0,0.1,VR 15,56,931,VR 45,17,683,3,0.576827757,40 0
1,41,0,0.1,VR 15,50,874,VR 60,18,763,4,0.533903482,41 0
1,42,0,0.1,VR 15,50,876,VR 75,9,740,5,0.542079208,42 0
1,43,0,0.1,VR 15,70,934,VR 150,4,733,10,0.560287942,43 0
1,44,0,0.1,VR 15,77,1044,VR 300,2,690,20,0.602076125,44 0
