net_type,run_index,repetition_index,mutation_rate,Sch 1,R1,B1,Sch 2,R2,B2,Larger Ratio/Smaller Ratio,Preference for Smaller Ratio,Max Preference
1,0,0,0.1,VR 2,58,163,VR 2,614,1517,1,0.09702381,0.90297619
1,1,0,0.1,VR 2,190,506,VR 2,380,982,1,0.340053763,0.659946237
1,2,0,0.1,VR 2,157,428,VR 2,445,1089,1,0.282135794,0.717864206
1,3,0,0.1,VR 2,144,417,VR 2,286,747,1,0.358247423,0.641752577
1,4,0,0.1,VR 3,70,261,VR 3,185,630,1,0.292929293,0.707070707
1,5,0,0.1,VR 3,28,116,VR 3,208,692,1,0.143564356,0.856435644
1,6,0,0.1,VR 3,121,413,VR 3,73,299,1,0.58005618,0.58005618
1,7,0,0.1,VR 3,216,733,VR 3,42,173,1,0.809050773,0.809050773
1,8,0,0.1,VR 4,85,346,VR 4,93,365,1,0.486638537,0.513361463
1,9,0,0.1,VR 4,68,314,VR 4,36,208,1,0.601532567,0.601532567
1,10,0,0.1,VR 4,42,237,VR 4,77,343,1,0.40862069,0.59137931
1,11,0,0.1,VR 4,35,175,VR 4,94,411,1,0.298634812,0.701365188
1,12,0,0.1,VR 5,55,286,VR 5,33,222,1,0.562992126,0.562992126
1,13,0,0.1,VR 5,28,182,VR 5,72,342,1,0.347328244,0.652671756
1,14,0,0.1,VR 5,34,227,VR 5,44,283,1,0.445098039,0.554901961
1,15,0,0.1,VR 5,77,351,VR 5,51,290,1,0.547581903,0.547581903
1,16,0,0.1,VR 10,21,236,VR 10,19,201,1,0.540045767,0.540045767
1,17,0,0.1,VR 10,12,187,VR 10,18,225,1,0.453883495,0.546116505
1,18,0,0.1,VR 10,14,217,VR 10,22,243,1,0.47173913,0.52826087
1,19,0,0.1,VR 10,19,211,VR 10,28,243,1,0.464757709,0.535242291
1,20,0,0.1,VR 20,12,200,VR 20,12,218,1,0.4784689,0.5215311
1,21,0,0.1,VR 20,15,241,VR 20,5,171,1,0.584951456,0.584951456
1,22,0,0.1,VR 20,9,195,VR 20,17,237,1,0.451388889,0.548611111
1,23,0,0.1,VR 20,7,201,VR 20,6,205,1,0.495073892,0.504926108
1,24,0,0.1,VR 40,4,178,VR 40,4,221,1,0.446115288,0.553884712
1,25,0,0.1,VR 40,4,187,VR 40,4,212,1,0.468671679,0.531328321
1,26,0,0.1,VR 40,4,188,VR 40,6,172,1,0.522222222,0.522222222
1,27,0,0.1,VR 40,1,208,VR 40,3,213,1,0.494061758,0.505938242
1,28,0,0.1,VR 80,2,211,VR 80,2,221,1,0.488425926,0.511574074
1,29,0,0.1,VR 80,3,191,VR 80,5,203,1,0.484771574,0.515228426
1,30,0,0.1,VR 80,2,220,VR 80,2,205,1,0.517647059,0.517647059
1,31,0,0.1,VR 80,2,237,VR 80,3,183,1,0.564285714,0.564285714
1,32,0,0.1,VR 160,1,213,VR 160,0,220,1,0.491916859,0.508083141
1,33,0,0.1,VR 160,0,200,VR 160,0,191,1,0.511508951,0.511508951
1,34,0,0.1,VR 160,0,180,VR 160,2,211,1,0.460358056,0.539641944
1,35,0,0.1,VR 160,1,216,VR 160,2,210,1,0.507042254,0.507042254
1,36,0,0.1,VR 320,1,211,VR 320,2,190,1,0.526184539,0.526184539
1,37,0,0.1,VR 320,1,205,VR 320,2,200,1,0.50617284,0.50617284
1,38,0,0.1,VR 320,0,194,VR 320,1,224,1,0.464114833,0.535885167
1,39,0,0.1,VR 320,1,204,VR 320,1,219,1,0.482269504,0.517730496
1,40,0,0.1,VR 640,0,210,VR 640,0,214,1,0.495283019,0.504716981
1,41,0,0.1,VR 640,0,216,VR 640,0,180,1,0.545454545,0.545454545
1,42,0,0.1,VR 640,0,189,VR 640,0,181,1,0.510810811,0.510810811
1,43,0,0.1,VR 640,1,196,VR 640,1,188,1,0.510416667,0.510416667
