net_type,run_index,repetition_index,mutation_rate,Sch 1,R1,B1,Sch 2,R2,B2,Larger Ratio/Smaller Ratio,Preference for Smaller Ratio,Max Preference
1,0,0,0.1,VR 160,2,198,VR 160,0,194,1,0.505102041,0.505102041
1,1,0,0.1,VR 160,2,207,VR 160,2,201,1,0.507352941,0.507352941
1,2,0,0.1,VR 160,0,201,VR 160,6,226,1,0.470725995,0.529274005
1,3,0,0.1,VR 160,1,226,VR 160,0,204,1,0.525581395,0.525581395
1,4,0,0.1,VR 5,31,227,VR 5,38,205,1,0.525462963,0.525462963
1,5,0,0.1,VR 5,45,260,VR 5,62,334,1,0.437710438,0.562289562
1,6,0,0.1,VR 5,47,268,VR 5,33,194,1,0.58008658,0.58008658
1,7,0,0.1,VR 5,42,296,VR 5,26,178,1,0.624472574,0.624472574
1,8,0,0.1,VR 160,2,200,VR 160,0,192,1,0.510204082,0.510204082
1,9,0,0.1,VR 160,2,198,VR 160,1,219,1,0.474820144,0.525179856
1,10,0,0.1,VR 160,0,207,VR 160,4,213,1,0.492857143,0.507142857
1,11,0,0.1,VR 160,1,209,VR 160,0,185,1,0.530456853,0.530456853
1,12,0,0.1,VR 2,250,630,VR 2,269,734,1,0.461876833,0.538123167
