net_type,run_index,repetition_index,mutation_rate,Sch 1,R1,B1,Sch 2,R2,B2,Larger Ratio/Smaller Ratio,Preference for Smaller Ratio,Max Preference
1,0,19,0.1,VR 160,0,186,VR 160,3,218,1,0.46039604,0.53960396
1,1,19,0.1,VR 160,0,202,VR 160,2,198,1,0.505,0.505
1,2,19,0.1,VR 160,0,195,VR 160,1,219,1,0.471014493,0.528985507
1,3,19,0.1,VR 160,2,211,VR 160,0,175,1,0.546632124,0.546632124
1,4,19,0.1,VR 5,40,256,VR 5,43,251,1,0.504930966,0.504930966
1,5,19,0.1,VR 5,64,320,VR 5,31,207,1,0.607210626,0.607210626
1,6,19,0.1,VR 5,95,458,VR 5,22,175,1,0.723538705,0.723538705
1,7,19,0.1,VR 5,20,134,VR 5,76,399,1,0.251407129,0.748592871
1,8,19,0.1,VR 160,0,203,VR 160,0,194,1,0.511335013,0.511335013
1,9,19,0.1,VR 160,0,189,VR 160,2,193,1,0.494764398,0.505235602
1,10,19,0.1,VR 160,2,158,VR 160,2,211,1,0.428184282,0.571815718
1,11,19,0.1,VR 160,0,213,VR 160,2,201,1,0.514492754,0.514492754
