net_type,run_index,repetition_index,mutation_rate,Sch 1,R1,B1,Sch 2,R2,B2,Larger Ratio/Smaller Ratio,Preference for Smaller Ratio
1,0,0,0.1,VR 160,1,196,VR 160,1,199,1,0.496202532
1,1,0,0.1,VR 160,1,193,VR 160,1,190,1,0.503916449
1,2,0,0.1,VR 160,0,186,VR 160,2,204,1,0.476923077
1,3,0,0.1,VR 5,0,168,VR 5,2,194,1,0.464088398
1,4,0,0.1,VR 5,44,246,VR 5,45,214,1,0.534782609
1,5,0,0.1,VR 5,59,272,VR 5,58,282,1,0.490974729
1,6,0,0.1,VR 5,52,296,VR 5,37,195,1,0.602851324
1,7,0,0.1,VR 160,45,231,VR 160,33,237,1,0.493589744
1,8,0,0.1,VR 160,2,208,VR 160,0,183,1,0.531969309
1,9,0,0.1,VR 160,0,194,VR 160,1,197,1,0.496163683
1,10,0,0.1,VR 160,1,176,VR 160,2,187,1,0.484848485
1,11,0,0.1,VR 160,1,181,VR 160,2,204,1,0.47012987
