net_type,run_index,repetition_index,mutation_rate,Sch 1,R1,B1,Sch 2,R2,B2,Larger Ratio/Smaller Ratio,Preference for Smaller Ratio,
1,0,0,0.1,VR 160,2,198,VR 160,3,185,1,0.516971279,0.516971279
1,1,0,0.1,VR 160,3,227,VR 160,1,143,1,0.613513514,0.613513514
1,2,0,0.1,VR 160,2,181,VR 160,2,200,1,0.475065617,0.524934383
1,3,0,0.1,VR 5,0,200,VR 5,2,209,1,0.488997555,0.511002445
1,4,0,0.1,VR 5,23,174,VR 5,51,251,1,0.409411765,0.590588235
1,5,0,0.1,VR 5,36,207,VR 5,42,199,1,0.509852217,0.509852217
1,6,0,0.1,VR 5,47,240,VR 5,40,223,1,0.518358531,0.518358531
1,7,0,0.1,VR 160,44,242,VR 160,38,193,1,0.556321839,0.556321839
1,8,0,0.1,VR 160,1,200,VR 160,1,184,1,0.520833333,0.520833333
1,9,0,0.1,VR 160,2,203,VR 160,1,201,1,0.502475248,0.502475248
1,10,0,0.1,VR 160,0,187,VR 160,2,217,1,0.462871287,0.537128713
1,11,0,0.1,VR 160,0,172,VR 160,1,197,1,0.466124661,0.533875339
